Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Tiago Esgaio,0.0,1.73,0.85,0.04,3.0,0.0,0.92,0.12,35.15,70.57,35.26,0.62,60.53,54.59,1.0,26,2,2,Liga Portugal,2
Bernardo Vital,0.0,0.85,0.62,0.04,4.69,0.0,0.23,0.0,51.04,87.64,51.14,1.08,56.82,54.97,1.08,26,1,2,Liga Portugal,2
Rúben Fernandes,0.0,0.58,1.42,0.08,3.31,0.0,0.65,0.04,52.69,84.96,52.41,1.12,58.44,52.52,0.58,26,3,2,Liga Portugal,2
Pedro Malheiro,0.0,2.94,1.16,0.03,1.59,0.0,0.97,0.19,44.44,79.47,41.22,1.44,38.3,53.16,1.44,32,1,2,Liga Portugal,2
Anderson,0.1,1.03,1.27,0.1,5.43,0.03,0.27,0.0,34.67,79.71,32.9,0.87,59.32,59.31,0.83,30,2,2,Liga Portugal,2
Jeremiah St. Juste,0.05,0.71,0.67,0.0,1.05,0.0,0.19,0.05,44.57,93.06,59.57,0.29,60.53,57.0,0.81,21,2,2,Liga Portugal,2
Pedro Álvaro,0.03,0.77,1.13,0.07,3.9,0.0,0.17,0.0,50.8,85.76,50.76,1.13,65.52,53.19,1.5,30,1,2,Liga Portugal,2
Francisco Moura,0.07,1.07,0.96,0.04,2.21,0.0,0.46,0.14,32.54,80.13,41.67,0.79,50.75,45.63,1.39,28,1,2,Liga Portugal,2
Josué Sá,0.0,1.17,0.89,0.06,3.11,0.0,0.44,0.06,45.61,85.99,47.41,0.78,64.29,51.04,1.56,18,3,2,Liga Portugal,2
Pierre Sagna,0.0,1.54,1.38,0.04,2.33,0.04,0.33,0.21,25.42,74.43,44.58,0.96,68.75,62.42,0.79,24,3,2,Liga Portugal,2
Igor Julião,0.05,1.45,1.1,0.05,1.6,0.0,0.3,0.05,27.3,75.82,41.54,0.75,40.74,60.0,1.15,20,2,2,Liga Portugal,2
Rodrigo Abascal,0.0,1.7,1.33,0.0,3.59,0.04,0.81,0.07,52.0,80.91,47.39,1.11,57.41,51.52,1.11,27,2,2,Liga Portugal,2
Jerome Opoku,0.0,0.96,1.08,0.08,3.42,0.0,0.13,0.04,32.83,80.46,38.89,0.96,58.62,59.48,1.17,24,2,2,Liga Portugal,2
Nermin Zolotić,0.0,1.07,1.28,0.03,2.79,0.03,0.72,0.03,46.07,83.68,42.45,0.86,44.62,56.11,0.55,29,2,2,Liga Portugal,2
Nuno Lima,0.04,0.93,1.43,0.04,3.89,0.0,0.39,0.0,47.68,85.69,57.89,1.71,57.53,53.06,0.89,28,1,2,Liga Portugal,2
Adrián Marín,0.0,2.03,1.0,0.0,2.16,0.0,0.61,0.13,40.58,74.8,40.24,1.16,55.26,54.15,1.13,31,2,2,Liga Portugal,2
Vincent Sasso,0.17,1.33,1.13,0.13,3.75,0.0,0.29,0.0,41.71,88.71,45.68,1.38,65.63,62.68,0.88,24,3,2,Liga Portugal,2
Léo Bolgado,0.09,1.09,0.82,0.18,3.27,0.0,0.18,0.0,17.18,83.6,54.17,0.45,62.96,59.62,0.73,11,2,2,Liga Portugal,2
Joãozinho,0.03,1.2,0.53,0.07,1.93,0.0,0.4,0.07,37.87,81.07,50.38,1.07,37.21,50.94,0.67,30,3,2,Liga Portugal,2
Mateus Quaresma,0.03,2.31,1.41,0.03,2.09,0.0,1.19,0.09,40.31,77.75,44.57,0.84,54.17,52.96,1.13,32,2,2,Liga Portugal,2
Léo,0.08,1.17,2.17,0.0,2.83,0.08,0.25,0.0,40.25,80.95,50.0,2.0,56.76,58.82,0.75,12,2,2,Liga Portugal,2
Vitor Costa,0.07,2.07,1.07,0.11,2.18,0.04,1.11,0.0,36.5,77.1,49.3,1.25,55.17,54.17,1.68,28,2,2,Liga Portugal,2
Rodrigo Conceição,0.0,0.94,0.5,0.0,0.56,0.0,0.44,0.13,15.75,80.16,50.0,0.31,42.86,53.57,0.5,16,1,2,Liga Portugal,2
Zaidu Sanusi,0.0,0.83,0.61,0.06,1.0,0.0,0.56,0.11,26.33,80.38,31.25,0.61,65.63,49.45,0.83,18,2,2,Liga Portugal,2
Juan Delgado,0.0,1.87,0.77,0.0,1.48,0.0,1.16,0.23,35.55,80.13,48.2,1.55,46.55,51.98,2.03,31,2,2,Liga Portugal,2
Xavier Quintilla,0.08,1.15,0.23,0.08,1.54,0.0,0.54,0.08,22.62,75.17,44.83,1.08,43.75,54.35,0.46,13,2,2,Liga Portugal,2
Mamadou Tounkara,0.0,0.79,0.36,0.0,3.5,0.0,0.14,0.0,31.29,82.19,38.64,0.64,50.0,51.16,0.86,14,1,2,Liga Portugal,2
Rúben Lima,0.06,0.94,1.78,0.06,1.89,0.0,0.28,0.0,26.17,71.13,38.71,1.28,55.26,53.92,0.78,18,3,2,Liga Portugal,2
Ygor Nogueira,0.08,1.5,1.5,0.17,4.08,0.08,0.42,0.0,29.33,80.97,42.31,1.83,54.9,58.33,1.17,12,2,2,Liga Portugal,2
Miguel Nóbrega,0.0,0.73,0.36,0.0,2.55,0.0,0.27,0.09,30.82,82.89,33.33,0.91,46.15,48.15,0.73,11,1,2,Liga Portugal,2
Moustapha Seck,0.0,1.79,1.07,0.0,1.24,0.03,0.69,0.14,21.93,67.61,32.1,1.07,62.69,53.85,1.38,29,2,2,Liga Portugal,2
Maracás,0.0,1.18,1.24,0.0,3.94,0.0,0.47,0.0,37.06,89.52,58.9,1.41,65.31,56.25,1.35,17,2,2,Liga Portugal,2
Sávio,0.0,0.43,0.21,0.0,0.43,0.0,0.07,0.07,15.57,82.57,58.06,0.07,33.33,59.09,0.21,14,2,2,Liga Portugal,2
Erick Ferigra,0.0,0.56,0.81,0.0,2.94,0.0,0.38,0.0,38.13,87.21,49.37,1.31,46.15,52.25,1.13,16,1,2,Liga Portugal,2
Paulo Henrique,0.0,1.47,0.95,0.0,1.84,0.0,0.42,0.11,32.26,74.39,48.42,1.16,68.66,56.5,1.84,19,2,2,Liga Portugal,2
Cláudio Winck,0.18,1.82,0.82,0.0,0.88,0.0,0.74,0.15,28.88,67.62,33.33,1.35,52.17,53.47,0.94,34,2,2,Liga Portugal,2
Ítalo,0.0,1.25,0.83,0.08,5.33,0.0,0.17,0.0,35.5,79.11,37.5,1.67,40.38,46.32,1.25,12,1,2,Liga Portugal,2
Ivanildo Fernandes,0.0,0.7,0.8,0.0,4.7,0.0,0.35,0.1,29.4,82.99,44.32,0.75,76.79,60.0,0.95,20,2,2,Liga Portugal,2
Reggie Cannon,0.0,1.53,1.97,0.0,3.0,0.0,0.5,0.0,38.5,86.67,36.89,1.23,44.0,45.23,1.57,30,2,2,Liga Portugal,2
Matheus Pereira,0.06,1.11,0.56,0.0,0.67,0.0,0.5,0.11,24.56,71.95,19.64,0.44,40.0,48.08,1.28,18,1,2,Liga Portugal,2
Sandro Cruz,0.0,1.23,0.54,0.0,1.0,0.0,0.31,0.0,19.38,77.38,39.13,0.54,60.0,57.58,0.69,13,1,2,Liga Portugal,2
Martín Aguirregabiria,0.0,0.24,0.59,0.0,0.47,0.0,0.06,0.0,10.59,80.0,20.83,0.59,66.67,64.0,0.24,17,2,2,Liga Portugal,2
Matheus Costa,0.0,1.1,0.75,0.0,2.5,0.05,0.25,0.0,26.85,83.43,39.19,1.2,62.5,62.04,0.6,20,2,2,Liga Portugal,2
Bogdan Milovanov,0.0,2.53,1.2,0.07,3.4,0.0,0.87,0.0,26.6,67.42,25.0,1.2,54.55,51.79,1.2,15,2,2,Liga Portugal,2
Edson Mexer,0.0,0.79,0.86,0.21,2.14,0.0,0.14,0.0,45.0,86.67,48.98,1.5,53.13,56.34,0.93,14,3,2,Liga Portugal,2
Jorge Silva,0.0,0.88,0.24,0.0,1.0,0.0,0.53,0.06,8.06,75.18,40.0,0.71,50.0,50.0,0.59,17,2,2,Liga Portugal,2
Diogo Calila,0.0,1.0,0.6,0.07,0.67,0.0,0.2,0.0,16.27,81.15,51.52,0.8,25.0,46.75,1.4,15,2,2,Liga Portugal,2
Nanú,0.0,1.0,0.36,0.0,0.82,0.0,0.09,0.18,18.91,82.21,28.57,1.64,60.0,57.97,0.55,11,2,2,Liga Portugal,2
Ladislav Krejčí,0.68,0.58,1.26,0.05,1.79,0.0,0.21,0.05,51.05,76.08,45.71,0.79,61.7,57.52,1.21,19,1,2,Republica Checa 1. Liga,3
Casper Højer,0.05,1.33,0.52,0.0,1.33,0.0,0.14,0.05,30.76,71.05,34.48,0.62,48.0,56.9,1.05,21,2,2,Republica Checa 1. Liga,3
Eneo Bitri,0.17,1.5,1.75,0.0,4.33,0.0,0.08,0.0,45.92,75.68,48.85,1.0,67.92,66.29,1.0,12,2,2,Republica Checa 1. Liga,3
Luděk Pernica,0.05,1.14,1.05,0.0,3.19,0.0,0.05,0.05,51.95,83.04,62.11,0.67,64.52,66.09,0.71,21,3,2,Republica Checa 1. Liga,3
Igoh Ogbu,0.06,1.5,1.69,0.06,1.75,0.0,0.0,0.06,60.56,84.52,66.87,0.56,74.0,65.38,1.19,16,1,2,Republica Checa 1. Liga,3
Taras Kacharaba,0.05,1.05,2.21,0.0,1.58,0.0,0.11,0.11,53.42,80.1,53.11,0.26,76.19,67.65,0.53,19,2,2,Republica Checa 1. Liga,3
Michal Frydrych,0.14,0.79,1.14,0.0,4.5,0.0,0.14,0.14,53.21,77.32,50.3,1.36,75.86,63.08,1.14,14,3,2,Republica Checa 1. Liga,3
Maksym Talovierov,0.08,1.15,2.62,0.0,4.08,0.0,0.08,0.0,47.85,81.83,52.43,0.77,39.13,48.28,0.85,13,1,2,Republica Checa 1. Liga,3
David Lischka,0.07,0.8,1.13,0.0,2.93,0.0,0.13,0.0,44.93,81.31,55.04,0.87,73.53,60.53,1.13,15,2,2,Republica Checa 1. Liga,3
Jiří Sláma,0.04,0.96,0.83,0.0,0.96,0.0,0.21,0.13,19.83,60.92,34.71,0.42,53.33,61.64,0.25,24,1,2,Republica Checa 1. Liga,3
Stanislav Hofmann,0.1,0.84,1.35,0.03,3.61,0.0,0.13,0.0,48.61,79.63,55.62,1.1,61.4,66.67,0.52,31,3,2,Republica Checa 1. Liga,3
Ondrej Karafiat,0.0,1.93,1.83,0.0,3.87,0.0,0.27,0.07,43.63,73.64,47.59,1.3,57.5,66.23,0.8,30,2,2,Republica Checa 1. Liga,3
David Jurásek,0.06,1.35,0.65,0.0,0.48,0.0,0.35,0.1,35.81,70.27,38.34,0.39,66.67,55.39,0.81,31,1,2,Republica Checa 1. Liga,3
Lukáš Masopust,0.11,1.05,1.16,0.05,0.58,0.0,0.11,0.0,37.47,77.11,46.23,0.32,0.0,46.32,1.63,19,2,2,Republica Checa 1. Liga,3
Filip Čihák,0.0,1.71,0.86,0.07,3.43,0.0,0.29,0.07,40.07,69.34,46.95,1.07,61.36,65.74,0.86,14,1,2,Republica Checa 1. Liga,3
Martin Králik,0.1,1.17,2.17,0.0,3.76,0.0,0.28,0.03,49.41,76.34,47.37,1.69,62.75,63.93,0.48,29,2,2,Republica Checa 1. Liga,3
Benjamin Čolić,0.05,0.6,0.6,0.0,1.4,0.0,0.1,0.2,29.75,66.89,35.71,1.15,53.33,56.79,0.65,20,3,2,Republica Checa 1. Liga,3
Filip Panák,0.0,0.67,0.87,0.0,2.87,0.0,0.13,0.13,40.2,83.58,59.62,0.47,57.69,59.09,0.47,15,2,2,Republica Checa 1. Liga,3
Asger Sørensen,0.16,0.56,0.88,0.0,2.03,0.0,0.09,0.0,59.47,84.34,49.17,0.75,70.91,67.83,0.53,32,2,2,Republica Checa 1. Liga,3
Tomáš Holeš,0.0,1.19,0.67,0.0,1.29,0.0,0.1,0.14,49.24,77.95,52.06,0.52,65.71,64.6,0.86,21,2,2,Republica Checa 1. Liga,3
Václav Jemelka,0.03,1.28,1.47,0.0,2.22,0.0,0.34,0.09,41.69,77.36,49.36,0.81,53.7,56.36,0.91,32,2,2,Republica Checa 1. Liga,3
Aiham Ousou,0.05,0.68,1.63,0.0,2.32,0.0,0.05,0.0,46.84,82.81,62.34,0.37,46.67,56.58,0.74,19,1,2,Republica Checa 1. Liga,3
Jan Juroska,0.06,1.11,1.22,0.0,0.83,0.0,0.33,0.0,33.22,71.74,42.53,0.78,33.33,61.54,0.61,18,2,2,Republica Checa 1. Liga,3
Lukáš Hejda,0.1,0.79,1.07,0.07,2.72,0.0,0.14,0.0,45.34,81.52,54.33,0.9,66.23,56.02,1.41,29,3,2,Republica Checa 1. Liga,3
Juraj Chvátal,0.12,0.96,0.65,0.0,1.35,0.0,0.19,0.08,30.12,68.07,37.67,1.08,31.82,45.36,0.69,26,2,2,Republica Checa 1. Liga,3
Muhammed Sanneh,0.0,2.45,1.09,0.0,1.55,0.0,0.09,0.0,21.36,71.49,50.0,1.27,58.82,63.77,0.64,11,1,2,Republica Checa 1. Liga,3
Theodor Gebre Selassie,0.06,1.13,1.63,0.0,3.69,0.0,0.25,0.06,34.94,76.74,51.28,0.88,67.74,68.06,0.56,16,3,2,Republica Checa 1. Liga,3
Ondřej Zmrzlý,0.06,1.15,0.56,0.0,1.53,0.0,0.18,0.15,25.62,64.75,38.95,0.94,50.98,56.86,0.53,34,1,2,Republica Checa 1. Liga,3
Michal Kadlec,0.03,0.67,1.06,0.06,2.94,0.0,0.24,0.03,48.21,76.49,41.94,1.03,59.26,65.75,0.61,33,3,2,Republica Checa 1. Liga,3
Vit Benes,0.13,0.63,0.9,0.0,3.97,0.0,0.13,0.03,38.3,73.54,39.47,0.9,69.3,63.74,0.6,30,3,2,Republica Checa 1. Liga,3
Eduardo Santos,0.0,1.58,2.08,0.08,2.17,0.0,0.17,0.0,51.0,83.01,63.79,0.42,72.41,66.25,1.08,12,2,2,Republica Checa 1. Liga,3
Marek Icha,0.04,1.52,0.96,0.0,1.52,0.0,0.52,0.04,34.6,68.79,43.11,1.24,62.79,58.17,0.96,25,1,2,Republica Checa 1. Liga,3
Lukáš Hůlka,0.09,0.94,1.86,0.0,3.69,0.0,0.09,0.0,33.69,62.77,36.86,1.29,64.29,63.01,0.89,35,2,2,Republica Checa 1. Liga,3
Florent Poulolo,0.06,1.19,1.06,0.0,1.63,0.0,0.25,0.0,20.06,65.73,39.78,0.31,57.14,60.66,0.5,16,2,2,Republica Checa 1. Liga,3
Tomáš Vlček,0.03,1.06,1.29,0.0,3.84,0.0,0.19,0.03,45.13,74.91,45.65,1.35,66.67,61.9,1.03,31,1,2,Republica Checa 1. Liga,3
Jakub Kolar,0.08,1.15,1.38,0.0,3.46,0.0,0.38,0.0,32.35,70.63,46.89,1.42,64.1,63.97,0.81,26,1,2,Republica Checa 1. Liga,3
Dominik Plechatý,0.0,1.44,1.41,0.03,3.22,0.0,0.13,0.0,40.0,79.38,52.48,1.09,40.0,58.51,0.91,32,1,2,Republica Checa 1. Liga,3
Jiři Fleisman,0.1,1.37,1.0,0.0,1.1,0.0,0.3,0.17,28.47,66.51,41.23,1.27,48.48,55.0,0.97,30,3,2,Republica Checa 1. Liga,3
Matěj Hybš,0.13,1.27,1.23,0.0,2.5,0.0,0.2,0.0,40.8,71.16,38.56,1.5,63.64,63.07,1.03,30,2,2,Republica Checa 1. Liga,3
Milan Havel,0.1,1.07,0.76,0.0,1.34,0.0,0.14,0.07,32.76,76.95,46.32,0.83,36.36,50.82,0.52,29,2,2,Republica Checa 1. Liga,3
Petr Reinberk,0.11,1.19,1.11,0.0,1.19,0.0,0.37,0.15,31.52,65.1,31.21,1.0,50.0,50.64,0.85,27,3,2,Republica Checa 1. Liga,3
Nemanja Mićević,0.0,1.29,1.53,0.06,4.35,0.0,0.18,0.0,33.29,68.9,40.74,1.65,67.5,58.76,1.41,17,1,2,Republica Checa 1. Liga,3
Martin Vitík,0.0,0.86,1.41,0.05,3.41,0.09,0.05,0.05,47.27,79.71,46.21,0.82,52.5,47.62,1.0,22,1,2,Republica Checa 1. Liga,3
Filip Prebsl,0.04,0.96,0.69,0.0,3.12,0.0,0.19,0.0,28.88,82.56,51.22,0.96,56.25,52.75,0.69,26,1,2,Republica Checa 1. Liga,3
František Čech,0.0,1.08,1.23,0.0,3.38,0.0,0.19,0.04,31.5,76.31,49.06,1.23,51.72,55.12,1.27,26,2,2,Republica Checa 1. Liga,3
Dominik Simersky,0.06,1.03,0.97,0.03,4.79,0.0,0.09,0.03,32.24,72.74,43.85,1.42,61.9,61.03,0.7,33,3,2,Republica Checa 1. Liga,3
Martin Suchomel,0.0,1.77,0.62,0.08,1.38,0.0,0.23,0.08,24.38,60.57,31.65,0.54,69.23,53.57,1.62,13,1,2,Republica Checa 1. Liga,3
Karel Pojezný,0.0,1.37,1.07,0.0,2.56,0.0,0.22,0.0,42.07,76.06,48.46,1.15,50.82,58.33,0.67,27,1,2,Republica Checa 1. Liga,3
Martin Cedidla,0.04,1.63,1.17,0.04,2.13,0.0,0.5,0.0,30.67,64.81,39.29,1.5,54.17,62.9,1.13,24,1,2,Republica Checa 1. Liga,3
Lukáš Havel,0.13,0.77,2.1,0.0,3.83,0.0,0.33,0.0,44.3,75.92,48.94,1.37,61.63,58.14,0.8,30,2,2,Republica Checa 1. Liga,3
Libor Holík,0.0,0.77,0.58,0.0,0.88,0.0,0.15,0.19,22.73,68.7,37.5,0.77,35.0,52.58,0.54,26,2,2,Republica Checa 1. Liga,3
Jakub Šural,0.04,1.42,1.29,0.0,4.17,0.0,0.46,0.04,37.54,80.24,54.19,1.54,57.5,54.73,1.38,24,2,2,Republica Checa 1. Liga,3
Stepan Chaloupek,0.0,1.55,1.65,0.05,4.95,0.0,0.15,0.0,27.05,63.77,37.11,1.6,61.76,64.89,0.8,20,1,2,Republica Checa 1. Liga,3
Marios Pourzitidis,0.04,0.75,1.32,0.0,1.64,0.0,0.21,0.0,26.93,78.12,46.92,1.07,69.44,61.68,0.61,28,1,2,Republica Checa 1. Liga,3
Jakub Pokorný,0.06,0.9,1.35,0.03,2.9,0.0,0.19,0.0,42.19,70.72,43.73,1.16,57.47,57.06,0.87,31,2,2,Republica Checa 1. Liga,3
Marek Suchý,0.0,1.1,1.32,0.03,3.32,0.0,0.16,0.0,44.9,76.22,45.14,1.26,61.54,56.29,1.48,31,3,2,Republica Checa 1. Liga,3
Lukas Vrastil,0.05,0.76,1.05,0.05,3.52,0.0,0.24,0.1,29.9,69.11,40.99,0.71,63.89,52.87,1.0,21,2,2,Republica Checa 1. Liga,3
Robin Hranáč,0.04,0.54,1.29,0.07,4.86,0.0,0.18,0.0,42.29,76.35,48.51,1.36,53.06,50.0,0.75,28,1,2,Republica Checa 1. Liga,3
Jakub Martinec,0.1,1.19,0.86,0.0,3.95,0.0,0.38,0.0,36.95,76.55,42.64,1.19,60.34,59.74,1.24,21,2,2,Republica Checa 1. Liga,3
Jan Knapík,0.05,0.9,1.25,0.05,3.55,0.0,0.15,0.0,32.35,77.28,52.21,1.35,65.79,63.16,0.85,20,1,2,Republica Checa 1. Liga,3
Jan Kalabiška,0.13,1.17,1.07,0.03,1.17,0.0,0.4,0.07,25.83,62.32,30.97,0.9,56.45,53.0,1.43,30,3,2,Republica Checa 1. Liga,3
David Heidenreich,0.0,1.1,1.25,0.0,3.6,0.0,0.05,0.0,35.7,78.01,50.38,1.15,62.16,59.18,1.1,20,1,2,Republica Checa 1. Liga,3
Lukáš Endl,0.0,1.6,1.15,0.1,4.35,0.05,0.45,0.05,38.95,74.84,48.44,1.55,50.0,57.76,1.0,20,1,2,Republica Checa 1. Liga,3
Martin Chlumecky,0.04,1.46,1.17,0.0,2.33,0.0,0.63,0.0,44.04,67.46,37.5,1.33,55.74,54.5,1.54,24,2,2,Republica Checa 1. Liga,3
Eldar Šehić,0.0,1.25,0.79,0.0,0.63,0.0,0.29,0.0,15.92,69.9,34.21,0.67,40.0,49.46,1.13,24,1,2,Republica Checa 1. Liga,3
David Šimek,0.07,0.86,1.14,0.04,3.0,0.0,0.25,0.0,30.89,71.91,35.19,1.25,60.71,51.8,1.32,28,2,2,Republica Checa 1. Liga,3
Filip Kaša,0.0,0.85,0.77,0.0,2.0,0.08,0.0,0.0,39.85,80.31,44.79,1.15,56.52,61.54,0.62,13,2,2,Republica Checa 1. Liga,3
Jan Vondra,0.0,1.06,1.47,0.0,3.65,0.0,0.29,0.0,27.47,59.53,36.72,1.06,32.43,53.92,0.82,17,2,2,Republica Checa 1. Liga,3
Tomas Vondrasek,0.05,1.11,1.32,0.0,2.63,0.0,0.26,0.05,39.32,70.82,41.34,1.26,50.0,58.33,0.95,19,3,2,Republica Checa 1. Liga,3
Jan Král,0.05,1.63,1.11,0.0,4.42,0.05,0.32,0.0,44.95,73.19,30.22,1.47,48.94,60.48,0.53,19,1,2,Republica Checa 1. Liga,3
Lukas Bartosak,0.08,0.88,0.92,0.0,1.2,0.0,0.36,0.04,17.52,59.13,34.62,0.92,41.67,51.02,0.88,25,3,2,Republica Checa 1. Liga,3
David Stepanek,0.0,1.43,0.29,0.0,1.43,0.0,0.43,0.0,27.43,70.83,28.77,0.71,27.27,56.06,0.79,14,2,2,Republica Checa 1. Liga,3
Michal Leibl,0.13,0.67,1.27,0.07,1.47,0.0,0.27,0.07,28.0,65.48,35.4,1.0,50.0,46.51,1.53,15,3,2,Republica Checa 1. Liga,3
Matěj Helešic,0.0,1.25,0.68,0.0,0.96,0.0,0.18,0.0,21.32,69.18,34.88,1.32,50.0,55.56,0.93,28,2,2,Republica Checa 1. Liga,3
Jakub Klíma,0.0,1.52,1.0,0.0,2.48,0.03,0.39,0.0,39.32,70.47,41.57,1.23,60.53,56.44,0.74,31,2,2,Republica Checa 1. Liga,3
Jan Hlavica,0.0,1.17,1.0,0.04,2.29,0.0,0.08,0.0,25.33,72.53,33.63,0.83,62.5,53.0,1.25,24,2,2,Republica Checa 1. Liga,3
Daniel Souček,0.04,1.71,0.5,0.0,1.96,0.04,0.58,0.0,30.63,69.93,37.78,1.33,53.57,55.22,0.75,24,2,2,Republica Checa 1. Liga,3
Antonín Křapka,0.14,0.52,0.59,0.03,3.07,0.0,0.1,0.0,23.14,70.64,45.86,1.28,48.78,48.78,0.48,29,2,2,Republica Checa 1. Liga,3
Mohamed Tijani,0.0,0.94,1.0,0.0,2.71,0.0,0.12,0.0,45.24,75.55,40.63,1.12,70.0,59.34,1.24,17,2,2,Republica Checa 1. Liga,3
Joshua Akpudje,0.0,0.93,1.21,0.07,3.21,0.0,0.14,0.0,39.29,72.73,32.74,1.43,56.67,55.38,0.93,14,2,2,Republica Checa 1. Liga,3
Václav Procházka,0.04,0.93,1.15,0.0,3.37,0.04,0.19,0.0,33.67,68.98,39.24,1.37,71.05,62.16,0.74,27,3,2,Republica Checa 1. Liga,3
Gigli Ndefe,0.0,1.0,1.14,0.09,1.82,0.0,0.14,0.09,27.41,73.13,37.84,1.32,40.0,48.21,1.41,22,2,2,Republica Checa 1. Liga,3
Martin Novy,0.0,0.33,0.2,0.0,0.2,0.0,0.0,0.07,3.67,49.09,33.33,0.33,0.0,66.67,0.07,15,2,2,Republica Checa 1. Liga,3
Patrik Šimko,0.0,0.71,0.36,0.0,1.21,0.0,0.07,0.0,24.57,72.09,49.46,0.64,50.0,54.35,0.79,14,3,2,Republica Checa 1. Liga,3
Denis Granečný,0.0,2.11,1.18,0.04,1.64,0.04,0.71,0.04,26.68,64.39,34.39,1.5,61.76,58.15,0.96,28,2,2,Republica Checa 1. Liga,3
Martin Sladký,0.0,1.36,1.36,0.0,1.45,0.0,0.36,0.09,25.32,71.81,41.74,1.32,48.39,54.21,0.64,22,3,2,Republica Checa 1. Liga,3
Denis Donát,0.05,0.7,0.9,0.0,0.7,0.0,0.25,0.0,14.55,68.38,38.78,0.5,42.11,41.43,0.8,20,1,2,Republica Checa 1. Liga,3
David Broukal,0.0,0.24,0.71,0.0,2.0,0.0,0.14,0.05,18.48,68.04,32.39,0.9,53.57,42.11,0.48,21,2,2,Republica Checa 1. Liga,3
Matěj Hrabina,0.0,1.17,0.8,0.0,1.77,0.0,0.37,0.03,31.93,72.44,35.37,1.37,39.53,49.29,0.7,30,2,2,Republica Checa 1. Liga,3
Dominik Kostka,0.0,1.31,0.65,0.04,1.08,0.0,0.35,0.0,21.96,63.75,35.87,1.35,41.67,43.17,1.27,26,2,2,Republica Checa 1. Liga,3
Lukáš Skovajsa,0.0,1.24,0.76,0.0,1.06,0.0,0.35,0.0,22.12,70.48,34.25,1.29,45.0,49.4,0.94,17,2,2,Republica Checa 1. Liga,3
Branislav Sluka,0.07,0.57,0.86,0.0,0.29,0.0,0.43,0.07,15.0,71.9,32.14,1.29,55.56,44.64,0.71,14,1,2,Republica Checa 1. Liga,3
Josef Divisek,0.0,0.46,0.31,0.0,0.62,0.0,0.62,0.0,16.15,62.86,30.0,0.54,50.0,40.0,0.31,13,3,2,Republica Checa 1. Liga,3
Soufiane Dramé,0.0,1.0,0.4,0.0,0.87,0.0,0.2,0.0,11.13,72.46,39.29,1.13,53.85,40.98,1.13,15,2,2,Republica Checa 1. Liga,3
Michal Surzyn,0.0,0.43,0.57,0.04,0.87,0.0,0.17,0.0,16.22,70.24,19.3,0.96,63.64,51.92,0.43,23,2,2,Republica Checa 1. Liga,3
Nicușor Bancu,0.0,3.31,0.92,0.08,1.15,0.0,0.69,0.54,50.62,78.27,51.25,0.77,35.71,49.44,1.92,13,3,2,Rumania Superliga,3
Gabriel Tamaş,0.15,1.23,1.08,0.08,5.0,0.0,0.46,0.0,44.38,79.9,55.13,0.92,77.78,68.42,0.77,13,3,2,Rumania Superliga,3
Bogdan Vătăjelu,0.04,2.2,1.16,0.0,1.4,0.0,0.52,0.16,43.44,75.69,54.22,0.76,50.82,53.5,1.72,25,2,2,Rumania Superliga,3
Igor Armaș,0.0,0.95,1.76,0.03,4.5,0.0,0.55,0.0,54.74,83.46,58.07,0.68,70.59,68.68,0.37,38,3,2,Rumania Superliga,3
Yuri Matias,0.12,1.12,1.09,0.0,4.09,0.06,0.18,0.03,30.29,76.41,48.11,0.79,68.02,66.14,1.09,34,2,2,Rumania Superliga,3
Raul Opruț,0.06,3.62,1.71,0.0,2.15,0.0,1.03,0.09,45.74,73.7,33.33,0.82,69.41,64.23,1.24,34,2,2,Rumania Superliga,3
Cristian Manea,0.17,1.17,1.33,0.03,1.83,0.0,0.47,0.3,30.17,68.4,36.62,0.77,61.04,55.94,0.57,30,2,2,Rumania Superliga,3
André Duarte,0.0,2.03,1.18,0.0,3.41,0.03,0.51,0.0,50.1,81.32,41.67,0.9,61.97,66.87,0.44,39,2,2,Rumania Superliga,3
Ionuț Larie,0.08,1.72,1.74,0.0,3.49,0.0,0.64,0.0,55.08,83.33,51.68,0.85,57.98,59.61,0.82,39,3,2,Rumania Superliga,3
Valentin Crețu,0.0,3.53,1.18,0.06,1.94,0.0,0.65,0.12,35.12,75.21,48.65,0.88,54.55,63.47,1.06,17,3,2,Rumania Superliga,3
Seniko Doua,0.13,2.81,1.0,0.06,1.0,0.0,1.44,0.06,33.25,71.43,40.74,0.88,56.76,61.05,1.25,16,1,2,Rumania Superliga,3
Gabriel Mutombo,0.07,1.21,2.07,0.0,4.57,0.07,0.29,0.0,36.29,83.07,38.18,0.86,64.58,69.0,0.71,14,2,2,Rumania Superliga,3
Ionuț Stoica,0.06,1.42,1.03,0.0,4.19,0.0,0.65,0.0,42.58,85.76,57.23,0.84,54.66,58.17,0.32,31,3,2,Rumania Superliga,3
Paul Iacob,0.12,1.12,0.76,0.0,3.12,0.0,0.41,0.12,42.29,84.98,46.36,0.59,46.15,51.61,0.76,17,2,2,Rumania Superliga,3
