Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Layan Loor,0.0,1.42,0.92,0.0,1.42,0.0,0.46,0.12,42.77,84.8,63.1,1.19,35.29,44.21,1.15,26,1,2,Ecuador Serie A,3
Edison Carcelen,0.0,0.95,1.27,0.0,2.36,0.0,0.27,0.0,20.55,75.0,46.55,0.68,72.22,65.05,0.86,22,3,2,Ecuador Serie A,3
Jimmy Mina,0.0,2.0,1.08,0.0,3.42,0.0,0.42,0.0,20.92,73.31,52.5,1.58,56.67,57.63,1.75,12,1,2,Ecuador Serie A,3
Nicolás Goitea,0.07,0.54,0.96,0.04,4.07,0.0,0.18,0.0,22.04,66.45,29.09,0.86,56.6,56.45,0.57,28,2,2,Ecuador Serie A,3
Gustavo Cortez,0.0,0.5,0.81,0.06,0.31,0.0,0.25,0.13,18.63,83.56,63.16,0.38,37.5,46.03,1.0,16,2,2,Ecuador Serie A,3
Ousmane N’Dong,0.05,1.0,1.1,0.2,4.25,0.0,0.25,0.05,25.8,75.0,46.4,1.1,74.47,63.73,0.8,20,1,2,Ecuador Serie A,3
Kevin Becerra,0.0,0.93,1.0,0.0,2.9,0.0,0.31,0.03,40.0,81.29,46.19,1.1,50.0,56.25,0.62,29,2,2,Ecuador Serie A,3
Roger Arias,0.0,1.55,1.24,0.0,1.62,0.0,0.38,0.07,34.38,82.65,47.18,1.34,53.33,57.5,1.21,29,1,2,Ecuador Serie A,3
Andrés Felipe Ávila,0.13,1.58,0.42,0.0,0.42,0.0,0.63,0.0,26.67,80.78,56.82,0.79,62.5,50.96,1.04,24,2,2,Ecuador Serie A,3
Luciano Recalde,0.0,0.86,1.21,0.11,3.32,0.0,0.14,0.04,33.61,78.64,46.41,1.0,64.91,57.6,1.11,28,2,2,Ecuador Serie A,3
Luis Caicedo,0.03,1.34,1.1,0.03,4.48,0.03,0.48,0.0,23.55,62.96,32.11,1.03,55.1,58.71,0.79,29,2,2,Ecuador Serie A,3
Jordan Chillambo,0.0,1.57,1.05,0.05,2.0,0.0,1.0,0.1,29.38,68.23,33.58,1.43,53.85,51.95,1.29,21,2,2,Ecuador Serie A,3
Jonnathan Mina,0.0,0.96,0.96,0.0,2.46,0.0,0.39,0.14,26.18,66.58,33.58,0.79,63.41,51.82,0.64,28,2,2,Ecuador Serie A,3
Richard Mina,0.0,1.0,0.69,0.0,3.08,0.0,0.46,0.0,41.08,85.77,46.24,0.54,62.5,44.87,1.85,13,1,2,Ecuador Serie A,3
Darwin Torres,0.0,1.14,1.5,0.0,3.0,0.07,0.29,0.14,57.5,87.7,60.28,1.57,52.78,62.86,0.21,14,3,2,Ecuador Serie A,3
José Hernández,0.0,2.21,1.5,0.07,1.43,0.0,0.57,0.0,22.29,78.53,29.03,1.21,66.67,61.95,0.71,14,2,2,Ecuador Serie A,3
Wilker Ángel,0.0,0.64,1.09,0.0,4.36,0.0,0.09,0.0,32.27,80.85,52.33,0.91,60.87,52.0,1.27,11,2,2,Ecuador Serie A,3
Marco Alexander Carrasco Bonilla,0.14,1.5,0.5,0.0,0.71,0.0,0.5,0.0,15.64,75.8,41.94,0.79,42.86,60.94,0.21,14,2,2,Ecuador Serie A,3
Ronny Biojo,0.0,0.47,1.18,0.12,3.18,0.0,0.24,0.0,27.65,80.64,53.15,0.71,54.55,53.42,0.94,17,1,2,Ecuador Serie A,3
Darwin Estuardo Quilumba Diaz,0.0,0.61,1.0,0.0,3.5,0.0,0.22,0.06,26.33,79.54,53.78,1.0,61.54,52.56,1.0,18,3,2,Ecuador Serie A,3
Marco Montaño,0.0,1.59,0.52,0.0,1.22,0.0,1.04,0.04,27.33,77.91,51.67,0.96,36.84,50.61,1.04,27,3,2,Ecuador Serie A,3
Alex Rangel,0.05,2.68,0.64,0.0,2.55,0.0,0.64,0.0,21.86,71.1,33.61,0.91,48.28,57.14,1.45,22,1,2,Ecuador Serie A,3
Romario Caicedo,0.0,0.96,0.81,0.04,0.92,0.0,0.19,0.08,32.23,77.8,46.99,0.77,55.26,52.94,1.27,26,3,2,Ecuador Serie A,3
Marlon Medranda,0.0,1.68,0.95,0.05,1.5,0.0,0.36,0.0,23.09,72.83,38.32,0.68,62.79,60.0,1.18,22,1,2,Ecuador Serie A,3
Bryan Carabalí,0.0,1.0,1.06,0.0,0.71,0.0,0.76,0.06,19.0,79.88,47.06,0.35,40.0,48.11,1.06,17,2,2,Ecuador Serie A,3
Ariel Garcia,0.0,0.5,1.17,0.0,2.33,0.0,0.25,0.0,21.5,71.32,39.34,0.58,68.75,54.76,0.5,12,2,2,Ecuador Serie A,3
