Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Roger Arias,0.0,0.0,1.55,1.24,0.0,1.62,0.0,0.38,0.07,34.38,82.65,5.03,47.18,1.34,53.33,57.5,1.21,29.0,1.0,2.0,Ecuador Serie A,3.0
Andrés Felipe Ávila,0.13,0.0,1.58,0.42,0.0,0.42,0.0,0.63,0.0,26.67,80.78,6.54,56.82,0.79,62.5,50.96,1.04,24.0,2.0,2.0,Ecuador Serie A,3.0
Luciano Recalde,0.0,0.0,0.86,1.21,0.11,3.32,0.0,0.14,0.04,33.61,78.64,2.29,46.41,1.0,64.91,57.6,1.11,28.0,2.0,2.0,Ecuador Serie A,3.0
Luis Caicedo,0.03,0.0,1.34,1.1,0.03,4.48,0.03,0.48,0.0,23.55,62.96,2.17,32.11,1.03,55.1,58.71,0.79,29.0,2.0,2.0,Ecuador Serie A,3.0
Jordan Chillambo,0.0,0.0,1.57,1.05,0.05,2.0,0.0,1.0,0.1,29.38,68.23,4.38,33.58,1.43,53.85,51.95,1.29,21.0,2.0,2.0,Ecuador Serie A,3.0
Jonnathan Mina,0.0,0.0,0.96,0.96,0.0,2.46,0.0,0.39,0.14,26.18,66.58,5.46,33.58,0.79,63.41,51.82,0.64,28.0,2.0,2.0,Ecuador Serie A,3.0
Richard Mina,0.0,0.0,1.0,0.69,0.0,3.08,0.0,0.46,0.0,41.08,85.77,2.31,46.24,0.54,62.5,44.87,1.85,13.0,1.0,2.0,Ecuador Serie A,3.0
Darwin Torres,0.0,0.0,1.14,1.5,0.0,3.0,0.07,0.29,0.14,57.5,87.7,2.71,60.28,1.57,52.78,62.86,0.21,14.0,3.0,2.0,Ecuador Serie A,3.0
José Hernández,0.0,0.0,2.21,1.5,0.07,1.43,0.0,0.57,0.0,22.29,78.53,3.71,29.03,1.21,66.67,61.95,0.71,14.0,2.0,2.0,Ecuador Serie A,3.0
Wilker Ángel,0.0,0.0,0.64,1.09,0.0,4.36,0.0,0.09,0.0,32.27,80.85,0.82,52.33,0.91,60.87,52.0,1.27,11.0,2.0,2.0,Ecuador Serie A,3.0
Marco Alexander Carrasco Bonilla,0.14,0.0,1.5,0.5,0.0,0.71,0.0,0.5,0.0,15.64,75.8,3.36,41.94,0.79,42.86,60.94,0.21,14.0,2.0,2.0,Ecuador Serie A,3.0
Ronny Biojo,0.0,0.0,0.47,1.18,0.12,3.18,0.0,0.24,0.0,27.65,80.64,2.18,53.15,0.71,54.55,53.42,0.94,17.0,1.0,2.0,Ecuador Serie A,3.0
Darwin Estuardo Quilumba Diaz,0.0,0.0,0.61,1.0,0.0,3.5,0.0,0.22,0.06,26.33,79.54,1.67,53.78,1.0,61.54,52.56,1.0,18.0,3.0,2.0,Ecuador Serie A,3.0
Marco Montaño,0.0,0.0,1.59,0.52,0.0,1.22,0.0,1.04,0.04,27.33,77.91,4.85,51.67,0.96,36.84,50.61,1.04,27.0,3.0,2.0,Ecuador Serie A,3.0
Alex Rangel,0.05,0.05,2.68,0.64,0.0,2.55,0.0,0.64,0.0,21.86,71.1,2.68,33.61,0.91,48.28,57.14,1.45,22.0,1.0,2.0,Ecuador Serie A,3.0
Romario Caicedo,0.0,0.0,0.96,0.81,0.04,0.92,0.0,0.19,0.08,32.23,77.8,6.81,46.99,0.77,55.26,52.94,1.27,26.0,3.0,2.0,Ecuador Serie A,3.0
Marlon Medranda,0.0,0.0,1.68,0.95,0.05,1.5,0.0,0.36,0.0,23.09,72.83,2.86,38.32,0.68,62.79,60.0,1.18,22.0,1.0,2.0,Ecuador Serie A,3.0
Bryan Carabalí,0.0,0.0,1.0,1.06,0.0,0.71,0.0,0.76,0.06,19.0,79.88,5.06,47.06,0.35,40.0,48.11,1.06,17.0,2.0,2.0,Ecuador Serie A,3.0
Ariel Garcia,0.0,0.0,0.5,1.17,0.0,2.33,0.0,0.25,0.0,21.5,71.32,3.0,39.34,0.58,68.75,54.76,0.5,12.0,2.0,2.0,Ecuador Serie A,3.0
Mario Pineida,0.0,0.0,1.55,0.7,0.05,1.05,0.0,0.65,0.05,30.85,78.61,6.1,56.32,0.7,59.26,52.2,1.3,20.0,3.0,2.0,Ecuador Serie A,3.0
Pablo Cifuentes,0.04,0.0,0.89,1.0,0.04,5.3,0.04,0.48,0.0,24.19,75.04,1.52,46.71,1.04,58.49,51.82,1.15,27.0,3.0,2.0,Ecuador Serie A,3.0
Jhon Narvaez,0.0,0.0,2.35,0.74,0.09,2.22,0.04,0.43,0.0,21.13,76.54,1.43,44.0,1.0,21.05,55.47,1.13,23.0,3.0,2.0,Ecuador Serie A,3.0
Óscar Quiñónez,0.04,0.04,0.92,1.24,0.0,2.92,0.0,0.16,0.08,34.44,67.25,3.72,35.0,0.76,75.93,63.4,1.28,25.0,1.0,2.0,Ecuador Serie A,3.0
Glendys Mina,0.0,0.0,1.36,0.64,0.04,1.4,0.0,0.4,0.12,27.96,76.39,5.12,37.35,0.92,55.26,54.41,0.72,25.0,2.0,2.0,Ecuador Serie A,3.0
Orlin Quinonez,0.0,0.0,1.44,1.06,0.0,1.11,0.0,0.61,0.06,21.5,63.31,4.44,31.97,1.0,48.39,48.57,1.17,18.0,2.0,2.0,Ecuador Serie A,3.0
Bryan Rivera,0.0,0.0,1.23,1.0,0.0,1.5,0.0,0.38,0.08,26.88,71.24,4.38,32.74,0.85,62.5,52.21,1.23,26.0,2.0,2.0,Ecuador Serie A,3.0
