Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Kevin Becerra,0.0,0.0,0.93,1.0,0.0,2.9,0.0,0.31,0.03,0.4,0.8129000000000002,0.0018599999999999999,0.4619,1.1,0.5,0.5625,0.62,29.0,2.0,2.0,Ecuador Serie A,3.0
Roger Arias,0.0,0.0,1.55,1.24,0.0,1.62,0.0,0.38,0.07,0.34380000000000005,0.8265,0.00503,0.4718,1.34,0.5333,0.575,1.21,29.0,1.0,2.0,Ecuador Serie A,3.0
Andrés Felipe Ávila,0.13,0.0,1.58,0.42,0.0,0.42,0.0,0.63,0.0,0.2667,0.8078,0.006540000000000001,0.5682,0.79,0.625,0.5096,1.04,24.0,2.0,2.0,Ecuador Serie A,3.0
Luciano Recalde,0.0,0.0,0.86,1.21,0.11,3.32,0.0,0.14,0.04,0.3361,0.7864,0.00229,0.46409999999999996,1.0,0.6491,0.576,1.11,28.0,2.0,2.0,Ecuador Serie A,3.0
Luis Caicedo,0.03,0.0,1.34,1.1,0.03,4.48,0.03,0.48,0.0,0.23550000000000001,0.6296,0.00217,0.3211,1.03,0.5509999999999999,0.5871000000000001,0.79,29.0,2.0,2.0,Ecuador Serie A,3.0
Jordan Chillambo,0.0,0.0,1.57,1.05,0.05,2.0,0.0,1.0,0.1,0.2938,0.6823,0.00438,0.3358,1.43,0.5385,0.5195000000000001,1.29,21.0,2.0,2.0,Ecuador Serie A,3.0
Jonnathan Mina,0.0,0.0,0.96,0.96,0.0,2.46,0.0,0.39,0.14,0.2618,0.6658,0.0054600000000000004,0.3358,0.79,0.6341,0.5182000000000001,0.64,28.0,2.0,2.0,Ecuador Serie A,3.0
Richard Mina,0.0,0.0,1.0,0.69,0.0,3.08,0.0,0.46,0.0,0.4108,0.8576999999999999,0.00231,0.4624000000000001,0.54,0.625,0.44870000000000004,1.85,13.0,1.0,2.0,Ecuador Serie A,3.0
Darwin Torres,0.0,0.0,1.14,1.5,0.0,3.0,0.07,0.29,0.14,0.575,0.8769999999999999,0.00271,0.6028,1.57,0.5278,0.6286,0.21,14.0,3.0,2.0,Ecuador Serie A,3.0
José Hernández,0.0,0.0,2.21,1.5,0.07,1.43,0.0,0.57,0.0,0.2229,0.7853,0.0037099999999999998,0.2903,1.21,0.6667000000000001,0.6195,0.71,14.0,2.0,2.0,Ecuador Serie A,3.0
Wilker Ángel,0.0,0.0,0.64,1.09,0.0,4.36,0.0,0.09,0.0,0.32270000000000004,0.8085,0.0008199999999999991,0.5233,0.91,0.6087,0.52,1.27,11.0,2.0,2.0,Ecuador Serie A,3.0
Marco Alexander Carrasco Bonilla,0.14,0.0,1.5,0.5,0.0,0.71,0.0,0.5,0.0,0.1564,0.758,0.0033599999999999993,0.4194,0.79,0.4286,0.6093999999999999,0.21,14.0,2.0,2.0,Ecuador Serie A,3.0
Ronny Biojo,0.0,0.0,0.47,1.18,0.12,3.18,0.0,0.24,0.0,0.2765,0.8064,0.00218,0.5315000000000001,0.71,0.5455,0.5342,0.94,17.0,1.0,2.0,Ecuador Serie A,3.0
