Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Interceptions,Big chances created,Assists,Accurate passes %,Aerial duels won %,Total duels won %,Was fouled,Appearances,Age Range,Position,League,Level
Cristian Arango,0.49,0.32,48.05,3.22,0.11,0.0,0.11,0.22,0.11,67.0,41.51,40.0,1.27,37.0,2.0,4.0,EEUU MLS,4.0
Javier Hernández,0.53,0.5,54.17,2.68,0.03,0.0,0.18,0.09,0.06,76.76,37.04,51.18,1.91,34.0,3.0,4.0,EEUU MLS,4.0
Jeremy Ebobisse,0.5,0.41,57.14,3.03,0.06,0.74,0.06,0.09,0.06,82.24,40.91,43.0,0.91,34.0,2.0,4.0,EEUU MLS,4.0
Paul Arriola,0.29,0.24,32.14,1.74,0.0,0.0,0.35,0.41,0.15,74.15,51.22,43.75,0.82,34.0,2.0,4.0,EEUU MLS,4.0
Darwin Quintero,0.26,0.03,47.73,1.35,0.03,0.0,0.16,0.35,0.1,74.55,25.0,39.81,0.65,31.0,3.0,4.0,EEUU MLS,4.0
Julián Carranza,0.44,0.53,41.3,2.94,0.03,0.0,0.32,0.15,0.21,73.68,41.13,45.5,2.12,34.0,1.0,4.0,EEUU MLS,4.0
Talles Magno,0.23,0.17,57.26,1.89,0.03,0.0,0.31,0.23,0.23,80.98,35.29,50.24,2.11,35.0,1.0,4.0,EEUU MLS,4.0
Luis Amarilla,0.26,0.21,55.1,2.24,0.03,0.0,0.09,0.15,0.12,73.05,33.85,44.48,1.06,34.0,2.0,4.0,EEUU MLS,4.0
Raúl Ruidíaz,0.5,0.28,50.0,2.83,0.06,0.0,0.06,0.17,0.06,79.4,40.0,42.65,1.06,18.0,3.0,4.0,EEUU MLS,4.0
Alexandre Pato,0.14,0.09,38.89,1.82,0.0,0.0,0.27,0.45,0.23,72.99,40.91,47.41,1.18,22.0,3.0,4.0,EEUU MLS,4.0
Johnny Russell,0.24,0.09,46.94,1.97,0.0,0.43,0.48,0.09,0.03,74.68,54.26,51.27,1.91,33.0,3.0,4.0,EEUU MLS,4.0
Dániel Sallói,0.24,0.14,45.88,2.48,0.0,0.0,0.45,0.17,0.1,76.35,21.74,42.13,1.34,29.0,2.0,4.0,EEUU MLS,4.0
Charles Sapong,0.15,0.18,52.78,1.56,0.0,0.0,0.26,0.18,0.15,69.85,55.22,51.11,1.56,34.0,3.0,4.0,EEUU MLS,4.0
Josef Martínez,0.35,0.19,66.67,1.88,0.12,0.0,0.04,0.12,0.15,83.62,36.36,39.73,0.54,26.0,2.0,4.0,EEUU MLS,4.0
Gyasi Zardes,0.3,0.39,64.0,1.61,0.0,0.0,0.0,0.15,0.06,77.54,42.96,50.4,1.21,33.0,3.0,4.0,EEUU MLS,4.0
Daniel Rios,0.26,0.15,54.17,1.41,0.07,0.0,0.04,0.11,0.04,75.97,43.14,45.02,0.89,27.0,2.0,4.0,EEUU MLS,4.0
Kacper Przybyłko,0.2,0.36,58.62,1.84,0.0,0.0,0.2,0.08,0.04,74.17,50.0,46.85,1.12,25.0,2.0,4.0,EEUU MLS,4.0
Kei Kamara,0.26,0.26,47.22,1.65,0.03,0.0,0.21,0.12,0.21,73.33,64.0,49.61,0.5,34.0,3.0,4.0,EEUU MLS,4.0
Leonardo Campana,0.42,0.35,34.62,2.08,0.12,0.0,0.08,0.12,0.04,79.48,37.04,34.41,0.62,26.0,1.0,4.0,EEUU MLS,4.0
Jhon Durán,0.3,0.33,34.48,2.22,0.07,0.0,0.11,0.07,0.11,70.47,48.48,47.01,1.81,27.0,1.0,4.0,EEUU MLS,4.0
Sebastián Ferreira,0.42,0.39,52.08,2.19,0.06,0.0,0.23,0.03,0.1,73.04,35.38,39.0,0.9,31.0,2.0,4.0,EEUU MLS,4.0
Sergio Córdova,0.32,0.41,49.02,1.79,0.09,0.0,0.15,0.06,0.03,71.72,41.4,46.67,1.35,34.0,2.0,4.0,EEUU MLS,4.0
Yuya Kubo,0.04,0.0,60.47,0.57,0.0,0.0,0.71,0.07,0.04,84.11,52.94,52.66,0.64,28.0,2.0,4.0,EEUU MLS,4.0
Fredy Montero,0.15,0.23,55.56,1.65,0.04,0.0,0.23,0.08,0.04,79.05,31.71,47.24,1.62,26.0,3.0,4.0,EEUU MLS,4.0
Kwadwo Opoku,0.22,0.24,55.07,1.62,0.0,0.0,0.22,0.3,0.08,83.98,35.0,44.44,0.76,37.0,1.0,4.0,EEUU MLS,4.0
Kerwin Calderón Vargas,0.0,0.08,50.0,1.31,0.0,0.0,0.08,0.08,0.0,81.82,10.0,47.46,0.92,13.0,1.0,4.0,EEUU MLS,4.0
Cory Burke,0.22,0.17,42.22,1.31,0.06,0.0,0.03,0.17,0.11,56.98,49.65,45.37,0.58,36.0,3.0,4.0,EEUU MLS,4.0
Lucas Cavallini,0.38,0.17,39.66,2.21,0.04,0.0,0.17,0.08,0.04,73.95,53.49,50.0,2.54,24.0,2.0,4.0,EEUU MLS,4.0
