Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ezequiel Piovi,0.0,4.375,0.78,0.0,1.52,0.78,0.67,0.07,0.07,4.256,8.642,1.0699999999999998,6.266,5.2170000000000005,4.902,0.56,1.26,27.0,3.0,3.0,Ecuador Serie A,3.0
Lorenzo Faravelli,0.08,2.5,1.17,0.0,1.38,0.25,0.54,0.21,0.25,4.3,9.001999999999999,1.117,7.1739999999999995,0.0,4.59,0.88,1.04,24.0,2.0,3.0,Ecuador Serie A,3.0
Willian Cevallos,0.18,2.857,1.76,0.049,0.29,0.29,0.35,0.18,0.06,1.918,7.853,0.624,6.351,2.0,3.0949999999999998,0.29,0.76,17.0,3.0,3.0,Ecuador Serie A,3.0
Mauricio Martínez,0.1,6.8180000000000005,1.24,0.0,1.0,0.43,0.43,0.1,0.05,3.224,8.331,0.833,6.25,7.059,5.893,0.86,0.57,21.0,2.0,3.0,Ecuador Serie A,3.0
Michael Carcelén,0.07,4.583,1.13,0.0,1.27,0.73,0.47,0.2,0.07,2.247,8.131,0.553,7.2219999999999995,5.455,5.755,1.67,0.53,15.0,2.0,3.0,Ecuador Serie A,3.0
Erick Plúas,0.0,5.909000000000001,0.38,0.0,1.83,0.72,0.38,0.03,0.03,2.9170000000000003,8.026,0.693,6.087,4.286,5.723,0.59,0.55,29.0,1.0,3.0,Ecuador Serie A,3.0
Lisandro Alzugaray,0.17,5.263,2.03,0.0,0.73,0.23,0.2,0.07,0.0,2.0,8.067,0.71,7.119,3.571,4.599,0.53,0.37,30.0,3.0,3.0,Ecuador Serie A,3.0
Juan Carlos Paredes,0.03,5.789,0.62,0.0,1.24,0.76,0.72,0.07,0.07,3.3,7.492,0.614,5.063000000000001,5.0,5.497999999999999,2.07,1.0,29.0,3.0,3.0,Ecuador Serie A,3.0
Cristhian Solano,0.23,5.714,1.83,0.0,1.33,0.5,0.43,0.1,0.1,1.973,7.314,0.567,5.143,4.068,5.411,1.93,0.87,30.0,1.0,3.0,Ecuador Serie A,3.0
Nixon Molina,0.13,6.5,1.17,0.0,0.43,0.43,0.35,0.0,0.0,1.9,7.62,0.678,4.627000000000001,4.286,5.656000000000001,1.74,0.65,23.0,2.0,3.0,Ecuador Serie A,3.0
Elvis Patta,0.03,2.778,0.77,0.0,1.27,1.03,0.4,0.2,0.07,2.463,7.05,0.71,4.4,2.8129999999999997,4.817,0.9,0.8,30.0,3.0,3.0,Ecuador Serie A,3.0
Thiago Serpa,0.0,10.0,0.07,0.0,1.71,1.07,0.36,0.14,0.0,3.436,8.794,0.386,5.313000000000001,5.0,6.470999999999999,1.07,1.14,14.0,1.0,3.0,Ecuador Serie A,3.0
Edison Caicedo,0.05,7.273000000000001,0.75,0.0,1.9,0.55,1.1,0.0,0.0,3.31,8.55,0.43499999999999994,6.733,4.545,5.776,1.85,1.35,20.0,3.0,3.0,Ecuador Serie A,3.0
