#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
140,,Giannis Konstantelias,0.1,0,27.27,44.04,1.3,1.4
141,,Georgios Mygas,0.34,0,62.07,54.76,1.62,1.86
142,,José Alberto Cañas,0.19,0,51.72,65.73,1.56,0.89
143,,Andreas Bouchalakis,0,0,0,37.5,0.33,1
144,,Petros Mantalos,0.17,0,40,45.63,0.73,1.1
145,,Diadié Samassékou,0.1,0,57.14,56.79,0.6,0.8
146,,Tasos Tsokanis,0.07,0,45.45,61.24,1.26,0.48
147,,Juan Iturbe,0.12,0,48.72,56.25,1.94,0.85
148,,Rubén Martínez,0.06,0,25,41.9,1.41,1.59
149,,Nélson Oliveira,0.13,0,32.5,43.08,1.72,1.09
150,,Theofanis Tzandaris,0.14,0,67.65,57.31,2.03,1.9
151,,Bradley Mazikou,0.11,0,46.43,62.58,1.68,0.75
152,,David Carmona,0.04,0,56,56.47,1,1.22
153,,Frederico Duarte,0.12,0,50,58.47,1.8,1.04
154,,Levan Shengelia,0.16,0,41.67,40,0.45,0.74
155,,Harold Mosquera,0,0,100,59.38,1,0
156,,Wajdi Kechrida,0.13,0,73.68,47.92,0.7,1.23
157,,Federico Gino,0.44,0,53.85,45.08,1.06,2.13
158,,Juan Muñiz,0.27,0,33.33,45.65,1.27,1.27
159,,Ivan Näsberg,0.08,0,69.23,60.61,0.67,0.67
160,,Guðmundur Þórarinsson,0.07,0,52.63,46.15,0.22,0.52
161,,Ahmed Hassan,0,0,50,50,0,1
162,,Christos Albanis,0,0,0,100,0,0
163,,Dereck Kutesa,0,0,0,0,0,0
164,,Konstantinos Doumtsios,0,0,0,0,0,0
165,,Zymer Bytyqi,0,0,100,100,0.5,0
166,,Régis,0,0,100,100,0,0
167,,Michalis Bakakis,0,0,60,62.86,1.2,1
168,,Sotiris Ninis,0,0,37.5,53.49,1.33,0.89
169,,Ousseynou Ba,0.11,0,43.48,54.55,0.74,1.05
170,,Assane Dioussé,0.09,0,65.22,53,1.45,1.21
171,,Jerónimo Barrales,0.29,0,51.89,51.39,1.64,1.79
172,,Facundo Sánchez,0.14,0,60,47.44,0.43,0.71
173,,Dorin Rotariu,0.07,0,70.37,56.3,0.93,0.19
174,,Paulo Vinícius,0.18,0.05,47.62,58.16,1,0.68
175,,Javier Mendoza,0.3,0,66.67,46.91,2.7,1.9
176,,Gerasimos Bakadimas,0,0,40,56.67,0.63,0.5
177,,Epameinondas Pantelakis,0.12,0.04,60,59.63,0.88,1
178,,Asier Benito,0,0,44,36.73,0.31,0.85
179,,Christos Tasoulis,0,0,50,53.95,1.17,1
180,,Stefan Schwab,0.19,0,52.27,47.06,0.77,1.13
181,,Alexander Jeremejeff,0.1,0,42.11,34.55,0.8,1.3
182,,Moses Odubajo,0.28,0,73.68,57.14,1.68,1.32
183,,Rubén García,0.09,0,12.5,46.81,1.09,0.91
184,,Panagiotis Liagas,0.1,0,48.78,60.49,0.6,0.3
185,,Adam Tzanetopoulos,0.11,0,63.64,58.14,0.67,1.11
186,,Adam Gnezda Čerin,0.12,0,35.48,38.53,0.94,1.91
187,,Jeison Medina,0.25,0,29.63,43.14,1,0.5
188,,Marvin Peersman,0.14,0,48.89,52.87,1.03,1.21
189,,Matej Marković,0.14,0,100,100,0.5,0.07
190,,Nicolas N'Koulou,0.06,0,44,41.94,0.29,1.12
191,,Claudiu Balan,0.15,0,50,50.56,1.7,1.37
192,,Youssef El Arabi,0.06,0,34.62,35.79,0.47,0.62
193,,Tomás De Vincenti,0.29,0.04,41.67,47.62,0.92,1.04
194,,Manssou Fofana,0,0,100,66.67,0.2,0
195,,Giannis Anestis,0.1,0,100,50,0,0.05
196,,Joan Sastre,0.29,0,54.55,52.8,1.08,1.21
197,,Alfredo Mejía,0.17,0,56,56.61,1.17,1.76
198,,Georgios Liavas,0.13,0,53.85,52.46,0.47,0.47
199,,Kevin Rosero,0.05,0,31.03,42.48,1.36,0.86
200,,Salem M'Bakata,0.04,0,50,59.26,1.09,0.43
201,,Nadrey Dago,0.06,0,25,49.56,1.13,1.31
202,,Stephen Kwabena Hammond,0.15,0,42.86,51.07,1.27,1.77
203,,Leroy Abanda,0.07,0,53.85,50,0.6,0.87
204,,Nikolaos Tsoukalos,0.14,0,33.33,50,0.14,0.29
205,,Lefteris Lyratzis,0.07,0,45.45,53.45,0.71,0.71
206,,Paolo Fernandes,0.15,0,66.67,35.8,0.7,1.11
207,,Brandon Thomas,0.1,0,36.36,40.71,0.69,0.97
208,,Triantafyllos Tsapras,0.12,0,50,53.52,0.81,0.62
209,,Pedro Conde,0,0,50,37.5,1.4,0.8
210,,André Ricardo,0,0,0,50,0,0.33
211,,Andre Gray,0.13,0,17.39,28.04,0.53,1
212,,Stavros Pilios,0.22,0,48.28,56.92,1.83,1
213,,Cristian Ganea,0,0,75,80,0.89,0.11
214,,Ognjen Ožegović,0.12,0,25,47.75,3.16,1.24
215,,László Kleinheisler,0.07,0,50,55.36,0.73,0.6
216,,Konstantinos Apostolakis,0.38,0,48.28,56.39,1.05,0.9
217,,Juan Munafo,0.46,0,33.33,44.78,0.42,1.21
218,,Sebá,0.09,0,38.46,48.55,0.86,0.95
219,,Jacques-Alaixys Romao,0.29,0.03,53.57,64.18,1.77,1.23
220,,Bojan Šaranov,0.05,0,100,75,0.15,0
221,,Walter Iglesias,0.48,0,74.07,49.11,0.76,1.95
222,,Giorgos Masouras,0.12,0,50,46.3,0.39,0.64
223,,Diamantis Chouchoumis,0.11,0,63.41,55.26,0.89,1
224,,Giorgos Nikas,0.17,0,45.92,41.57,0.73,2
225,,Marios Vrousai,0.21,0,37.5,55.88,0.74,0.42
226,,Maximiliano Lovera,0.08,0,10,49.61,0.96,0.63
227,,Lazar Romanić,0.08,0,71.43,56.99,2,1.08
228,,Kosmas Tsilianidis,0.18,0,45.45,42.86,0.27,0.55
229,,Joel Graterol,0,0,100,50,0.2,0
230,,Panagiotis Symelidis,0.18,0,50,63.33,2.09,0.82
231,,Miloš Deletić,0.22,0.03,19.23,45.34,2.84,1.97
232,,Georgios Vrakas,0.19,0,46.67,52.49,1.67,1.22
233,,Sito,0.15,0,33.33,50.7,1.12,0.65
234,,Richmond Boakye,0,0.13,50,43.75,0.5,0.5
235,,Juan Angel Neira,0.4,0,45.45,35.9,0.93,1.2
236,,Giannis Kiakos,0.13,0,36.36,48.44,1,1.38
237,,Alexandros Lolis,0.09,0,75,56,0.73,0.45
238,,Giorgos Pamlidis,0.14,0,37.5,37.7,1.21,1.36
239,,Jacob Une Larsson,0.1,0,59.57,59.43,0.19,0.65
240,,Garry Rodrigues,0,0,0,39.29,0.33,0.5
241,,Francesc Regis,0.17,0,52.38,42.06,1.04,0.87
242,,Panagiotis Tzimas,0.14,0,47.83,57.59,1.96,0.57
243,,August Erlingmark,0.25,0.04,33.33,41.79,0.58,1.46
244,,Luiz Phellype,0.11,0,14.29,28.57,0.56,0.78
245,,Miguel Ángel Guerrero,0.09,0,16.67,34.62,0.64,0.91
246,,Pipa,0.09,0,0,28.57,0.36,1
247,,Philip Zinckernagel,0,0,0,14.29,1,3
248,,Edwin Rodríguez,0,0,0,0,0,0
249,,Michalis Kosidis,0,0,100,100,0,0
250,,Vasilios Gordeziani,0,0,0,66.67,0.5,0
251,,Sarantis Tselebakis,0,0,0,0,0,0
252,,Tomáš Vaclík,0,0,0,0,0,0
253,,Kaiyne Woolery,0.11,0,41.67,46,1.33,1
254,,Patrick Bahanack,0.07,0,33.33,61.22,0.93,0.53
255,,Giorgos Vagiannidis,0,0,57.14,51.81,0.58,0.58
256,,Rafael Camacho,0.12,0,10,41.27,0.28,0.52
257,,Dimitrios Metaxas,0.19,0,44.44,50.75,0.24,0.67
258,,Hugo Sousa,0.06,0,53.57,51.28,0.44,1.17
259,,Bryan Dabo,0.19,0.04,66.67,61.64,1.52,0.85
260,,Georgios Valerianos,0.38,0.04,68.75,42.41,0.67,2.33
261,,Giannis Bouzoukis,0.05,0,37.5,53.73,0.71,0.48
262,,Cristopher Nunez,0.24,0,48.65,52.53,2.62,1.59
263,,Dimitris Konstantinidis,0.44,0,50,41.67,0.11,1.44
264,,Daniel Adejo,0.13,0,56.1,58.33,0.56,0.75
265,,Petros Giakoumakis,0,0,37.04,41.43,0.43,0.79
266,,Ahmad Mendes Moreira,0.23,0,34.48,33.81,1.03,1.32
267,,Viðar Örn Kjartansson,0.03,0,37.5,40.43,0.74,0.58
