#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
197,,Alfredo Mejía,0,0.07,29.59,74.94,4.07,39.46
198,,Georgios Liavas,0.07,0,30.13,77.21,4.13,43.06
199,,Kevin Rosero,0.05,0.09,14.32,66.98,4.32,28.57
200,,Salem M'Bakata,0.04,0.04,28.22,81.05,5.26,41.07
201,,Nadrey Dago,0,0,13,72.6,3.31,52.94
202,,Stephen Kwabena Hammond,0,0,32.08,75.3,6.77,49.63
203,,Leroy Abanda,0.07,0.07,24.93,66.31,3,25.35
204,,Nikolaos Tsoukalos,0.14,0.29,5.29,70.27,1.71,33.33
205,,Lefteris Lyratzis,0.07,0.14,29.07,80.34,6.86,43.9
206,,Paolo Fernandes,0.07,0.22,18.41,82.7,6.7,59.38
207,,Brandon Thomas,0.03,0,9.83,75.09,3.55,83.33
208,,Triantafyllos Tsapras,0.04,0.08,29.58,69.57,4.88,36.31
209,,Pedro Conde,0.2,0,9.2,67.39,1.2,100
210,,André Ricardo,0,0,5.67,100,2,100
211,,Andre Gray,0.16,0.06,8.28,72.45,2.56,77.78
212,,Stavros Pilios,0.09,0.09,35.65,68.29,5.04,31.48
213,,Cristian Ganea,0,0,15.44,82.73,1.78,56
214,,Ognjen Ožegović,0,0,12.08,67.22,2.32,61.54
215,,László Kleinheisler,0,0,12.87,80.31,3.47,40
216,,Konstantinos Apostolakis,0,0,25.86,78.64,3.62,50
217,,Juan Munafo,0.08,0,37.46,85.98,8.46,66.2
218,,Sebá,0.05,0.05,16.82,63.24,5,60.71
219,,Jacques-Alaixys Romao,0,0,40.61,83.88,4.42,56.65
220,,Bojan Šaranov,0,0,21.3,56.1,0.95,38.64
221,,Walter Iglesias,0.05,0,35,82.31,5.19,47.31
222,,Giorgos Masouras,0.06,0.03,13.97,77.44,4.36,51.85
223,,Diamantis Chouchoumis,0.04,0,31.26,71.56,4.37,48.51
224,,Giorgos Nikas,0,0,18.3,69.03,4.07,56.9
225,,Marios Vrousai,0,0,13.32,77.47,3.95,50
226,,Maximiliano Lovera,0.04,0.04,18.54,72.58,4.46,53.66
227,,Lazar Romanić,0.08,0,14.33,67.44,4.75,33.33
228,,Kosmas Tsilianidis,0.09,0,10.82,68.91,3.36,42.86
229,,Joel Graterol,0,0,24.6,65.04,0.8,34.85
230,,Panagiotis Symelidis,0,0,20.36,84.38,3.73,22.22
231,,Miloš Deletić,0.06,0.06,22.81,75.48,6.69,67.31
232,,Georgios Vrakas,0,0.04,15.81,68.38,3.78,26.09
233,,Sito,0.04,0.04,17.54,81.8,6.08,75.86
234,,Richmond Boakye,0,0,7.88,69.84,1.38,50
235,,Juan Angel Neira,0.07,0.07,16.87,77.87,6.73,83.33
236,,Giannis Kiakos,0,0,29.13,73.82,7,43.75
237,,Alexandros Lolis,0,0,9.82,71.3,3.27,46.67
238,,Giorgos Pamlidis,0.04,0.04,16.54,71.71,4.36,44.12
239,,Jacob Une Larsson,0.03,0.03,43.32,83.92,1.94,44.54
240,,Garry Rodrigues,0.06,0.06,7.78,77.86,2.94,66.67
241,,Francesc Regis,0.13,0.09,21.96,75.64,5.13,53.85
242,,Panagiotis Tzimas,0.07,0.07,12.64,69.21,2.96,37.5
243,,August Erlingmark,0,0,26.08,81.79,3.42,63.41
244,,Luiz Phellype,0,0,9.11,93.9,3.33,100
