Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Nikolaos Papadopoulos,0,0,100,0,0,0,0,0.08,0,0.77,0,0.04,0,0,30.46,62.37,1.85,39.63,2.81,0.38,0.15,0,0.92,0.15,0.04,0,85.71,83.33,0.19,0,26
Pep Biel,0.3,0.13,46.34,2.33,0,0,0.73,0.47,0,0.17,0,0.5,0.07,0.07,24.37,77.02,8.47,57.89,0,0.1,0,0,0.37,0.07,0.07,0.03,46.67,39.06,0.9,1.1,30
Apostolos Diamantis,0.07,0,83.33,0.47,0.07,0,0.57,1.97,0.03,3.47,0,0.13,0,0,50.03,85.74,5.3,56.6,0,0.27,0,0,0.93,0.1,0.2,0,55.56,46.79,0.33,1.13,30
Konstantinos Koulierakis,0.08,0.08,100,0.8,0.08,0,0.88,0.88,0.08,3.48,0.08,0.24,0,0.04,58.12,85.07,4.72,46.78,0,0.4,0,0,0.56,0.12,0.16,0,74,66.67,0.84,1,25
Laurens De Bock,0,0.03,71.43,0.52,0,0,2,1.86,0,1.79,0,0.55,0.07,0.07,41.69,83.29,6.14,60.22,0,0.17,0,0,1.07,0.14,0.31,0,57.14,56.82,0.34,1.07,29
Achilleas Poungouras,0,0,0,0.25,0,0,1.25,0.63,0,1.75,0,0.13,0,0,61,90.37,4.38,58.33,0,0.5,0,0,0.5,0,0,0,60,63.64,0.13,0.38,8
Lazaros Rota,0,0.1,54.17,0.77,0,0,1.77,0.94,0.03,0.71,0,0.48,0.06,0.03,40.29,86.23,11.61,59.35,0,0.42,0,0,0.42,0.03,0.16,0,46.43,55.34,1.1,1.06,31
Giorgos Athanasiadis,0,0,0,0,0,0,0.03,0,0,0.47,0,0,0,0,26.13,70.41,1.03,47.53,1.17,0.7,0.07,0,0.4,0.03,0.03,0,100,100,0.03,0,30
Thierry Moutinho,0.18,0.12,57.14,1.59,0,0.98,1.06,0.35,0,0.29,0,0.18,0.06,0.06,28.59,71.6,9.06,48.21,0,0.18,0,0,0.94,0.24,0.12,0,30.43,46.4,1.47,1.18,17
Jens Jønsson,0,0.03,58.33,0.62,0,0,1.15,0.79,0,0.5,0,0.35,0.12,0.06,36.38,84.72,9.15,73.38,0,0.35,0,0,0.32,0.06,0.09,0,53.33,56.18,0.91,0.82,34
Konstantinos Manolas,0,0,0,0,0,0,1.67,2,0,3.67,0,0,0,0,40.33,88.43,3.67,68.75,0,0,0,0,0.67,0.33,0,0,33.33,46.67,0.33,2.33,3
Taison,0.07,0,44.44,0.64,0,0,0.86,0.36,0,0.07,0,0.36,0.21,0.14,21.29,80.54,7.93,78.95,0,0,0,0,0.71,0.07,0.29,0,16.67,53.85,0.79,0.14,14
Andreas Gianniotis,0,0,100,0.03,0,0,0.03,0,0,1.13,0.03,0.03,0,0,28.45,63.83,1.39,40.15,2.97,0.19,0.23,0.06,0.97,0.13,0.06,0.03,90.91,85.71,0.35,0.03,31
Dmytro Chygrynskiy,0.04,0,0,0.27,0.04,0,1,1.69,0.04,4.04,0,0.19,0.04,0,39.35,83.48,2.96,66.19,0,0.31,0,0,1.23,0.27,0.19,0,62.69,56.16,0.58,1.42,26
Juanpi Añor,0.11,0,73.33,1.11,0,0,0.56,0.33,0,0,0,0.33,0.11,0.11,26.78,73.44,6.78,42.11,0,0,0,0,1.11,0.11,0.22,0,50,52.56,2.33,1.11,9
