#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
259,,Bryan Dabo,0.04,0.04,50,0.41,0,0
260,,Georgios Valerianos,0.04,0,57.14,0.13,0,0
261,,Giannis Bouzoukis,0,0,80,0.57,0,0
262,,Cristopher Nunez,0.1,0.03,48.78,0.48,0.03,0
263,,Dimitris Konstantinidis,0,0,0,0.44,0,0
264,,Daniel Adejo,0,0,0,0.19,0,0
265,,Petros Giakoumakis,0,0,12.5,1,0,0
266,,Ahmad Mendes Moreira,0.03,0.06,31.43,0.9,0,0
267,,Viðar Örn Kjartansson,0.19,0.16,0,1.23,0.03,0
268,,João Pedro Silva,0.17,0.07,25,0.47,0.03,0
269,,Georgios Koutsias,0.15,0,25,0.6,0,0
270,,Christos Shelis,0,0,66.67,0.25,0,0
271,,Georgios Tzovaras,0.12,0.04,66.67,0.4,0,0
272,,Angelos Liasos,0.09,0,50,0.3,0,0
273,,Bandiougou Fadiga,0.04,0,66.67,0.71,0,0
274,,Fiorin Durmishaj,0.08,0,0,0.92,0,0
275,,Jorge Díaz,0,0,59.09,0.43,0,0
276,,Benjamin Verbič,0.08,0,24.14,0.92,0.04,0
277,,Lefteris Choutesiotis,0,0,0,0,0,0
278,,Marios Siabanis,0,0,0,0,0,0
279,,Antonis Tsiftsis,0,0,100,0,0,0
280,,Petros Bagalianis,0,0,0,0.5,0,0
281,,Cheick Doukouré,0,0,50,0.44,0,0
282,,Luis Perea,0.04,0.04,70.59,0.65,0.04,0
283,,Facundo Bertoglio,0,0.05,52.17,0.68,0,0
284,,Johan Martensson,0,0,100,0.15,0,0
285,,Vykintas Slivka,0.03,0,53.33,0.41,0,0
286,,Sebastian Grønning,0.13,0.13,100,0.63,0,0
287,,Giannis Kargas,0,0,0,0.63,0,0
288,,Sebastian Mladen,0,0,33.33,0.26,0,0
289,,Nicolás Mezquida,0.04,0.04,30,0.78,0,4.35
290,,Giorgos Kosteas,0.09,0,75,0.09,0.09,0
291,,Marios Tzavidas,0.06,0.03,25,0.42,0.03,0
292,,Gerónimo Bortagaray,0,0,0,0.17,0,0
