#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
137,,Tom Bradshaw,0.05,0.1,12.02,57.2,3.07,27.27
138,,Bartosz Białkowski,0,0,23.8,49.16,1.7,40
139,,Joe Williams,0.18,0.06,33.73,77.54,7.64,50.31
140,,Alex Palmer,0,0,29.13,64.78,1.17,34.56
141,,Tomáš Vaclík,0,0,26.62,38.44,1.77,29.9
142,,Olivier Ntcham,0.07,0.07,32.2,87.88,10.73,61.54
143,,Craig Cathcart,0,0.04,52.39,79.48,4.68,42.35
144,,Ameen Al-Dakhil,0.25,0,71,89.79,5.13,61.4
145,,Luke Garbutt,0,0,28.13,72.89,5.5,43.48
146,,Thomas Cannon,0.2,0.05,12.45,65.06,3.85,50
147,,Josh Laurent,0.09,0.09,34.56,76.94,8.75,55
148,,Kenny McLean,0.14,0.09,58.97,80.28,12.57,47.51
149,,Tom Lees,0,0.02,41.62,74.94,3.38,38.19
150,,Perry Ng,0.07,0.05,43.49,77.01,6.42,41.54
151,,Dimitrios Giannoulis,0.04,0.04,34.38,75.73,5.85,31.33
152,,Cameron Pring,0.16,0.19,40.28,70.21,5.16,33.89
153,,Marcelino Núñez,0.05,0.05,28.92,80,8.59,61.29
154,,Tobi Adeyemo,0.25,0,3.5,64.29,0.75,0
155,,Chris Basham,0.03,0.07,31,77.64,4.55,37.6
156,,Ben Gibson,0.04,0.04,54.7,83.47,3,46.28
157,,Aaron Rowe,0,0,11,45.45,1,0
158,,Axel Tuanzebe,0,0,38,90.13,2.75,66.67
159,,Dael Fry,0,0,50.17,81,2,34.55
160,,Freddie Woodman,0,0,27.85,53.63,1.41,33.71
161,,Kenneth Paal,0.13,0.1,37.1,77.49,7.93,30.95
162,,Josh Eccles,0.12,0.06,30.53,74.57,6.26,35.07
163,,Juninho Bacuna,0.21,0.14,21,68.99,6.67,43.21
164,,James McAtee,0.16,0.08,18.46,77.45,7.14,36.17
165,,Krystian Bielik,0.09,0.03,35.03,79.93,6.57,63.16
166,,Hayden Hackney,0.09,0.12,59,88.98,13.09,55
167,,Theo Corbeanu,0.06,0.06,10.59,73.89,3.94,30
168,,Charlie Taylor,0.06,0.03,43,85.98,2.73,43.35
169,,Alfie Jones,0,0,55.2,82.93,2.7,40.82
170,,Aynsley Pears,0,0,31.39,67.61,0.67,32.08
171,,Joel Latibeaudiere,0.09,0.09,50.56,90.63,9.06,67.47
172,,Tyler Morton,0.18,0.05,44.7,82.44,7.13,53.67
173,,Stefan Johansen,0.21,0.21,31.31,79.96,6.03,41.53
174,,Scott Wharton,0,0,43.59,80.19,1.59,48.52
175,,Lukas Jutkiewicz,0.05,0.05,12.53,45.64,3.16,38.46
176,,Martin Kelly,0,0,31.67,83.16,1.33,39.29
177,,Ben Cabango,0.05,0,75.3,89.19,6.63,45.89
178,,Leon Balogun,0,0,31.31,74.65,1,36.59
179,,Kenny Dougall,0.11,0.06,26.97,72.71,5.56,42.22
180,,Anthony Patterson,0.04,0.02,26.46,60.64,0.8,35.01
181,,Zak Vyner,0.07,0.07,52.93,77.29,4.13,41.13
182,,Lyndon Dykes,0.05,0.05,17.9,55.59,4.95,64.29
183,,Daryl Dike,0.04,0.04,8.65,63.32,2.22,66.67
184,,Reece Burke,0,0,28.55,68.3,6.65,39.5
185,,Amari'i Bell,0.07,0.02,32.75,72.87,7.59,37.22
186,,Jake Clarke-Salter,0,0,46.94,77.1,3.13,34.23
187,,Kieran Dowell,0.26,0.13,22.22,75.93,7.48,50
188,,Francisco Sierralta,0,0,40.28,83.59,1.17,40.96
189,,Callum Doyle,0,0.02,40.22,74.29,4.17,39.06
190,,Chris Willock,0.11,0.07,20.96,84.67,8.61,66.67
191,,Brad Potts,0.08,0.05,32.67,73.47,7.05,36.88
192,,Gabriel Osho,0.07,0,27.22,71.84,4.48,37.95
193,,Jerry Yates,0.22,0.1,16.54,74.04,4.98,48.48
194,,Ethan Horvath,0,0,27.52,48.55,3.25,37.01
195,,Ryan Hedges,0.14,0.09,25.49,74,6.53,40.34
196,,Andrew Hughes,0.07,0.07,39.8,73.95,5.1,37.09
197,,Kyle Bartley,0,0,31.23,77.59,1.31,21.15
198,,Harlee Dean,0,0,26.38,68.48,2.13,34.12
199,,Alan Browne,0.11,0.06,28.33,71.57,6.11,50
200,,Max O'Leary,0,0,33.27,53.46,1.45,30.61
201,,Jed Wallace,0.28,0.17,27.46,75.61,9,45.1
202,,Callum O'Dowda,0.13,0.08,28.77,72.37,6,39.53
203,,Yuta Nakayama,0.07,0,40.57,79.4,4.14,45.07
204,,Halil Dervişoğlu,0.25,0,2.63,71.43,1,0
205,,Jimmy Dunne,0.03,0,47.95,74.5,3.3,32.36
206,,Isaac Hayden,0,0,33.93,80.84,3,59.57
207,,Connor Taylor,0,0,40.14,81.49,3.21,43.08
208,,Jacob Lungi Sørensen,0.05,0.05,38.53,82.1,4.05,41.3
209,,Edo Kayembe,0,0,47.1,84.43,8.81,58.25
210,,Sean Morrison,0,0,13.5,40.74,1,33.33
211,,Duane Holmes,0.22,0.07,18.56,77.45,4.74,43.9
212,,Christ Junior Tiehi,0,0,32.21,86.11,5.74,66.67
213,,Sam Byram,0,0,46.07,77.28,8.13,33.78
214,,Lewis Fiorini,0.15,0.15,30.38,65.57,6.23,38.82
215,,Danel Sinani,0.08,0.08,23.96,79.61,7.19,39.62
216,,Grant Hall,0,0,30.05,72.71,2.9,38.37
217,,Ryan Leonard,0.18,0.06,19.88,66.86,2.88,36.21
218,,Jordan Thompson,0.09,0,23.15,75.22,4.85,38.17
219,,George Honeyman,0.11,0.08,16.95,75.62,3.82,37.5
220,,Zack Steffen,0.02,0.02,31.07,72.72,0.67,36.42
221,,Ken Sema,0.2,0.23,23.48,74.23,6.23,31.68
222,,João Ferreira,0.2,0,16.4,69.51,3,66.67
223,,William Troost-Ekong,0,0,44,81.06,1.33,49.21
224,,Tyler Roberts,0.11,0,20.22,72.8,6.39,25
225,,Dion Sanderson,0.06,0.03,30.77,77.57,2.71,45.02
226,,John Ruddy,0,0,28.91,47.3,3.37,38.66
227,,Ashley Barnes,0.08,0.08,11.41,65.17,2.85,52.94
228,,Harry Darling,0.1,0.03,62.94,90.67,7.48,39.2
229,,Marvelous Nakamba,0,0,33.35,80.78,7.41,46.55
230,,Patrick Roberts,0.24,0.17,30.48,82.27,11.31,51.81
231,,Grady Diangana,0.19,0.1,26.03,80.17,10.16,42.31
232,,Callum Elder,0.1,0.1,26.45,71.58,4.55,31.75
233,,Tom Trybull,0,0,19.33,81.03,3,83.33
234,,Matthew Clarke,0,0,37.17,75.34,5.5,25.64
235,,Jordan Clark,0.11,0.11,28.5,71.65,8.37,48.61
236,,Josef Bursik,0.06,0,28.06,56.57,1.13,31.32
237,,Riley McGree,0.19,0.07,35.58,82.68,13.23,53.23
238,,Charlie Hughes,0,0,41.95,73.66,3.7,36.04
239,,Danny Batth,0.03,0.03,45.83,80.91,0.93,40.98
240,,Charlie Patino,0.09,0.12,33.59,71.45,6.94,43.37
241,,Lewis Travis,0.05,0.05,41.69,81.04,7.76,50.68
242,,Semi Ajayi,0,0,39.86,84.15,2.64,48.74
243,,Matty James,0.06,0,39.21,83.35,6.44,48.89
244,,Tahith Chong,0.13,0.13,17.79,75.3,6.63,35.09
245,,Alex Scott,0.1,0.1,33.55,79.35,8.5,56.69
246,,Jamie Paterson,0.17,0.09,17.04,81.63,5.96,59.26
247,,Louie Watson,0,0,23.2,89.66,4.2,50
248,,Thomas Holmes,0.03,0,37.43,77.02,2.93,46.75
249,,Nathan Tella,0.1,0.13,15.67,79.38,6.05,53.13
250,,Joe Gelhardt,0.11,0.17,15.61,79.36,4,70
251,,Joe Ralls,0.1,0.05,27.68,77.53,7.44,39.57
252,,Oliver Rathbone,0.05,0.05,25.42,70.29,7.26,40.41
253,,Jay Fulton,0.11,0.03,52.53,88.98,8.82,43.75
254,,Billy Mitchell,0.03,0.03,40.44,81.11,9.39,57.22
255,,Erik Pieters,0,0,49.17,82.82,3.94,44.4
256,,Andreas Weimann,0.21,0.12,19.51,72.11,5.05,36.11
