#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
161,,Kenneth Paal,0.03,0.03,58.33,0.3,0.03,0
162,,Josh Eccles,0.03,0,47.83,0.71,0,0
163,,Juninho Bacuna,0.05,0.05,50.52,1.53,0,0.29
164,,James McAtee,0.24,0.05,57.35,1.16,0,0
165,,Krystian Bielik,0.03,0.03,75,0.51,0.03,0
166,,Hayden Hackney,0.09,0,63.04,1,0,0
167,,Theo Corbeanu,0.18,0.06,59.68,1.53,0,0
168,,Charlie Taylor,0,0,40,0.12,0,0
169,,Alfie Jones,0,0.05,55.56,0.43,0,0
170,,Aynsley Pears,0,0,0,0,0,0
171,,Joel Latibeaudiere,0.06,0.03,52.94,0.5,0.03,0
172,,Tyler Morton,0,0.03,54.84,0.43,0,0
173,,Stefan Johansen,0.07,0.03,100,0.48,0,0
174,,Scott Wharton,0.05,0,50,0.5,0.05,0
175,,Lukas Jutkiewicz,0.12,0.05,80,1.35,0.07,0
176,,Martin Kelly,0,0,0,0.17,0,0
177,,Ben Cabango,0.05,0.09,80,0.81,0.02,0
178,,Leon Balogun,0.06,0,61.54,0.31,0.06,0
179,,Kenny Dougall,0.08,0.03,40,0.5,0,0
180,,Anthony Patterson,0,0,100,0.02,0,0
181,,Zak Vyner,0.02,0.09,77.78,0.31,0.02,0
182,,Lyndon Dykes,0.21,0.26,36.96,2.08,0.08,0
183,,Daryl Dike,0.3,0.26,47.37,1.91,0.13,0
184,,Reece Burke,0.1,0,66.67,0.1,0,0
185,,Amari'i Bell,0.02,0.05,51.43,0.34,0,0
186,,Jake Clarke-Salter,0,0,25,0.19,0,0
187,,Kieran Dowell,0.22,0.13,76.19,0.91,0,0
188,,Francisco Sierralta,0.06,0.11,66.67,0.44,0.06,0
189,,Callum Doyle,0,0.02,59.09,0.32,0,0
190,,Chris Willock,0.21,0.04,62.32,1.71,0,0
191,,Brad Potts,0.1,0.1,60,0.82,0.03,0
192,,Gabriel Osho,0.07,0.04,58.82,0.67,0,0
193,,Jerry Yates,0.34,0.2,53.23,1.61,0.1,0
194,,Ethan Horvath,0,0,0,0,0,0
195,,Ryan Hedges,0.09,0.07,45.16,0.86,0,0
196,,Andrew Hughes,0.07,0.03,53.33,0.5,0,0
197,,Kyle Bartley,0.15,0,33.33,1,0.15,0
198,,Harlee Dean,0.06,0,50,0.25,0.06,0
199,,Alan Browne,0.03,0.06,44.83,0.83,0.03,0
200,,Max O'Leary,0,0,0,0,0,0
201,,Jed Wallace,0.13,0.11,42.18,1.85,0,0
202,,Callum O'Dowda,0.08,0.05,53.23,0.82,0.03,0
203,,Yuta Nakayama,0.14,0.21,33.33,1,0.07,0
204,,Halil Dervişoğlu,0.13,0,66.67,0.25,0,0
205,,Jimmy Dunne,0.05,0.05,90.91,0.65,0,0
206,,Isaac Hayden,0,0,75,0.64,0,0
207,,Connor Taylor,0,0,57.14,0.14,0,0
208,,Jacob Lungi Sørensen,0.05,0,50,0.16,0,0
209,,Edo Kayembe,0,0,83.87,0.95,0,0
210,,Sean Morrison,0,0,0,0,0,0
211,,Duane Holmes,0.07,0.04,48.39,0.93,0,0
212,,Christ Junior Tiehi,0,0,63.33,0.53,0,0
213,,Sam Byram,0.07,0.07,58.33,0.4,0,0
214,,Lewis Fiorini,0.08,0,61.54,1.38,0,0
215,,Danel Sinani,0.04,0.04,82.35,1.38,0,0
216,,Grant Hall,0,0.05,80,0.3,0,0
217,,Ryan Leonard,0,0,55.56,0.47,0,0
218,,Jordan Thompson,0,0,50,0.26,0,0
219,,George Honeyman,0.03,0.05,32,0.39,0,0
220,,Zack Steffen,0,0,0,0,0,0
221,,Ken Sema,0.1,0.05,41.57,0.68,0,0
222,,João Ferreira,0.2,0,50,0.8,0,0
223,,William Troost-Ekong,0.07,0,100,0.33,0,0
224,,Tyler Roberts,0.17,0.22,62.5,2.06,0.06,0
225,,Dion Sanderson,0.06,0,41.67,0.35,0,0
226,,John Ruddy,0,0,100,0.02,0,0
227,,Ashley Barnes,0.18,0.21,40,1.56,0.03,0
228,,Harry Darling,0.13,0.13,64.29,1.39,0.06,0
229,,Marvelous Nakamba,0,0,54.55,0.35,0,0
230,,Patrick Roberts,0.12,0.05,46.98,1.31,0,0
231,,Grady Diangana,0.13,0.13,39.53,1.26,0,0
232,,Callum Elder,0,0,54.55,0.14,0,0
233,,Tom Trybull,0,0,0,0,0,0
234,,Matthew Clarke,0,0.17,100,0.83,0,0
235,,Jordan Clark,0.05,0.03,45.78,1.53,0,0
236,,Josef Bursik,0,0,0,0,0,0
237,,Riley McGree,0.14,0.16,47.62,1.74,0,0
238,,Charlie Hughes,0.05,0.05,88.89,0.45,0.05,0
239,,Danny Batth,0,0.08,100,0.5,0,0
240,,Charlie Patino,0.06,0,61.76,0.44,0,0
241,,Lewis Travis,0.05,0,55.56,0.29,0,0
242,,Semi Ajayi,0.09,0,50,0.64,0,0
243,,Matty James,0,0,64,0.29,0,0
244,,Tahith Chong,0.11,0.11,40.86,1.53,0.03,0
245,,Alex Scott,0.02,0.02,50,0.83,0,0
246,,Jamie Paterson,0,0.04,45.71,0.91,0,0
247,,Louie Watson,0,0,66.67,0,0,0
248,,Thomas Holmes,0,0.03,40,0.48,0,0
249,,Nathan Tella,0.44,0.18,39.77,1.85,0.1,0
250,,Joe Gelhardt,0.17,0.28,50,1.83,0.06,0
251,,Joe Ralls,0.02,0.05,56.25,0.83,0,0
252,,Oliver Rathbone,0.11,0,78.05,0.95,0,0
253,,Jay Fulton,0.08,0.03,57.69,0.79,0,0
254,,Billy Mitchell,0,0,60,0.64,0,0
255,,Erik Pieters,0,0,100,0.14,0,0
256,,Andreas Weimann,0.14,0.14,59.46,0.93,0,0
257,,Andrew Omobamidele,0.03,0,75,0.18,0,0
258,,James Morris,0,0,60,0.08,0,0
259,,Antoine Semenyo,0.26,0.13,56.41,1.65,0,0
260,,Tommy Smith,0,0.03,33.33,0.5,0,0
261,,Corry Evans,0,0,71.43,0.71,0,0
262,,Ben Brereton Díaz,0.33,0.19,37.5,2.49,0.02,0.47
263,,Troy Deeney,0.21,0.12,38.1,0.97,0,0
264,,Ched Evans,0.35,0.15,40.91,1.65,0.15,0
265,,Scott Twine,0.21,0.21,28.57,1.86,0,2.86
266,,Darnell Furlong,0.05,0.08,50,0.85,0.03,0
267,,Cesare Casadei,0.07,0.07,33.33,0.93,0,0
268,,Oliver Cooper,0.12,0.07,46.81,0.95,0,0
269,,Jayson Molumby,0.09,0.05,41.94,0.95,0.05,0
270,,Jay Dasilva,0,0.03,58.93,0.41,0,0
271,,Teemu Pukki,0.24,0.24,40.23,2.56,0.02,0
272,,Chris Maxwell,0,0,0,0,0,0
273,,Jake Bidwell,0.02,0.11,16.67,0.56,0.02,0
274,,Dan Neil,0.04,0,44.83,0.71,0,0
275,,Junior Hoilett,0.03,0,48.98,0.97,0,0
276,,Lee Peltier,0.03,0,75,0.21,0.03,0
277,,Ismaïla Sarr,0.26,0.33,42.74,2.08,0.05,0
278,,Chiedozie Ogbene,0.21,0.13,48.33,1.44,0.1,0
279,,Luke O'Nien,0.05,0,58.33,0.41,0,0
280,,Jonathan Howson,0,0,52.63,0.23,0,0
281,,Liam Cullen,0.28,0.1,25,1,0.07,0
282,,Alistair McCann,0,0,41.67,0.71,0,0
283,,Lucas João,0.21,0,51.72,0.91,0.06,0
284,,Murray Wallace,0,0.05,61.7,0.95,0,0
285,,Nahki Wells,0.24,0.22,32.84,1.64,0.04,0
286,,Sory Kaba,0.47,0.53,59.09,2,0.18,0
287,,Harry Pickering,0.03,0,47.62,0.18,0,0
288,,Jordan Thorniley,0.03,0,50,0.5,0.03,0
289,,Tolaji Bola,0,0,0,0,0,0
290,,Emmanuel Dennis,0,0,43.75,1.5,0,0
291,,Dylan Kadji,0,0,100,0,0,0
292,,John Clarke,0,0,0,0,0,0
293,,Gary Madine,0.15,0.22,53.33,1.48,0.07,0
294,,Ryan Ledson,0.03,0,50,0.25,0,0
295,,Andreas Voglsammer,0.07,0.15,23.81,1.12,0,0
296,,Ben Osborn,0.05,0.05,69.23,0.8,0,0
297,,Wesley Foderingham,0,0,0,0,0,0
298,,Cyrus Christie,0.11,0.04,42.86,0.96,0,0
299,,Sonny Bradley,0,0.05,0,0.42,0,0
300,,Maxime Colin,0.05,0.07,53.06,0.39,0.02,0
301,,Amadou Salif Mbengue,0.04,0,50,0.19,0.04,0
302,,Bailey Peacock-Farrell,0,0,0,0,0,0
303,,Ben Pearson,0,0,58.33,0.57,0,0
304,,Jamie Allen,0.16,0.05,44.83,1,0,0
305,,Matthew Pearson,0.28,0.06,50,0.72,0.11,0
306,,Alex Mowatt,0,0.03,57.14,0.55,0,0
307,,Matheus Martins,0,0.17,38.46,1.33,0,0
308,,Paddy McNair,0.03,0.07,33.33,0.5,0,0
309,,Nathan Wood,0,0.03,66.67,0.15,0,0
310,,Tim Krul,0,0,0,0,0,0
311,,Aaron Connolly,0.4,0.6,0,2,0,0
312,,Dwight Gayle,0.09,0.26,16.67,1.31,0.03,0
313,,Jordan Graham,0,0.04,42.31,0.48,0,0
314,,Luke Cundle,0.09,0.03,25,0.59,0,0
315,,Marvin Ekpiteta,0.04,0,40,0.36,0,0
316,,Max Aarons,0.02,0.02,46.49,0.44,0,0
317,,Regan Slater,0.11,0.05,41.27,1.02,0,0
318,,Dennis Cirkin,0.18,0,40,0.54,0.11,0
319,,Joe Rankin-Costello,0.08,0.08,54.35,1.5,0,0
320,,George Baldock,0.03,0.06,51.61,0.42,0,0
321,,Neil Etheridge,0,0,0,0,0,0
322,,Matt Godden,0.27,0.2,11.76,1.63,0.03,0
323,,Robert Dickie,0,0.08,66.67,0.61,0,0
324,,Sam Hutchinson,0,0,25,0.09,0,0
325,,Sorba Thomas,0,0.08,28.95,0.68,0,0
326,,Jeremy Ngakia,0,0,66.67,0.5,0,0
327,,Jack Cork,0,0,60.87,0.23,0,0
328,,George Long,0,0,100,0,0,0
329,,Joe Allen,0.04,0.04,61.54,0.52,0,0
330,,Sam Gallagher,0.24,0.15,25.81,1.29,0.09,0
331,,Jordan Hugill,0.2,0.28,14.29,1,0.08,0
332,,Josh Ruffels,0.09,0.03,18.18,0.42,0,0
333,,Tyler Blackett,0,0,100,0,0,0
334,,Bailey Wright,0,0.05,100,0.05,0,0
335,,Álvaro Fernández,0,0.05,65.38,0.72,0,0
336,,Óscar Estupiñán,0.37,0.37,40.91,1.86,0.09,0
337,,Will Keane,0.28,0.23,62.71,1.47,0.07,0
338,,Jack Bonham,0,0,0,0,0,0
339,,Ismael Koné,0,0.06,88,0.75,0,0
340,,Josh Koroma,0.21,0.05,46.51,1.47,0,0
341,,Lyle Foster,0.09,0.18,33.33,0.91,0,0
342,,Timm Klose,0,0,0,0.2,0,0
343,,Tom McIntyre,0.05,0,52.17,0.53,0.05,0
344,,Tyrese Campbell,0.22,0.2,32.63,2.02,0,0
345,,Mark Sykes,0.14,0.06,32.86,0.81,0,0
346,,John Buckley,0,0,59.09,0.19,0,0
347,,Jordan Rhodes,0.15,0.18,12.5,1.24,0,0
348,,Pelly Ruddock Mpanzu,0.1,0,56.82,0.67,0,0
349,,Romaine Sawyers,0.08,0,48.28,0.49,0,0
350,,Jack Rudoni,0.04,0.02,46.08,1.24,0,0
351,,Daniel Johnson,0.03,0.03,46.43,0.59,0,0
352,,Tom Cleverley,0.25,0,50,0.25,0,0
353,,Admiral Muskwe,0,0,50,1,0,0
354,,Ryan Andrews,0,0,66.67,0.83,0,0
355,,Samuel Kalu,0,0.11,60,0.56,0,0
356,,Curtis Nelson,0.04,0.04,66.67,0.48,0,0
357,,Ozan Tufan,0.19,0.1,45.45,1.29,0,0
358,,Tommy Conway,0.26,0.24,42.86,1.18,0.12,0
359,,Sammie Szmodics,0.15,0.09,39.39,1.29,0,0
360,,Tim Iroegbunam,0.06,0.03,45.31,1.22,0,0
361,,Andy King,0,0.04,75,0.35,0,0
362,,Marcus Forss,0.26,0.05,39.39,1.16,0,0
363,,Jason Kerr,0,0,33.33,0.44,0,0
364,,Vakoun Issouf Bayo,0.17,0.29,44.44,1.21,0,0
365,,Liam Walsh,0,0,28.57,0.43,0,0
366,,Aaron Drewe,0,0,50,0,0,0
367,,Tyrhys Dolan,0.1,0.05,41.67,1.1,0,0
368,,Callum Robinson,0.19,0.15,41.3,2.27,0.04,0
369,,Cameron Humphreys,0,0.03,75,0.05,0,0
370,,Connor Wickham,0.08,0.08,100,0.92,0.08,0
371,,Enda Stevens,0,0,37.5,0.67,0,0
372,,Mamadou Loum,0.03,0,61.7,0.83,0.03,0
373,,Jaden Philogene-Bidace,0.11,0.11,54.95,1.84,0,0
374,,Luke Berry,0.14,0.05,30,0.86,0,0
375,,Jordan Lawrence-Gabriel,0,0.05,58.82,0.3,0,0
376,,Patrick Bauer,0,0,0,0.33,0,0
377,,Rodrigo Muniz,0.12,0.12,46.15,1.65,0.12,0
378,,Morgan Rogers,0.05,0.15,52.24,1.2,0,0
379,,Etienne Camara,0,0,70,0.15,0,0
380,,Andrew Fisher,0,0,0,0,0,0
381,,Daniel Ward,0.14,0.17,44.44,1.47,0,0
382,,Charlie Wyke,0.11,0.06,0,0.72,0.06,0
383,,Callum Styles,0.05,0,56.25,0.73,0,0
384,,Femi Azeez,0,0,63.64,0.65,0,0
385,,Oliver Burke,0.12,0.06,31.82,1.29,0,0
386,,Michael Rose,0,0.04,33.33,0.25,0,0
387,,Elliot Embleton,0.09,0,56.52,1.04,0,0
388,,Tomáš Kalas,0,0,0,0.13,0,0
389,,Josh Bowler,0.16,0.04,53.57,2.12,0,0
390,,John Fleck,0.04,0,47.06,0.27,0,0
391,,Dujon Sterling,0,0,54.84,0.19,0,0
392,,Lynden Gooch,0.03,0,54.72,0.63,0,0
393,,Rhys Norrington-Davies,0,0.07,44.44,0.4,0,0
394,,Lewie Coyle,0,0,55.56,0.41,0,0
395,,Danny McNamara,0,0,52,0.19,0,0
396,,Shane Ferguson,0.1,0.03,50,0.39,0,0
397,,Matthew Lowton,0,0,100,0.38,0,0
398,,Keinan Davis,0.21,0.26,51.81,1.65,0,0
399,,Jonathan Hogg,0,0,71.43,0.27,0,0
400,,Steven Benda,0,0,100,0,0,0
401,,Daniel Bentley,0,0,0,0,0,0
402,,Scott Hogan,0.27,0.32,29.41,1.54,0.05,0
403,,George Friend,0,0,33.33,0.17,0,0
404,,Hakeem Odofin,0.17,0.09,50,1,0.04,0
405,,Georgie Kelly,0.14,0.07,25,0.9,0,0
406,,Isaiah Jones,0.09,0.06,36.89,0.68,0,0
407,,Emil Riis Jacobsen,0.21,0.29,34.38,1.54,0.04,0
408,,Nathaniel Chalobah,0,0,66.67,0.54,0,0
409,,Seny Dieng,0.02,0,0,0.04,0.02,0
410,,Kion Etete,0.11,0.18,62.16,1.29,0,0
411,,Ryan Allsop,0,0,66.67,0,0,0
412,,Tom Naylor,0.06,0.03,57.14,0.81,0.06,0
413,,Matt Phillips,0.08,0.04,45.45,0.72,0,0
414,,Ovie Ejaria,0,0,57.14,0.25,0,0
415,,Nesta Guinness-Walker,0,0.04,52.27,0.29,0,0
416,,Tyler Smith,0.21,0,28.57,0.64,0,0
417,,Josh Tymon,0.04,0,42.86,0.61,0,0
418,,Wes Harding,0.02,0.05,44,0.33,0,0
419,,Jewison Bennette,0.07,0,50,0.4,0,0
420,,Marc Albrighton,0,0,61.11,0.29,0,0
421,,Jayden Bogle,0.1,0.05,42.86,1.05,0,0
422,,Callum Brittain,0,0.11,44.44,0.22,0,0
423,,Yakou Méïté,0.15,0.22,36.36,1.44,0,0
424,,Taylor Gardner-Hickman,0.06,0,52.17,0.35,0,0
425,,Hannibal Mejbri,0.03,0.03,37.5,0.37,0,0.66
426,,Benjamin Tetteh,0.07,0.13,42.11,0.87,0,0
427,,Ben Jackson,0.05,0,36.36,0.74,0,0
428,,Jake Livermore,0.06,0,0,0.41,0,0
429,,Sam McCallum,0,0,31.25,0.52,0,0
430,,Joe Lumley,0,0,0,0.02,0,0
431,,Jordan Amissah,0,0,0,0,0,0
432,,Jonathan Tomkinson,0,0,0,0,0,0
433,,Coniah Boyce-Clarke,0,0,0,0,0,0
434,,Vontae Daley-Campbell,0,0,0,0,0,0
435,,Chris Sze,0,0,0,0,0,0
436,,Sam Cosgrove,0,0,0,1,0,0
437,,Jonathan Rowe,0,0,100,1,0,0
438,,CJ Egan-Riley,0,0,0,0.33,0,0
439,,Dominic Thompson,0,0,40.74,0.11,0,0
440,,Nathan Broadhead,0.23,0,50,0.91,0.05,0
441,,Tobias Figueiredo,0,0.09,60,0.18,0,0
442,,Cohen Bramall,0.03,0,52.38,0.41,0,0
443,,Nick Powell,0.16,0.2,38.46,1.2,0.04,0
444,,Kyle Naughton,0,0.04,22.22,0.24,0,0
445,,Xavier Simons,0,0,75,0.42,0,0
446,,Chris Martin,0.15,0.09,28.57,0.88,0.09,0
447,,Onel Hernández,0.05,0.1,51.33,0.92,0,0
448,,Duncan Watmore,0.22,0.11,41.89,1,0,0
449,,Tyrese Fornah,0.06,0,47.62,0.63,0.03,0
450,,Ethan Laird,0.03,0.06,31.34,0.72,0,0
451,,Tendayi Darikwa,0,0,70.27,0.38,0,0
452,,Vitinho,0.09,0.06,32.08,0.83,0.09,0
453,,Ashley Fletcher,0.08,0.08,50,0.81,0,0
454,,Marc Bola,0,0,35,0.4,0,0
455,,Andy Yiadom,0,0,53.33,0.51,0,0
456,,James Husband,0,0,43.75,0.28,0,0
457,,Jacob Brown,0.18,0.29,29.41,1.66,0.03,0
458,,Liam Gibbs,0.03,0,71.43,0.41,0,0
459,,Harry Clarke,0.11,0,46.43,0.56,0.11,0
460,,Faustino Anjorin,0.25,0,33.33,0.88,0,0
461,,Richard Wood,0.14,0.04,0,0.64,0.11,0
462,,Mario Gaspar,0,0.1,50,0.68,0,0
463,,Oliver Turton,0,0.06,80,0.17,0,0
464,,Allan Campbell,0.07,0,47.37,0.74,0,0
465,,William Boyle,0,0.06,0,0.25,0,0
466,,Jack Burroughs,0,0,45.45,0.17,0,0
