#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
187,,André Ramalho,1.07,0.89,0,2.46,0.04,0.29
188,,Nick Viergever,1.68,1,0,2.84,0,0.84
189,,Joris Kramer,0.68,1.18,0,2.05,0,0.09
190,,Florian Grillitsch,0.9,1.2,0,0.4,0,0.5
191,,Joost van Aken,0.8,1.13,0.07,3.33,0,0.33
192,,Kjell Scherpen,0,0.04,0,0.88,0.15,0.08
193,,Liam van Gelderen,2.06,0.88,0,2.12,0,0.29
194,,Phillipp Mwene,1.68,0.4,0,1.24,0,0.64
195,,Joey Pelupessy,2,1,0,1.21,0,0.42
196,,Syb van Ottele,1.25,0.8,0,2,0,0.6
197,,Guus Til,1.17,0.4,0.03,0.47,0,0.5
198,,Bobby Adekanye,0.97,0.29,0,0.16,0,1.1
199,,Moussa Sylla,0.5,0.5,0,0.7,0,0.4
200,,Othman Boussaid,0.47,1,0,0.31,0,0.81
201,,Oğuzhan Özyakup,0.91,0.36,0,0.59,0,0.82
202,,Peer Koopmeiners,2.16,0.68,0,1.72,0,0.8
203,,Anass Salah-Eddine,1.57,0.57,0,0.64,0,0.57
204,,Marcus Pedersen,1.41,0.31,0,1.9,0,0.14
205,,Mike te Wierik,1.55,1.38,0.07,4.24,0,0.38
206,,Remko Pasveer,0,0,0,0.07,0.07,0
207,,Million Manhoef,0.88,0.27,0,0.21,0,0.61
208,,Fábio Silva,0.21,0.07,0,0.29,0,0.79
209,,Calvin Twigt,2.25,1.56,0,1.31,0,1.88
210,,Norbert Alblas,0,0,0,1,0,0
211,,Youri Regeer,0.33,0,0,0,0,0
212,,Leon Bergsma,1.5,0.83,0.04,3.67,0,0.25
213,,Walter Benítez,0.03,0,0,0.43,0,0
214,,Mickey van der Hart,0.04,0,0,0.52,0,0.04
215,,Ximo Navarro,1.13,1.27,0.07,4.6,0,0.13
216,,Benaissa Benamar,1.07,0.72,0,2.69,0,0.45
217,,Evert Linthorst,1.48,0.74,0,1.61,0,0.22
218,,Jorrel Hato,1.18,0.55,0,1,0,0.36
219,,Shurandy Sambo,1.77,1,0.03,2.23,0,0.87
220,,Amin Younes,0.9,0,0,0.1,0,0.5
221,,Lucas Bernadou,1.57,1.03,0,0.8,0,0.9
222,,Ivo Pinto,1.62,0.93,0,2.72,0,0.52
223,,Zakaria Bakkali,0.44,0.11,0,0.17,0,0
224,,Antoine Colassin,0.95,0.18,0.05,0.5,0,0.45
225,,Andri Fannar Baldursson,0.73,0.45,0,0.36,0,0.18
226,,Damon Mirani,1.77,1.16,0,4.19,0,0.87
227,,Lequincio Zeefuik,0.14,0,0,0.14,0,0
228,,Julian Lelieveld,1.94,0.94,0,1.79,0,0.85
229,,Mats Deijl,1.44,1.09,0,2.84,0,0.66
230,,Rami Al Hajj,1.29,0.53,0,0.18,0,0.24
231,,Dominik Oroz,0.88,1,0,3.19,0,0.56
232,,Miliano Jonathans,0.33,0.17,0,0,0,0.17
233,,Ibrahim El Kadiri,1.12,0.18,0,0.29,0,0.53
234,,Oliver Antman,0.82,0.18,0,0.36,0,0.64
235,,Florian Jozefzoon,0.81,0.08,0,0,0,0.19
236,,Robert Mühren,0.43,0.39,0,0.86,0,0.46
237,,Olivier Boscagli,0,0.86,0,0.57,0,0.43
238,,Deron Payne,2.33,0,0,0.67,0,0.33
239,,Federico Mattiello,1.5,0.67,0,1,0,0.17
240,,Jeffrey Bruma,1.3,0.7,0.1,2.9,0,0.1
241,,Oliver Valaker Edvardsen,1.39,1.04,0,0.46,0,0.61
242,,Ole Romeny,1.06,0.24,0,0.76,0,0.36
243,,Jose Fontán,1.14,0.52,0,2.52,0,0.52
244,,Elayis Tavsan,1.25,0.19,0,0.41,0,0.53
245,,Enric Llansana,1.95,1.05,0,0.76,0,0.95
246,,Gerrit Nauber,0.79,0.89,0,3.21,0.05,0.21
247,,Lazaros Lamprou,0.64,0.29,0,0.46,0,0.64
248,,Kacper Kozłowski,1.28,0.55,0,0.14,0,1.31
249,,Mark van der Maarel,1.72,1.21,0,2.45,0,1.28
250,,Kenzo Goudmijn,1.59,0.44,0,0.38,0,0.85
251,,Perr Schuurs,0.5,0,0,1.5,0,0
252,,Joël Drommel,0,0,0,0.5,0,0
