#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
138,,Mats Köhlert,0.1,0,45.24,51.46,1.1,0.87
139,,Miguel Araujo,0.1,0.03,54.86,61.34,0.58,0.68
140,,Danilo,0,0,39.29,35.34,0.15,0.26
141,,Sondre Tronstad,0.14,0.04,44.44,53.73,0.64,0.86
142,,Carlens Arcus,0.07,0.07,65.15,52.74,0.33,1.03
143,,Santiago Giménez,0.09,0,52.38,41.26,0.84,0.59
144,,Jorge Sánchez,0.18,0,55,51.72,0.47,1.12
145,,Jens Odgaard,0.03,0,53.06,43.78,1.45,1.31
146,,Siebe Horemans,0.12,0,55.05,55.21,0.47,0.76
147,,Dario Serra,0,0,0,60,0,0
148,,Romano Postema,0,0,100,80,0.5,0
149,,Ramon Hendriks,0,0,66.67,65.71,0.5,1
150,,Filip Stanković,0.06,0,87.5,75,0.15,0
151,,Vasilis Barkas,0,0,100,93.33,0.16,0
152,,Jay Idzes,0.13,0,42.54,52.12,0.44,0.59
153,,Osame Sahraoui,0.07,0,27.78,50.75,2,0.47
154,,Ryan Flamingo,0.12,0,56.8,52.27,0.48,0.82
155,,Marco Tol,0.04,0,50,56.49,0.25,0.38
156,,Burak Yılmaz,0.31,0,46.55,43.63,1.58,0.73
157,,Dimitrios Siovas,0.17,0,73.33,63.89,0.13,0.38
158,,Håkon Evjen,0.13,0,75,52.38,0.5,0.38
159,,Paul Gladon,0.04,0,57.07,51.39,0.93,1.04
160,,Devyne Rensch,0.08,0.04,58.82,61.58,0.92,0.73
161,,Daryl van Mieghem,0.1,0,20,37.01,0.43,0.27
162,,Patrick van Aanholt,0.07,0,61.54,51.35,0,0.33
163,,Bart van Rooij,0.09,0,55.88,51.71,0.76,1
164,,Davy Klaassen,0.09,0,36.96,46.41,0.48,0.42
165,,Érick Gutiérrez,0.13,0,50.72,52.5,0.47,0.9
166,,Sávio,0,0,0,44.83,0.33,0.33
167,,Luuk Brouwers,0.21,0,41.86,48.48,0.58,0.79
168,,Michel Vlap,0.09,0,45.65,47.98,0.72,0.72
169,,Radinio Balker,0.06,0.03,50.42,55.69,0.55,0.52
170,,Brian Brobbey,0.03,0,45.57,44,0.75,0.69
171,,Koki Saito,0,0,40,50.94,1.54,0.5
172,,Dani de Wit,0.17,0.06,52.56,51.46,0.94,1.56
173,,Taylor Booth,0.21,0,41.18,47.18,1.29,1
174,,Arianit Ferati,0.19,0,28.57,49.49,0.81,0.93
175,,Willum Thor Willumsson,0.04,0,51.72,46.22,0.89,0.7
176,,Sem Steijn,0.04,0,46.15,42.11,0.33,0.56
177,,Robbin Ruiter,0,0,100,83.33,0,0.06
178,,Mimoun Mahi,0.07,0,25,37.84,0.64,0.43
179,,Mees Hilgers,0.14,0,41.67,51.32,0.29,0.86
180,,Mika Biereth,0.08,0,41.18,48.89,0.75,0.17
181,,Mees Hoedemakers,0.03,0.07,38.46,49.11,0.38,1.1
182,,Jeffrey de Lange,0.06,0,83.33,88.89,0.03,0
183,,Đorđe Mihailović,0.13,0,52.94,59.46,0.47,0.67
184,,Younes Namli,0.04,0,19.05,39.76,0.85,0.73
185,,George Cox,0.19,0,55.56,55.92,0.89,0.63
186,,Tijjani Noslin,0.1,0,47.95,48.56,0.52,0.87
187,,André Ramalho,0.07,0,57.14,57.83,0.36,0.64
188,,Nick Viergever,0.05,0,50.98,53.78,0.26,0.32
189,,Joris Kramer,0.05,0,52.08,51.81,0.05,0.59
190,,Florian Grillitsch,0.2,0,53.85,54.76,0.7,0.4
191,,Joost van Aken,0.13,0,63.04,55.29,0.27,0.87
192,,Kjell Scherpen,0,0.04,66.67,56.25,0.04,0.04
193,,Liam van Gelderen,0.24,0,52.63,57.78,0.35,0.88
194,,Phillipp Mwene,0.04,0,39.47,50,0.32,0.68
195,,Joey Pelupessy,0.05,0,59.57,61.98,0.32,0.63
196,,Syb van Ottele,0.3,0,42.31,51.13,0.5,0.85
197,,Guus Til,0.13,0,41.3,42.02,0.63,1
198,,Bobby Adekanye,0.26,0,17.39,43.89,2.19,1.42
199,,Moussa Sylla,0,0,45.83,42.65,0.9,0.2
200,,Othman Boussaid,0.09,0,31.25,38.17,0.81,0.19
201,,Oğuzhan Özyakup,0.14,0,53.33,47.58,0.82,0.36
202,,Peer Koopmeiners,0.04,0,58.82,51.32,0.24,1.08
203,,Anass Salah-Eddine,0.07,0,55.17,54.87,0.71,0.36
204,,Marcus Pedersen,0.1,0,33.33,53.13,0.31,0.93
205,,Mike te Wierik,0.21,0.03,58.62,54.77,0.38,1.38
206,,Remko Pasveer,0,0,100,100,0,0
207,,Million Manhoef,0,0,21.88,33.44,0.7,1.03
208,,Fábio Silva,0.21,0,50,35.11,0.57,1
209,,Calvin Twigt,0,0,50,48.7,1.06,0.94
210,,Norbert Alblas,0,0,100,100,0,0
211,,Youri Regeer,0,0,0,100,0,0
212,,Leon Bergsma,0.17,0,47.14,57.66,0.21,0.58
213,,Walter Benítez,0.07,0,100,100,0.03,0
214,,Mickey van der Hart,0,0,100,94.12,0.08,0
215,,Ximo Navarro,0.13,0,48.57,61.11,0.47,0.4
216,,Benaissa Benamar,0.17,0,60.56,55.92,0.1,0.62
217,,Evert Linthorst,0.09,0,53.33,54.31,0.39,1.04
218,,Jorrel Hato,0.09,0,39.13,51.52,0.09,0.27
219,,Shurandy Sambo,0.1,0.07,60,56,0.97,0.77
220,,Amin Younes,0,0,0,48.94,0.5,0.5
221,,Lucas Bernadou,0.1,0,36.73,46.34,0.37,0.53
222,,Ivo Pinto,0.03,0,54.05,54.08,0.52,0.41
223,,Zakaria Bakkali,0,0,0,55.22,0.78,0.22
224,,Antoine Colassin,0.14,0,40,41.03,0.27,0.77
225,,Andri Fannar Baldursson,0.18,0,42.86,60,0.18,0.55
226,,Damon Mirani,0,0,49.68,52.33,0.45,0.65
227,,Lequincio Zeefuik,0.14,0,65.52,50.82,0.36,0.57
228,,Julian Lelieveld,0.12,0,48.15,56.22,0.56,0.56
229,,Mats Deijl,0.09,0.03,64.29,58.89,1.03,0.88
230,,Rami Al Hajj,0,0,40,56.52,0.59,0.24
231,,Dominik Oroz,0.19,0,61.76,51.43,0.06,0.75
232,,Miliano Jonathans,0.17,0,42.86,42.86,0.17,0.33
233,,Ibrahim El Kadiri,0,0,37.5,38.61,0.18,0.53
234,,Oliver Antman,0,0,0,42.59,0.27,0.45
235,,Florian Jozefzoon,0.04,0,35.71,51.02,0.31,0.15
236,,Robert Mühren,0.04,0,36.05,36.08,0.32,0.57
237,,Olivier Boscagli,0,0,33.33,23.08,0.14,0.43
238,,Deron Payne,0,0,0,76.92,0.33,0
239,,Federico Mattiello,0,0,100,69.23,0.67,0.5
240,,Jeffrey Bruma,0.3,0,56.67,56.67,0.2,0.9
241,,Oliver Valaker Edvardsen,0.11,0,45.45,49.05,1.75,0.89
242,,Ole Romeny,0.03,0,27.38,47.13,2.58,0.73
243,,Jose Fontán,0.24,0,55.88,56.12,0.48,0.67
244,,Elayis Tavsan,0.06,0,26.32,49.44,1.81,0.78
245,,Enric Llansana,0.14,0,45.28,47.9,0.19,1.05
246,,Gerrit Nauber,0.05,0,50,56,0.21,0.32
247,,Lazaros Lamprou,0.04,0,35.56,45.12,0.57,0.18
248,,Kacper Kozłowski,0.14,0,58.33,45.48,1.48,0.9
249,,Mark van der Maarel,0.17,0,43.18,45.29,0.28,1.07
250,,Kenzo Goudmijn,0.06,0,34.15,51.6,1.38,0.56
251,,Perr Schuurs,0,0,100,100,0,0
252,,Joël Drommel,0,0,0,0,0,0
253,,Keziah Veendorp,0.12,0,53.73,54.19,0.15,0.64
254,,Úmaro Embaló,0.19,0,33.33,48.57,0.85,0.63
255,,Francesco Antonucci,0.12,0,0,51.28,0.94,0.47
256,,Hidde ter Avest,0,0,59.26,58.54,0.15,0.45
257,,Matúš Bero,0.19,0,47.11,43.83,1.68,1.23
258,,Jamal Amofa,0.26,0,46.15,55,0.32,0.81
259,,Achraf Douiri,0.22,0,0,55,0.33,0.89
260,,Florian Krüger,0.05,0,44,40,0.32,0.64
261,,Daleho Irandust,0.06,0,23.53,48.21,0.65,0.41
262,,Lars Nieuwpoort,0.1,0,35.29,38.64,0,0.8
263,,Owen Wijndal,0.1,0,50,57.26,1.15,0.7
264,,Souffian El Karouani,0.24,0,43.18,47.08,1.03,1.39
265,,Marco van Ginkel,0.14,0,47.5,40.2,0.79,0.93
266,,Jonathan de Guzmán,0.19,0,53.85,44.2,0.57,1.24
267,,Thorgan Hazard,0.11,0,28.57,40.48,0.11,0.33
268,,Pedro Marques,0.07,0,40.63,37.29,0.33,0.27
269,,Magnus Mattsson,0.04,0,34.48,47.58,1.2,0.32
270,,Finn Stokkers,0.08,0,51.16,44.38,0.71,0.46
271,,Tomáš Suslov,0.2,0,39.39,49.33,2.1,1.07
272,,Roy Kuijpers,0.06,0,25,45.83,0.38,0.13
273,,Mayckel Lahdo,0.04,0,23.81,48.04,0.28,0.12
274,,Floris Smand,0,0,48.21,50,0.22,0.65
275,,Hobie Verhulst,0,0,100,33.33,0,0
276,,Mohamed Bouchouari,0.08,0,36,50.97,0.96,0.81
277,,Mathew Ryan,0,0,100,83.33,0,0
278,,Silvester van der Water,0.13,0,25.93,45.34,0.65,0.87
279,,Mikkel Duelund,0.07,0,44,42.31,0.87,1
280,,Bartosz Białek,0.04,0,30.49,34.5,0.76,1.04
281,,Alfons Sampsted,0.08,0,25,55.81,0.75,0.5
282,,Nikolai Baden Frederiksen,0,0,50,48.84,0.46,0.46
283,,Yassin Oukili,0.29,0,54.84,52.12,0.52,1.19
284,,Pelle van Amersfoort,0.05,0,49.38,48.82,1.11,0.84
285,,Julius Dirksen,0.04,0,48.98,54.89,0.19,0.3
286,,Yassin Ayoub,0.2,0,30.77,54.08,0.6,0.67
287,,Ibrahim Cissoko,0,0,60,60.17,1.19,0.15
288,,Jasper ter Heide,0,0,25,50,0,0
289,,Xander Blomme,0.13,0,47.06,44,0.38,0.75
290,,Maxim Dekker,0,0,68,69.57,0.31,0.15
291,,Philipp Max,0.21,0,85.71,55,0.43,0.64
292,,Ragnar Oratmangoen,0.05,0,70,50.35,0.26,0.58
293,,Carlos Vinícius,0,0,0,33.33,1,0
294,,Silvano Vos,0,0,0,100,0.5,0
295,,Fedde De Jong,0,0,100,66.67,0,0
296,,Vicente Besuijen,0,0,0,75,0.5,0
297,,Hussein Ali,0,0,0,40,0,0
298,,Mexx Meerdink,0.17,0,50,45.95,0.67,1.17
299,,Bart Ramselaar,0.11,0,25,51.43,0.44,0.11
300,,Arthur Zagre,0.09,0,42.86,52.11,0.36,0.91
301,,Lorenzo Burnet,0.05,0,45.16,53.13,0.53,0.79
302,,Vurnon Anita,0.09,0,23.08,45.21,0.35,0.53
303,,Mathias Kjølø,0,0,38.46,50,0.59,0.27
304,,Christos Tzolis,0.1,0,27.78,37.31,1.1,0.6
305,,Serano Seymor,0.05,0,48.39,63.77,0.14,0.19
306,,Neraysho Kasanwirjo,0.1,0,59.26,53.9,0.7,0.75
307,,Muhammet Tunahan Tasci,0.1,0,0,47.5,0.6,0.8
308,,Jurien Gaari,0.24,0,55.95,51.98,0.42,1.27
309,,Lorenzo Lucca,0.07,0,70.97,56.25,0.29,0.29
310,,Youri Baas,0,0,33.33,65,0.33,0.5
311,,Laros Duarte,0,0.04,25,43.86,0.76,0.48
312,,Mario Engels,0.11,0,0,23.08,0.11,0.22
313,,Bilal Ould-Chikh,0.12,0.06,22.22,50,1.12,0.47
314,,Doke Schmidt,0.2,0,72.41,55.78,0.48,0.92
315,,Derry Murkin,0.06,0,48.84,50.93,0.72,0.88
316,,Sekou Sylla,0,0,0,54.55,0.2,0
317,,Fredrik Oppegård,0,0,57.14,72.41,0.82,0.45
318,,Ruben Kluivert,0.15,0,60.87,60.87,0,0.54
319,,Mitchell Paulissen,0.17,0,44.12,43.16,0.41,0.69
320,,Nikolas Agrafiotis,0.12,0,47.95,46.03,0.53,0.94
321,,Adrian Fein,0.14,0,44.44,51.22,0.14,0.57
322,,Tibor Halilović,0.05,0.05,60,49.3,0.21,0.42
323,,Daniel van Kaam,0.04,0,46.34,54.46,1.07,0.41
324,,Roberts Uldriķis,0.14,0,57.05,50.67,0.29,0.71
325,,Pelle Clement,0.03,0,48.72,40.66,0.61,0.88
326,,Sai Van Wermeskerken,0.04,0,40,50.89,0.54,0.96
327,,Mees de Wit,0.09,0,58.33,50,0.09,0.41
328,,Ahmed El Messaoudi,0,0,57.14,52.63,1.16,0.6
329,,Ismael Saibari,0,0,33.33,44.07,0.12,0.24
330,,Jan de Boer,0,0,100,100,0,0
331,,Lennerd Daneels,0,0,50,46.15,2.33,1
332,,Richairo Živković,0.25,0,41.18,40.23,0.94,1.5
333,,Jari Vlak,0.13,0,57.33,45.96,0.13,0.61
334,,Peter Leeuwenburgh,0,0.13,50,33.33,0,0.13
335,,Che Nunnely,0.31,0,31.25,41.67,0.54,0.77
336,,Francisco Conceição,0.16,0,33.33,43.16,0.68,0.53
337,,Marin Šverko,0.4,0,66.67,55.56,0.2,1
338,,Daan Rots,0,0,37.5,44.74,0.36,0.41
339,,Anthony Musaba,0,0,25,38.71,0.13,0.25
340,,Gaetano Oristanio,0.15,0.04,41.27,44.26,2.11,1.48
341,,Alex Bangura,0.17,0.03,27.78,62.32,2.03,1.17
342,,Thom van Bergen,0.08,0,28.57,44.93,0.25,0.83
343,,Florent Sanchez Da Silva,0,0,53.85,38.67,0.31,0.69
344,,Tom Boere,0.08,0,45.83,46.25,0.85,0.46
345,,Julen Lobete,0.07,0,31.82,41.98,1.45,0.41
346,,Kian Fitz-Jim,0,0,0,33.33,0,1
347,,Mimeirhel Benita,0,0,50,66.67,0,0.5
348,,Rick Meissen,0,0,50,33.33,0,0
349,,Elvis Manu,0,0,7.69,37.78,1.5,1.2
350,,Michael Breij,0.09,0,24.39,38.35,0.78,0.84
351,,Deroy Duarte,0.12,0,45.95,52.94,0.31,0.31
352,,Ramon Pascal Lundqvist,0.08,0,40,47.06,0.38,0.23
353,,Mohamed Sankoh,0.05,0,27.59,31.36,0.19,0.71
354,,Jordy Bruijn,0.05,0,42.86,43.4,0.42,0.11
355,,Riechedly Bazoer,0.06,0,57.89,57.63,0.69,0.38
356,,Henk Veerman,0.03,0,39.78,33.1,0.03,0.34
357,,Mohamed Taabouni,0,0,0,50,0.8,0.6
358,,Victor Jensen,0,0,44.44,50,0.83,0.5
359,,Anthony Descotte,0,0,0,21.05,0.33,0.5
360,,Patrick Vroegh,0,0,38.46,53.19,0.13,0.19
361,,Mitchell Dijks,0.14,0,66.67,56.67,0.86,0.71
362,,Tomáš Hájek,0.14,0,60,60,0.29,0.29
363,,Simon van Duivenbooden,0,0,29.63,32.26,0.11,0.11
364,,Aaron Meijers,0,0,60,56.25,0.54,0.31
365,,Thijmen Blokzijl,0,0,41.03,52.94,0.13,0.27
366,,Rashaan Fernandes,0.05,0.05,40,41.76,0.42,0.58
367,,Björn Johnsen,0,0,44.05,42.86,0.46,0.54
368,,Walid Ould-Chikh,0.04,0,35,57.36,0.7,0.37
369,,Brian Plat,0.21,0,53.4,56.6,0.69,1.17
370,,Jahnoah Markelo,0,0,0,50,0.6,0
371,,Richard Ledezma,0.14,0,100,64.71,0.71,0.71
372,,Calvin Mac-Intosh,0.09,0,39.13,56.36,0.18,0.36
373,,Gabriel Vidović,0.04,0,38.46,50.67,1.28,0.32
374,,Milan Smit,0,0,25,33.9,0.31,0.15
375,,Tesfaldet Tekie,0.25,0,0,42.86,0.38,0.75
376,,Timon Wellenreuther,0,0,50,66.67,0.11,0
377,,Maxime Awoudja,0,0,71.43,71.43,0.4,0.1
378,,Doğan Erdoğan,0.07,0.07,57.14,56.25,0.59,0.63
379,,Remco Balk,0.17,0,47.62,49.1,1.1,0.77
380,,Jeremy Antonisse,0,0,38.24,45.04,0.69,0.46
381,,Zakaria Labyad,0.14,0,50,29.17,0.14,0.57
382,,Daishawn Redan,0,0,44.44,46.27,0.86,0.71
383,,Felix Mambimbi,0,0,33.33,42,1.25,0.25
384,,Metehan Güçlü,0,0,0,100,1,0
385,,Flip Klomp,0,0,0,50,0,1
386,,Joel Pereira,0,0,0,0,0,0
387,,Yahya Kalley,0.4,0,75,60,0.6,0.8
388,,Martijn Berden,0,0,33.33,25,0,0.4
