#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
121,,João Cancelo,0,0.06,64.41,86.76,16.06,61.29
122,,Ivan Perišić,0.32,0.24,23,72.25,4.74,50
123,,Nayef Aguerd,0.06,0,42.17,78.92,2.94,40.12
124,,Amadou Onana,0.06,0.06,29.39,84.02,5.52,63.08
125,,Tyrone Mings,0.06,0.06,53.91,85.32,4.31,43.75
126,,Hamed Junior Traorè,0,0,19.29,71.11,6.57,44.44
127,,Lewis Dunk,0.03,0,89.11,90.4,6.5,52.92
128,,Marc Cucurella,0.08,0.08,45.42,86.42,9.25,42.47
129,,Philip Billing,0.14,0.03,28,79.37,6.69,40.63
130,,Julio Enciso,0.15,0.1,12.1,72.73,4.55,25
131,,Noni Madueke,0,0,21.67,82.31,8.08,75
132,,Jefferson Lerma,0.11,0,42.92,82.24,8.08,43.81
133,,Benjamin White,0.16,0.13,51.32,86.62,14.95,43.94
134,,Antony,0.08,0.08,30.96,82.17,13.2,62.96
135,,Darwin Núñez,0.38,0.1,12.79,67.12,4.48,69.57
136,,Julián Álvarez,0.06,0,15.13,82.73,5.45,75
137,,João Moutinho,0.1,0.06,31.94,83.94,8.45,66.67
138,,Idrissa Gueye,0.03,0.03,36.64,84.53,6.61,43.02
139,,Tomáš Souček,0.08,0.08,27.03,72.05,4.53,54.79
140,,Duje Ćaleta-Car,0,0,43.23,85.23,2.46,46.99
141,,Matt Doherty,0,0,27.42,82.37,6.67,34.62
142,,Jordan Pickford,0.03,0.03,31.24,51.82,3.14,34.75
143,,Joe Gomez,0,0,62.9,86.6,7.29,51.41
144,,Matthew Craig,0,0,6,83.33,1,0
145,,Valentino Livramento,0,0,9.5,73.68,1,0
146,,Wayne Hennessey,0,0,21,57.14,1.5,38.98
147,,Danny Welbeck,0.26,0.1,14.16,84.74,6.03,42.86
148,,Pervis Estupiñán,0.2,0.14,46.31,84.02,10.34,53.23
149,,Bernardo Silva,0.18,0.15,41.71,89.07,12.32,57.84
150,,Tosin Adarabioyo,0,0,51.36,82.4,4.4,48.15
151,,Marcus Rashford,0.14,0.14,22.26,78.69,8.69,61.36
152,,Craig Dawson,0,0,48.96,83.25,3.76,47.89
153,,Ezri Konsa,0.05,0,49.26,88.89,2.55,38.51
154,,Ollie Watkins,0.11,0.16,14.89,69.87,4.95,71.43
155,,Jordan Henderson,0.2,0.06,44.14,84.92,11.51,57.97
156,,Jorginho,0,0.03,50.31,86.27,11.59,62.75
157,,Victor Lindelöf,0,0,46.4,93.21,2.85,52.08
158,,Aaron Cresswell,0.14,0.04,39.96,81.5,8.96,50.39
159,,Dean Henderson,0,0,31.22,56.76,1.17,32.39
160,,Joe Willock,0.34,0.17,25.37,85.14,9.4,63.64
161,,Tim Ream,0,0,57.61,86.95,5.39,54.8
162,,Vitaly Janelt,0.06,0.03,27.91,80.86,5.4,62.04
163,,Fabinho,0.11,0.06,50.42,88.65,8.06,56.15
164,,Hakim Ziyech,0.33,0.17,17.56,73.42,5.22,45.16
165,,Jarrod Bowen,0.24,0.13,18.82,72.73,5.5,40.74
166,,Evan Ferguson,0,0.11,11.68,81.08,3.11,33.33
167,,Adam Webster,0.04,0,62.07,88.6,6.19,58.04
168,,Kurt Zouma,0,0,33,84.48,1,46.3
169,,Eric Dier,0.09,0.03,59.94,85.95,3.24,45.91
170,,Raheem Sterling,0.25,0.11,22.5,78.89,8.43,50
171,,Emerson Royal,0,0.04,33.15,83.06,7.69,47.89
172,,Kiernan Dewsbury-Hall,0.1,0.06,35.32,78.54,9.61,47.46
173,,Andreas Pereira,0.21,0.18,25.88,73.65,8.06,54.74
174,,Saïd Benrahma,0.14,0.09,20,82,7.26,42.86
175,,Kaoru Mitoma,0.27,0.15,27.7,83.26,10.55,61.76
176,,Łukasz Fabiański,0,0,21.47,58.21,0.86,39.25
177,,Aaron Ramsdale,0,0,24.55,63.34,1.13,29.09
178,,Ashley Young,0.03,0,33.31,77.54,6.21,37.67
179,,Daniel Amartey,0.05,0,55.35,91.33,4.1,55.56
180,,Jason Steele,0.07,0.07,32.67,87.96,0.2,55.14
181,,Marcus Tavernier,0.17,0.17,25.91,77.35,6.78,42.22
182,,Raphaël Varane,0,0,45.79,86.53,4.42,48.21
183,,Manuel Akanji,0,0.03,69.69,93.32,8.17,58.26
184,,Max Kilman,0,0,56.54,83.41,4.32,37.8
185,,Ibrahima Konaté,0.06,0,62.78,87.17,4.17,40
186,,Nathaniel Phillips,0,0,41,86.59,3.5,61.54
187,,Toti Gomes,0,0,29.24,83.3,3.41,42.22
188,,Jadon Sancho,0.23,0.12,28.81,85.05,12.65,64.71
189,,Gonçalo Guedes,0.08,0.08,13.23,75,4.38,72.73
190,,Ben Chilwell,0.04,0.09,33,83.27,7.7,32.08
191,,Maximilian Wöber,0.06,0,40.19,71.23,5.31,36.28
192,,James Justin,0,0,48.71,81.52,7.93,42.19
193,,Issa Diop,0.04,0,55.8,87.1,3.28,42.66
194,,Vladimír Coufal,0.15,0.04,30.04,65.72,6.07,30.6
195,,Kai Havertz,0.14,0.03,24.8,82.37,9.43,77.78
196,,Demarai Gray,0.15,0.03,19.94,81.31,6.61,50
197,,Dejan Kulusevski,0.23,0.23,22.53,82.54,7.93,47.62
198,,David Datro Fofana,0,0,2.67,87.5,2,100
199,,Pontus Jansson,0,0,26.25,80,1.08,43.75
200,,Matheus Cunha,0.06,0,13.06,75.68,3.24,63.64
201,,Antonee Robinson,0,0.03,41.89,76.88,8.57,43.72
202,,Rico Lewis,0.14,0,45.57,92.16,9.86,58.33
203,,Dominic Solanke,0.18,0.21,15.58,69.84,4.03,61.54
204,,Joe Worrall,0.03,0,36.47,78.52,3.4,44.74
205,,Willy Boly,0,0.09,23.36,75.1,1.18,31.71
206,,Wilfried Zaha,0.11,0.07,22.37,81.29,7.78,47.06
207,,Marcel Sabitzer,0.27,0.09,26.91,79.05,7.18,52.94
208,,Marc Albrighton,0.17,0,18.67,68.75,4.33,22.22
209,,Lyanco,0,0.05,23.9,75.5,1.95,32.99
210,,Ben Davies,0.13,0.06,38.13,83.16,5.61,41.82
211,,Joël Veltman,0.06,0.03,41.84,85.2,9.26,41.59
212,,Wesley Fofana,0,0,58.88,89.01,6.29,29.63
213,,Chris Mepham,0,0,39.31,83.66,2.19,38.02
214,,José Sá,0,0,28.14,65.35,0.61,28.27
