#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
288,,Ruben Loftus-Cheek,0,0.04,59.26,0.36,0,0
289,,Lewis Cook,0,0,41.18,0.21,0,0
290,,Richarlison,0.04,0.15,40,1,0.04,0
291,,João Félix,0.25,0.31,44,2.88,0,0
292,,Ayoze Pérez,0,0.13,33.33,1,0,0
293,,Jeffrey Schlupp,0.09,0.06,61.22,0.82,0,0
294,,Kalvin Phillips,0,0.08,100,0.5,0,0
295,,Daniel James,0.08,0,54.55,0.71,0,0
296,,Ederson,0,0,0,0,0,0
297,,Angelo Ogbonna,0,0,0,0.19,0,0
298,,Sergio Gómez,0,0,0,0.58,0,0
299,,Carney Chukwuemeka,0,0,54.55,0.36,0,0
300,,Steve Cook,0,0,100,0.25,0,0
301,,Cédric Soares,0,0,100,0.25,0,0
302,,Albert Sambi Lokonga,0,0,50,0.13,0,0
303,,Joe Rothwell,0,0,69.57,0.15,0,0
304,,Joe Aribo,0.1,0.05,44.74,0.67,0,0
305,,Joël Matip,0.07,0.07,57.14,0.36,0.07,0
306,,Bertrand Traoré,0.25,0,25,1.13,0,0
307,,Chris Richards,0,0.11,0,0.44,0,0
308,,Ryan Fraser,0,0,100,0.75,0,0
309,,Thilo Kehrer,0,0.04,72.73,0.3,0,0
310,,Lewis O'Brien,0.08,0,70,0.54,0,0
311,,Neeskens Kebano,0,0.06,39.13,0.53,0,0
312,,Kamaldeen Sulemana,0.11,0.06,53.73,1.33,0,0
313,,Rico Henry,0,0.08,60.47,0.59,0,0
314,,Cheikhou Kouyaté,0.05,0,87.5,0.29,0.05,0
315,,Brennan Johnson,0.21,0.18,44.59,1.45,0,0
316,,Deniz Undav,0.23,0.27,66.67,1.23,0,0
317,,Fábio Vieira,0.05,0,35.29,0.68,0,0
318,,Neco Williams,0.03,0.03,38,0.81,0,0
319,,Billy Gilmour,0,0,50,0.43,0,0
320,,Paul Onuachu,0,0.09,64.29,1,0,0
321,,Leander Dendoncker,0,0.04,57.14,0.21,0,0
322,,Thomas Cannon,0,0,0,0.5,0,0
323,,Caoimhin Kelleher,0,0,0,0,0,0
324,,Isaac Price,0,0,100,0,0,0
325,,Morgan Sanson,0,0,0,0,0,0
326,,Giulian Biancone,0,0,0,0,0,0
327,,Jack Colback,0,0,100,0,0,0
328,,Rasmus Kristensen,0.12,0.04,50,0.5,0,0
329,,Scott McTominay,0.04,0.08,59.09,0.54,0,0
330,,Raúl Jiménez,0,0.27,55.56,1.33,0,0
331,,Moussa Niakhaté,0,0.14,0,0.43,0,0
332,,Robert Sánchez,0,0,0,0,0,0
333,,Jeremy Sarmiento,0,0,60,0.56,0,0
334,,Harrison Reed,0.08,0.05,38.46,0.54,0,0
335,,Fraser Forster,0,0,0,0,0,0
336,,Mario Lemina,0,0,78.57,0.47,0,0
337,,James Milner,0,0,57.89,0.23,0,0
