#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
148,,Pervis Estupiñán,0.03,0.06,51.35,0.83,0,0
149,,Bernardo Silva,0.12,0.03,49.12,0.74,0,0
150,,Tosin Adarabioyo,0.04,0,71.43,0.64,0.04,0
151,,Marcus Rashford,0.49,0.63,42.52,3.09,0.09,0
152,,Craig Dawson,0.04,0.04,75,0.68,0,0
153,,Ezri Konsa,0,0.03,62.5,0.21,0,0
154,,Ollie Watkins,0.41,0.54,33.33,2.32,0.08,0
155,,Jordan Henderson,0,0,60,0.66,0,0
156,,Jorginho,0.06,0,47.06,0.34,0,0
157,,Victor Lindelöf,0,0,66.67,0.15,0,0
158,,Aaron Cresswell,0,0,33.33,0.32,0,0
159,,Dean Henderson,0,0,0,0,0,0
160,,Joe Willock,0.09,0.23,46.25,1.66,0.03,0
161,,Tim Ream,0.03,0.03,76.92,0.09,0,0
162,,Vitaly Janelt,0.09,0,39.13,0.4,0.03,0
163,,Fabinho,0,0,63.64,0.5,0,0
164,,Hakim Ziyech,0,0,48.28,0.89,0,0
165,,Jarrod Bowen,0.16,0.13,39.56,1.97,0,0
166,,Evan Ferguson,0.32,0.26,61.54,1.89,0.05,0
167,,Adam Webster,0,0.07,42.86,0.67,0,0
168,,Kurt Zouma,0.08,0.04,40,0.76,0.08,0
169,,Eric Dier,0.06,0.03,60,0.52,0.06,0
170,,Raheem Sterling,0.21,0.29,45.88,1.5,0,0
171,,Emerson Royal,0.08,0.04,62.5,0.65,0.04,0
172,,Kiernan Dewsbury-Hall,0.06,0.1,60.61,0.84,0,0
173,,Andreas Pereira,0.12,0.12,40.48,1.88,0,0
174,,Saïd Benrahma,0.17,0.03,48.11,2.09,0,0
175,,Kaoru Mitoma,0.21,0.36,51.75,1.58,0.06,0
176,,Łukasz Fabiański,0,0,0,0,0,0
177,,Aaron Ramsdale,0,0,100,0,0,0
178,,Ashley Young,0.03,0,44.44,0.52,0,0
179,,Daniel Amartey,0,0.05,50,0.3,0,0
180,,Jason Steele,0,0,100,0,0,0
181,,Marcus Tavernier,0.22,0.04,50,1.61,0,0
182,,Raphaël Varane,0,0.08,60,0.33,0,0
183,,Manuel Akanji,0,0.07,66.67,0.52,0,0
184,,Max Kilman,0,0.05,76,0.38,0,0
185,,Ibrahima Konaté,0,0.11,83.33,0.61,0,0
186,,Nathaniel Phillips,0,0,0,0.5,0,0
187,,Toti Gomes,0.06,0,60,0.29,0.06,0
188,,Jadon Sancho,0.23,0.08,46.58,0.81,0,0
189,,Gonçalo Guedes,0.08,0,41.67,1.46,0,0
190,,Ben Chilwell,0.09,0.09,40,0.7,0,0
191,,Maximilian Wöber,0,0,0,0.56,0,0
192,,James Justin,0,0,26.67,0.36,0,0
193,,Issa Diop,0.04,0,75,0.12,0,0
194,,Vladimír Coufal,0,0,33.33,0.22,0,0
195,,Kai Havertz,0.2,0.4,30.36,2.03,0.09,0
196,,Demarai Gray,0.12,0.15,44,1.79,0,0
197,,Dejan Kulusevski,0.07,0.03,49.02,1.43,0,0
198,,David Datro Fofana,0,0,71.43,1,0,0
199,,Pontus Jansson,0.08,0,100,0.33,0.08,0
200,,Matheus Cunha,0.12,0.06,76.47,1.53,0,0
201,,Antonee Robinson,0,0,60,0.09,0,0
202,,Rico Lewis,0,0,72.73,0.36,0,0
203,,Dominic Solanke,0.18,0.15,45.45,2.3,0,0
204,,Joe Worrall,0.03,0,75,0.23,0.03,0
205,,Willy Boly,0,0,100,0.18,0,0
206,,Wilfried Zaha,0.26,0.22,45.83,2.44,0,0
207,,Marcel Sabitzer,0,0,50,1,0,0
208,,Marc Albrighton,0.17,0,100,0.33,0,0
209,,Lyanco,0.05,0,80,0.57,0.05,0
210,,Ben Davies,0.06,0,41.67,0.45,0.03,0
211,,Joël Veltman,0.03,0,38.46,0.48,0,0
