#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
217,,Nathan Collins,0.08,0.04,54.41,55.17,0.35,0.65
218,,Harvey Elliott,0.06,0,20,44.64,0.78,0.44
219,,Marc Roca,0.22,0,59.38,49.24,0.91,1.25
220,,Lloyd Kelly,0.13,0,64.29,59.52,0.22,0.74
221,,Roméo Lavia,0.31,0,44.44,56.08,1.66,0.97
222,,Curtis Jones,0.11,0,33.33,46.38,0.89,0.72
223,,Michael Keane,0,0,67,64.06,0.33,0.58
224,,Harry Souttar,0.17,0,86.36,73.49,0.42,0.42
225,,Jonny Evans,0.08,0,66.67,63.89,0.54,0.69
226,,Lewis Miley,0,0,0,0,0,0
227,,Oriol Romeu,0,0,100,85.71,2,1
228,,Samuel Amo-Ameyaw,0,0,0,50,0,0
229,,Hugo Lloris,0,0,76.92,70.59,0.08,0
230,,Tyrell Malacia,0.27,0,66.67,49.66,0.59,1.77
231,,Emiliano Buendía,0,0,29.87,38.32,1.16,1.13
232,,Conor Coady,0.08,0,51.02,53.61,0.54,0.46
233,,Diogo Jota,0.09,0,40.91,38.89,0.68,0.86
234,,Anthony Martial,0,0,37.04,43.43,0.67,0.38
235,,Yoane Wissa,0.08,0,48,48.33,0.68,0.55
236,,Boubacar Kamara,0.17,0,56.41,54.98,1.29,1.42
237,,Jack Stephens,0.18,0,47.22,53.42,0.12,0.53
238,,Che Adams,0.04,0,37.2,39.8,0.96,1.36
239,,Fred,0.17,0,50,48.42,0.63,0.94
240,,Manor Solomon,0,0,50,53.41,0.21,0.26
241,,Dan Burn,0.16,0,69.67,55.99,0.11,0.92
242,,João Gomes,0.45,0,63.64,58.25,1.45,1.55
243,,Adam Lallana,0,0,47.06,45.76,0.44,0.13
244,,Cristiano Ronaldo,0.2,0,65.22,55.32,0.5,0.7
245,,Pablo Fornals,0,0,29.73,40.56,0.22,0.44
246,,Tom Cairney,0.06,0,44.44,52.83,0.67,0.24
247,,Gianluca Scamacca,0.19,0,44.74,41.35,0.63,1
248,,Patson Daka,0.07,0,36.62,37.8,0.5,0.77
249,,Joel Ward,0.21,0,59.79,58.33,0.39,1.04
250,,Matheus Nunes,0.06,0.03,42.31,52.3,1.44,1.09
251,,Kelechi Iheanacho,0,0,32.61,30.13,0.18,0.64
252,,Vitaliy Mykolenko,0.12,0,43.33,51.57,0.62,0.85
253,,Timothy Castagne,0.08,0,47.01,51.22,0.41,0.68
254,,Matty Cash,0.15,0,48,61.64,0.58,0.81
255,,Levi Colwill,0.06,0,71.43,64.65,0.59,0.47
256,,Danny Ward,0,0,100,81.82,0.19,0
257,,Dango Ouattara,0.05,0,44.78,48.15,0.79,0.32
258,,Jan Paul van Hecke,0.25,0,27.27,46.15,0.5,0.88
259,,Daniel Podence,0.16,0,33.33,38.65,0.72,0.81
260,,Mateo Kovačić,0.3,0,50,47.24,0.44,0.67
261,,Davinson Sánchez,0.06,0,62.22,63.04,0.22,0.39
262,,Cole Palmer,0.07,0,25,55.32,0.43,0.07
263,,Pascal Struijk,0.17,0,58.25,58.51,0.41,1
264,,Marcos Senesi,0.23,0,55.1,55.11,0.42,0.94
265,,Trevoh Chalobah,0.16,0,49.21,56.52,0.32,0.44
266,,Wilfred Ndidi,0.15,0,53.19,55,0.52,1.07
267,,Danny Ings,0.11,0,40.32,39.78,0.4,0.46
268,,Taiwo Awoniyi,0.07,0,24.69,32.64,0.7,0.89
269,,Luis Sinisterra,0.05,0.05,50,46.67,0.63,0.74
270,,Jakub Kiwior,0,0,44.44,54.84,0.14,0.14
271,,Kyle Walker,0.11,0,67.65,52.21,0.37,0.56
272,,Abdoulaye Doucouré,0.24,0.04,30.23,40.36,0.16,0.84
273,,Conor Gallagher,0.26,0.03,40.43,45.39,1,1
274,,Dominic Calvert-Lewin,0.18,0,47.83,45.21,0.82,1.29
275,,Jordan Ayew,0.13,0,35.66,46.56,2.37,1.26
276,,Jack Harrison,0.06,0,10.64,35.23,1.03,1.06
277,,Boubakary Soumaré,0.35,0,56.25,53.96,0.85,1.19
278,,Jacob Murphy,0,0,21.43,38.02,0.39,0.22
279,,Pedro Neto,0.06,0,0,39.64,0.83,0.44
280,,Sean Longstaff,0.06,0,46.15,45.9,1.18,0.88
281,,Adama Traoré,0.06,0,60.94,54.84,1,0.62
282,,Séamus Coleman,0.04,0,52.94,61.22,0.91,0.43
283,,Ryan Yates,0.19,0,59.62,57.08,2.04,1.92
284,,Liam Cooper,0.28,0,63.64,64.02,0.56,0.67
285,,Harry Wilson,0.03,0,25,53.49,1.1,0.38
286,,Sam Greenwood,0.06,0,12.5,34.38,0.17,0.61
287,,Nampalys Mendy,0.05,0,40,56.67,0.53,0.47
288,,Ruben Loftus-Cheek,0.04,0,45.83,55.67,1.36,0.4
289,,Lewis Cook,0.14,0,41.18,44.85,0.36,0.54
290,,Richarlison,0.11,0,36.73,43.71,0.81,0.52
291,,João Félix,0.06,0.06,16.67,49.28,1.81,0.94
292,,Ayoze Pérez,0,0,33.33,40.79,1.5,0.88
293,,Jeffrey Schlupp,0.21,0,37.14,48.59,0.97,1.5
294,,Kalvin Phillips,0.08,0,71.43,41.18,0.17,0.83
295,,Daniel James,0,0,5.26,47.19,0.83,0.17
296,,Ederson,0.09,0,90,83.33,0.11,0.03
297,,Angelo Ogbonna,0,0,63.64,62.5,0.25,0.13
298,,Sergio Gómez,0,0,23.08,41.18,0.17,0.08
299,,Carney Chukwuemeka,0,0,14.29,58.14,0.36,0.14
300,,Steve Cook,0.33,0,72.97,67.86,0.17,0.42
301,,Cédric Soares,0,0,22.22,53.85,0.25,0.25
302,,Albert Sambi Lokonga,0.13,0,38.1,53.25,1.13,0.53
303,,Joe Rothwell,0.05,0,25,47.62,0.15,0.85
304,,Joe Aribo,0.1,0,41.1,46.67,0.62,0.48
305,,Joël Matip,0.21,0,52.08,50,0.36,0.71
306,,Bertrand Traoré,0.13,0,33.33,38.71,1,0.25
307,,Chris Richards,0,0,77.78,70.59,0.11,0.22
308,,Ryan Fraser,0.13,0,33.33,59.09,1.25,0.38
309,,Thilo Kehrer,0.15,0,52.17,50.77,0.44,1.15
310,,Lewis O'Brien,0.15,0,25,59.7,1.15,0.38
311,,Neeskens Kebano,0,0,14.29,45.36,0.94,0.47
312,,Kamaldeen Sulemana,0.06,0,26.32,45.95,0.67,0.5
313,,Rico Henry,0.11,0,41.67,49.24,1.03,0.86
314,,Cheikhou Kouyaté,0.14,0,69.23,60.55,0.57,1.05
315,,Brennan Johnson,0.16,0,27.27,38.55,0.55,0.97
316,,Deniz Undav,0.09,0,41.67,35.09,0.18,0.68
317,,Fábio Vieira,0,0,37.5,40.82,0.23,0.14
318,,Neco Williams,0.23,0,38.64,49.27,0.87,1.06
319,,Billy Gilmour,0.07,0,50,36.59,0.21,0.57
320,,Paul Onuachu,0,0,54.41,48.25,0.55,1.27
321,,Leander Dendoncker,0,0,48,54.79,0.04,0.04
322,,Thomas Cannon,0,0,0,50,1,0
323,,Caoimhin Kelleher,0,0,0,0,0,0
324,,Isaac Price,1,0,0,50,0,0
325,,Morgan Sanson,0,0,0,80,1,0
326,,Giulian Biancone,0,0,100,100,0,0
327,,Jack Colback,0,0,33.33,61.11,0.73,0.82
328,,Rasmus Kristensen,0.15,0,55.74,54.23,0.23,0.73
329,,Scott McTominay,0.33,0,59.65,51.91,0.67,1.17
330,,Raúl Jiménez,0,0,48.98,46.43,0.93,0.93
331,,Moussa Niakhaté,0.07,0,55.88,50.59,0.43,0.86
332,,Robert Sánchez,0.09,0,100,88.89,0,0.04
333,,Jeremy Sarmiento,0.11,0,0,43.24,0.44,0.44
334,,Harrison Reed,0.14,0,45.45,41.43,0.57,1.03
335,,Fraser Forster,0.07,0,100,100,0.14,0
336,,Mario Lemina,0.11,0.05,77.27,59.06,0.47,0.95
337,,James Milner,0.06,0,48.15,47.79,0.48,0.52
338,,Joshua Dasilva,0.03,0,42.86,51.97,0.64,0.39
339,,Emerson Palmieri,0.09,0,66.67,52.42,0.68,0.59
340,,Rob Holding,0,0,56.41,57.89,0.14,0.36
341,,Oliver Skipp,0.3,0,21.88,45.1,0.74,1
342,,Siriki Dembélé,0,0,0,44,0.33,0.17
343,,Takehiro Tomiyasu,0.1,0,45.95,56.47,0.14,0.29
344,,Yves Bissouma,0.26,0,33.33,46.99,0.43,0.74
345,,Keylor Navas,0.12,0,100,100,0,0
346,,Kieffer Moore,0.04,0,53.13,45.78,1.11,0.96
347,,Tyrick Mitchell,0.14,0.03,49.02,53.25,0.28,0.92
348,,Diego Llorente,0.13,0,72,64.81,0.25,0.75
349,,Remo Freuler,0.14,0,56.52,52.98,0.43,0.86
350,,Hee-Chan Hwang,0.04,0,18.92,38.06,0.7,0.74
351,,Carlos Vinícius,0.11,0,29.67,30.54,0.54,0.75
352,,Weston McKennie,0.37,0,52.08,42.94,0.26,1.11
353,,Harvey Barnes,0.09,0,33.33,35.52,1.09,1.12
354,,Orel Mangala,0.11,0,55,53.06,0.85,0.81
355,,Leon Bailey,0.12,0,34.29,33.78,0.67,0.88
356,,Tetê,0,0,29.41,51.38,1.31,0.23
357,,Michail Antonio,0.06,0,35.77,40.49,1.33,0.85
358,,Mads Roerslev,0,0,40,44.44,0.15,0.2
359,,Ainsley Maitland-Niles,0.14,0,57.69,59.86,0.36,0.59
360,,Lucas Digne,0.18,0,60.47,53.95,0.82,0.68
361,,Enock Mwepu,0,0,0,38.71,0.17,0.33
362,,Ludwig Augustinsson,0.33,0,80,72.73,1,0.33
363,,Yasin Ayari,0,0,0,50,1,0
364,,Javier Manquillo,0,0,0,100,0,0
365,,Daniel Iversen,0,0,100,100,0,0
366,,Will Hughes,0.15,0,27.78,45.36,0.26,0.7
367,,Crysencio Summerville,0.14,0,22.73,48.08,1.46,0.79
368,,Philippe Coutinho,0.15,0,18.75,42.74,0.7,0.8
369,,Juan Larios,0,0,28.57,57.14,0,0.2
370,,Scott McKenna,0.2,0,61.67,60.64,0.2,0.4
371,,James Garner,0.19,0,52.17,50.56,0.63,1
372,,Matt Targett,0.06,0,61.11,43.28,0.18,0.59
373,,Nathan Patterson,0.16,0,45.45,53.9,0.68,0.74
374,,Anthony Gordon,0.22,0,21.95,38.74,0.72,0.84
375,,Victor Kristiansen,0.17,0,37.5,53.39,0.75,1.42
376,,Illan Meslier,0.09,0,76.92,72,0.15,0.03
377,,Emmanuel Dennis,0.16,0,44.83,46.71,1.53,0.79
378,,Shandon Baptiste,0.04,0.04,46.15,50.65,0.52,0.48
379,,Bobby Decordova-Reid,0.22,0,22.64,38.52,0.61,0.94
380,,Sékou Mara,0.05,0,38.46,36.71,0.27,0.91
381,,Rúben Vinagre,0,0,0,66.67,1.5,0
382,,Kieran Tierney,0,0,25,55.22,0.33,0.19
383,,Samuel Edozie,0,0,33.33,55.88,1.29,0.06
384,,Ben Johnson,0,0,64,61.25,0.29,0.18
385,,Clément Lenglet,0.15,0,60.56,56.45,0.65,0.88
386,,Elliot Anderson,0,0,68.75,51.22,0.45,0.27
387,,Jonny Otto,0.17,0.06,48.39,51.9,1.06,0.72
388,,Ryan Christie,0.06,0,41.03,44,1.41,1.13
389,,Rayan Aït Nouri,0.19,0,45.16,56.58,0.52,0.71
390,,Ryan Sessegnon,0.24,0,50,45.12,0.35,0.88
391,,Flynn Downes,0.1,0,42.86,54.29,0.57,0.38
392,,Odsonne Édouard,0.09,0,34.75,34.62,0.49,0.8
393,,Gustavo Scarpa,0.17,0,33.33,57.69,1.33,0.67
