Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Gabriel Magalhães,0.08,0.08,100,0.84,0.03,0,1.26,0.84,0.05,3.16,0.03,0.24,0,0,63.03,89.69,7.42,45.95,0,0.37,0,0,0.95,0.18,0.13,0,56.18,62.5,1.05,0.66,38
Lewis Hall,0,0.22,40.91,1.22,0,0,2.56,1.22,0,1.11,0,0.78,0.56,0,39.56,83.71,8.67,61.54,0,0,0,0,1.22,0,0.11,0,58.33,58.82,1.22,0.33,9
Callum Wilson,0.58,0.52,38.71,2.35,0.1,0,0.29,0.03,0,0.16,0,0.1,0.16,0.16,7.58,67.66,2.45,37.5,0,0,0,0,0.45,0.06,0.13,0,30.43,37.44,1,0.68,31
Nathan Aké,0.04,0.04,75,0.35,0.04,0,1,0.77,0,1.81,0,0.15,0.08,0,65.58,91.14,11.46,47.22,0,0.23,0,0,0.46,0.12,0.08,0,61.02,66.95,0.54,0.46,26
Miguel Almirón,0.32,0.18,50.75,2.03,0,0,1.35,0.29,0,0.38,0,0.71,0.09,0.06,27.41,84.55,13.21,59.09,0,0.09,0,0,0.62,0.03,0.06,0,37.5,50.64,0.97,0.65,34
João Palhinha,0.09,0.03,48.28,1.11,0.06,0,4.17,1.31,0.03,1.69,0,1.8,0,0,36.17,82.94,6.23,63.31,0,0.2,0,0,1.09,0.14,0.4,0,64.29,59.41,1.43,1.37,35
Darko Gyabi,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,100,2,0,0,0,0,0,0,0,0,0,0,100,1,0,1
Shea Charles,0,0,0,0,0,0,4,1,0,2,0,0,0,0,24,91.67,3,100,0,0,0,0,1,0,0,0,100,85.71,0,0,1
Neto,0,0,100,0,0,0,0.11,0,0,0.93,0,0,0,0,25.78,56.03,1,36.81,3.7,0.22,0.19,0,1.41,0.04,0.15,0,62.5,80,0.15,0,27
Sven Botman,0,0.08,100,0.61,0,0,1.06,0.94,0.03,3.33,0.03,0.17,0.03,0,48.72,86.77,2.61,54.26,0,0.31,0,0,0.75,0.08,0.06,0,65.81,66.67,0.33,0.42,36
