#,Team,Name,Appearances
385,,Juan Jimenez,30
386,,William Vargas,29
387,,Renato César,18
388,,Federico Arbeláez,17
389,,Byron Torrez,20
390,,Christian Cuero,8
391,,Arnaldo Valverde,28
392,,Andy Burbano,10
393,,Joao Paredes,6
394,,Jonnathan Bravo,3
395,,Federico Jesus Flores,22
396,,Federico Andrada,9
397,,Santiago Ramirez,11
398,,Roberto Luzárraga,12
399,,Marlon Mejía,12
400,,Luis Castro,11
401,,Jefferson Arce,16
402,,Edgar Lastre,18
403,,Cristopher Zambrano,7
404,,Santiago Zamora,15
405,,Jhonnier Estrada,11
406,,Dubar Enríquez,12
407,,Brayan Angulo,14
408,,Marlon Quiñónez,18
409,,Franklin Carabali,14
410,,Silvio Gutiérrez,7
411,,Tomson Minda,18
412,,Stiven Plaza,9
413,,Luis Arce,1
414,,Emerson Espinoza,1
415,,Erick Viveros,1
416,,Jordán Mohor,1
417,,Gustavo Guerreño,3
418,,Juan Perez,5
419,,Ronal Jimenez,6
420,,Carlos Medina,9
421,,Jhon Acurio,1
422,,Daniel Alvarez,1
423,,Diego Espinosa,3
424,,Adrián Gabbarini,4
425,,Jipson Orovio,5
426,,Moisés Corozo,7
427,,Jose Luis Monaga Quinonez,22
428,,Dixon Vera,18
429,,Rody Zambrano,21
430,,Agustín Dávila,8
431,,Jordan Yepez,11
432,,Jefferson Padilla,5
433,,Ruyery Blanco,11
434,,Melvin Diaz,10
435,,Mejia Marcos,8
436,,Junior Ayovi,23
437,,Ayrton Preciado,14
438,,Yeison Nazareno,4
439,,Josué Cuero,18
440,,Joel Alirio Almache Hidalgo,14
441,,Christian Cruz,8
442,,Justin Cuero,2
443,,Kevin Peralta,2
444,,José Orlando Pérez,3
445,,Wilson Chuchuca,3
446,,Jaime Ortiz,11
447,,Pedro Larrea,23
448,,Denilson Ovando,10
449,,Luis Ayala,15
450,,Jeremy Del Castillo,9
451,,Diego Corozo,5
452,,Alexander Eras,5
453,,Jordan Morán,1
454,,Gustavo Nnachi,1
455,,Oscar Jaramillo,1
456,,Bryan Wittle,3
457,,Mayer Mendez,1
458,,William Ocles,7
459,,Andres Garcia,5
460,,Kevin Sambonino,17
461,,Henry Quinonez,9
462,,Marcos Caicedo,2
463,,Kevin Rivera,2
464,,Facundo Queiroz,4
465,,Marcelo Mantilla,6
466,,Jonathan Robledo,5
467,,Yerlin Quinonez,5
468,,Humberto Acevedo,6
469,,Matias Ferreira,14
470,,Isaac Sanchez,1
471,,Darwin Nazareno,2
472,,Elkin Ruiz,1
473,,Luis Felipe Fernandez-Salvador,3
474,,Darwin Cuero,7
475,,José Luis Quiñones,3
476,,Juan Martin Rojas,2
477,,Eduardo Bores,3
478,,Jefferson Quinonez,2
479,,Byron Carabalí,2
480,,Jeison Mina,5
481,,Lenin Chininin,5
482,,Carlos Ortiz,1
483,,Jose Cevallos,2
484,,Luis Cordova,2
485,,Yuber Mosquera,8
486,,Jeison Alfonso Dominguez,3
487,,Alexi Lemos,1
488,,Anderson Ordóñez,8
489,,Efrain Garcia,2
490,,Gabriel Marques,1
491,,Gonzalo Valenzuela,1
492,,Anthony Alvarez,1
493,,Gilmar Napa,0
494,,Lenin Alex Usca,0
495,,David Ortiz,1
496,,Luis Moreno,1
