#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
154,,Kevin Rodriguez,0.06,0,0,0.25,0,0.19
155,,Anderson Naula,1.13,0.53,0,0.33,0,0.57
156,,David Ribeiro Pereira,1.57,0.14,0,0.14,0,0.29
157,,Joel Quintero,2,0,0,3,0,1
158,,Byron Mina,2.25,1.25,0,1.5,0,0.25
159,,Aubrey David,0.83,0.67,0,2.17,0,0
160,,Ethan Minda,0,0,0,1,0,0
161,,Johan Lara,0,0,0,0,0,0
162,,Rooney Troya,1,0,0,0,0,0
163,,Jair Castillo,0.83,0,0,0.17,0,0.33
164,,Janner Corozo,1.15,0.22,0,0.11,0,0.3
165,,Carlos Arboleda,0.65,0.46,0,0.58,0,0.35
166,,Richard Calderón,0.64,0.44,0,0.2,0,0.56
167,,Maikel Reyes,1.59,1,0,1.36,0,0.32
168,,Eddy Mejía,0.5,0.17,0,0.25,0,0.08
169,,Diego Armas,0.18,0.09,0,0,0,0.09
170,,Walter Hinostroza,0.08,0,0.04,0.28,0,0.08
171,,Jean Carlos Montaño,1.64,0.64,0,0.79,0,0.5
172,,Steven Tapiero,1.42,0.96,0.04,1.13,0,0.71
173,,Pedro Velasco,0.69,0.54,0,1.38,0,0.23
174,,Vinicio Angulo,0.29,0.06,0,0.47,0,0
175,,José Alberti,0.91,0.45,0,0.55,0,0.45
176,,Guillermo Fratta,0.73,0.45,0,3.73,0,0.55
177,,Madison Julio,1.19,0.76,0,0.24,0,0.48
178,,Edison Vega,0.72,0.88,0,0.96,0,0.16
179,,Jefferson Nazareno,0.56,0.78,0,3.89,0,0.22
180,,Darío Aimar,0.61,0.5,0,3.94,0.06,0.28
181,,Cristian Colmán,0.77,0.15,0,0.15,0,0.15
182,,Darlin Leiton,0.6,0.4,0,0,0,0.6
183,,Davor Montiel,1.5,2,0,5.75,0,0.5
184,,Juan Bolado,0,0,0,0.13,0,0
185,,Carlos Uvilde Sanchez Esmeraldas,1.6,0.2,0,0.5,0,0.2
186,,Daniel Porozo,0.59,0.15,0,0.15,0,0.26
187,,Lautaro Díaz,0.35,0.04,0,0.04,0,0.22
188,,Mateo Carabajal,1.48,0.57,0,2,0,0.39
189,,Bryan Rodriguez,0.5,0.17,0,0.17,0,0.33
190,,Daniel Mejia,0,0,0,0,0,0
191,,Layan Loor,1.42,0.92,0,1.42,0,0.46
192,,Edison Carcelen,0.95,1.27,0,2.36,0,0.27
193,,Cristian Penilla,0.17,0.11,0,0.11,0,0
194,,Christian Oña,0.63,0.63,0,0.75,0,0.38
195,,Vilinton Branda,0.33,0.13,0,0.07,0,0.2
196,,Bryan Oña,0.2,0.6,0,0.2,0,0
197,,Manu Balda,0.59,0.24,0,0.29,0,0.41
198,,Jimmy Mina,2,1.08,0,3.42,0,0.42
199,,Nicolás Goitea,0.54,0.96,0.04,4.07,0,0.18
200,,Jhonny Quiñónez,0.57,0.52,0.05,1.38,0,0.38
201,,Joshue Quinonez,1,0.78,0.11,2.44,0,0
202,,Renny Sinisterra,0.86,0.29,0,0.43,0,0.46
203,,Agustin Maziero,0.5,0.1,0,0.7,0,0.27
204,,Sebastián Assis,1.33,0.43,0.03,0.67,0,0.7
205,,Fernando Gaibor,0.71,0.5,0,0.21,0,0.86
206,,Sergio Sosa,0.4,0,0,0,0,0.2
207,,Gustavo Cortez,0.5,0.81,0.06,0.31,0,0.25
208,,Manuel Corozo,0.5,0.5,0,0.25,0,0
209,,Mayckel Uriarte,0.5,0.25,0,0.5,0,0
210,,Jefferson Caicedo,0.58,0.42,0,0.11,0,0.21
211,,Wilter Ayovi,0.5,0.14,0,0,0,0.29
212,,Joao Ortíz,0.65,0.5,0,0.46,0,0.12
213,,Danny Luna,0.15,0.08,0,0.08,0,0.08
214,,Marcelo Moreno,0.3,0.2,0,0.35,0,0.25
215,,Ousmane N’Dong,1,1.1,0.2,4.25,0,0.25
216,,Kevin Becerra,0.93,1,0,2.9,0,0.31
217,,Roger Arias,1.55,1.24,0,1.62,0,0.38
218,,Daniel Clavijo,1,0.63,0,0.47,0,0.53
219,,Yaimar Medina,0.39,0.33,0,0.28,0,0.11
220,,Andrés Felipe Ávila,1.58,0.42,0,0.42,0,0.63
221,,Tommy Chamba,0.35,0.12,0,0.18,0,0.06
222,,Luciano Recalde,0.86,1.21,0.11,3.32,0,0.14
223,,José Andrade,0.57,0.17,0,0.13,0,0.35
224,,Ronald Perlaza,0.6,0.1,0,0.1,0,0.1
225,,Francisco Mera,0.68,0.5,0,0.29,0,0.64
226,,Adolfo Muñoz,0.87,0.48,0,0.13,0.04,0.3
227,,David Cabezas,0.28,0,0.22,1.39,0,0.17
228,,Luis Caicedo,1.34,1.1,0.03,4.48,0.03,0.48
229,,Jean Humanante,1.08,0.69,0.04,1.23,0,0.69
230,,Jordan Chillambo,1.57,1.05,0.05,2,0,1
231,,Jalmar Almeida,0.32,0.32,0,0.16,0,0.42
232,,Dixon Arroyo,0.67,0.33,0,0.67,0,0.67
233,,Jonnathan Mina,0.96,0.96,0,2.46,0,0.39
234,,Onofre Mejia,1.09,0.61,0,0.3,0,0.57
235,,Steven Gomez,0.17,0.42,0,0.17,0,0.08
236,,Olmes García,0.1,0,0,0.3,0,0
237,,Lucas Ontivero,0.29,0,0,0.14,0,0
238,,Nicolás Previtali,0.91,0.27,0.09,0.27,0,0.36
239,,Yilmar Filigrana,0.14,0,0,0,0,0.21
240,,Richard Mina,1,0.69,0,3.08,0,0.46
241,,Jimmy Evans,0.63,0.22,0,0.07,0,0.26
242,,Kevin Velasco,0.83,0,0,0,0,0
243,,Enzo López,0.15,0.15,0,0.08,0,0.12
244,,Jean Carlos Estacio,0.91,0.52,0.04,0.48,0,0.48
245,,Jose Caicedo,0.57,0.29,0,1.43,0,0.14
246,,Henry Patta,0.81,0.37,0,0.22,0,0.33
247,,Darwin Torres,1.14,1.5,0,3,0.07,0.29
248,,Michael Rangel,0,0.14,0,0.29,0,0
249,,José Hernández,2.21,1.5,0.07,1.43,0,0.57
250,,Jorge Pinos,0,0,0,0.68,0.05,0
251,,Alejandro Gabriel Quintana,0.38,0,0,0.13,0,0.13
252,,John Medina,2.13,0.63,0,2.63,0,0.38
253,,Ariel Almagro,1.82,0.76,0,0.88,0,0.82
254,,Walter Chavez,0.04,0,0.07,0.39,0,0.04
255,,Diego Hurtado,0.21,0,0,0.07,0,0.07
256,,Wilker Ángel,0.64,1.09,0,4.36,0,0.09
