#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
155,,Anderson Naula,0,0.03,19.7,74.28,5.6,44.44
156,,David Ribeiro Pereira,0.14,0.14,14.29,78,4.14,83.33
157,,Joel Quintero,0,0,2,0,0,0
158,,Byron Mina,0,0,8,56.25,1.25,33.33
159,,Aubrey David,0,0,29.67,85.96,0.67,56
160,,Ethan Minda,0,0,35,77.14,0,20
161,,Johan Lara,0,0,19,73.68,2,37.5
162,,Rooney Troya,0,0,8.5,88.24,3.5,100
163,,Jair Castillo,0,0,10.33,79.03,3.83,40
164,,Janner Corozo,0.11,0.11,14.81,66.5,3.93,39.29
165,,Carlos Arboleda,0.08,0.12,17.65,67.32,4.15,40.22
166,,Richard Calderón,0,0.08,20.4,77.65,4.88,67.71
167,,Maikel Reyes,0,0,16.27,68.99,3.41,34.38
168,,Eddy Mejía,0.25,0.25,8,69.79,2.33,46.15
169,,Diego Armas,0.09,0.09,13.82,79.61,4.55,36.36
170,,Walter Hinostroza,0.04,0,27.16,57.88,1.92,40.97
171,,Jean Carlos Montaño,0,0,35,90.41,2.71,69.23
172,,Steven Tapiero,0.08,0,26.29,78.76,4,56.04
173,,Pedro Velasco,0.23,0.15,24.62,75.31,7.23,47.37
174,,Vinicio Angulo,0,0,12.71,68.98,2.41,44.44
175,,José Alberti,0.09,0.09,27.27,80.33,6.18,50
176,,Guillermo Fratta,0,0,30.18,75.9,2.55,46.07
177,,Madison Julio,0,0.05,19.1,69.08,4.71,54.17
178,,Edison Vega,0.08,0.04,27.12,83.92,4.4,62.86
179,,Jefferson Nazareno,0,0,9.11,56.1,0.89,21.43
180,,Darío Aimar,0,0,41.72,86.15,1.56,52.27
181,,Cristian Colmán,0,0,10.85,68.09,2.54,57.14
182,,Darlin Leiton,0.2,0,17.2,81.4,7.8,0
183,,Davor Montiel,0,0,23,67.39,2,47.83
184,,Juan Bolado,0,0,26.63,63.38,3.75,42.96
185,,Carlos Uvilde Sanchez Esmeraldas,0.1,0,19.3,80.31,4.5,54.17
186,,Daniel Porozo,0.04,0.07,11.81,62.7,2.96,30
187,,Lautaro Díaz,0.09,0,9.26,70.42,3.48,66.67
188,,Mateo Carabajal,0,0,51.48,88.94,4.04,48.28
189,,Bryan Rodriguez,0.08,0,14,82.14,4.08,54.55
190,,Daniel Mejia,0.33,0.33,4.33,84.62,1.67,0
191,,Layan Loor,0.12,0.08,42.77,84.8,10.04,63.1
192,,Edison Carcelen,0,0,20.55,75,1.86,46.55
193,,Cristian Penilla,0.06,0.06,5.89,77.36,2.44,60
194,,Christian Oña,0,0.13,38.88,87.46,5,67.44
