#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
269,,Guillermo Rendón,0,0,100,0,0,0
270,,Marcos Olmedo,0,0,100,0,0,0
271,,Jeremy Mina,0,0,0,0,0,0
272,,Ronal de Jesus,0,0,0,0.33,0,0
273,,Ariel Aguas,0,0,0,0.14,0,0
274,,Ivan Becker,0,0,66.67,0.22,0,0
275,,Keny Arroyo,0,0,100,0,0,0
276,,Jairo Reyes,0,0,0,0,0,0
277,,Jackson Rodríguez,0,0,0,0.25,0,0
278,,Maikel Valencia,0,0,70,0.95,0,0
279,,Mauricio Alonso,0.03,0,55.56,1.17,0,0
280,,Cristian Pellerano,0.05,0,66.67,0.62,0,0
281,,Marlon Medranda,0,0.05,42.86,0.5,0,0
282,,Bryan Carabalí,0,0,72.73,0.82,0,0
283,,Ronny Borja,0.08,0,60,1.67,0,0
284,,Carlos Feraud,0,0,50,0.79,0,0
285,,Rodrigo Rivas González,0.13,0.17,35.29,1.52,0.04,0
286,,Ariel Garcia,0,0,57.14,0.08,0,0
287,,Bruno Téliz,0.05,0.05,60,0.71,0.05,0
288,,Andres Campas,0.1,0.1,0,0.2,0.1,0
289,,Mario Pineida,0,0,45.16,0.55,0,0
290,,Pablo Cifuentes,0.04,0.04,100,0.22,0,0
291,,José Luis Angulo,0,0,100,0,0,0
292,,Erick Castillo,0.13,0.17,58.33,1.57,0,0
293,,Bryan Tana,0.05,0,42.86,1.11,0,2.63
294,,Enson Rodriguez,0.07,0,71.43,0.36,0,0
295,,Henry Mercado,0,0,71.43,0.5,0,0
296,,Janus Vivar,0,0,36.36,1,0,0
297,,Rodrigo Melo,0,0.04,61.11,0.52,0,0
298,,Jonathan Borja,0.07,0,65,1.2,0,0
299,,Enzo Ariel Fernandez,0,0.14,100,0.29,0,0
300,,Roberto Garcés,0.19,0.04,40,0.81,0.04,0
301,,Fidel Martínez,0.2,0.1,50,0.3,0,0
302,,Leonardo Villagra,0.11,0,33.33,0.67,0,0
303,,Patrik Mercado,0.09,0,81.25,0.7,0,0
304,,Diego Ávila,0.14,0.07,0,1,0.07,0
305,,Rommel Tapia,0.08,0,58.33,0.65,0,0
306,,Jhon Narvaez,0,0,54.55,0.17,0,0
307,,Charles Vélez,0.04,0.04,44.44,1.69,0,0
308,,Óscar Quiñónez,0.04,0,64.29,0.52,0.04,0
309,,Glendys Mina,0,0,33.33,0.28,0,0
310,,Dany Coronel,0.12,0.2,28.57,1.28,0,0
311,,Angelo Mina,0,0,40,0.16,0,0
312,,Orlin Quinonez,0,0,37.5,0.22,0,0
313,,Stalin Morocho,0.08,0.08,25,0.73,0.08,0
314,,Bryan Rivera,0,0,64.29,0.19,0,0
315,,Pedro Perlaza,0,0,53.13,0.38,0,0
316,,Jhon Sánchez,0.09,0.09,62.5,1,0,0
317,,Jhoanner Chávez,0.13,0.13,57.14,1.13,0,0
318,,Allen Obando,0.17,0,0,0.83,0.17,0
319,,Jairon Charcopa,0,0,0,1.33,0,0
320,,Kevin Mercado,0,0.17,50,1.5,0,0
321,,Robinson Requene,0,0,47.06,0.47,0,0
322,,Daniel Patino,0,0,20,0.39,0,0
323,,Carlos Cuero,0.08,0.04,46.15,0.46,0,0
324,,Ronald Briones,0,0,40,0.45,0,0
325,,Jonathan Bauman,0.08,0.12,57.14,0.72,0.04,0
326,,Luis Gustavino,0,0,80,0.37,0,0
327,,Rommel Cabezas,0,0,100,0.25,0,0
328,,Gregori Anangonó,0.05,0.05,34.62,1.18,0,0.41
329,,Jesús Preciado,0.07,0.1,37.5,1.14,0.03,0
330,,Milton Bolaños,0,0,37.5,0.65,0,0
331,,Cristian Enciso,0.05,0,100,0.55,0,0
332,,Eddie Guevara,0,0,100,0.15,0,0
333,,Edwin Mesa,0,0,48.28,0.36,0,0
334,,José Carabalí,0.04,0.04,34.78,0.65,0,0
335,,Segundo Portocarrero,0.04,0.04,58.62,0.42,0.04,0
336,,Luis Romero,0,0,0,0.38,0,0
337,,Jostin Alman,0.14,0.33,21.05,1.38,0,0
338,,Bruno Piñatares,0,0,0,0.17,0,0
339,,Carlos Villalba,0.05,0,66.67,0.4,0.05,0
340,,Federico Vietto,0.1,0.1,100,0.6,0,0
341,,Yardely Rodriguez,0,0,37.5,0.32,0,0
342,,Juan Diego Rojas Caicedo,0.06,0,60,0.81,0,0
343,,Beder Caicedo,0.07,0.07,62.5,0.53,0,0
344,,Juan Alvacete,0,0,66.67,0.2,0,0
345,,Klebinho,0.04,0.11,50,0.78,0,0
346,,Luis Aldair Arroyo Cabeza,0.25,0,0,1,0.25,0
347,,Jefferson Montero,0,0,36.36,0.31,0,0
348,,Erick Zambrano,0,0.25,100,0.5,0,0
349,,Kleber Pinargote Lara,0,0,0,0,0,0
350,,Bleiner Agrón,0,0,80,0,0,0
351,,Óscar Villalba,0,0,0,1,0,0
352,,Gustavo Asprilla,0.1,0.3,23.81,1.55,0,0
353,,Cristhian Valencia,0,0,33.33,0.62,0,0
354,,Wiston Fernández,0,0,32,0.53,0,0
355,,Sergio Quintero,0,0,66.67,0.8,0,0
356,,Davis Camacho,0,0,50,0.1,0,0
357,,Andres Arroyo,0.13,0,100,0.78,0.13,0
358,,Roberto Ordóñez,0.07,0.33,50,0.87,0.07,0
359,,Walberto Caicedo,0.11,0.11,0,1,0.11,0
360,,Franco Costa,0.14,0,46.15,0.14,0,0
361,,Jose Klinger,0,0,0,1,0,0
362,,Michael Mieles,0,0,0,1,0,0
363,,Mathías Solís,0,0,0,0,0,0
364,,Silvano Estacio,0,0,0,0.33,0,0
365,,Armando Calle,0,0,0,0,0,0
366,,Ariel Fernando Alcivar,0,0,0,0,0,0
367,,Adrián Bone,0,0,0,0,0,0
368,,Piero Guzmán,0,0,100,0,0,0
369,,Ignacio Valsagiácomo,0,0,60,0.33,0,0
370,,Joffré Escobar,0,0.11,40,1.22,0,0
371,,Walter Chalá,0,0.08,28.57,0.58,0,0
372,,Cristian Duma,0,0,50,0.67,0,0
373,,Darwin Suarez,0.04,0,47.06,0.35,0.04,0
374,,Bryan Nazareno,0.06,0,60,0.35,0,0
375,,Daniel Segura,0,0,0,1.63,0,0
376,,Esnaider Cabezas,0,0,0,0.33,0,0
377,,Jean Carrion,0.1,0,0,0.6,0,0
378,,Manuel Núñez,0,0,0,1.17,0,0
379,,Richard Farias,0,0,75,0.27,0,0
380,,Ángel González,0.2,0.3,22.22,0.6,0,0
381,,Denis Rodríguez,0,0,50,0.85,0,0
382,,Cristian Sención,0,0,0,0.6,0,0
383,,Eder Cetre,0,0,0,0.2,0,0
384,,Sergio Vasquez,0,0,50,0.33,0,0
385,,Juan Jimenez,0,0,45,0.4,0,0
386,,William Vargas,0.03,0.03,42.31,0.31,0,0
387,,Renato César,0,0,62.5,0.72,0,0
388,,Federico Arbeláez,0,0,41.67,0,0,0
389,,Byron Torrez,0,0,45.83,0.25,0,0
390,,Christian Cuero,0.13,0.25,66.67,1,0,0
391,,Arnaldo Valverde,0,0.04,50,0.46,0,0
392,,Andy Burbano,0.1,0,33.33,1.2,0,0
393,,Joao Paredes,0,0,0,0.17,0,0
394,,Jonnathan Bravo,0,0,0,0,0,0
395,,Federico Jesus Flores,0,0,44.44,0.32,0,0
396,,Federico Andrada,0.11,0.33,0,1.33,0,0
397,,Santiago Ramirez,0,0.09,46.15,0.64,0,0
398,,Roberto Luzárraga,0,0,100,0.42,0,0
399,,Marlon Mejía,0,0,100,0.08,0,0
400,,Luis Castro,0,0,0,0.09,0,0
401,,Jefferson Arce,0,0.06,50,0.44,0,0
402,,Edgar Lastre,0.06,0,37.5,0.44,0,0
403,,Cristopher Zambrano,0,0,20,0.43,0,0
404,,Santiago Zamora,0,0.07,42.86,0.87,0,0
405,,Jhonnier Estrada,0,0,66.67,0.18,0,0
406,,Dubar Enríquez,0,0,100,0.17,0,0
407,,Brayan Angulo,0,0.29,50,0.79,0,0
408,,Marlon Quiñónez,0,0,44.44,0.67,0,0
409,,Franklin Carabali,0,0,37.5,0.57,0,0
410,,Silvio Gutiérrez,0,0,50,0.14,0,0
411,,Tomson Minda,0.06,0,46.15,0.89,0,0
412,,Stiven Plaza,0,0.11,11.11,0.44,0,0
413,,Luis Arce,0,0,0,0,0,0
414,,Emerson Espinoza,0,0,0,0,0,0
415,,Erick Viveros,0,0,0,0,0,0
416,,Jordán Mohor,0,0,0,0,0,0
417,,Gustavo Guerreño,0,0,50,0.67,0,0
418,,Juan Perez,0,0,100,0.2,0,0
419,,Ronal Jimenez,0,0,0,0.17,0,0
420,,Carlos Medina,0,0,100,0.11,0,0
421,,Jhon Acurio,0,0,0,0,0,0
422,,Daniel Alvarez,0,0,0,0,0,0
423,,Diego Espinosa,0,0,0,0,0,0
424,,Adrián Gabbarini,0,0,0,0,0,0
425,,Jipson Orovio,0,0,0,0.2,0,0
426,,Moisés Corozo,0,0,0,1.14,0,0
427,,Jose Luis Monaga Quinonez,0,0,64.71,0.23,0,0
428,,Dixon Vera,0,0,55,0.61,0,0
429,,Rody Zambrano,0,0,75,0.1,0,0
430,,Agustín Dávila,0,0.13,0,0.63,0,0
431,,Jordan Yepez,0.09,0,33.33,0.64,0.09,0
432,,Jefferson Padilla,0,0.2,60,0.4,0,0
433,,Ruyery Blanco,0,0.09,0,0.45,0,0
434,,Melvin Diaz,0,0,33.33,0.3,0,0
435,,Mejia Marcos,0,0,44.44,0.75,0,0
436,,Junior Ayovi,0,0,52.38,0.17,0,0
437,,Ayrton Preciado,0,0,20,0.21,0,0
438,,Yeison Nazareno,0,0,33.33,0.25,0,0
439,,Josué Cuero,0,0,66.67,0.11,0,0
440,,Joel Alirio Almache Hidalgo,0,0,63.16,0.36,0,0
441,,Christian Cruz,0,0,60,0.25,0,0
442,,Justin Cuero,0,0,0,0,0,0
443,,Kevin Peralta,0,0,0,0,0,0
444,,José Orlando Pérez,0,0,0,0,0,0
445,,Wilson Chuchuca,0,0,100,0,0,0
446,,Jaime Ortiz,0,0.09,100,0.45,0,0
447,,Pedro Larrea,0.04,0.09,66.67,0.43,0,0
448,,Denilson Ovando,0,0,12.5,0.4,0,0
449,,Luis Ayala,0,0.07,20,0.47,0,0
450,,Jeremy Del Castillo,0,0,100,0,0,0
451,,Diego Corozo,0,0,100,0.2,0,0
452,,Alexander Eras,0,0,0,0,0,0
453,,Jordan Morán,0,0,0,0,0,0
454,,Gustavo Nnachi,0,0,0,0,0,0
455,,Oscar Jaramillo,0,0,0,1,0,0
456,,Bryan Wittle,0,0,0,0,0,0
457,,Mayer Mendez,0,0,0,0,0,0
458,,William Ocles,0,0,33.33,0.29,0,0
459,,Andres Garcia,0,0,50,0,0,0
460,,Kevin Sambonino,0,0,50,0.12,0,0
461,,Henry Quinonez,0,0,25,0,0,0
462,,Marcos Caicedo,0,0,0,0,0,0
463,,Kevin Rivera,0,0,0,0,0,0
464,,Facundo Queiroz,0,0,0,0,0,0
465,,Marcelo Mantilla,0,0,0,0,0,0
466,,Jonathan Robledo,0,0,0,0.4,0,0
467,,Yerlin Quinonez,0,0,33.33,0.2,0,0
468,,Humberto Acevedo,0,0,0,0,0,0
469,,Matias Ferreira,0,0,100,0,0,0
470,,Isaac Sanchez,0,0,0,0,0,0
471,,Darwin Nazareno,0,0,0,0,0,0
472,,Elkin Ruiz,0,0,0,0,0,0
473,,Luis Felipe Fernandez-Salvador,0,0,0,0.33,0,0
474,,Darwin Cuero,0,0,0,0,0,0
475,,José Luis Quiñones,0,0,100,0.33,0,0
476,,Juan Martin Rojas,0,0,0,0,0,0
477,,Eduardo Bores,0,0,0,0,0,0
478,,Jefferson Quinonez,0,0,0,0,0,0
479,,Byron Carabalí,0,0,50,0,0,0
480,,Jeison Mina,0,0,25,0.8,0,0
481,,Lenin Chininin,0,0,100,0.4,0,0
482,,Carlos Ortiz,0,0,0,0,0,0
483,,Jose Cevallos,0,0,0,0,0,0
484,,Luis Cordova,0,0,0,0,0,0
485,,Yuber Mosquera,0,0,0,0.13,0,0
