#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
199,,Nicolás Goitea,0.11,0.04,56.6,56.45,0.68,0.57
200,,Jhonny Quiñónez,0.05,0,64.29,46.22,0.48,1.14
201,,Joshue Quinonez,0.11,0.11,58.33,67.5,0.44,0.33
202,,Renny Sinisterra,0.18,0,61.54,42.48,0.79,1.29
203,,Agustin Maziero,0.13,0,36.69,36.92,0.63,1.17
204,,Sebastián Assis,0.23,0,38.1,52.86,1.9,1.07
205,,Fernando Gaibor,0.14,0,36.36,41.01,0.61,0.61
206,,Sergio Sosa,0.2,0,0,34.21,0.6,0.6
207,,Gustavo Cortez,0.13,0,37.5,46.03,0.69,1
208,,Manuel Corozo,0,0,0,50,0,0.25
209,,Mayckel Uriarte,0.25,0,100,62.5,0,0.25
210,,Jefferson Caicedo,0,0.05,38.89,53.19,1.37,0.58
211,,Wilter Ayovi,0.14,0,30.77,51.95,1.29,0.64
212,,Joao Ortíz,0.08,0.04,45.83,54.46,0.85,0.81
213,,Danny Luna,0,0,25,56.67,1.08,0.23
214,,Marcelo Moreno,0.1,0,33.33,34.43,0.2,0.65
215,,Ousmane N’Dong,0.25,0.05,74.47,63.73,0.4,0.8
216,,Kevin Becerra,0.1,0,50,56.25,0.59,0.62
217,,Roger Arias,0.24,0.03,53.33,57.5,1.28,1.21
218,,Daniel Clavijo,0.11,0,50,47.12,0.68,0.84
219,,Yaimar Medina,0.17,0.06,25,42.25,0.89,0.94
220,,Andrés Felipe Ávila,0.08,0,62.5,50.96,0.71,1.04
221,,Tommy Chamba,0.18,0,50,62,1.18,0.53
222,,Luciano Recalde,0.29,0,64.91,57.6,0.25,1.11
223,,José Andrade,0.09,0.04,23.4,42.06,1.17,0.57
224,,Ronald Perlaza,0.2,0.1,27.27,44.23,0.2,0.7
225,,Francisco Mera,0.11,0,35.71,50.84,1.71,0.68
226,,Adolfo Muñoz,0.13,0,43.75,47.06,0.78,0.7
227,,David Cabezas,0.22,0,71.43,64,0.22,0.22
228,,Luis Caicedo,0.24,0,55.1,58.71,0.76,0.79
229,,Jean Humanante,0.15,0,80,54.78,0.65,0.77
230,,Jordan Chillambo,0.1,0,53.85,51.95,1.1,1.29
231,,Jalmar Almeida,0.05,0,25,38.3,0.32,0.32
232,,Dixon Arroyo,0,0,41.67,37.5,0.67,1
233,,Jonnathan Mina,0.11,0,63.41,51.82,0.36,0.64
234,,Onofre Mejia,0.09,0,41.18,47.83,0.65,1
235,,Steven Gomez,0,0,25,26.92,0.08,0.5
236,,Olmes García,0,0,52,52.08,1.1,1.1
237,,Lucas Ontivero,0,0,0,50,0.57,0.29
238,,Nicolás Previtali,0.09,0,50,50,0.18,0.73
239,,Yilmar Filigrana,0,0,43.24,41.79,0.36,0.29
240,,Richard Mina,0.54,0,62.5,44.87,0.15,1.85
241,,Jimmy Evans,0.26,0.04,37.5,48.56,2.11,1.37
242,,Kevin Velasco,0,0,0,72.73,0.5,0.17
243,,Enzo López,0.08,0,41.3,39.29,0.27,0.69
244,,Jean Carlos Estacio,0.17,0,35.71,41.73,0.87,1.22
245,,Jose Caicedo,0,0,85.71,61.54,0.57,0.29
246,,Henry Patta,0.15,0,20,47.06,0.74,0.78
247,,Darwin Torres,0.14,0.07,52.78,62.86,0.57,0.21
248,,Michael Rangel,0,0,50,48.78,0.43,0.57
249,,José Hernández,0.14,0,66.67,61.95,1.07,0.71
250,,Jorge Pinos,0.14,0.05,50,62.5,0.09,0.05
251,,Alejandro Gabriel Quintana,0.13,0,28.57,26.32,0.25,1.25
252,,John Medina,0.38,0,71.43,54.55,0.13,1.75
253,,Ariel Almagro,0.06,0,18.18,50.39,1.47,0.94
254,,Walter Chavez,0.29,0,57.14,60,0.11,0.07
255,,Diego Hurtado,0,0,46.67,56.67,0.43,0.21
256,,Wilker Ángel,0.18,0.09,60.87,52,0.55,1.27
257,,Cristian Martínez,0.19,0,29.17,31.93,0.46,1.19
258,,Marco Alexander Carrasco Bonilla,0.21,0,42.86,60.94,0.93,0.21
259,,Ronny Biojo,0,0,54.55,53.42,0.65,0.94
260,,Darwin Estuardo Quilumba Diaz,0.39,0,61.54,52.56,0.72,1
261,,Marco Montaño,0.3,0.04,36.84,50.61,1,1.04
262,,Adonis Preciado,0.23,0.09,71.43,55.97,1.5,1.27
263,,Alex Rangel,0.36,0,48.28,57.14,0.77,1.45
264,,Romario Caicedo,0.15,0,55.26,52.94,1.23,1.27
265,,Patrickson Delgado,0.17,0,33.33,47.83,0.5,0.67
266,,Bryan Elian Vinan Rodriguez,0,0,80,45.16,0.44,0.44
267,,Derlis Mereles,0,0,100,75,1,0
268,,Álvaro Preciado,1,0,0,66.67,1,1
269,,Guillermo Rendón,0,0,0,66.67,0,0
270,,Marcos Olmedo,0,0,0,50,0.5,0.5
271,,Jeremy Mina,0,0,0,33.33,0,0.5
272,,Ronal de Jesus,0,0,0,100,0.33,0
273,,Ariel Aguas,0.29,0,100,65.38,0.86,1
274,,Ivan Becker,0.11,0,50,42.5,0.67,1.22
275,,Keny Arroyo,0,0,0,100,1,0
276,,Jairo Reyes,0,0,0,50,1,1
277,,Jackson Rodríguez,0.25,0,54.55,45.71,1,0.88
278,,Maikel Valencia,0.14,0,30.77,51.35,1.18,1.05
279,,Mauricio Alonso,0.24,0,43.75,49.25,1.31,1
280,,Cristian Pellerano,0.48,0,0,45.45,0.33,0.48
281,,Marlon Medranda,0.27,0.05,62.79,60,0.91,1.18
282,,Bryan Carabalí,0.24,0,40,48.11,1.06,1.06
283,,Ronny Borja,0.25,0,50,42.53,0.75,1.5
284,,Carlos Feraud,0,0,33.33,55.56,0.5,0.43
285,,Rodrigo Rivas González,0.17,0,41.67,35.42,0.87,1.22
286,,Ariel Garcia,0.08,0,68.75,54.76,0.17,0.5
287,,Bruno Téliz,0.1,0.05,64.71,47.52,1.1,1.67
288,,Andres Campas,0.1,0,45,45.65,0,0.7
289,,Mario Pineida,0.45,0,59.26,52.2,1.1,1.3
290,,Pablo Cifuentes,0.33,0,58.49,51.82,0.56,1.15
291,,José Luis Angulo,0.19,0.06,75,70,0.25,0.13
292,,Erick Castillo,0.17,0.09,35,46.02,0.57,0.57
293,,Bryan Tana,0.11,0.05,64.29,42.61,0.95,1.79
294,,Enson Rodriguez,0.14,0,50,45,0.71,0.64
295,,Henry Mercado,0.33,0,50,66.67,1.17,0.83
296,,Janus Vivar,0,0,0,36.84,0.38,0.63
297,,Rodrigo Melo,0.22,0.07,52.27,47.83,0.56,1.48
298,,Jonathan Borja,0.13,0,33.33,47.83,0.8,0.73
299,,Enzo Ariel Fernandez,0,0,0,62.5,0.43,0.29
300,,Roberto Garcés,0.22,0.04,29.03,41.48,0.74,1.22
301,,Fidel Martínez,0.3,0,40,39.13,0.3,0.4
302,,Leonardo Villagra,0,0,75,35.71,0.11,0.44
303,,Patrik Mercado,0.22,0.04,50,46.39,0.61,1.22
304,,Diego Ávila,0.07,0,37.5,29.73,0.29,0.64
305,,Rommel Tapia,0.08,0,33.33,45.86,0.81,0.85
306,,Jhon Narvaez,0.17,0,21.05,55.47,0.52,1.13
307,,Charles Vélez,0.27,0.04,56.25,41.78,0.65,1.38
308,,Óscar Quiñónez,0.16,0.08,75.93,63.4,1,1.28
309,,Glendys Mina,0.16,0.04,55.26,54.41,0.52,0.72
310,,Dany Coronel,0,0,28.3,34.85,0.8,0.92
311,,Angelo Mina,0.26,0,59.09,50,1,1.32
312,,Orlin Quinonez,0.17,0,48.39,48.57,0.39,1.17
313,,Stalin Morocho,0,0,70,55.48,1.38,0.54
314,,Bryan Rivera,0.38,0,62.5,52.21,0.38,1.23
315,,Pedro Perlaza,0.14,0.1,42.11,52.45,1.33,0.76
316,,Jhon Sánchez,0.18,0.05,25,40,0.59,0.73
317,,Jhoanner Chávez,0.33,0,42.86,35.48,0.47,1.53
318,,Allen Obando,0.33,0,50,33.33,0.17,0.67
319,,Jairon Charcopa,0,0,100,33.33,0.33,0.33
320,,Kevin Mercado,0,0,66.67,41.67,0.83,0.67
321,,Robinson Requene,0.24,0,25,51.14,0.53,0.88
322,,Daniel Patino,0.22,0,38.46,47.86,0.65,1.35
323,,Carlos Cuero,0.42,0,54.29,45.51,1,2
324,,Ronald Briones,0.27,0.09,10,48.94,1.09,0.45
325,,Jonathan Bauman,0.16,0,41.18,57.14,1.08,0.44
326,,Luis Gustavino,0.32,0.05,54.55,50.43,0.58,1.26
327,,Rommel Cabezas,0.25,0,85.71,60,0.25,1
328,,Gregori Anangonó,0.45,0.09,65.38,49.68,1,1.45
329,,Jesús Preciado,0.38,0,40.32,56.18,2.72,1.1
330,,Milton Bolaños,0.24,0,42.86,45.59,0.88,0.71
331,,Cristian Enciso,0.14,0,57.81,53.28,0.82,0.95
332,,Eddie Guevara,0.2,0.05,64.15,54.63,0.5,1.1
333,,Edwin Mesa,0.12,0,57.14,60.69,0.68,0.48
334,,José Carabalí,0.3,0.04,63.16,48.51,1.48,1.35
335,,Segundo Portocarrero,0.12,0.04,68.42,56.74,1.65,1.23
336,,Luis Romero,0.38,0,66.67,65.12,1.25,0.75
337,,Jostin Alman,0.1,0,40,39.58,1.29,0.95
338,,Bruno Piñatares,0.22,0,70.59,51.11,0.28,0.83
339,,Carlos Villalba,0.15,0.05,54.17,40.5,0.8,2.05
340,,Federico Vietto,0.1,0,0,28.57,0.1,0.2
341,,Yardely Rodriguez,0.45,0,65.28,62.11,0.77,1.05
342,,Juan Diego Rojas Caicedo,0,0,50,49.3,1,0.63
343,,Beder Caicedo,0.27,0,66.67,52.11,0.4,1.13
344,,Juan Alvacete,0.13,0,52.94,53.45,0.13,0.67
345,,Klebinho,0.04,0.04,66.67,61.72,1.56,0.44
346,,Luis Aldair Arroyo Cabeza,0,0,33.33,40,1.25,0.5
347,,Jefferson Montero,0.08,0,0,35.29,0.23,0.46
348,,Erick Zambrano,0,0,50,57.14,0.5,0.75
349,,Kleber Pinargote Lara,0,0.25,0,50,0.25,0.25
350,,Bleiner Agrón,0,0,53.85,60.98,0.22,0.44
351,,Óscar Villalba,0.1,0,47.37,42.86,0.3,0.1
352,,Gustavo Asprilla,0.15,0,29.82,36.29,0.95,0.6
353,,Cristhian Valencia,0.29,0.1,62.5,57.58,1.43,1.24
354,,Wiston Fernández,0.17,0,72.73,42.19,0.9,1.47
355,,Sergio Quintero,0.2,0,43.75,48.33,0.47,0.67
356,,Davis Camacho,0.2,0,50,53.33,0.6,0.5
357,,Andres Arroyo,0.3,0.17,59.8,53.33,0.7,1.83
358,,Roberto Ordóñez,0,0,45.45,46.81,0.47,0.53
359,,Walberto Caicedo,0,0,27.78,25.81,0.11,0.44
360,,Franco Costa,0,0,0,37.5,0.14,0.29
361,,Jose Klinger,0,0,0,0,0,0.5
362,,Michael Mieles,0,0,0,60,1,0
363,,Mathías Solís,0.33,0,0,27.27,0.33,1.67
364,,Silvano Estacio,0,0,0,0,0,0.67
365,,Armando Calle,0,0,0,100,0,0
