Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Joffrey Cuffaut,0.15,0.0,71.43,0.77,0.0,0.0,1.5,1.23,0.0,3.04,0.0,0.62,0.08,0.04,48.12,85.69,3.5,50.68,0.0,0.35,0.0,0.0,0.81,0.15,0.12,0.0,42.86,55.4,1.46,0.88,26,3,2,Francia Liga 2,3
Rafał Strączek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,75.76,0.67,33.33,2.33,0.67,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,Francia Liga 2,3
Arthur Vitelli,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.0,0.0,4.33,0.0,0.0,0.0,0.0,51.0,86.93,1.33,50.0,0.0,0.0,0.0,0.0,0.67,0.33,0.33,0.0,50.0,50.0,0.0,1.33,3,1,2,Francia Liga 2,3
Adrien Monfray,0.0,0.09,46.15,0.62,0.0,0.0,2.21,1.76,0.06,3.82,0.03,1.15,0.0,0.03,63.0,87.07,2.88,68.38,0.0,0.35,0.0,0.0,0.88,0.09,0.12,0.0,64.96,60.13,0.94,0.82,34,3,2,Francia Liga 2,3
Yoann Court,0.04,0.04,56.52,1.21,0.0,0.0,1.5,0.29,0.0,0.38,0.0,1.25,0.21,0.17,19.04,76.59,5.13,60.78,0.0,0.0,0.0,0.0,0.71,0.13,0.08,0.04,36.84,49.69,1.08,0.71,24,3,4,Francia Liga 2,3
Habib Maïga,0.03,0.0,64.71,0.74,0.03,0.0,1.84,1.61,0.0,1.06,0.0,0.68,0.03,0.0,44.45,83.74,6.9,68.24,0.0,0.23,0.0,0.0,0.52,0.13,0.26,0.0,62.04,55.36,0.68,1.45,31,2,3,Francia Liga 2,3
Mathieu Gorgelin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.14,68.52,0.29,35.06,1.86,0.57,0.0,0.0,0.43,0.0,0.0,0.0,100.0,100.0,0.43,0.0,7,3,1,Francia Liga 2,3
Tony Mauricio,0.18,0.12,41.18,1.03,0.03,0.61,1.33,0.58,0.0,0.06,0.0,0.67,0.18,0.15,29.09,81.46,8.06,70.73,0.0,0.0,0.0,0.0,0.76,0.03,0.03,0.0,30.77,48.74,1.88,0.97,33,2,3,Francia Liga 2,3
Maxence Prévot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.26,0.08,0.0,0.03,0.0,28.87,78.3,0.68,41.9,3.16,0.32,0.21,0.03,1.03,0.05,0.08,0.0,100.0,90.0,0.13,0.03,38,2,1,Francia Liga 2,3
Ablie Jallow,0.18,0.18,62.65,1.97,0.03,1.47,1.0,0.68,0.0,0.12,0.0,0.76,0.06,0.15,30.38,83.93,9.21,55.38,0.0,0.06,0.0,0.0,0.59,0.09,0.03,0.0,45.71,53.33,1.47,0.62,34,2,3,Francia Liga 2,3
Saad Agouzoul,0.03,0.03,60.0,0.54,0.0,0.0,1.54,1.84,0.03,3.78,0.03,0.46,0.05,0.0,61.08,87.12,1.97,50.31,0.0,0.24,0.0,0.0,0.92,0.05,0.16,0.0,54.81,57.88,0.65,0.86,37,2,2,Francia Liga 2,3
Eric Vandenabeele,0.04,0.11,0.0,0.5,0.04,0.0,1.46,1.18,0.04,4.61,0.04,0.39,0.0,0.0,37.46,84.37,2.36,48.03,0.0,0.29,0.0,0.0,0.82,0.18,0.11,0.0,62.83,62.44,0.96,1.14,28,3,2,Francia Liga 2,3
Pierre Lemonnier,0.25,0.25,0.0,0.75,0.25,0.0,0.5,2.25,0.0,3.0,0.0,1.0,0.0,0.0,38.0,76.32,2.0,44.44,0.0,0.25,0.0,0.0,1.0,0.25,0.0,0.0,85.71,68.57,1.0,1.0,4,2,2,Francia Liga 2,3
Denis Bouanga,0.0,0.0,33.33,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,14.0,64.29,4.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,100.0,40.0,0.0,1.0,1,2,4,Francia Liga 2,3
Emilien Christophe Thierry Grillot,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,56.0,94.64,4.0,66.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,1,1,2,Francia Liga 2,3
Ali Abdi,0.09,0.16,42.25,1.41,0.06,0.0,2.38,1.63,0.0,0.94,0.0,0.66,0.38,0.09,41.59,74.83,7.53,38.28,0.0,0.16,0.0,0.0,0.81,0.25,0.16,0.0,56.63,49.73,0.88,1.72,32,2,2,Francia Liga 2,3
Julien Faussurier,0.0,0.0,38.46,0.13,0.0,0.0,2.17,0.96,0.0,1.42,0.0,1.08,0.29,0.21,45.75,80.33,8.17,51.83,0.0,0.33,0.0,0.0,0.92,0.04,0.21,0.0,60.0,54.14,0.75,0.79,24,3,2,Francia Liga 2,3
Jessy Deminguet,0.0,0.07,28.57,1.21,0.0,0.0,1.07,0.86,0.0,0.21,0.0,0.43,0.07,0.14,33.64,88.32,10.0,58.33,0.0,0.07,0.0,0.0,0.5,0.07,0.14,0.0,28.57,45.19,1.86,1.29,14,2,3,Francia Liga 2,3
Oualid El Hajjam,0.03,0.03,68.89,0.5,0.0,0.0,1.75,1.97,0.0,1.44,0.0,0.5,0.0,0.03,53.81,81.57,8.86,36.4,0.0,0.47,0.0,0.0,0.47,0.03,0.11,0.0,46.58,56.92,1.47,1.25,36,3,2,Francia Liga 2,3
Loïc Mbe Soh,0.07,0.21,0.0,0.64,0.0,0.0,1.79,0.86,0.0,4.0,0.0,0.07,0.0,0.0,44.86,81.37,2.29,47.42,0.0,0.21,0.0,0.0,1.0,0.07,0.0,0.0,62.96,65.22,0.07,0.64,14,1,2,Francia Liga 2,3
Mamadou Diarra,0.04,0.04,63.64,0.31,0.04,0.0,1.65,1.15,0.0,2.15,0.04,0.69,0.12,0.0,51.77,87.44,3.0,57.48,0.0,0.35,0.0,0.0,0.81,0.08,0.23,0.0,59.57,60.09,1.12,0.96,26,2,2,Francia Liga 2,3
Thomas Monconduit,0.0,0.0,56.25,0.91,0.0,0.0,1.87,0.91,0.0,1.13,0.0,0.65,0.26,0.09,43.74,81.21,8.74,49.44,0.0,0.13,0.0,0.0,0.87,0.13,0.17,0.0,70.18,56.31,1.09,1.61,23,3,3,Francia Liga 2,3
Dylan Chambost,0.11,0.04,40.0,0.79,0.0,0.0,0.79,0.32,0.0,0.32,0.0,0.32,0.04,0.11,28.96,82.0,7.54,53.7,0.0,0.04,0.0,0.0,0.68,0.07,0.04,0.0,25.71,44.19,0.71,0.64,28,2,3,Francia Liga 2,3
Samuel Loric,0.0,0.0,58.82,0.22,0.0,0.0,3.33,1.33,0.0,2.0,0.0,1.33,0.11,0.0,25.33,76.75,2.89,50.0,0.0,0.11,0.0,0.0,1.11,0.22,0.22,0.0,70.37,67.96,1.22,0.44,9,1,2,Francia Liga 2,3
Gaetan Poussin,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.63,0.06,0.0,0.0,0.0,41.06,83.16,0.46,50.34,2.06,0.43,0.03,0.0,0.51,0.17,0.03,0.03,90.91,90.48,0.31,0.03,35,1,1,Francia Liga 2,3
Jordan Lefort,0.0,0.0,76.92,0.5,0.0,0.0,1.44,1.63,0.0,2.22,0.03,0.63,0.06,0.06,62.63,84.98,6.19,50.79,0.0,0.38,0.0,0.0,0.94,0.13,0.06,0.0,70.37,66.5,0.66,0.5,32,2,2,Francia Liga 2,3
Gustavo Sangaré,0.16,0.0,75.0,1.13,0.0,0.0,1.59,1.13,0.06,0.53,0.0,0.81,0.13,0.0,34.53,78.28,7.0,54.22,0.0,0.09,0.0,0.0,1.03,0.13,0.19,0.0,42.86,59.38,1.59,1.19,32,2,3,Francia Liga 2,3
Mickaël Le Bihan,0.33,0.36,41.23,2.31,0.03,0.0,0.97,0.42,0.03,0.64,0.0,0.5,0.17,0.08,23.28,75.66,7.0,61.97,0.0,0.14,0.0,0.0,0.81,0.14,0.19,0.0,27.5,41.71,1.61,1.06,36,3,4,Francia Liga 2,3
Bradley Danger,0.11,0.0,57.69,0.53,0.0,0.0,1.36,1.17,0.0,1.64,0.0,0.83,0.11,0.06,44.72,81.93,5.64,52.29,0.0,0.22,0.0,0.0,1.08,0.14,0.17,0.0,46.27,53.21,1.08,0.75,36,2,2,Francia Liga 2,3
Zacharie Boucher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,26.2,66.41,0.8,41.1,2.8,0.4,0.0,0.0,0.6,0.4,0.0,0.0,100.0,100.0,0.2,0.0,5,3,1,Francia Liga 2,3
