Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Tom Lockyer,0.08,0.1,69.23,0.72,0.05,0.0,1.23,1.62,0.03,4.95,0.0,0.56,0.03,0.03,40.82,67.78,4.41,44.07,0.0,0.41,0.0,0.0,0.77,0.08,0.15,0.03,63.04,63.88,1.33,0.69,39,2,2,Inglaterra Championship,2
Cody Drameh,0.0,0.06,50.0,0.38,0.0,0.0,3.13,1.06,0.0,2.06,0.0,1.56,0.06,0.13,29.5,72.88,8.88,44.59,0.0,0.44,0.0,0.0,0.38,0.0,0.25,0.0,50.0,54.82,0.44,0.38,16,1,3,Inglaterra Championship,2
Dara O'Shea,0.05,0.03,66.67,0.68,0.03,0.0,1.08,1.81,0.0,3.59,0.0,0.19,0.0,0.03,63.54,83.41,4.51,54.63,0.0,0.38,0.0,0.0,0.78,0.27,0.16,0.0,61.33,61.31,0.54,0.73,37,1,2,Inglaterra Championship,2
Jack Robinson,0.11,0.0,75.0,0.56,0.04,0.0,1.26,1.19,0.0,2.85,0.04,0.19,0.0,0.04,40.81,74.59,5.11,30.23,0.0,0.37,0.0,0.0,0.59,0.07,0.15,0.0,60.95,60.54,0.7,0.89,27,2,2,Inglaterra Championship,2
Daniel Grimshaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.06,0.0,31.28,61.63,2.22,39.94,3.39,0.33,0.06,0.0,1.22,0.11,0.06,0.0,100.0,100.0,0.0,0.0,18,2,1,Inglaterra Championship,2
Matt Grimes,0.02,0.02,82.35,0.66,0.0,0.0,1.5,0.55,0.0,0.91,0.0,0.43,0.14,0.16,95.82,91.18,16.66,51.01,0.0,0.25,0.0,0.0,1.23,0.16,0.18,0.0,34.72,54.12,0.73,0.64,44,2,3,Inglaterra Championship,2
Michał Helik,0.06,0.08,100.0,0.61,0.06,0.0,1.56,1.69,0.0,6.03,0.03,0.39,0.06,0.06,37.28,73.92,1.81,35.43,0.0,0.28,0.0,0.0,1.17,0.08,0.06,0.0,64.29,64.17,0.42,0.72,36,2,2,Inglaterra Championship,2
Karl Darlow,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,44.92,76.25,1.17,32.42,2.92,0.42,0.17,0.0,1.17,0.0,0.17,0.0,85.71,91.67,0.25,0.0,12,3,1,Inglaterra Championship,2
George Saville,0.05,0.0,50.0,0.76,0.0,0.0,2.14,1.5,0.0,1.33,0.0,1.1,0.02,0.0,28.93,73.66,6.86,48.2,0.0,0.17,0.0,0.0,0.67,0.17,0.26,0.0,56.78,56.75,1.33,1.1,42,2,3,Inglaterra Championship,2
Przemysław Płacheta,0.2,0.0,81.25,2.0,0.0,0.0,1.4,0.4,0.0,1.2,0.0,0.6,0.0,0.0,26.2,70.99,5.2,25.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,10.0,54.72,1.6,1.0,5,2,3,Inglaterra Championship,2
Keshi Anderson,0.0,0.0,75.0,0.89,0.0,0.0,1.67,0.56,0.0,0.78,0.0,0.44,0.11,0.22,24.22,82.11,7.44,83.33,0.0,0.11,0.0,0.0,0.89,0.11,0.11,0.0,29.41,56.92,0.89,0.56,9,2,3,Inglaterra Championship,2
Jamilu Collins,0.0,0.0,50.0,0.25,0.0,0.0,2.0,4.0,0.0,2.75,0.0,0.0,0.0,0.0,31.0,77.42,6.5,39.13,0.0,0.5,0.0,0.0,0.25,0.25,0.25,0.0,22.22,60.0,2.25,0.75,4,2,2,Inglaterra Championship,2
