Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Gerard Deulofeu,0.13,0.56,48.78,2.75,0,0.63,0.5,0.13,0,0.06,0,0.63,0.19,0.38,32,80.47,13.75,42.86,0,0.25,0,0,0.88,0.06,0.06,0,20,40,0.69,0.5,16
Pierluigi Gollini,0,0,0,0,0,0,0.14,0,0,0.57,0,0,0,0,34.86,78.28,0.29,49.51,2.57,0.57,0,0,0.86,0,0,0,0,100,0,0,7
Nicolò Barella,0.17,0.06,70.18,0.94,0,2.86,1.4,0.34,0,0.34,0,0.71,0.11,0.17,42.94,85.03,12.34,61.39,0,0.17,0,0,0.83,0.06,0.17,0,57.14,55.4,1.29,0.91,35
Jaka Bijol,0.09,0.03,40,0.63,0.06,0,1.22,0.91,0.03,5.09,0,0.34,0.13,0.06,42.94,85.01,2.06,54.13,0,0.25,0,0,1.06,0.13,0.31,0,65.19,59.21,0.22,0.91,32
Martin Turk,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,31.75,59.06,0.75,45.56,5.25,0,0.5,0,2,0.25,0,0,100,100,0,0,4
Juan Cuadrado,0.03,0,53.19,1.03,0,0,1.61,0.77,0,0.74,0,1.23,0.19,0.1,35.74,87,6.48,77.98,0,0.23,0,0,0.45,0.03,0.19,0.03,48,52.85,1.42,1.06,31
Armando Izzo,0.03,0.1,55,0.53,0.03,0,2.43,1.67,0.03,2.63,0,0.53,0.03,0,51.97,87.68,5.03,54.1,0,0.23,0,0,0.83,0,0.33,0,51.95,60.36,1.5,1.47,30
Adrien Rabiot,0.25,0.19,60,1.5,0.13,0,2.03,0.81,0,1.19,0,0.84,0.03,0.13,35.5,83.63,8.91,66.22,0,0.5,0,0,0.81,0.03,0.28,0,55.56,53.49,1.31,1.41,32
Stanislav Lobotka,0.03,0,77.27,0.29,0,0,2.18,0.61,0,0.42,0,0.79,0.03,0.03,60.39,94.16,11.66,81.2,0,0.21,0,0,0.61,0.11,0.05,0,41.38,64.73,1.45,0.66,38
Jérémie Boga,0.09,0,59.26,0.57,0,0,0.39,0.04,0,0.04,0,0.17,0.13,0.22,17.96,84.99,7.48,76.92,0,0,0,0,0.48,0.13,0,0,55.56,58.96,0.74,0.17,23
Guglielmo Vicario,0,0,0,0,0,0,0.03,0,0,1.35,0.03,0.03,0,0,36.29,68.71,1.03,34.92,3.13,0.23,0.19,0.03,1.13,0.13,0.1,0,83.33,85.71,0.26,0,31
Ardian Ismajli,0,0,100,0.36,0,0,1.6,1.08,0,4.68,0,0.24,0,0,41.08,84.62,1.24,49.17,0,0.2,0,0,1,0.08,0.12,0,58.16,62.22,0.52,0.76,25
Stefan Posch,0.2,0.07,46.67,0.93,0.1,0,2.7,1.17,0,2,0,1.03,0.1,0.07,49.17,76.75,7.2,46.03,0,0.2,0,0,1.03,0.1,0.2,0,49.09,53.19,0.93,1.57,30
Nicolò Rovella,0.04,0.04,50,0.82,0,0,1.64,1.43,0,0.57,0,0.82,0.11,0.07,48.11,89.9,8.46,69.93,0,0.18,0,0,0.64,0.07,0.25,0.04,47.37,53.13,0.79,0.96,28
Ángel Di María,0.15,0.04,43.84,1.46,0,0,0.38,0.27,0,0,0,0.62,0.38,0.15,21.35,78.74,7.27,55.74,0,0,0,0,0.77,0.04,0.04,0.04,14.29,41.36,0.92,0.23,26
Ademola Lookman,0.42,0.23,47.89,1.68,0.03,0,0.42,0.13,0,0.03,0,0.39,0.32,0.19,19.29,78.6,7.71,42.86,0,0,0,0,0.61,0.13,0.1,0,18.75,39.81,1.16,0.77,31
Alessio Romagnoli,0.06,0,100,0.38,0.03,0,0.97,1.12,0,3.15,0,0.32,0.03,0,54.32,90.47,3.09,58.2,0,0.44,0,0,0.62,0.21,0.18,0,63.71,58.22,0.56,1.03,34
Rodrigo Becão,0.07,0,50,0.68,0.07,0,2.5,0.93,0,2.18,0.04,0.46,0.04,0.04,43.93,80.33,4.71,43.39,0,0.25,0,0,1.07,0.04,0.39,0.04,69.23,66.93,1.14,1.36,28
Antonio Candreva,0.2,0.03,36.36,1.31,0,0.95,0.49,0.49,0.03,0.6,0,0.77,0.14,0.11,35.71,79.68,9.51,47.97,0,0.03,0,0,1.11,0.2,0.03,0.03,28.57,50,1.03,0.2,35
Leo Østigård,0,0,0,0.43,0,0,0.57,0.86,0,2.43,0,0,0,0,50.71,85.92,4.86,70.27,0,0.43,0,0,0.14,0.29,0.14,0,81.08,80.85,0.57,0.29,7
Stefano Sensi,0.11,0,55,0.64,0,0.89,1.46,0.71,0,0.11,0,1.07,0.11,0.04,43.68,87.41,9.71,73.95,0,0.04,0,0,0.79,0.11,0.29,0,44.44,57.89,1.79,0.64,28
Bryan Cristante,0.03,0.06,75,0.81,0,0,3.14,0.5,0,1.36,0,1,0.06,0.03,46.11,82.77,6.92,52.03,0,0.33,0,0,0.67,0.08,0.22,0.03,64.1,60.17,0.53,1.44,36
Juan Jesus,0.07,0,0,0.33,0,0,1.07,0.67,0,1.87,0,0.2,0,0,48.93,90.33,3.53,63.64,0,0.4,0,0,0.47,0.07,0.13,0,76.92,69.86,0.33,0.67,15
Michele Di Gregorio,0,0,100,0,0,0,0,0.11,0,0.78,0.05,0.08,0.03,0.03,34.49,71.87,0.95,41.92,3.27,0.27,0.08,0,1.22,0.11,0,0,80,64.29,0.08,0,37
Marcelo Brozović,0.11,0,64,0.89,0,0,1.32,0.79,0,0.86,0,0.93,0.11,0.18,51.64,89.63,9.04,64.22,0,0.11,0,0,0.86,0.11,0.32,0,31.58,48.32,0.46,0.86,28
Matteo Pessina,0.14,0,64.15,0.8,0,0,1.63,1.06,0,0.86,0,1.03,0.06,0.09,56.2,86.48,11.11,65.83,0,0.17,0,0,1.17,0.06,0.17,0,52.05,52.75,1.51,1.17,35
Roger Ibañez,0.09,0.12,65,0.88,0.09,0,2.03,2,0,2.76,0.06,0.48,0.03,0,49.85,87.96,2.73,53.42,0,0.3,0,0,0.94,0.12,0.27,0.03,68.54,62.54,1.45,1.33,33
Filip Kostić,0.08,0.05,48.94,1,0,0,1.11,0.43,0,0.68,0,0.7,0.27,0.22,23.65,78.06,5.51,47.83,0,0.16,0,0,0.84,0.03,0.08,0,50,44.95,0.32,0.78,37
Alex Cordaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47.06,0,22.22,2,0,0,0,0,0,0,0,0,0,0,0,1
