#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
150,,Milan Đurić,0,0.03,0,0,0.59,0.24
151,,Nikola Moro,0,0,0,0,0.58,0.04
152,,Mike Maignan,1.91,0.36,0.14,0.05,0.86,0.09
153,,Simone Bastoni,0,0.05,0,0,0.74,0.42
154,,Simone Verdi,0,0,0,0,0.64,0.16
155,,Bram Nuytinck,0,0.04,0,0,1.4,0.08
156,,Alessandro Buongiorno,0,0.26,0,0,0.71,0.18
157,,Henrikh Mkhitaryan,0,0.03,0,0,0.52,0.06
158,,Juan Musso,2.67,0.29,0.08,0,0.96,0.17
159,,Destiny Udogie,0,0.24,0,0,0.91,0.09
160,,Nicolò Cambiaghi,0,0,0,0,0.32,0.11
161,,Samuele Ricci,0,0.21,0,0,0.61,0.18
162,,Marin Pongračić,0,0,0,0,0.78,0.22
163,,Roberto Pereyra,0,0.06,0,0,1.12,0.12
164,,Samuel Umtiti,0,0.24,0,0,0.96,0.16
165,,Arkadiusz Milik,0,0.15,0,0,0.48,0
166,,Perr Schuurs,0,0.13,0,0,0.87,0.1
167,,Éderson,0,0.03,0,0,0.69,0.2
168,,Bartłomiej Drągowski,3.34,0.17,0.17,0.03,1.34,0.29
169,,Arthur Cabral,0,0.04,0,0,0.57,0.04
170,,Davide Zappacosta,0,0.05,0,0,0.76,0.29
171,,Andrea Colpani,0,0,0,0,0.44,0
172,,Georgios Kyriakopoulos,0,0.08,0,0,0.67,0.17
173,,Pierre Kalulu,0,0.18,0,0,1.09,0.12
174,,Pablo Marí,0,0.23,0,0,1.13,0.1
175,,Pedro,0,0,0,0,0.42,0.14
176,,Luca D'Andrea,0,0,0,0,0.6,0.2
177,,Sofyan Amrabat,0,0.14,0,0,0.9,0.03
178,,Cristian Volpato,0,0,0,0,0,0
179,,Leonardo Bonucci,0,0.25,0,0,0.44,0.06
180,,Junior Messias,0,0.08,0,0,0.68,0.08
181,,Adam Marušić,0,0.36,0,0,0.61,0.15
182,,Daniele Verde,0,0,0,0,0.69,0.08
183,,Alessandro Florenzi,0,0,0,0,0.17,0
184,,Panagiotis Retsos,0,0,0,0,1.5,0
185,,Mouhamadou Sarr,2.5,0.5,0,0,1.5,0
186,,Martin Erlić,0,0.25,0,0,1.04,0.25
187,,Federico Chiesa,0,0,0,0,0.48,0
188,,Eljif Elmas,0,0.03,0,0,0.22,0.06
189,,Cyril Ngonge,0,0,0,0,0.4,0.27
190,,Lewis Ferguson,0,0.09,0,0,0.84,0.09
191,,Ciprian Tătărușanu,2.56,0.25,0.13,0,1.25,0.13
192,,Danilo Cataldi,0,0.14,0,0,0.45,0.07
193,,Mathías Olivera,0,0.23,0,0,0.3,0.07
194,,Igor Júlio,0,0.15,0,0,0.81,0.07
195,,Denzel Dumfries,0,0.06,0,0,0.68,0.09
196,,Hans Hateboer,0,0.35,0,0,0.76,0.18
197,,Berat Djimsiti,0,0.17,0,0,0.83,0.13
198,,Tyronne Ebuehi,0,0.19,0,0,0.85,0.08
199,,Marco Silvestri,2.39,0.26,0.18,0,1.16,0.11
200,,Frank Tsadjout,0,0,0,0,1.2,0.15
201,,Sebastian Walukiewicz,0,0.09,0,0,0.73,0.09
202,,Walace,0,0.27,0,0,1.14,0.05
203,,Jakub Kiwior,0,0.06,0,0,1.24,0.35
204,,Simon Kjær,0,0.12,0,0,0.35,0.06
205,,Lorenzo Pirola,0,0.12,0,0,1.27,0.19
206,,Adama Soumaoro,0,0.17,0,0,0.91,0.17
207,,Gianluca Caprari,0,0.03,0,0,1.03,0.11
208,,Matteo Ruggeri,0,0.07,0,0,0.67,0.2
209,,Miguel Veloso,0,0,0,0,0.68,0.05
210,,Charalampos Lykogiannis,0,0.05,0,0,0.76,0.14
211,,Dany Mota,0,0.07,0,0,0.76,0
212,,Tammy Abraham,0,0.05,0,0,0.58,0.08
213,,Salvatore Esposito,0,0.13,0,0,1.19,0.19
214,,Valentin Gendrey,0,0.11,0,0,0.97,0.16
215,,Valentino Lazaro,0,0,0,0,0.61,0.13
216,,Merih Demiral,0,0.18,0,0,0.64,0.18
217,,Wilfried Singo,0,0.1,0,0,0.74,0.13
218,,Robin Gosens,0,0,0,0,0.41,0.06
219,,Fabiano Parisi,0,0.27,0,0,1.06,0.06
220,,Roberto Soriano,0,0.04,0,0,0.44,0.04
221,,Matheus Henrique,0,0.03,0,0,0.9,0.4
222,,Andrea Petagna,0,0,0,0,0.9,0.13
223,,Alexis Blin,0,0.09,0,0,0.71,0.11
224,,Rogério,0,0.22,0,0,1.22,0.31
225,,Ante Rebić,0,0.04,0,0,0.39,0.09
226,,Leonardo Sernicola,0,0.09,0,0,1.41,0.16
227,,Koray Günter,0,0,0,0,1.74,0.09
228,,Adam Ounas,0,0,0,0,0,0
229,,Alessandro Cortinovis,0,0,0,0,0,0
230,,James Abankwah,0,0,0,0,0,0
231,,Nicola Ravaglia,4.56,0,0.22,0,2.56,0
232,,Luka Jović,0,0.06,0,0,0.71,0.03
233,,David Okereke,0,0,0,0,1.18,0.06
234,,Maxime López,0,0.23,0,0,0.97,0.23
235,,Fodé Ballo-Touré,0,0.1,0,0,0.6,0.2
236,,William Troost-Ekong,0,0,0,0,0.89,0
237,,Nicola Sansone,0,0.06,0,0,0.39,0.11
238,,Marco Benassi,0,0,0,0,1.24,0.12
239,,Johan Vásquez,0,0.16,0,0,1.24,0.2
240,,Antonino Gallo,0,0.19,0,0,0.78,0.09
241,,Dylan Bronn,0,0.08,0,0,1.08,0.17
242,,José Luis Palomino,0,0,0,0,0.73,0.27
243,,Grīgorīs Kastanos,0,0.04,0,0,0.68,0.18
244,,Denso Kasius,0,0,0,0,1,0
245,,Filippo Terracciano,0,0,0,0,0.29,0.14
246,,Michele Castagnetti,0,0.04,0,0,0.96,0.11
247,,Weston McKennie,0,0.13,0,0,0.87,0
248,,Ola Aina,0,0.11,0,0,0.37,0
249,,Beto,0,0.06,0,0,0.85,0.09
250,,Manuel Lazzari,0,0.18,0,0,0.5,0.07
251,,Luca Caldirola,0,0.23,0,0,1,0.03
252,,Riccardo Saponara,0,0,0,0,0.59,0
253,,Alexis Saelemaekers,0,0,0,0,0.53,0
254,,Krzysztof Piątek,0,0.09,0,0,1.12,0.21
255,,Zlatan Ibrahimović,0,0,0,0,1,0
256,,Diego Llorente,0,0.33,0,0,0.78,0
257,,Lassana Coulibaly,0,0.17,0,0,1.37,0.26
258,,Emanuel Aiwu,0,0.17,0,0,1.26,0.04
259,,Ilija Nestorovski,0,0.05,0,0,0.33,0.05
260,,Isaac Success,0,0.03,0,0,0.73,0
261,,Luca Zanimacchia,0,0,0,0,1.07,0.07
262,,Gary Medel,0,0.03,0,0,0.76,0.1
263,,Matías Vecino,0,0.22,0,0,0.41,0.09
264,,Georginio Wijnaldum,0,0.14,0,0,0.64,0
265,,Milan Škriniar,0,0.38,0,0,1,0.1
266,,Paweł Dawidowicz,0,0.13,0,0,0.88,0.29
267,,Elseid Hysaj,0,0.35,0,0,0.29,0.21
268,,Flavius Daniliuc,0,0.15,0,0,1.3,0.15
269,,Yann Karamoh,0,0,0,0,0.33,0.05
270,,Giacomo Raspadori,0,0.04,0,0,0.31,0.04
271,,Omar Colley,0,0.13,0,0,1.44,0.13
272,,Andrea Cambiaso,0,0.16,0,0,0.88,0
273,,Gaetano Castrovilli,0,0.07,0,0,0.47,0.07
274,,Tommaso Pobega,0,0.05,0,0,0.58,0.11
275,,Marcos Antônio,0,0,0,0,0.25,0.13
276,,Danilo D'Ambrosio,0,0.07,0,0,0.67,0.13
277,,Marco Sportiello,2.87,0.07,0.07,0,1,0.4
278,,M'Bala Nzola,0,0.19,0,0,1.19,0.25
279,,Alex Ferrari,0,0.04,0,0,1.29,0.11
280,,Duván Zapata,0,0.04,0,0,0.68,0.12
281,,Jean-Daniel Akpa Akpro,0,0,0,0,0.75,0.08
282,,Daniel Ciofani,0,0,0,0,0.63,0
283,,Harry Winks,0,0.1,0,0,1.7,0.1
284,,Jeroen Zoet,2,0,0.2,0,0.6,0.2
285,,Jonathan Ikoné,0,0.03,0,0,0.64,0.06
286,,Filippo Ranocchia,0,0,0,0,0.5,0.14
287,,Samuele Perisan,2.14,0.29,0,0,1.29,0
288,,Assan Ceesay,0,0,0,0,0.62,0.18
289,,Alberto Grassi,0,0,0,0,0.64,0
290,,Federico Fazio,0,0.21,0,0,0.86,0.5
291,,Ondrej Duda,0,0,0,0,0.87,0.13
292,,Giorgio Scalvini,0,0.03,0,0,0.81,0.28
293,,Cyriel Dessers,0,0,0,0,1.27,0.12
294,,Koffi Djidji,0,0.15,0,0,0.76,0.12
295,,Janis Antiste,0,0,0,0,0.5,0
296,,Samuele Vignato,0,0,0,0,0.2,0
297,,Jaime Báez,0,0,0,0,1,0
298,,Brian Bayeye,0,0,0,0,0.5,0.5
299,,Tommaso Augello,0,0.03,0,0,1.62,0.11
300,,Kristjan Asllani,0,0,0,0,0.4,0.1
301,,Sam Lammers,0,0.03,0,0,0.94,0.12
302,,Matías Soulé,0,0,0,0,0,0
303,,Federico Bonazzoli,0,0.04,0,0,0.5,0.08
304,,Luca Ranieri,0,0.22,0,0,0.56,0
305,,Isak Hien,0,0.18,0,0,1.03,0.27
306,,Mehdi Bourabia,0,0,0,0,1.11,0.29
307,,Luka Lochoshvili,0,0.08,0,0,1.24,0.08
308,,Alessandro Zanoli,0,0.04,0,0,1.39,0.09
309,,Rui Patrício,2.11,0.37,0.09,0.03,0.89,0.11
310,,Zeki Çelik,0,0.17,0,0,0.63,0.08
311,,Enzo Barrenechea,0,0,0,0,1.33,0
312,,Pietro Terracciano,2.14,0.17,0.24,0.03,1.24,0.07
313,,Rasmus Højlund,0,0,0,0,0.63,0.28
314,,Federico Di Francesco,0,0.03,0,0,0.58,0.08
315,,Samuel Iling Junior,0,0,0,0,0,0
316,,Nicola Zalewski,0,0.09,0,0,0.7,0.03
317,,Daniel Maldini,0,0,0,0,0.56,0.06
318,,Gian Marco Ferrari,0,0.18,0,0,1.06,0.15
