#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
192,,Danilo Cataldi,0.03,0.03,43.93,88.62,6.03,64.37
193,,Mathías Olivera,0.07,0.07,39.5,87.26,9.6,49.28
194,,Igor Júlio,0,0,48.59,88.03,3.67,55.09
195,,Denzel Dumfries,0.32,0.12,22.26,79.13,5.03,48
196,,Hans Hateboer,0.12,0.06,32.41,81.67,8.47,45.95
197,,Berat Djimsiti,0,0.04,44.88,87.09,3.5,43.82
198,,Tyronne Ebuehi,0.12,0.15,25.5,80.54,3.15,41.67
199,,Marco Silvestri,0,0,27.16,75,0.5,41.12
200,,Frank Tsadjout,0,0.05,13.25,69.43,3.65,40
201,,Sebastian Walukiewicz,0,0,35.82,87.56,1.27,49.02
202,,Walace,0.05,0.03,46.95,84.74,7.22,64.64
203,,Jakub Kiwior,0.06,0,43.88,85.25,2.29,50.45
204,,Simon Kjær,0,0,40,86.76,2.94,55.75
205,,Lorenzo Pirola,0,0,37.5,80.62,2.38,35.64
206,,Adama Soumaoro,0,0,46.43,93.26,1.61,68.42
207,,Gianluca Caprari,0.03,0.05,26.84,83.18,7.54,80.43
208,,Matteo Ruggeri,0.2,0.07,33,84.24,8.13,47.06
209,,Miguel Veloso,0.09,0,24.05,76.18,4.82,41.41
210,,Charalampos Lykogiannis,0.05,0,26.43,75.32,4.95,37.5
211,,Dany Mota,0.03,0.03,19.24,74.19,4.45,75
212,,Tammy Abraham,0.24,0.08,13.11,68.27,3.16,59.26
213,,Salvatore Esposito,0.13,0,40.19,81.96,7.13,39.39
214,,Valentin Gendrey,0.11,0.05,27.49,73.65,4.95,30.84
215,,Valentino Lazaro,0.26,0.13,29.13,78.06,8.43,37.88
216,,Merih Demiral,0.04,0,23.18,85.82,0.96,51.39
217,,Wilfried Singo,0.06,0.03,28.61,76.78,4.97,44.76
218,,Robin Gosens,0.03,0,16.5,80.68,4.13,35.56
219,,Fabiano Parisi,0.06,0,38.73,78.95,7.39,45.86
220,,Roberto Soriano,0.15,0.11,21.78,81.12,5.52,59.38
221,,Matheus Henrique,0.03,0.03,28.23,86.78,9.13,69.84
222,,Andrea Petagna,0.19,0.16,13.68,74.29,3.45,77.78
223,,Alexis Blin,0.03,0,26.09,81.27,5.69,45.9
224,,Rogério,0.08,0.08,44.08,82.99,8.56,51.39
225,,Ante Rebić,0.17,0.09,12.52,62.15,4.35,42.86
226,,Leonardo Sernicola,0.13,0.06,20.09,72.63,3.97,40.7
227,,Koray Günter,0.04,0.04,35.48,79.66,3.26,45.53
228,,Adam Ounas,0,0,8,81.25,2,100
229,,Alessandro Cortinovis,0,0,5,80,2,0
230,,James Abankwah,0,0,12.5,76,0,50
231,,Nicola Ravaglia,0,0,31.11,60,1.33,34.15
232,,Luka Jović,0.06,0.1,9.45,77.47,3.03,78.95
233,,David Okereke,0.03,0,14.24,72.55,4.42,62.5
234,,Maxime López,0.07,0,54.6,89.13,13.73,67.65
235,,Fodé Ballo-Touré,0.1,0,20.8,87.5,3.8,33.33
236,,William Troost-Ekong,0,0,19.78,82.58,0.11,50
237,,Nicola Sansone,0.11,0.11,10.83,78.97,3.33,66.67
238,,Marco Benassi,0,0,23.82,78.77,4.53,61.82
239,,Johan Vásquez,0,0,31,79.1,3.08,32.74
240,,Antonino Gallo,0.03,0.03,28.47,69.15,7.97,28.87
241,,Dylan Bronn,0,0,40.5,85.91,3.29,55.36
242,,José Luis Palomino,0.07,0,33.4,82.63,2.8,45.76
243,,Grīgorīs Kastanos,0,0.04,19.46,77.8,5.14,48.84
244,,Denso Kasius,0.43,0.29,20.71,71.03,3.86,33.33
245,,Filippo Terracciano,0.1,0.05,13.1,72.73,2.52,37.84
246,,Michele Castagnetti,0.04,0.04,28,80.56,6.37,53.42
247,,Weston McKennie,0.2,0.07,25.13,81.7,5.53,64
248,,Ola Aina,0.21,0.05,21.47,76.47,5.68,32.56
249,,Beto,0.12,0.03,8.76,65.74,2.61,60
250,,Manuel Lazzari,0,0,34.57,89.46,6.11,67.5
251,,Luca Caldirola,0.03,0,45.87,88.26,2.9,46.72
252,,Riccardo Saponara,0.17,0.1,14.45,75.66,5,55.56
253,,Alexis Saelemaekers,0.2,0.1,17.83,81.31,5.8,63.64
254,,Krzysztof Piątek,0.09,0.15,16.24,70.15,4.09,50
255,,Zlatan Ibrahimović,0,0,12.75,70.59,3.5,100
