#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
197,,Berat Djimsiti,1.42,1.5,0,3.08,0,0.33
198,,Tyronne Ebuehi,0.85,0.46,0,2.54,0,0.15
199,,Marco Silvestri,0.05,0.03,0,0.82,0,0.03
200,,Frank Tsadjout,0.5,0.4,0,0.45,0,0.3
201,,Sebastian Walukiewicz,0.82,0.64,0,2.73,0,0.18
202,,Walace,2.22,1.38,0.03,1.22,0,1.32
203,,Jakub Kiwior,1.29,1.41,0,4,0,1.06
204,,Simon Kjær,0.88,0.53,0,2,0,0.24
205,,Lorenzo Pirola,1.31,1.15,0,3.23,0.04,0.31
206,,Adama Soumaoro,1.09,0.65,0,3.13,0,0.09
207,,Gianluca Caprari,0.43,0.22,0,0.08,0,0.49
208,,Matteo Ruggeri,1.13,0.8,0,0.93,0,0.6
209,,Miguel Veloso,1.5,0.27,0,0.55,0,0.45
210,,Charalampos Lykogiannis,0.76,0.71,0,1.14,0,0.38
211,,Dany Mota,0.28,0.21,0,0.86,0,0.28
212,,Tammy Abraham,0.45,0.08,0,0.37,0,0.34
213,,Salvatore Esposito,1,0.69,0,1.06,0,1
214,,Valentin Gendrey,2.38,1,0.03,2.11,0,0.81
215,,Valentino Lazaro,0.43,0.13,0.04,1,0,0.39
216,,Merih Demiral,1.46,0.86,0,1.93,0,0.36
217,,Wilfried Singo,0.9,0.39,0,0.9,0,0.23
218,,Robin Gosens,1.06,0.72,0,0.38,0,0.34
219,,Fabiano Parisi,1.97,1.24,0.03,2.06,0,1.24
220,,Roberto Soriano,1.11,0.22,0,0.52,0,0.48
221,,Matheus Henrique,0.87,0.4,0,0.3,0,0.4
222,,Andrea Petagna,0.23,0.1,0.03,0.58,0,0.1
223,,Alexis Blin,1.97,0.97,0,1.89,0,1.03
224,,Rogério,1.03,1.03,0,1.67,0,0.5
225,,Ante Rebić,0.43,0.04,0,0.22,0,0.35
226,,Leonardo Sernicola,1.41,1.19,0.03,1.5,0,0.44
227,,Koray Günter,0.87,1.78,0.04,3.91,0,0.26
228,,Adam Ounas,0,0.5,0,0,0,0
229,,Alessandro Cortinovis,1,0,0,0,0,0
230,,James Abankwah,0.5,0,0,1.5,0,0
231,,Nicola Ravaglia,0,0,0.11,0.78,0,0.11
232,,Luka Jović,0.19,0.06,0,0.32,0,0.19
233,,David Okereke,0.36,0.3,0.03,0.36,0,0.39
234,,Maxime López,1.4,0.77,0,0.63,0,1.33
235,,Fodé Ballo-Touré,1.4,0.2,0,0.3,0,0.3
236,,William Troost-Ekong,1.22,0.67,0,1.11,0,0.11
237,,Nicola Sansone,0.67,0,0,0.22,0,0.28
238,,Marco Benassi,1.71,0.76,0,1.12,0,0.59
239,,Johan Vásquez,1.64,1.8,0,3.4,0,0.84
240,,Antonino Gallo,1.75,0.41,0,2.09,0,0.59
241,,Dylan Bronn,1.42,0.83,0.04,2.29,0,0.42
242,,José Luis Palomino,1.47,1.87,0,1.13,0,0.6
243,,Grīgorīs Kastanos,1.39,0.25,0,0.18,0,0.86
244,,Denso Kasius,1.71,0.43,0,0.29,0,0.29
245,,Filippo Terracciano,1.05,0.48,0,0.57,0,0.24
246,,Michele Castagnetti,1.7,0.56,0,0.81,0,1.33
