#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
222,,Fredy Montero,0.08,0,31.71,47.24,1.62,1.19
223,,Miguel Navarro,0.36,0.04,69.23,63.47,2.24,1.56
224,,Tommy McNamara,0.24,0,50,52.4,0.76,1.36
225,,Keegan Rosenberry,0.12,0,54,53.61,0.29,0.56
226,,Fafà Picault,0.17,0,47.2,46.41,1.43,1.07
227,,Kwadwo Opoku,0,0,35,44.44,0.76,0.62
228,,Bryan Oviedo,0,0,50,53.49,1.29,0.71
229,,Paxton Pomykal,0.17,0,42.5,54.08,1.91,1.31
230,,Róger Espinoza,0.37,0.03,44.44,46.26,0.6,1.43
231,,Nouhou Tolo,0.2,0,52,59.39,1.03,0.8
232,,Kerwin Calderón Vargas,0,0,10,47.46,0.92,0.62
233,,Julian Araujo,0.2,0,50.82,49.64,0.57,1.2
234,,Jack McGlynn,0.12,0,31.58,42.86,0.46,0.46
235,,Erik Godoy,0.17,0,53.85,54.84,0.33,0.5
236,,Washington Corozo,0,0,100,60,0,0.33
237,,Isaac Boehmer,0,0,0,100,0.67,0
238,,Sebastian Berhalter,0.28,0,37.5,54.63,0.83,1.06
239,,César Araújo,0.25,0.03,53.57,58.54,2.19,1.34
240,,Sebastian Lletget,0.06,0,42.42,44.44,0.81,0.81
241,,Cory Burke,0.17,0,49.65,45.37,0.58,1.33
242,,Josh Williams,0.09,0,64.71,65.96,0.3,0.22
243,,D.J. Taylor,0.15,0,32.61,51.28,0.44,0.78
244,,Lucas Cavallini,0.38,0.04,53.49,50,2.54,1.92
245,,Zac McGraw,0.23,0,71.93,65.26,0.14,0.5
246,,Dejan Joveljić,0.09,0,43.9,36.04,0.21,0.32
247,,Jarosław Niezgoda,0,0,26.83,33.14,0.33,0.23
248,,Zarek Valentin,0,0,33.33,61.11,0.4,0.4
249,,Javain Brown,0.15,0,50,52.12,0.33,0.7
250,,DeJuan Jones,0.13,0,34.55,45.9,1,0.65
251,,Andrew Farrell,0.16,0.03,50,62.99,0.34,0.5
252,,Jaylin Lindsey,0.08,0,48.39,51.24,0.42,0.81
253,,Matko Miljevic,0.14,0,50,58.89,1.55,0.5
254,,Roman Celentano,0,0,100,66.67,0,0.03
255,,José Antonio Martinez,0.15,0,58.33,55.84,0.36,0.61
256,,Martín Cáceres,0.13,0,100,73.91,0.38,0.75
257,,Stuart Findlay,0,0,60,50,0.25,0.25
258,,George Campbell,0.15,0,52.46,48.28,0.4,0.95
259,,Ismael Koné,0.21,0.04,50,58.82,1.36,0.82
260,,Jesús Jiménez,0.06,0,36.47,32.62,0.48,0.79
261,,Tom Edwards,0.3,0,68,57.58,0.75,1
262,,Cristhian Paredes,0.22,0,38.46,48.97,0.93,0.85
263,,Xavier Arreaga,0.15,0,50,53.44,0.33,0.67
264,,Boris Sekulić,0.15,0,46.67,52.91,0.42,1.03
265,,Miloš Degenek,0.11,0,54.55,58.08,0.75,0.93
266,,Amar Sejdic,0.22,0,50,53.33,0.43,0.87
267,,Nicolas Isimat-Mirin,0.18,0,63.24,58.49,0.18,0.89
268,,Dax McCarty,0.13,0.03,51.52,54.35,0.87,0.6
269,,Cristián Dájome,0.11,0.04,45,47.94,1.57,1.36
270,,Sami Guediri,0.08,0,44.44,59.72,0.31,0.69
271,,Efrain Alvarez,0.07,0,44.44,32.59,0.45,0.34
272,,Leon Flach,0.11,0,56.1,54.38,0.65,1.08
273,,Mohammed Adams,0.38,0,25,68.89,0.75,0.63
274,,Daniel Pereira,0.21,0.06,50,52.49,1.42,1.39
275,,Sean Nealis,0.18,0.03,66.22,60.98,0.68,1.44
276,,Alexander Ring,0.22,0,41.18,39.74,0.54,1.43
277,,Juan Mosquera,0,0,40,56.25,1,0.67
278,,Miles Robinson,0.11,0.11,66.67,68.42,0.22,0.33
279,,Marcos López,0.29,0.06,57.5,62.42,2.12,1.41
280,,Pedro Vite,0.08,0,25,51.13,0.96,0.42
281,,Júnior Urso,0.2,0,50.85,50.61,1.89,1.2
282,,Steven Moreira,0.19,0,34.78,43.89,0.44,1.03
283,,Michael Boxall,0.28,0,62.34,56.35,0.28,1
284,,Cristián Gutiérrez,0.09,0,66.67,61.9,0.18,0.27
285,,Aaron Long,0.2,0,65.88,61.29,0.53,0.83
