Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Mehtab Singh,0.1,0,0,0.43,0.05,0,0.86,1.24,0,3.48,0.05,0.38,0,0,55.57,86.46,2.9,53.16,0,0.33,0,0,0.86,0.1,0.14,0,55.38,54.21,0.19,0.33,21
Sandesh Jhingan,0,0.14,0,0.38,0,0,0.95,1.76,0,7.48,0,0.1,0,0,30.95,77.38,1.24,41.18,0,0.29,0,0,0.95,0.24,0.14,0,70.87,66.01,0.38,0.9,21
Wilmar Jordan,0.73,0,28.57,2.27,0.09,0,0.73,0.27,0,1.09,0,0.18,0,0,16.73,72.83,3.27,52.94,0,0.09,0,0,1.82,0.55,0.09,0.09,42.86,43.43,1.18,0.64,11
Julius Düker,0.05,0,47.37,0.65,0,0,2.5,1.7,0,1.3,0,0.9,0.2,0.2,48.2,84.96,8.85,62.5,0,0.15,0,0,1.2,0.4,0.15,0,50,54.36,0.95,0.55,20
Alan Costa,0.12,0.06,0,0.71,0.12,0,1.06,1.35,0,2.71,0.06,0.18,0,0.06,28,76.89,2.65,44.55,0,0.18,0,0,0.59,0.18,0,0,64.86,69,0.18,0.12,17
Carl McHugh,0.14,0,28.57,0.86,0.1,0,2.14,1.05,0,1.67,0,0.52,0,0.05,41.33,77.07,5.38,47.22,0,0.38,0,0,0.38,0.19,0.24,0,67.69,54.3,0.48,1.67,21
Halen Nongtdu,0,0,0,2,0,0,0,0,0,0,0,0,0,0,40,92.5,3,0,0,0,0,0,1,0,0,0,25,20,0,0,1
Subhasish Bose,0.04,0,66.67,0.61,0.04,0,2.7,1.83,0.04,1.87,0,0.96,0.13,0,46.39,76.66,7.65,37.85,0,0.52,0,0,0.48,0.26,0.22,0,66.67,59.19,0.7,1.13,23
Phurba Tempa Lachenpa,0,0,0,0,0,0,0.05,0,0,1.73,0.05,0,0,0,26.05,59.86,1.5,33.63,2.91,0.32,0.05,0,0.95,0.09,0.05,0,69.23,73.33,0.05,0,22
Harrison Sawyer,0.11,0.28,11.11,2.28,0.06,0,0.56,0.17,0,0.56,0,0.22,0.28,0.28,12.72,60.7,3.61,62.5,0,0.06,0,0,0.78,0.17,0.06,0,55.96,50,0.89,0.83,18
Alex,0.06,0,68.75,0.65,0,0,2,1.29,0,0.35,0,0.59,0.12,0.06,31.94,79.19,7.41,45,0,0.12,0,0,1.06,0.18,0.29,0,57.14,62.03,2.18,1.29,17
João Victor,0.14,0.07,16.67,0.64,0.07,0,1,1.21,0,0.79,0,0.36,0,0,44,79.22,7.57,66.07,0,0.43,0,0,0.43,0,0.07,0,76.74,62.75,1.14,1.21,14
Ashish Rai,0,0.04,37.5,0.83,0,0,2.46,2.13,0,1.46,0,0.75,0.04,0.04,36.75,70.98,7.08,37.68,0,0.38,0,0,0.46,0.25,0.08,0,48,57,1.08,0.71,24
Akash Mishra,0,0,37.04,0.53,0,0,2.37,1.84,0.05,2.84,0,0.37,0,0,36.16,71.76,6.53,40.86,0,0.58,0,0,0.47,0.05,0.21,0,62.07,56.02,0.84,1.05,19
Isak Vanlalruatfela,0.2,0,44.44,1,0,0,0.8,0.2,0,0.2,0,0.2,0.1,0.2,9.6,63.54,2.4,18.18,0,0,0,0,0.6,0,0,0,33.33,43.9,0.3,0.3,10
Odei Onaindia,0.05,0,33.33,0.38,0,0,0.67,1.1,0,4.52,0,0.14,0.05,0.05,41.48,80.25,1.76,42.11,0,0.57,0,0,0.57,0.05,0.1,0,67.31,54.35,0,0.9,21
Daniel Chima Chukwu,0.26,0.37,50,2.37,0.05,0,0.47,0.16,0,0.79,0,0.11,0.26,0.11,13,66.8,4.89,68.75,0,0.16,0,0,1.05,0.16,0.16,0,36.08,37.98,1.11,1.37,19
Hugo Boumous,0.25,0.15,56.67,1.5,0,0,1,0.1,0,0,0,0.25,0.15,0.2,32,78.91,11.55,70.49,0,0,0,0,0.45,0.2,0.25,0,25,38.99,1.05,1,20
Brendan Hamill,0,0.1,83.33,0.65,0,0,0.95,1.25,0,4.2,0,0.15,0,0,39.9,87.34,2.05,52.8,0,0.35,0,0,0.5,0.35,0.35,0,54.55,62.64,0.75,0.6,20
Gurpreet Singh Sandhu,0,0,0,0,0,0,0.04,0.04,0.09,1.04,0.04,0.09,0,0,27.39,43.65,2.78,30.28,3.04,0.26,0.22,0.04,0.91,0.26,0.09,0,100,71.43,0.17,0.09,23
Anwar Ali,0.05,0.1,80,0.8,0,0,1.25,1.2,0.15,4,0.05,0.3,0.05,0.1,66.3,81.45,3.75,45.92,0,0.2,0,0,1.45,0.3,0.1,0,71.21,68.6,0.35,0.55,20
Sarthak Golui,0.08,0,100,0.69,0,0,2,1.62,0,3.46,0,1.08,0.08,0,27.23,67.23,4.23,39.33,0,0.15,0,0,0.85,0.15,0,0.08,50,53.09,0.46,0.69,13
Pritam Kotal,0,0.04,0,0.5,0,0,0.79,2,0,3,0,0.25,0,0,45.92,79.4,3.46,45.3,0,0.5,0,0,0.5,0.29,0.17,0,75.44,68.69,0.25,0.38,24
Sunil Chhetri,0.2,0.2,30.77,1.55,0.1,0,0.65,0.25,0,0.4,0,0.35,0.05,0,16.8,72.92,4.9,46.15,0,0.05,0,0,0.65,0.15,0.1,0,49.25,46.58,0.9,0.55,20
Pratik Chowdhary,0,0,100,0.71,0,0,1.18,1.88,0,4.12,0,0.29,0.06,0,24.94,70.05,2,36.07,0,0.24,0,0,1,0.12,0.29,0,60.87,54.84,0.12,1.18,17
Kwame Karikari,0.31,0.06,53.85,1.5,0,0,0.19,0.19,0,0.5,0,0.06,0,0.06,9,52.78,1.81,40,0,0,0,0,0.44,0.25,0.13,0,46.81,43.02,0.31,0.56,16
Nandhakumar Sekar,0.3,0.05,44.12,2.05,0,0,0.95,0.65,0,0.25,0,0.3,0.15,0.05,21.45,70.16,5,32.26,0,0.05,0,0,1.35,0.05,0.05,0.05,38.46,45.74,0.75,0.7,20
Fares Arnaout,0.05,0,33.33,0.47,0.05,0,1.26,1.11,0.05,2.26,0,0.11,0,0,35.11,84.71,1.58,54.46,0,0.05,0,0,0.74,0.16,0.05,0,58.54,63.33,0.42,0.47,19
Javier Siverio,0.23,0.27,20,1.91,0.05,0,0.36,0.09,0,0.5,0,0.18,0.05,0,14.77,64.31,3.59,77.78,0,0,0,0,0.32,0.05,0.09,0,51.41,47.66,0.91,0.91,22
Rohit Kumar,0.17,0,55,0.89,0,0,1.33,1.56,0,1.06,0,0.33,0,0,21.94,81.27,4.44,55.56,0,0.06,0,0,0.56,0.17,0.22,0,75,56.36,0.5,0.78,18
Pronay Halder,0,0,0,0.44,0,0,1.89,1.11,0,1.67,0,0.44,0.11,0,26.56,76.99,4.33,55.56,0,0.22,0,0,0.89,0.33,0.33,0,66.67,57.69,0.78,1.11,9
Federico Gallego,0,0,55.56,0.92,0,0,1.08,0.25,0,0.67,0,0.67,0.17,0,24.75,66.67,7.25,45.45,0,0.17,0,0,0.08,0.17,0,0,33.33,46.25,0.83,0.58,12
Edwin Sydney Vanspaul,0.05,0,70,1.11,0,0,1.16,1,0,0.42,0,0.16,0.11,0.05,21.89,71.88,4.26,41.79,0,0.05,0,0,0.84,0.21,0.05,0,73.68,65.82,0.47,0.42,19
Anirudh Thapa,0.13,0.06,45.45,1.44,0.06,0,0.69,0.56,0,0.5,0,0.69,0,0.06,37.75,79.47,10.06,59.41,0,0.06,0,0,1,0.38,0.13,0,17.86,36.73,0.94,0.38,16
Glan Martins,0,0,50,0.88,0,0,2.29,1.65,0,0.94,0,0.94,0,0,29.88,79.92,3.24,43.64,0,0.06,0,0,0.41,0.12,0.06,0,60,53.13,0.53,1.29,17
Bruno Ramires,0,0.07,66.67,0.53,0,0,1.53,1.27,0,2.13,0,0.4,0.07,0,30.07,76.72,3.67,42.71,0,0.13,0,0,0.87,0.07,0,0,76.92,65.75,0.07,0.53,15
Gani Nigam,0,0,50,0,0,0,1.5,0.63,0,0.88,0,0.38,0.25,0.25,13.88,72.97,2.75,57.89,0,0,0,0,1,0.13,0.25,0,75,59.09,0.5,0.63,8
Apostolos Giannou,0.12,0.18,50,1.24,0,0,0.82,0.06,0,0.29,0,0.18,0.12,0.12,12.59,65.89,4.47,37.5,0,0,0,0,0.41,0,0,0,38.1,46.73,0.71,0.59,17
Vinit Rai,0.18,0,0,0.45,0,0,1.09,0.27,0,0.91,0,0.09,0,0,20.91,83.48,4.55,56.25,0,0,0,0,0.36,0,0.09,0,50,48.72,0.27,0.91,11
Nim Dorjee Tamang,0.09,0,0,0.27,0.09,0,0.55,0.91,0,2.91,0,0.27,0,0,25.36,82.08,1.18,62.5,0,0.27,0,0,0.73,0.18,0,0,59.26,55.56,0.27,0.55,11
Roshan Singh,0,0,43.14,0.91,0,0,2.26,1.35,0.04,1.39,0,0.65,0.26,0.13,23.65,67.46,4.09,32.93,0,0.17,0,0,0.87,0.22,0.13,0,62.07,53.71,1.35,0.57,23
Jeakson Singh,0,0,70.59,0.47,0,0,2.47,1.37,0,1.11,0,0.79,0,0,45.32,82.93,6.89,56.34,0,0.16,0,0,1.32,0.05,0.16,0,55.56,54.22,0.32,1.11,19
Manvir Singh,0.11,0.06,41.94,1.61,0,0,1.11,0.39,0,0.83,0,0.39,0.06,0.22,25.67,71,7.72,36.84,0,0.22,0,0,0.56,0.33,0.06,0,67.31,50,0.89,0.67,18
Sandeep Singh,0.11,0,42.86,0.89,0.11,0,2.11,2.22,0,1.67,0.11,0.56,0,0.11,32,66.32,5,16.39,0,0.44,0,0,0.89,0,0.44,0,59.09,50,0.11,1.11,9
Brison Fernandes,0.23,0,100,0.62,0,0,0.77,0,0,0,0,0.38,0,0,7.38,82.29,1.15,66.67,0,0,0,0,0.23,0,0,0,28.57,58.06,0.15,0.08,13
Chinglensana Singh Konsham,0.07,0,80,0.14,0,0,0.36,0.93,0,2.79,0,0.36,0,0,52,79.26,3.71,44.1,0,0.57,0,0,0.57,0.07,0.21,0,48.39,49.12,0.29,0.43,14
Iván Garrido,0,0,100,0,0,0,2.2,1.53,0,4.27,0,0.53,0,0,32.07,75.05,2.4,46.51,0,0.07,0,0,1.6,0.4,0.13,0,60,63.27,0.53,0.73,15
Sivasakthi Narayanan,0.3,0.25,43.48,1.4,0.05,0,0.65,0.2,0,0.15,0,0.55,0.1,0.15,8.15,61.35,2.05,20,0,0.05,0,0,0.4,0.15,0.05,0,5,33.33,0.8,0.6,20
Vincy Barretto,0.19,0.25,33.33,2.13,0,0,0.81,0.44,0,0.31,0,0.38,0.19,0.13,13.44,68.84,3.75,25,0,0.06,0,0,0.75,0.38,0,0,40.74,46.23,1.25,0.5,16
Bidyashagar Singh,0,0,0,0.5,0,0,0,0,0,0,0,0.17,0,0.17,1.67,90,0.5,100,0,0,0,0,0.17,0,0,0,0,0,0,0,6
Arsh Anwer Shaikh,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,54.55,0,44.44,1,0,0,0,0,0,0,0,0,0,0,0,1
Gyamar Nikum,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,75,0,0,1
Devansh Dabas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,62.5,1,42.86,5,0,0,0,1,1,0,0,0,0,0,0,1
Vibin Mohanan,0,0,50,0.33,0,0,2,0,0,0,0,0.33,0,0,20,90,3.33,70,0,0,0,0,0.33,0,0.33,0,100,73.33,0.33,0.33,3
Bryce Miranda,0,0,40,0.17,0,0,0.92,0.25,0,0,0,0.17,0.25,0.17,7.75,69.89,2.17,50,0,0,0,0,0.17,0,0,0,20,53.33,0.5,0.17,12
Liston Colaco,0.04,0.17,41.27,2.46,0,0,1.25,0.38,0,0.13,0,0.38,0.08,0.17,19.83,73.95,5.96,43.33,0,0.13,0,0,0.33,0.29,0.04,0,22.73,44.19,1.42,0.67,24
Kamaljit Singh,0,0,0,0,0,0,0.18,0.06,0,1.76,0.06,0.12,0,0,21,43.7,1.59,33.67,3.12,0.18,0.12,0,1.53,0.35,0.06,0,50,62.5,0,0,17
Vignesh Dakshinamurthy,0.06,0,57.14,0.56,0,0,1.75,1.5,0,1,0,0.44,0,0,37,80.07,6.94,43.06,0,0.13,0,0,0.56,0.13,0.06,0,64.86,57.94,0.13,0.75,16
Rahim Ali,0.2,0.07,25,1.27,0,0,0.87,0.2,0,0.47,0,0.33,0.13,0.07,16.13,74.38,4,45.45,0,0,0,0,0.8,0.2,0.07,0,42.11,39.29,0.53,0.87,15
Jordan O'Doherty,0.06,0,50,0.67,0,0,1.5,0.67,0,0.89,0,0.28,0.06,0,22.56,85.47,4.78,58.54,0,0,0,0,1.22,0.28,0.06,0,29.41,55.56,0.44,0.28,18
Jessel Carneiro,0,0,16.67,0.78,0,0,1,0.72,0,1.11,0,0.33,0.11,0,30.83,76.04,7,33.75,0,0.11,0,0,1.11,0.06,0.06,0,55.81,60.92,0.56,0.11,18
Marko Lešković,0.07,0.07,100,0.5,0,0,0.79,1.71,0,3.29,0.07,0.36,0,0,44.36,79.71,4.43,43.28,0,0.29,0,0,1.14,0,0.21,0,53.33,52.24,0.43,0.79,14
Issac Vanmalsawma,0.05,0,50,0.55,0,0,0.95,0.4,0,0.1,0,0.3,0.15,0.05,19.25,76.1,4.95,50.94,0,0.05,0,0,0.85,0,0.1,0,31.58,51.28,0.6,0.3,20
Namgyal Bhutia,0,0,10,0.2,0,0,1.8,1.6,0,1.2,0,0.4,0.1,0,31.8,80.5,6.6,50,0,0.2,0,0,1,0.4,0,0,11.11,42.59,0.3,0.3,10
Mohammad Yasir,0.15,0,43.08,1.45,0.05,0,0.95,0.55,0,0.3,0,0.8,0.2,0.2,26.35,71.16,8.2,48.44,0,0.05,0,0,0.55,0.05,0.05,0,33.33,39.59,1.2,0.6,20
Ruivah Hormipam,0,0.05,40,0.35,0,0,1.4,2.2,0,2.85,0,0.55,0,0,45.55,78.59,2.9,43.26,0,0.2,0,0,1.2,0.05,0.15,0,43.48,50.88,0.4,0.7,20
Lenny Rodrigues,0.09,0,0,0.64,0,0,0.91,0.82,0,0.55,0,0.55,0.09,0,27.36,87.38,4.36,56,0,0.09,0,0,0.36,0.18,0.27,0.09,50,48.39,0.27,0.36,11
Álvaro Vázquez,0.06,0.35,57.14,1.29,0,0,0.18,0.18,0,0.12,0,0.06,0.18,0.18,11.47,72.82,3.29,80,0,0,0,0,1,0.24,0.06,0,11.11,51.43,0.59,0.12,17
Anuj Kumar,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,17.5,71.43,1,47.37,2,0,0,0,0.5,0,0.5,0,100,100,0,0.5,2
Laldinliana Renthlei,0,0,72.73,0.35,0,0,2,1.59,0,2.24,0.06,0.35,0,0,27.24,65.44,4.88,31.53,0,0.18,0,0,1,0.41,0.18,0,59.38,60.91,0.41,1.12,17
Deepak Tangri,0,0,0,0.45,0,0,2.09,1.09,0,0.45,0,0.27,0,0,33.18,80.27,2,40.54,0,0.27,0,0,0.36,0.18,0.18,0,47.83,52.31,0,1.27,11
Vishal Yadav,0,0,0,0,0,0,0,0,0,0.89,0,0.11,0,0,23.33,49.05,2.67,37.72,3.22,0.11,0.33,0.11,1.33,0.33,0,0,100,80,0.11,0,9
Nikhil Poojary,0,0,52.5,0.14,0,0,1.86,0.9,0.05,1.9,0,0.62,0.05,0.05,33.14,67.67,5.81,25.56,0,0.43,0,0,0.52,0.05,0.1,0,70.83,57.31,1,0.95,21
Rafael Crivellaro,0,0.3,37.04,1.8,0,0,0.7,0.1,0,0.1,0,0.3,0.2,0.2,27.9,70.97,9.1,54.17,0,0.1,0,0,0.8,0.4,0,0,36.36,40.63,1.8,0.5,10
Osama Malik,0,0.07,100,0.6,0,0,0.87,0.87,0,2.27,0,0.2,0,0,38.27,75.78,2.07,51.64,0,0.13,0,0,1.27,0,0.07,0,68.97,70.11,0.47,0.33,15
Ayush Dev Chhetri,0,0,100,0.1,0,0,1.3,1.25,0,0.55,0,0.35,0.1,0,32.2,85.71,3.3,42.31,0,0.1,0,0,0.85,0.25,0.05,0,23.08,53.68,0.3,0.55,20
