#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
157,,Ayush Adhikari,0,0,0,0,0.17,0
158,,Suresh Wangjam Singh,0,0.14,0,0,0.95,0.19
159,,Rehnesh Paramba,2.36,0.27,0,0,1.18,0.36
160,,Devendra Dhaku Murgaokar,0,0,0,0,0.92,0.17
161,,Ricky Lallawmawma,0,0.15,0,0,1.25,0.35
162,,Sourav Das,0,0,0,0,1,0.43
163,,Lalthathanga Khawlhring,0,0,0,0,0.64,0.07
164,,Prasanth Karuthadathkuni,0,0,0,0,1.2,0.2
165,,Jake Jervis,0,0.2,0,0,1.2,0.2
166,,Joseba Beitia,0,0,0,0,2.6,0.2
167,,Rahul Kannoly,0,0.17,0,0,1,0.06
168,,Manoj Mohammed,0,0.33,0,0,1.67,0.33
169,,Emanuel Lalchhanchhuaha,0,0,0,0,0.78,0.11
170,,Emil Benny,0,0.06,0,0,1.5,0.25
171,,Abdul Rabeeh,0,0,0,0,0.28,0.06
172,,Harmanjot Singh Khabra,0,0,0,0,1.71,0
173,,Ashique Kuruniyan,0,0.22,0,0,0.39,0.17
174,,Seriton Fernandes,0,0.2,0,0,1.4,0.33
175,,Chungnunga Lal,0,0.11,0,0,1.63,0.37
176,,Jithin MS,0,0,0,0,1.81,0.38
177,,Michael Jakobsen,0,0,0,0,2.2,0.3
178,,Hitesh Sharma,0,0,0,0,0.32,0.05
179,,Sahil Panwar,0,0.11,0,0,1.22,0.06
180,,Rochharzela,0,0,0,0,1.07,0.21
181,,Matt Derbyshire,0,0,0,0,1.75,0.13
182,,Denechandra Meitei,0,0,0,0,0.86,0
183,,Gursimrat Gill,0,0,0,0,0,0
184,,P C Rohlupuia,0,0,0,0,0,0
185,,Hardik Bhatt,0,0,0,0,1,0
186,,Arshdeep Singh,1,0,0,0,0.5,0
187,,Syed Suhail Pasha,0,0,0,0,1,0
188,,Princeton Rebello,0,0,0,0,0.67,0
189,,Narayan Das,0,0,0,0,0.5,0.17
190,,Jockson Das A,0,0,0,0,0.33,0.17
191,,Tuhin Das,0,0,0,0,0.38,0
192,,Seminlen Doungel,0,0,0,0,0.6,0.1
193,,Rohit Danu,0,0,0,0,0.31,0.08
194,,Prabhsukhan Gill,2.17,0.22,0.11,0,1.44,0.06
195,,Prabir Das,0,0.16,0,0,0.74,0.16
196,,Pedro Martin,0,0,0,0,0.35,0.05
197,,Samik Mitra,2.7,0.2,0.1,0,1.2,0.4
198,,Jayesh Rane,0,0,0,0,0,0.11
199,,Lalrinliana Hnamte,0,0,0,0,0.08,0.08
200,,Boris Thangjam,0,0,0,0,1.1,0.25
201,,Aiban Dohling,0,0.16,0,0,1.11,0.21
202,,Nishu Kumar,0,0.06,0,0,0.81,0.06
203,,Marc Valiente,0,0,0,0,1.13,0.25
204,,Ninthoinganba Meetei,0,0,0,0,0.5,0.42
205,,Imran Khan,0,0,0,0,1,0
206,,Sahal Abdul Samad,0,0,0,0,1.11,0.05
207,,Jerry Lalrinzuala,0,0.11,0,0,1.32,0.37
208,,Thongkhosem Haokip,0,0.07,0,0,0.87,0.2
209,,Pragyan Sundar Gogoi,0,0.06,0,0,1.81,0.19
210,,Gurmukh Singh,0,0,0,0,0.6,0.4
211,,Peter Hartley,0,0.13,0,0,1.38,0.38
212,,Reagan Singh,0,0,0,0,0.5,0.13
213,,Fardin Ali Molla,0,0,0,0,0.2,0
214,,Eliandro,0,0,0,0,0.43,0.29
215,,Laldinpuia PC,0,0,0,0,0.75,0.13
216,,Saurav Mandal,0,0,0,0,0.23,0
217,,Muhammed Uvais,0,0,0,0,1,0.17
218,,Sanjeev Stalin,0,0.09,0,0,0.64,0
219,,Jobby Justin,0,0,0,0,0.6,0.2
220,,Souvik Chakraborty,0,0,0,0,1,0.4
221,,Ankit Mukherjee,0,0.1,0,0,1.2,0.3
222,,Arindam Bhattacharya,3.4,0,0.3,0.1,2.6,0.4
223,,Dheeraj Singh,1.84,0.16,0.37,0,1.47,0.32
224,,Sajal Bag,0,0,0,0,0.6,0.4
225,,Bijoy Varghese,0,0,0,0,0,0
226,,Sumit Rathi,0,0,0,0,0,0
227,,Ravi Bamadur Rana,0,0,0,0,0,0
228,,Ricky John Shabong,0,0,0,0,0,0
229,,Harmanpreet Singh,0,0,0,0,0,0
230,,Athul Unnikrishnan,0,0,0,0,0,0
231,,Mark Zothanpuia,0,0,0,0,0,0
232,,Phijam Vikash Singh,0,0,0,0,1.25,0
233,,Mohammad Rakip,0,0,0,0,0.83,0.17
234,,Moirangthem Thoiba Singh,0,0.05,0,0,1.48,0.05
235,,Sanson Pereira,0,0,0,0,0.92,0.33
236,,Mandar Rao Desai,0,0.1,0,0,1.1,0
237,,Himanshu Jangra,0,0,0,0,0.67,0
238,,Aaron Evans,0,0.05,0,0,2,0.37
239,,Farukh Choudhary,0,0.06,0,0,0.5,0.19
240,,Sumeet Passi,0,0,0,0,1.09,0.27
241,,Florentin Pogba,0,0,0,0,0,0.5
242,,Mashoor Shereef Thangalakath,0,0,0,0,2,0.25
243,,Aniket Jadhav,0,0,0,0,0.5,0.17
244,,Debjit Majumder,2.67,0.11,0.33,0,1.56,0.56
245,,Suvam Sen,3.67,0,0,0,1.67,0.33
246,,Kule Mbombo,0,0,0,0,2,0.5
247,,Sheikh Sahil,0,0,0,0,3,0
248,,Amarjit Kiyam Singh,0,0,0,0,1,1
249,,Lalbiakhlua Jongte,4,0,1,0,2,1
250,,Gurkirat Singh,0,0,0,0,0.22,0
251,,Gaurav Bora,0,0.07,0,0,1.93,0.43
252,,Nihal Sudheesh,0,0,0,0,0.4,0
253,,Danish Farooq Bhat,0,0.07,0,0,0.47,0.2
254,,Ngasepam Tondonba Singh,0,0.13,0,0,1.88,0.25
255,,Alex Saji,0,0,0,0,2.14,0.43
256,,Mohammed Asif Khan,0,0,0,0,0,0.5
257,,Lalchungnunga Chhangte,0,0,0,0,0,0
258,,Mohammed Rafique,0,0,0,0,0.67,0.67
259,,Hira Mondal,0,0,0,0,1.83,0.33
260,,Gurjinder Kumar,0,0,0,0,2.09,0.36
261,,Mohammad Dhot,0,0,0,0,2,0
262,,Nikhil Barla,0,0,0,0,0,0
263,,Paul Ramfangzauva,0,0,0,0,0,0
264,,Mohamed Irshad,0,0,0,0,1,0.27
265,,Shubham Sarangi,0,0,0,0,1.11,0
266,,Joe Zoherliana,0,0.08,0,0,1.83,0.08
267,,Leon Augustine,0,0,0,0,0.2,0.2
268,,Laldanmawia Ralte,0,0,0,0,0.5,0
269,,Rupert Nongrum,0,0,0,0,2,0
270,,Sehnaj Singh,0,0,0,0,2,1
271,,Pritamkumar Singh,0,0,0,0,2,0
272,,Wahengbam Angousana Luwang,0,0,0,0,1,0
273,,Leander D'Cunha,0,0,0,0,0,0
274,,Akshunna Tyagi,0,0,0,0,0,0
