#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
211,,Peter Hartley,0.5,0.13,66.67,50.98,0.25,1.5
212,,Reagan Singh,0,0,25,52.17,0.5,0.38
213,,Fardin Ali Molla,0,0,100,42.86,0.3,0.2
214,,Eliandro,0,0,50,53.85,0,0.14
215,,Laldinpuia PC,0,0,50,52.63,0.5,0.38
216,,Saurav Mandal,0.08,0,50,41.67,0.31,0.31
217,,Muhammed Uvais,0.17,0,44.44,55,0,0.33
218,,Sanjeev Stalin,0.09,0,44.44,44.23,0.18,1.09
219,,Jobby Justin,0,0,30.77,35,0.6,0.2
220,,Souvik Chakraborty,0.2,0,55.56,50,0.8,1
221,,Ankit Mukherjee,0.2,0,50,45.16,0.2,0.9
222,,Arindam Bhattacharya,0.2,0,66.67,66.67,0.1,0.1
223,,Dheeraj Singh,0.11,0,92.86,74.07,0.26,0.21
224,,Sajal Bag,0,0,0,28,0.2,0.8
225,,Bijoy Varghese,0,0,0,0,0,0
226,,Sumit Rathi,0,0,100,100,0,0
227,,Ravi Bamadur Rana,0,0,0,0,0,0
228,,Ricky John Shabong,0,0,0,0,0,0
229,,Harmanpreet Singh,0,0,0,0,0,0
230,,Athul Unnikrishnan,0,0,0,0,0,0
231,,Mark Zothanpuia,0,0,0,50,0,0
232,,Phijam Vikash Singh,0,0,0,50,0,0
233,,Mohammad Rakip,0.33,0,60,61.9,0,0.17
234,,Moirangthem Thoiba Singh,0.14,0,46.15,43.55,0.81,1.1
235,,Sanson Pereira,0.08,0,35.71,45.59,0.25,0.92
236,,Mandar Rao Desai,0,0,0,40,0.3,0.5
237,,Himanshu Jangra,0,0,42.86,39.29,0.17,0.17
238,,Aaron Evans,0.16,0,32,43.08,0.26,0.63
239,,Farukh Choudhary,0.06,0,50,38.36,0.5,0.38
240,,Sumeet Passi,0.36,0,51.16,43.08,0.18,0.45
241,,Florentin Pogba,0,0,50,33.33,0,0.5
242,,Mashoor Shereef Thangalakath,0.63,0,8.33,43.24,0.5,0.5
243,,Aniket Jadhav,0,0,0,31.91,0.17,0.5
244,,Debjit Majumder,0.11,0.11,100,70,0.11,0.22
245,,Suvam Sen,0.33,0,0,0,0,0
246,,Kule Mbombo,0,0,45.45,44.44,1.33,1
247,,Sheikh Sahil,0,0,0,66.67,0,1
248,,Amarjit Kiyam Singh,0,0,0,50,1,0
249,,Lalbiakhlua Jongte,0,0,0,0,0,0
250,,Gurkirat Singh,0,0,28.57,38.24,0.67,0.78
251,,Gaurav Bora,0.14,0,46.43,51.19,0.64,0.93
