#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
189,,Youssouf Fofana,0.06,0,53.49,1.17,0,0
190,,Eliesse Ben Seghir,0.21,0.11,50,1.11,0,0
191,,Melvin Bard,0,0,47.92,0.21,0,0
192,,Mostafa Mohamed,0.22,0.17,58.33,1.61,0.11,0
193,,Djed Spence,0,0.13,62.5,0.38,0,0
194,,Jonas Omlin,0,0,0,0,0,0
195,,Vitinha,0.06,0.08,64.58,0.86,0,0
196,,Christopher Jullien,0,0,100,0.57,0,0
197,,Mahdi Camara,0.06,0.1,60,0.77,0.06,0
198,,Cheick Keita,0,0,100,0.33,0,0
199,,Florent Mollet,0.05,0,43.48,1.16,0,0
200,,Jonathan Bamba,0.18,0.38,39.33,2.09,0.03,0
201,,Arnaud Nordin,0.25,0.22,55.88,1.64,0.03,0
202,,José Fonte,0.03,0.06,100,0.45,0,0
203,,Thijs Dallinga,0.33,0.36,52.63,1.69,0.06,0
204,,Sead Kolašinac,0.12,0.15,30,0.67,0.06,0
205,,Sacha Delaye,0.33,0,0,0.67,0,0
206,,André Gomes,0.12,0,74.36,0.69,0,0
207,,Gideon Mensah,0,0,48.15,0.19,0,0
208,,Paul Joly,0,0.1,61.9,0.7,0,0
209,,Mateusz Wieteska,0,0.11,100,0.46,0,0
210,,Christopher Wooh,0,0.14,100,0.36,0,0
211,,Nicolas Pallois,0.04,0.08,77.78,0.35,0.04,0
212,,Lilian Brassier,0,0,52,0.56,0,0
213,,Souleymane Isaak Touré,0.04,0.13,50,0.33,0,0
214,,Mohamed Camara,0,0.03,60.53,0.93,0,0
215,,Kevin Volland,0.18,0.06,25,0.88,0,0
216,,Julien Le Cardinal,0,0,66.67,0.63,0,0
217,,Maxime Le Marchand,0,0,93.75,0.31,0,0
218,,Mounaim El Idrissy,0.19,0.16,47.83,1.56,0.03,0
219,,Matz Sels,0,0,0,0,0,0
220,,Mama Baldé,0.35,0.32,50.45,2.21,0,0
221,,Jean-Charles Castelletto,0,0.03,68.75,0.28,0,0
222,,Quentin Bernard,0,0,50,0,0,0
223,,Ismaily,0.09,0.04,48.57,0.57,0,0
224,,Andy Delort,0.23,0.23,52.63,1.69,0,0
225,,Alexis Claude-Maurice,0.23,0.05,46.15,0.73,0,0
226,,Presnel Kimpembe,0,0.18,100,0.36,0,0
227,,Désiré Doué,0.12,0,67.61,0.81,0,0
228,,Massadio Haïdara,0,0.08,57.14,0.36,0,0
229,,Jean Onana,0,0.05,100,0.38,0,0
230,,Loïc Badé,0,0,0,2,0,0
231,,Antonin Bobichon,0,0,0,0.33,0,0
232,,Kays Ruiz-Atil,0,0,100,0,0,0
233,,Eli Junior Kroupi,0,0,0,0,0,0
234,,Fallou Fall,0,0,0,0,0,0
235,,Nathan Zeze,0,0,0,0,0,0
236,,Grejohn Kyei,0.27,0.3,55.71,1.62,0.03,0
237,,Habib Diarra,0.1,0,50,0.79,0,0
238,,Bafodé Diakité,0.09,0.03,70.37,0.58,0.06,0
239,,Antoine Mendy,0,0,75,0.73,0,0
240,,Jens Cajuste,0.1,0.03,56.52,0.87,0,0
241,,Flavien Tait,0.07,0.07,56.41,0.83,0,0
242,,Jaouen Hadjam,0,0,70.73,0.46,0,0
243,,Andreaw Gravillon,0,0.08,70,0.62,0,0
244,,Carlos Soler,0.12,0,55.56,0.38,0.04,0
245,,Billal Brahimi,0.12,0.04,58.06,0.77,0,0
246,,Hugo Ekitiké,0.12,0.16,47.06,1.36,0,0
247,,Logan Costa,0,0,50,0.83,0,0
248,,Rubén Blanco,0,0,0,0,0,0
249,,Kévin Gameiro,0.29,0.32,44.19,1.35,0,0
250,,Ismael Doukoure,0.04,0,70.73,0.32,0,0
251,,Vincent Le Goff,0,0.05,46.15,0.46,0,0
252,,Pape Gueye,0.07,0.07,20,0.57,0.07,0
253,,Eric Bailly,0,0,50,0.18,0,0
254,,Gauthier Gallon,0,0,0,0,0,0
255,,Thomas Mangani,0.04,0.04,80,0.42,0,0
256,,Maxime Gonalons,0.04,0,60,0.24,0,0
257,,Salis Abdul Samed,0.03,0.03,69.05,0.39,0,0
258,,Chrislain Matsima,0,0.07,100,0.29,0,0
259,,Reda Belahyane,0,0,100,0.25,0,0
260,,Yahia Fofana,0,0,100,0,0,0
261,,Ibrahima Kone,0.19,0.08,70,0.84,0.03,0
262,,Amine Harit,0,0.1,41.94,0.6,0,0
263,,Cédric Bakambu,0,0,0,0,0,0
264,,Jean Lucas,0,0.5,75,0.83,0,0
265,,Ismael Gharbi,0,0,83.33,0.5,0,0
266,,Wout Faes,0,0,50,0,0,0
