#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
424,,Benoît Costil,2.89,0.11,0.16,0,1.95,0.21
425,,Karamoko Dembélé,0,0,0,0,0.2,0.07
426,,Mickaël Alphonse,0,0.12,0,0,0.92,0.23
427,,Birger Meling,0,0.07,0,0,0.44,0.07
428,,Batista Mendy,0,0.11,0,0,1.83,0.2
429,,Lebo Mothiba,0,0,0,0,0.42,0.05
430,,Mickaël Barreto,0,0.05,0,0,1.5,0.2
431,,Moussa Sissoko,0,0.17,0,0,1.07,0.1
432,,Julien Ponceau,0,0.06,0,0,0.77,0.16
433,,Oumar Gonzalez,0,0.1,0,0,1.67,0.27
434,,Moussa Dembélé,0,0,0,0,0.48,0
435,,Ibrahima Niane,0,0,0,0,1.38,0.25
436,,Akim Zedadka,0,0.18,0,0,0.93,0.14
437,,Thierno Baldé,0,0.03,0,0,1.35,0.32
438,,João Victor,0,0.15,0,0,1.15,0.08
439,,Bonke Innocent,0,0,0,0,0.68,0.08
440,,Gelson Martins,0,0,0,0,0.55,0
441,,Arkadiusz Milik,0,0,0,0,0,0.5
442,,Marin Jakoliš,0,0,0,0,0,0
443,,Jonas Martin,0,0,0,0,0.42,0
444,,Kenji Van Boto,0,0.5,0,0,0.5,0
445,,Mamadou Diakhon,0,0,0,0,0.5,0
446,,Joe Bryan,0,0,0,0,0.17,0
447,,Duje Ćaleta-Car,0,0,0,0,0,0
448,,Mamadou Sarr,0,0,0,0,0,0
449,,Theocharis Tsingaras,0,0,0,0,0,0
450,,Jason Berthomier,0,0,0,0,0,0
451,,Hianga'a M'Bock,0,0,0,0,0,0
452,,Mehdi Puch-Herrantz,0,0,0,0,0,0.25
453,,Wilson Odobert,0,0,0,0,1.28,0.22
454,,Clement Vidal,0,0.12,0,0,1.58,0.23
455,,Carlos Baleba,0,0,0,0,0.16,0.05
456,,Papa Ndiaga Yade,0,0,0,0,0.71,0.14
457,,Erik Palmer-Brown,0,0.03,0,0,1.71,0.34
458,,Myron Boadu,0,0,0,0,0.42,0.08
459,,Maxime Busi,0,0,0,0,0.76,0.1
460,,Stéphane Diarra,0,0,0,0,0.71,0.07
461,,Cyrille Bayala,0,0.03,0,0,1.06,0.21
462,,Ayoub Amraoui,0,0.14,0,0,0.43,0
463,,Bradley Locko,0,0.14,0,0,0.77,0.18
464,,Kaj Sierhuis,0,0,0,0,0.07,0
465,,Theo Sainte Luce,0,0.11,0,0,1.56,0
466,,Amin Sarr,0,0,0,0,0.77,0
467,,M'Baye Niang,0,0,0,0,0.93,0.1
468,,Mamadou Sakho,0,0,0,0,1.2,0.13
469,,Sébastien Corchia,0,0,0,0,0.68,0.05
470,,Paul Bernardoni,3.15,0.11,0.33,0,2.15,0.15
471,,Jim Allevinah,0,0.14,0,0,0.92,0
