#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
261,,Ibrahima Kone,0.08,0,48.72,48.15,0.65,0.78
262,,Amine Harit,0.2,0,7.69,37.93,1.3,0.2
263,,Cédric Bakambu,0,0,57.14,50,0.33,0.67
264,,Jean Lucas,0,0,12.5,52.27,0.67,0.67
265,,Ismael Gharbi,0.17,0,0,56.25,0.67,0.5
266,,Wout Faes,0.67,0,40,45,1,0.67
267,,Yohann Magnin,0.16,0,37.33,50,1.26,1.26
268,,Gedeon Kalulu,0.21,0,52.83,55.27,0.62,1.03
269,,Renato Sanches,0.04,0,55.56,42.35,0.43,0.96
270,,Issiaga Sylla,0.09,0,54.93,44.1,0.84,1
271,,Myziane Maolida,0,0,50,51.43,0.11,0.56
272,,Jeanuel Belocian,0.13,0,77.78,57.14,0.13,0.75
273,,Tanguy Zoukrou,0,0,50,55.81,0.13,0.63
274,,Deiver Machado,0.15,0.03,35.56,51.46,1.39,1.27
275,,Wesley Saïd,0.1,0,41.67,37.5,0.05,0.95
276,,Aïman Maurer,0,0,30,50.68,1.5,0.5
277,,Juan Bernat,0.04,0,37.5,52.34,0.29,0.25
278,,Ronaël Pierre-Gabriel,0.21,0,56.25,61.9,0.57,0.86
279,,Rémy Riou,0,0,0,100,0,0
280,,Ignatius Ganago,0,0,48.12,47.33,1,0.53
281,,Lucas Perrin,0.15,0,65.45,58.99,0.73,0.88
282,,Wahbi Khazri,0.19,0.04,36.73,46.55,1.33,0.74
283,,Pablo Rosario,0.19,0,42.11,51.9,0.42,0.58
284,,Arnaud Kalimuendo,0,0,16.46,32.91,0.8,0.5
285,,Yusuf Yazıcı,0,0,0,15.38,0.25,1
286,,Lesley Ugochukwu,0.12,0.04,69.57,56.93,0.46,1.12
287,,Soungoutou Magassa,0,0,66.67,57.14,0.5,1
288,,Denys Bain,0,0,75,69.23,0.5,1
289,,Nuno Da Costa,0.09,0.03,39.82,46.28,1.73,1.12
290,,Birama Touré,0.08,0,48.72,46.56,0.58,1.32
291,,Thomas Delaine,0.18,0,52.17,53.85,0.71,0.88
292,,Elbasan Rashani,0.09,0,28.81,41.25,0.91,1.13
293,,Zakaria Aboukhlal,0.11,0,27.91,41.3,1.24,1.11
294,,Timothy Weah,0.07,0,39.39,51.02,0.62,0.59
295,,Miha Blažič,0.17,0,70.31,64.76,0.67,0.5
296,,Jordan Ferri,0.15,0.03,40.48,43.97,1.79,1.38
297,,Maxime Estève,0.13,0,54.39,54.55,0.3,0.78
298,,Faitout Maouassa,0,0,52,50,0.94,0.97
299,,Igor Silva,0.29,0.14,57.14,55,0.71,1
300,,Damien Da Silva,0.29,0,63.16,60.53,0.29,1.14
301,,Moses Simon,0.09,0,22,39.75,0.94,0.32
302,,Mathias Pereira Lage,0.08,0,42.86,43.5,1.13,0.96
303,,Calvin Stengs,0,0,50,53.57,1.5,1.25
304,,Haris Belkebla,0.08,0,39.22,52.75,1.32,0.87
305,,Komnen Andrić,0.12,0,43.27,45.85,1.21,0.47
306,,Takumi Minamino,0.11,0,50,35.71,0.56,1.11
307,,Mehdi Zeffane,0.06,0,27.27,38.6,0.17,0.22
308,,Kamory Doumbia,0,0,23.33,40.12,0.35,0.58
309,,Azzedine Ounahi,0.05,0,22.73,53.8,1.23,0.55
310,,Gaëtan Perrin,0.03,0,38.89,45.9,0.59,0.49
311,,Thomas Foket,0,0,50,45.35,0.92,1.13
312,,Hugo Magnetti,0.06,0,28,49.49,0.81,0.53
313,,Jeffinho,0.11,0,33.33,45.92,1.11,0.89
314,,Colin Dagba,0.14,0,37.5,52,0.29,0.67
315,,Warren Kamanzi,0.09,0,33.33,54.55,0.64,0.64
316,,Christophe Herelle,0.13,0,52.38,51.43,0.88,0.81
317,,Jeff Reine-Adélaïde,0.05,0,46.15,46.15,0.45,0.45
318,,Khalil Fayad,0.04,0.04,17.65,52.78,0.67,0.71
319,,Mitchell Van Bergen,0.04,0,38.46,41.12,0.25,0.36
320,,Jean-Eudes Aholou,0.13,0.03,59.09,48.26,0.77,1.3
321,,Gauthier Hein,0.03,0,8.82,32.14,0.4,0.6
322,,Jackson Porozo,0.14,0,61.84,55.61,0.82,1.32
323,,Edan Diop,0,0,40,42.86,0.57,1
324,,Jere Uronen,0,0,25,57.58,1.17,0.5
325,,Leny Yoro,0,0,60,62,0.38,0.38
326,,Mathieu Coutadeur,0.07,0,40.91,49.02,0.48,0.22
327,,Stredair Appuah,0,0,25,62.5,0.4,0
328,,Youssouf Koné,0.31,0,23.53,58.76,1.31,1.15
329,,Rudy Kohon,0,0,0,80,0,0
330,,Brandon Baiye,0,0,0,57.14,0,0
331,,Leo Leroy,0.26,0,61.54,50,0.7,1.37
332,,Mohamed Bayo,0.04,0,44.83,34.88,0.15,0.48
333,,Julian Jeanvier,0.14,0.05,47.06,52.31,0.45,1.14
334,,Yvon Mvogo,0,0,100,100,0.14,0
335,,Adil Rami,0.1,0,61.7,60,0.7,0.5
336,,Eduard Sobol,0.13,0,64.29,62.22,1.13,0.67
337,,Jodel Dossou,0,0,20,46.34,0.33,0.33
338,,Nicolas Cozza,0.18,0,46.67,60.14,1.12,0.47
339,,Ismaël Boura,0,0,33.33,73.68,0.33,0
340,,Issa Kaboré,0.05,0,30,50.32,0.86,1.09
341,,Falaye Sacko,0.09,0,50,52.94,0.54,0.74
342,,Achraf Dari,0.06,0,61.29,60.34,0.72,0.72
343,,Youssouf M'Changama,0.04,0,68.42,58.49,0.69,0.46
344,,Bevic Moussiti Oko,0.06,0,53,50.56,1.29,1.06
345,,Jérémy Le Douaron,0.03,0,45.52,40.12,1.13,1.03
346,,Stephy Mavididi,0.04,0.04,30.3,40.58,0.69,0.77
347,,Gerson,0.1,0,57.14,43.24,1.6,1.6
348,,Bingourou Kamara,0.2,0,100,66.67,0.2,0.2
349,,Vitinha,0,0,27.78,44.59,0.57,0.5
350,,Gabriel Gudmundsson,0.17,0,63.16,59.32,1.17,0.94
351,,Vincent Marchetti,0.23,0,27.78,48.29,1.16,0.94
352,,Alexis Beka Beka,0.14,0,42.86,44.74,0.5,0.79
353,,Brecht Dejaegere,0.17,0,33.33,43.88,1.23,1.33
354,,Samuel Moutoussamy,0.23,0,31.34,42.34,0.43,0.94
355,,Nuno Tavares,0.19,0.03,42.59,42.12,1.23,1.19
356,,Abdu Conté,0.05,0,69.57,52.88,0.63,0.63
357,,Evann Guessand,0.07,0,50,47.01,0.7,1.03
358,,Alexandre Coeff,0,0,46.15,47.22,0.14,0.43
359,,Thibault De Smet,0.09,0,81.58,48.25,0.41,1.14
360,,Lohann Doucet,0,0,0,40,0,0.22
361,,Johann Lepenant,0.13,0,47.06,43.43,0.77,1.13
362,,Abdallah Sima,0,0,40.57,40.59,0.71,0.94
363,,Noah Fadiga,0.1,0,50,52.48,0.86,1.05
364,,Marcus Coco,0.08,0,34,41.55,0.42,0.73
365,,Cédric Hountondji,0.19,0,67.02,58.96,0.31,1.17
366,,Ibrahim Salah,0,0,33.33,46.15,0.08,0.15
367,,Dion Lopy,0.17,0.03,69.57,48.33,0.86,1.07
368,,Siriné Doucouré,0,0,45.45,46,0.75,0.67
369,,Qazim Laci,0,0,44.44,51.85,0.22,0.22
370,,Ousmane Camara,0.33,0,0,16.67,0,0.67
371,,Ibrahima Sissoko,0.04,0,55.56,46.04,0.58,1.58
372,,Houssem Aouar,0.13,0,60,45.21,0.31,0.44
373,,Remy Dugimont,0.09,0,47.06,40,0.09,0.45
374,,Malang Sarr,0.23,0,64,50,0.31,0.77
375,,Florent Ogier,0.15,0,50.91,54.81,0.35,0.58
376,,Łukasz Poręba,0.1,0,75,44,0.2,0.9
377,,Maghnes Akliouche,0.27,0,25,36.54,0.36,0.64
378,,Arbër Zeneli,0,0,33.33,33.6,0.52,0.3
379,,Ahmadou Bamba Dieng,0.08,0,40.91,47.85,1.48,1.16
380,,Lassine Sinayoko,0,0.03,36.07,42.17,0.67,0.94
381,,Gaëtan Charbonnier,0.17,0,30,27.59,0.17,0.5
382,,Pablo Sarabia,0.07,0,0,33.33,0.36,0.29
383,,Yanis Cimignani,0,0,0,35.71,0.25,0.63
384,,Naatan Skyttä,0,0,0,50,0.5,0
385,,Gaël Kakuta,0,0,100,100,0.5,0
386,,Matis Carvalho,0,0,50,50,0,0
387,,Alexis Tibidi,0,0,66.67,75,0.33,0
388,,Amine Salama,0.04,0,29.63,36.76,0.36,0.28
389,,Vincent Sierro,0.2,0,50,44.68,0.53,1.27
390,,Moussa Diarra,0,0,53.33,52.99,0.74,0.83
391,,Matthis Abline,0.03,0,27.66,34.88,0.5,0.57
392,,Théo Le Bris,0,0,41.67,46.09,0.11,0.19
393,,Yoann Salmier,0.16,0.03,61.36,61.5,0.88,0.94
394,,Nordine Kandil,0,0,100,51.72,0.43,0.14
395,,Adrien Hunou,0.06,0,39.58,51.56,1.32,0.41
396,,Gabriel Suazo,0.06,0,50,49.69,0.61,1
397,,Ayman Kari,0,0,50,66.67,1,0.2
398,,Nathanaël Mbuku,0,0,0,71.43,1.17,0
399,,Charles Traoré,0.17,0,66.67,69.23,1.08,0.5
400,,Jean-Kevin Duverne,0.06,0,60,51.71,0.59,1.15
401,,Xeka,0.13,0,34.78,41.1,1.38,1.63
402,,Jérôme Boateng,0,0,87.5,62.5,0,0.13
403,,Jérémie Bela,0,0,100,53.13,0.89,0.37
404,,Denis Genreau,0.1,0,23.81,46.02,0.2,0.45
405,,Yan Valery,0.1,0,61.67,50.35,0.67,1.53
406,,Saël Kumbedi,0.4,0,19.44,42.92,1.05,1.85
407,,Henrique,0,0,66.67,58.49,1.57,0.71
408,,Mohamed Youssouf,0.17,0.03,55.29,55.85,1.23,1.33
409,,Renaud Ripart,0.15,0,41.79,42.04,0.96,0.96
410,,Kamaldeen Sulemana,0.07,0,44.44,43.66,0.43,0.36
411,,Waniss Taibi,0.09,0,28.57,54.17,0,0.27
412,,Ibrahim Amadou,0.29,0,54.55,54.05,0.43,0.57
413,,Romain Hamouma,0.05,0.11,40,40.65,0.79,0.95
414,,Mattia Viti,0,0,65,57.45,0.56,0.33
415,,Valère Germain,0.03,0.03,42.67,41.67,0.13,0.32
416,,Ado Onaiwu,0,0,49.33,42.59,0.44,0.44
417,,Gerzino Nyamsi,0.2,0.05,64.91,55.71,0.15,1.85
418,,Timothée Pembélé,0,0,50,65,0.2,0
419,,Jean-Victor Makengo,0,0.07,50,50.75,1.8,1.2
