Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Alexis Sánchez,0.4,0.31,57.33,1.89,0.03,1.14,0.77,0.14,0,0.17,0,0.6,0.37,0.09,25.31,75.85,9.71,71.21,0,0.03,0,0,0.63,0.14,0.09,0,33.33,40.27,1.31,1.26,35
Wissam Ben Yedder,0.59,0.44,47.92,2.25,0.03,0,0.5,0.13,0,0,0,0.28,0.19,0.19,18.19,76.46,7,42.86,0,0.06,0,0,1.09,0.09,0.13,0,35.71,40.32,0.66,0.56,32
Corentin Tolisso,0.03,0.07,50,1,0,0,1.47,0.8,0,0.7,0,1.37,0.43,0.07,63.6,88.84,13.83,80.12,0,0.07,0,0,0.97,0.07,0.1,0,58.33,51.67,1.27,0.93,30
Jonathan Clauss,0.06,0.09,54.24,1.41,0,0,1.35,0.91,0.03,1.12,0,0.85,0.41,0.26,33.38,75.77,9.91,45.54,0,0.09,0,0,0.62,0.18,0.03,0,37.04,46.95,0.35,0.74,34
Jordan Veretout,0.11,0.05,70.59,0.82,0,0,1.47,0.95,0,1.05,0,0.74,0.21,0.08,53.97,87.86,13.97,69.05,0,0.21,0,0,0.68,0.13,0.11,0,43.48,51.14,0.63,0.92,38
Nathan N'Goumou,0,0,33.33,0,0,0,3,2,0,0,0,0,1,0,28,82.14,15,0,0,0,0,0,1,0,0,0,100,55.56,0,0,1
Seko Fofana,0.2,0.17,59.6,2.4,0,0,0.8,0.54,0,0.37,0,0.69,0.17,0.14,50.34,89.27,11.74,73.74,0,0.29,0,0,0.6,0.11,0.06,0,57.89,52.04,1.26,0.63,35
Jonathan Gradit,0.03,0.03,50,0.15,0,0,1.88,1.15,0,2.48,0,0.67,0.09,0.09,62.55,90.16,9.7,63.35,0,0.27,0,0,0.7,0.12,0.21,0,51.61,57.55,1.18,0.94,33
Luis Javier Suárez,0.43,0.57,100,2.29,0,0,0.57,0.43,0,0.86,0,0.43,0,0.14,11.14,67.95,3.71,100,0,0,0,0,0.29,0,0.14,0,26.09,41.3,0.71,0.86,7
Rasmus Nicolaisen,0,0.06,75,0.38,0,0,1.41,1.47,0.03,4.44,0,0.5,0.06,0.06,51.71,84.3,2.91,50.62,0,0.26,0,0,1.15,0.24,0.12,0.03,74.05,67.91,0.82,0.88,34
Alexis Flips,0.12,0.03,33.33,1.61,0,0,1.55,0.73,0,0.33,0,1.12,0.27,0.18,25.18,72.56,6.67,51.96,0,0.06,0,0,0.58,0.12,0.09,0.03,27.66,41.84,0.73,0.7,33
Rayan Cherki,0.12,0.12,54.86,1.79,0,0,0.41,0.15,0.03,0.03,0,0.44,0.41,0.18,28.82,81.02,11,65.82,0,0.09,0,0,0.59,0.06,0.09,0,25,45.36,0.94,0.47,34
Terem Moffi,0.53,0.47,62.5,2.32,0.06,0,0.59,0.15,0,0.38,0,0.35,0.06,0.09,12.71,78.47,4.18,85.71,0,0.09,0,0,1.09,0.09,0.09,0,30.19,41.47,0.79,0.88,34
Ionuț Radu,0,0,100,0,0,0,0,0,0,0.47,0.06,0,0,0,31.29,52.63,1.35,35.49,3.29,0.29,0.12,0.12,1,0.18,0,0,100,100,0,0.06,17
Rhys Healey,0.5,0,0,1.25,0,0,0,0,0,0,0,0,0.25,0,3.75,53.33,1,0,0,0,0,0,0.25,0,0.25,0,100,50,0,0,4
Valentin Rongier,0.03,0.03,65.91,0.61,0,0,2.58,1.5,0,0.94,0,1,0.11,0.06,57.97,88.5,15.06,64.34,0,0.22,0,0,0.83,0.19,0.22,0,58.9,54.34,0.81,1.44,36
Angelo Fulgini,0.06,0.24,44.83,0.71,0,0,0.82,0.47,0,0.12,0,0.53,0.35,0.06,25.41,83.1,7.29,55.56,0,0,0,0,0.29,0.06,0,0,22.22,50,1.76,0.65,17
Hicham Boudaoui,0.04,0,47.54,0.78,0,0,2.48,1.3,0,0.56,0,0.67,0.15,0.07,44.44,89.67,8.48,58.49,0,0.22,0,0,0.44,0.07,0.19,0,45,56.85,1.33,1.15,27
Fabien Centonze,0,0,63.33,0.61,0,0,2.52,1.91,0,2.26,0,0.52,0.04,0,31.96,79.32,6.91,49.25,0,0.3,0,0,0.96,0,0.17,0,63.46,65.5,0.91,0.61,23
Romain Del Castillo,0.22,0.11,46.67,1.33,0.04,0,1.44,0.41,0,0.19,0,0.74,0.26,0.22,20.26,72.39,6.26,55.56,0,0,0,0,0.78,0.07,0.07,0,44.19,46.78,0.89,0.7,27
Fabián Ruiz,0.11,0.04,60,0.96,0,0,2.3,0.67,0.04,0.81,0,1.33,0.07,0.07,64.15,92.26,13.81,74.36,0,0.11,0,0,0.67,0.11,0,0,41.67,52.41,0.48,0.7,27
Gianluigi Donnarumma,0,0,100,0,0,0,0.03,0,0.03,0.66,0.08,0.03,0,0,20.21,83.98,0.05,39.67,3.26,0.34,0.13,0.03,0.97,0.08,0.08,0,90.91,82.35,0.11,0.03,38
Rony Lopes,0.22,0.06,57.69,1.78,0,0.63,0.75,0.28,0,0.31,0,0.75,0.28,0.16,23.53,75.17,6.44,52.5,0,0.03,0,0,1.34,0.28,0.06,0,42.22,46.51,1,0.59,32
Caio Henrique,0.03,0.03,70.37,0.29,0,1.43,2.11,0.74,0,1.49,0,0.91,0.34,0.26,44.2,80.35,10.57,35.98,0,0.17,0,0,1.17,0.09,0.09,0,37.21,59.56,0.71,0.43,35
Sofiane Boufal,0.31,0.08,52,1.77,0.08,0,1.08,0.38,0,0.08,0,0.85,0.38,0.23,33.69,81.05,9.62,69.57,0,0,0,0,1.69,0.08,0.15,0,10,44.05,1.54,1.54,13
Boubakar Kouyaté,0,0.07,100,0.73,0,0,2.07,2.27,0,4.67,0.07,1.07,0,0,40.53,81.74,2.13,37.5,0,0.33,0,0,0.87,0,0.33,0,62.32,59.87,0.93,1.4,15
Quentin Boisgard,0.2,0,33.33,1.2,0,0,1.2,0.8,0,0.4,0,0.2,0,0,18,87.78,7.2,100,0,0,0,0,0,0,0.2,0,100,55.56,0.2,0.6,5
Azor Matusiwa,0,0,76.19,0.37,0,0,2.2,1.53,0,1.6,0,0.83,0.03,0,53.3,85.68,9.77,68.9,0,0.33,0,0,0.73,0.23,0.13,0,47.76,55.06,1.1,1.43,30
Kenny Lala,0,0,50,0.71,0,0,2.12,1.24,0.06,1.35,0,0.94,0.18,0.12,38.82,77.88,5.88,62.83,0,0.24,0,0,0.76,0.06,0.24,0,36.36,50.7,0.94,1.06,17
Amine Gouiri,0.42,0.31,41.77,2.19,0.06,0,1.19,0.33,0,0.33,0,0.56,0.28,0.08,22.08,79.75,8.19,68,0,0.14,0,0,0.81,0.08,0.08,0,38.55,39.38,0.56,1.14,36
Alban Lafont,0,0,33.33,0,0,0,0,0,0.03,1.32,0.05,0.03,0,0,26.68,64.64,0.97,39.65,3.59,0.3,0.24,0,1.38,0.08,0,0.03,87.5,68.75,0.08,0.03,37
Tetê,0.35,0.18,42.86,1.76,0.06,0,1.24,0.76,0,0.06,0,0.53,0.18,0.12,26.65,81.68,9.53,52.63,0,0,0,0,0.71,0.12,0.18,0,25,47.1,1.12,0.59,17
Khéphren Thuram,0.06,0.06,65.71,1.09,0,0,1.46,1.09,0,0.86,0,0.69,0.26,0.11,37.71,86.89,8.06,60.29,0,0.14,0,0,0.6,0.09,0.09,0,47.06,50.19,0.54,0.89,35
Dimitri Payet,0.17,0.08,62.07,1.17,0,0,0.25,0,0,0.17,0,0.29,0.17,0.13,19.04,80.31,7.42,83.33,0,0,0,0,0.46,0.08,0,0,50,57.14,0.79,0.21,24
Marquinhos,0.06,0.03,0,0.55,0.06,0,1,0.7,0,2.39,0,0.24,0,0,65.24,95.4,4.97,69.57,0,0.3,0,0,0.76,0.09,0.12,0,56.45,57.78,0.3,0.42,33
Mario Lemina,0,0,68.75,0.43,0,0,2.29,0.79,0,1.36,0,0.43,0,0,45.14,90.03,5.57,44.23,0,0,0,0,0.43,0.21,0.07,0.07,55.56,64.63,0.36,0.93,14
Yunis Abdelhamid,0.03,0.11,60,0.86,0.03,0,2.22,1.73,0,3.05,0,0.35,0.03,0.05,54.3,83.13,5.3,44.49,0,0.38,0,0,0.92,0.22,0.16,0,64.14,60.05,0.76,1.32,37
Habib Diallo,0.54,0.59,42.65,2.54,0.14,0,0.49,0.32,0,0.68,0,0.27,0.14,0.03,15.81,67.69,4.54,63.16,0,0.08,0,0,1.19,0.14,0.05,0.03,45.92,47.22,1.73,1,37
Cengiz Ünder,0.14,0.3,43.82,1.92,0,0,1,0.49,0,0.32,0,0.57,0.32,0.11,24.86,77.07,9.7,61.54,0,0.05,0,0,0.59,0.14,0.08,0,38.71,44.7,0.84,0.78,37
Alexander Djiku,0.03,0,66.67,0.55,0,0,1.71,2.13,0,4.77,0,0.65,0.03,0.06,48,80.78,4.77,51.85,0,0.16,0,0,1.32,0.1,0.26,0.03,71.76,62.95,0.84,1.26,31
Nuno Mendes,0.04,0.13,44.26,0.43,0,0,1.96,0.74,0,0.65,0,0.48,0.3,0.22,35.91,86.92,13.52,60.87,0,0.09,0,0,0.61,0.09,0.09,0,62.5,55.5,1.48,1.09,23
Marco Verratti,0,0.07,67.44,0.28,0,0,2.62,0.93,0.03,0.38,0.07,1.76,0.17,0,87.48,92.87,20.24,67.8,0,0.1,0,0,0.9,0,0.34,0.03,45.83,53.82,1.83,1.24,29
Johan Gastien,0.13,0,39.13,0.61,0,0,1.97,1.16,0.03,0.74,0,2.35,0.03,0.1,65.29,84.63,10.94,63.67,0,0.23,0,0,1.16,0.03,0.23,0,50,46.89,1.06,0.61,31
Kasper Schmeichel,0,0,0,0,0,0,0.03,0.03,0,0.44,0,0.08,0.03,0,29.67,75,0.69,51.37,2.97,0.31,0.14,0.03,0.81,0.17,0,0,100,62.5,0,0,36
Nicolás Tagliafico,0.03,0.09,34.48,0.68,0,0,2.68,1.68,0.06,1.32,0,0.82,0.18,0.09,45.71,85.78,10.15,50,0,0.24,0,0,1.09,0.06,0.15,0,53.09,59.41,1.74,1.18,34
Youcef Belaïli,0.26,0.13,51.56,1.83,0,0,1,0.26,0,0.13,0,0.74,0.26,0.22,23.26,76.26,7.39,57.63,0,0,0,0,1.26,0.17,0.22,0,47.37,44.5,1.39,1.57,23
Maxence Caqueret,0.11,0.08,51.9,0.72,0,0.93,2.42,1.08,0,0.75,0,1.83,0.22,0.19,46.5,86.32,12.81,70,0,0.11,0,0,1.03,0.06,0.06,0,43.24,45.1,0.86,1.25,36
Kevin Danso,0.03,0.14,61.29,0.65,0.03,0,1,0.89,0.05,3.32,0,0.3,0.03,0.05,62.92,90.08,5.49,54.8,0,0.41,0,0,0.59,0.11,0.19,0.03,71.79,63.93,1.54,1.05,37
Maxime Dupé,0,0,100,0.03,0,0,0,0,0.03,0.66,0,0,0,0,28.76,75.21,0.34,41.53,3.32,0.24,0.18,0.08,1.29,0.21,0.03,0,100,93.75,0.11,0.03,38
Romain Faivre,0.19,0.04,54.26,1.15,0,0,0.73,0.04,0,0.12,0,0.85,0.19,0.15,25.35,88.01,8,75,0,0.08,0,0,0.58,0.19,0,0,15.38,51.15,1.5,0.73,26
Danilo Pereira,0.06,0.15,66.67,0.67,0.06,0,0.97,1.09,0,1.76,0,0.21,0.03,0,61.79,94.61,8.55,73.87,0,0.24,0,0,0.73,0.09,0.09,0,60.71,60,0.42,0.52,33
Badredine Bouanani,0,0.05,57.45,1.26,0,0,0.68,0.05,0,0,0,0.37,0.37,0.21,17.11,83.38,4.95,56.67,0,0,0,0,0.32,0.05,0,0,12.5,52.54,1.11,0.47,19
Vito Mannone,0,0,0,0,0,0,0,0,0,0.89,0.06,0,0,0,26.78,71.37,0.17,33.66,3.39,0.28,0.06,0,1.06,0.28,0.06,0,100,100,0.06,0,18
Dejan Lovren,0.06,0,50,0.76,0.06,0,1.47,1.53,0.06,3.76,0.06,0.53,0.06,0,64.06,88.15,4.71,52.38,0,0.24,0,0,1.12,0.06,0.12,0,69.12,67.44,0.82,0.59,17
Pau López,0,0,0,0,0,0,0,0,0.06,0.64,0.03,0.03,0.03,0.06,29.73,76.04,0.97,43.6,2.79,0.3,0.15,0,0.88,0.15,0.09,0,81.82,68.75,0.18,0.06,33
Chancel Mbemba,0.14,0.03,73.68,0.75,0.06,0,1.19,1.17,0,2.39,0,0.25,0.03,0,46.19,84.43,8.19,45.52,0,0.19,0,0,0.72,0.19,0.06,0,67.29,65.78,0.53,0.53,36
Jimmy Cabot,0,0,52.17,0.45,0,0,1.82,0.36,0,1,0,1.27,0.36,0.09,23,83.4,7.27,56.52,0,0.27,0,0,0.55,0,0.18,0,50,42.68,0,1.27,11
Castello Lukeba,0.06,0.03,68.75,0.38,0.03,0,1.15,2.21,0.06,2.97,0,0.29,0,0,65.94,90.37,4.88,50,0,0.18,0,0,1.12,0.09,0.21,0.03,54.55,54.59,0.62,1.12,34
Brice Samba,0,0,100,0,0,0,0.03,0,0,0.38,0.03,0.03,0.03,0,29.59,72.97,0.84,44.57,2.68,0.41,0.08,0,0.65,0.11,0.08,0,81.82,84.21,0.16,0,37
Himad Abdelli,0.07,0.03,60.56,0.8,0,0,2.13,0.93,0,0.37,0,1.2,0.13,0.07,39.97,85.07,10.3,68.09,0,0.03,0,0,1.43,0.2,0.1,0,43.9,51.49,1.03,1.47,30
Sergio Ramos,0.06,0.09,45.45,0.58,0.06,0,1.03,1.03,0,2.82,0,0.64,0,0.03,75.55,94.83,8.97,78.61,0,0.21,0,0,0.94,0.03,0.09,0.03,61.8,54.13,0.73,1.09,33
Mory Diaw,0,0,100,0,0,0,0,0.05,0,0.54,0.03,0.11,0,0,34.89,66.85,1.65,43.42,3.08,0.27,0.32,0.11,1.24,0.03,0,0,100,77.78,0.16,0,37
Stijn Spierings,0.06,0,55.17,0.67,0,0,2.64,1.47,0.03,1.19,0,1.61,0.08,0,57,86.11,10.06,62.56,0,0.22,0,0,1.25,0.22,0.17,0,50,51.57,1.39,1.53,36
Benoît Badiashile,0.18,0,0,0.45,0.18,0,0.91,1.55,0,3.55,0,0.45,0.09,0,42.55,86.11,4.82,63.24,0,0.27,0,0,1.27,0.09,0.27,0,72.41,60.34,0.36,0.91,11
Junya Ito,0.17,0.17,50,1.2,0.03,0,1.14,0.23,0,0.09,0.03,1.14,0.34,0.14,25.83,71.35,10.31,39.02,0,0.2,0,0,0.83,0.2,0.09,0.03,52.73,47.67,1.23,0.57,35
Emmanuel Agbadou,0,0.03,57.14,0.76,0,0,2.45,1.1,0.03,3.59,0,0.79,0.17,0.1,51.14,86.04,5.45,56.25,0,0.24,0,0,0.97,0.17,0.17,0.1,62.5,57.54,0.21,1,29
Adam Ounas,0.05,0.1,54.41,1.24,0,0,0.95,0.33,0,0.14,0,0.24,0.29,0.05,22.95,79.67,9.62,82.35,0,0.05,0,0,0.57,0.1,0.1,0,33.33,51.41,1.38,0.71,21
Maximiliano Caufriez,0.04,0,45.45,0.54,0,0,1.54,1.31,0,2.38,0,0.31,0,0,43.08,88.66,4.62,62.14,0,0.27,0,0,0.92,0.04,0.31,0.04,57.14,60.98,1.35,1.12,26
Hamari Traore,0.03,0.03,50,0.97,0,0,1.55,1.23,0.06,1.9,0,0.77,0.16,0.13,51.19,86.96,11.23,51.56,0,0.19,0,0,0.81,0.13,0.16,0,48.53,47.52,0.19,1.06,31
Montassar Talbi,0.03,0.03,63.64,0.24,0.03,0,1.39,1.05,0,4.84,0.03,0.34,0.05,0.05,51.66,89.1,1.24,37.16,0,0.21,0,0,1.18,0.21,0,0,65.47,66.92,0.68,0.42,38
