#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
256,,Maxime Gonalons,0.04,0,33.12,88.53,4.92,74.36
257,,Salis Abdul Samed,0.06,0.03,59.39,92.55,10.88,61.04
258,,Chrislain Matsima,0.07,0.07,24.14,85.8,2.64,32.26
259,,Reda Belahyane,0,0,28.25,90.27,2.25,75
260,,Yahia Fofana,0,0,23.18,61.96,0.36,32.39
261,,Ibrahima Kone,0.03,0.03,9.65,66.95,2.78,50
262,,Amine Harit,0.2,0,25,84.4,12.3,66.67
263,,Cédric Bakambu,0.33,0.33,7.33,81.82,1.67,0
264,,Jean Lucas,0,0,25.33,88.16,5.5,73.33
265,,Ismael Gharbi,0,0,6,88.89,1.17,0
266,,Wout Faes,0,0,38,83.33,3.33,56.25
267,,Yohann Magnin,0.13,0,34.45,84.87,4.82,57.8
268,,Gedeon Kalulu,0.07,0.14,40.21,81.99,6.86,43.41
269,,Renato Sanches,0.13,0,28.57,91.63,6.78,82.05
270,,Issiaga Sylla,0.13,0.09,40.88,80.43,9.41,49.4
271,,Myziane Maolida,0.11,0,10.89,74.49,4.33,100
272,,Jeanuel Belocian,0,0,34.75,89.57,3.75,53.85
273,,Tanguy Zoukrou,0,0,27.13,87.1,1.63,35.29
274,,Deiver Machado,0.12,0.09,20.27,85.65,4.24,40
275,,Wesley Saïd,0.05,0,8.86,81.72,2.76,81.82
276,,Aïman Maurer,0.3,0.1,10.5,78.1,2.6,25
277,,Juan Bernat,0.11,0.14,33.71,93.33,7.36,66.67
278,,Ronaël Pierre-Gabriel,0.14,0.07,20.43,80.77,4.64,26.09
279,,Rémy Riou,0,0,27.86,76.41,0,32.81
280,,Ignatius Ganago,0.09,0.09,10.44,65.57,2.88,55.56
281,,Lucas Perrin,0.08,0.04,30.54,82.24,3.5,48.28
282,,Wahbi Khazri,0.07,0.04,15.89,74.83,4.07,57.78
283,,Pablo Rosario,0.06,0.03,33.06,89.27,5.97,66.23
