#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
314,,Colin Dagba,1.52,0.81,0,0.81,0,0.33
315,,Warren Kamanzi,1.45,0.73,0,0.82,0,0.55
316,,Christophe Herelle,0.63,1.25,0.13,2.94,0,0.56
317,,Jeff Reine-Adélaïde,0.55,0.4,0,0.05,0,0.25
318,,Khalil Fayad,1.25,0.38,0,0.17,0,0.38
319,,Mitchell Van Bergen,0.64,0.21,0.04,0.25,0,0.43
320,,Jean-Eudes Aholou,1.13,0.8,0,0.43,0,0.63
321,,Gauthier Hein,0.77,0.17,0,0.26,0,0.86
322,,Jackson Porozo,1.45,1.5,0,3.32,0,0.82
323,,Edan Diop,1.86,0.57,0,0,0,1.14
324,,Jere Uronen,1.33,1.17,0,0.83,0,0.83
325,,Leny Yoro,0.85,1.38,0,2,0.08,0.38
326,,Mathieu Coutadeur,0.85,0.7,0,0.78,0,0.74
327,,Stredair Appuah,0.6,0.2,0,0,0,0
328,,Youssouf Koné,2.15,0.92,0,2.15,0,0.38
329,,Rudy Kohon,4,1,0,2,0,0
330,,Brandon Baiye,0.43,0.14,0,0.43,0,0.14
331,,Leo Leroy,1.96,0.52,0,0.3,0,0.96
332,,Mohamed Bayo,0.11,0,0,0.04,0,0.44
333,,Julian Jeanvier,1.45,1.23,0,4.32,0.05,0.41
334,,Yvon Mvogo,0,0.1,0,0.38,0.14,0
335,,Adil Rami,0.95,1.25,0.05,3.7,0.05,0.75
336,,Eduard Sobol,1.27,0.53,0.07,1.07,0,0.27
337,,Jodel Dossou,0.78,0.11,0,0,0,0
338,,Nicolas Cozza,2.24,1.24,0,2,0.06,0.71
339,,Ismaël Boura,0.67,0.22,0,0.33,0,0.11
340,,Issa Kaboré,1.5,0.55,0,0.86,0,0.5
341,,Falaye Sacko,1.31,0.94,0.09,1.91,0,0.54
342,,Achraf Dari,1.17,1.06,0.06,3.56,0.11,0.33
343,,Youssouf M'Changama,0.85,0.58,0,0.23,0,0.23
344,,Bevic Moussiti Oko,0.18,0.12,0,0.47,0,0.06
345,,Jérémy Le Douaron,0.47,0.34,0,0.81,0,0.75
346,,Stephy Mavididi,0.92,0.15,0,0.38,0,0.54
347,,Gerson,0.6,0.2,0,0.4,0,0.2
348,,Bingourou Kamara,0,0,0.2,0.6,0,0
349,,Vitinha,1.07,0.14,0,0.43,0,0.57
350,,Gabriel Gudmundsson,1.06,0.56,0,0.83,0,0.56
351,,Vincent Marchetti,1.77,0.61,0,0.97,0,1.42
352,,Alexis Beka Beka,1.14,0.86,0,0.43,0,0.79
353,,Brecht Dejaegere,1.33,0.47,0.03,0.33,0,1.2
354,,Samuel Moutoussamy,1.83,0.69,0,0.43,0,1.43
355,,Nuno Tavares,1.81,0.48,0,0.68,0,0.87
356,,Abdu Conté,1.32,0.32,0.11,1.11,0,0.53
357,,Evann Guessand,0.8,0.3,0,0.17,0,0.2
358,,Alexandre Coeff,1.43,1.14,0,5,0.14,0.71
359,,Thibault De Smet,1.09,0.91,0,1.64,0.05,1.18
360,,Lohann Doucet,0.33,0.22,0,0.44,0,0.11
361,,Johann Lepenant,1.87,0.9,0,0.52,0.06,1.74
362,,Abdallah Sima,0.65,0.12,0.03,0.53,0,0.35
363,,Noah Fadiga,1.43,1.24,0.05,0.71,0,0.57
364,,Marcus Coco,0.92,0.54,0,0.12,0,0.46
365,,Cédric Hountondji,1.39,1.64,0.08,3.53,0.03,0.28
366,,Ibrahim Salah,0.62,0.15,0,0,0,1
367,,Dion Lopy,1.55,0.76,0,0.59,0,1.34
368,,Siriné Doucouré,0.17,0.08,0,0,0,0.08
369,,Qazim Laci,0.67,0.22,0.11,0.33,0,0.56
370,,Ousmane Camara,0.33,0,0,0,0,0
371,,Ibrahima Sissoko,1.54,0.38,0.04,0.65,0,0.77
372,,Houssem Aouar,0.75,0.5,0,0.13,0,0.38
373,,Remy Dugimont,0.18,0,0,0.45,0,0.09
374,,Malang Sarr,0.46,1.15,0,2.23,0,0.31
375,,Florent Ogier,1.27,0.69,0.04,2.35,0.04,0.65
376,,Łukasz Poręba,0.5,0.4,0,0.1,0,0.1
377,,Maghnes Akliouche,0.64,0.27,0,0.18,0,0.55
378,,Arbër Zeneli,0.39,0.09,0,0.09,0,0.3
379,,Ahmadou Bamba Dieng,0.92,0.08,0,0.2,0,0.36
380,,Lassine Sinayoko,1,0.55,0,0.45,0,0.55
381,,Gaëtan Charbonnier,0.33,0,0,0.83,0,0.67
382,,Pablo Sarabia,0.36,0.14,0,0,0,0.43
383,,Yanis Cimignani,1.38,0.25,0,0.13,0,0.13
384,,Naatan Skyttä,0,0.5,0,0,0,0
385,,Gaël Kakuta,0,0,0,0.5,0,0
386,,Matis Carvalho,0,0.5,0,0.5,0,0
387,,Alexis Tibidi,0.33,0,0,0,0,0
388,,Amine Salama,0.44,0.4,0,0.08,0,0.4
389,,Vincent Sierro,1.27,0.27,0,0.67,0.07,1.2
390,,Moussa Diarra,0.87,0.83,0.04,1.09,0,0.26
391,,Matthis Abline,0.17,0.1,0,0.07,0,0.17
392,,Théo Le Bris,1.15,0.67,0,1.04,0,0.67
393,,Yoann Salmier,1.59,1.22,0.06,3.78,0.03,0.44
394,,Nordine Kandil,0.43,0.14,0,0.14,0,0.43
395,,Adrien Hunou,1.15,0.21,0.03,0.21,0,0.88
396,,Gabriel Suazo,2.11,1.22,0.06,1.17,0.06,1.89
397,,Ayman Kari,0,0.6,0,0,0,0
398,,Nathanaël Mbuku,0.33,0,0,0,0,0
399,,Charles Traoré,0.67,0.83,0.08,0.83,0,0.17
400,,Jean-Kevin Duverne,2.12,0.82,0,1.68,0,0.91
401,,Xeka,1.25,0.75,0,1,0,1.13
402,,Jérôme Boateng,0.38,0.75,0,2,0,0.5
403,,Jérémie Bela,0.32,0.47,0,0.37,0,0.05
404,,Denis Genreau,1.75,0.4,0,0.45,0,0.9
405,,Yan Valery,1.8,1.17,0,2.6,0,0.57
406,,Saël Kumbedi,2.35,0.5,0,0.65,0,0.9
407,,Henrique,1.29,0.71,0,0.86,0,1
408,,Mohamed Youssouf,2.4,2.17,0,2.1,0,0.77
409,,Renaud Ripart,1.54,0.27,0,0.19,0,1.27
410,,Kamaldeen Sulemana,0.43,0.29,0,0.07,0,0.29
411,,Waniss Taibi,0.82,0.18,0,0.18,0,0.18
412,,Ibrahim Amadou,1.43,1.43,0.29,2.57,0,0.57
413,,Romain Hamouma,0.42,0.11,0,0.11,0,0.16
414,,Mattia Viti,0.44,0.89,0,2.33,0,0.33
415,,Valère Germain,0.42,0.19,0,0.39,0,0.26
416,,Ado Onaiwu,0.32,0.06,0,0.15,0,0.24
417,,Gerzino Nyamsi,1.4,0.5,0.1,2.9,0,0.1
418,,Timothée Pembélé,1,0.8,0,0.4,0,0.4
419,,Jean-Victor Makengo,1.07,0.67,0,0.8,0.07,0.93
420,,Arial Mendy,0.8,0.8,0.2,0.8,0,0
421,,Fernand Mayembo,0.73,1,0,3.18,0,0.45
422,,Siriki Dembélé,0.83,0.08,0,0,0,0.67
423,,Arnaud Souquet,1.83,0.33,0.08,0.25,0,0.25
424,,Benoît Costil,0.11,0,0,0.53,0,0.11
425,,Karamoko Dembélé,0.13,0.07,0,0,0,0
426,,Mickaël Alphonse,1.35,1.35,0.04,1.5,0,0.5
427,,Birger Meling,0.89,0.85,0,0.81,0,0.48
428,,Batista Mendy,2,0.6,0.03,0.74,0,0.46
429,,Lebo Mothiba,0.05,0.05,0,0.21,0,0.05
430,,Mickaël Barreto,1.6,0.9,0,0.5,0,1.85
431,,Moussa Sissoko,0.87,0.53,0.03,0.53,0,0.2
