#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
142,,Steven Bradley,0.06,0,53.13,1.13,0,0
143,,Marijan Čabraja,0,0,26.67,0.64,0,0
144,,Jorge Grant,0.07,0.11,60,0.79,0,0
145,,Jay Henderson,0,0,100,0.67,0,0
146,,Rocco Vata,0,0,50,0.25,0,0
147,,Murray Davidson,0,0,100,0,0,0
148,,Keith Watson,0,0.04,100,0.36,0,0
149,,Ylber Ramadani,0.03,0.05,50,0.97,0,0
150,,Max Johnston,0.18,0,26.32,0.76,0.06,0
151,,Andy Considine,0.03,0.03,71.43,0.25,0.03,0
152,,Scott Arfield,0.16,0.16,28.57,0.94,0.03,0
153,,Kyle Magennis,0.15,0.23,30,1.38,0.15,0
154,,Jonny Hayes,0.03,0.07,42.5,0.6,0,0
155,,Rabbi Matondo,0,0.05,43.1,0.95,0,0
156,,Alex Mitchell,0.03,0.03,33.33,0.21,0,0
157,,Keanu Baccus,0.06,0.06,52.63,1.21,0.03,0
158,,Cristian Montano,0.13,0.03,60.87,1,0.03,0
159,,Ryan Edwards,0,0,33.33,0.75,0,0
160,,Matthew Kennedy,0.1,0,50,1,0,0.79
161,,Drey Wright,0.18,0.16,38.81,1.37,0,0
162,,Arnaud Djoum,0,0,75,0.44,0,0
163,,Connor Randall,0,0,75,0.21,0,0
164,,David Cancola,0.07,0.03,60,0.3,0,0
165,,Jeriel Dorsett,0.09,0,60,0.09,0,0
166,,Greg Kiltie,0.06,0,39.29,0.89,0,0
167,,Thody Elie Youan,0.25,0.11,39.53,2.31,0.03,0
168,,Jack Sanders,0,0,0,0,0,0
169,,Stuart McKinstry,0.19,0,30,1.14,0,2.38
170,,David Wotherspoon,0,0,64.29,0.23,0,0
171,,CJ Egan-Riley,0,0,61.11,0.14,0,0
172,,Nohan Kenneh,0.03,0.03,52.38,0.84,0.03,0
173,,Oliver Abildgaard,0,0,0,0.33,0,0
174,,Jake Doyle Hayes,0,0,66.67,0.29,0,0
175,,Ben Chrisene,0,0,44.44,0.38,0,0
176,,Peter Haring,0,0,50,0.69,0,0
177,,Ian Harkes,0.07,0,31.03,1,0,0
178,,Kyle Lafferty,0.08,0.08,33.33,1,0,0
179,,Bradley Lyons,0.05,0,60,0.26,0,0
180,,Andrew Shinnie,0.03,0,52.63,0.45,0,0
181,,Jordan Jones,0,0.05,25,1,0,0
182,,Bruce Anderson,0.2,0.1,33.33,1.53,0.03,0
183,,Lewis Mayo,0,0.03,40.63,0.35,0,0
184,,Carljohan Eriksson,0,0,0,0,0,0
185,,Ewan Henderson,0.03,0.1,50,1,0,0
186,,Mikael Mandron,0.1,0.1,42.86,0.9,0,0
187,,Luke Chambers,0,0.07,50,0.57,0,0
188,,Nicky Clark,0.17,0.17,37.5,1.39,0.04,0
189,,Tony Watt,0.19,0.07,32.5,1.3,0,0
190,,Allan Michael Delferriere,0,0,0,0,0,0
191,,Joshua Mullin,0,0,0,0,0,0
192,,Luca Ross,0,1,0,1,0,0
193,,Josh O'Connor,0,0,0,0,0,0
194,,Caolan Boyd-Munce,0,0,0,0,0,0
195,,Ross Stewart,0,0,0,0,0,0
196,,Miller Thomson,0,0,50,0.67,0,0
197,,Jackson Longridge,0,0,50,0.11,0,0
198,,Graham Carey,0.1,0.13,25.93,1.47,0,0
199,,Glenn Middleton,0.07,0.17,38.71,1.1,0,0.69
200,,Trevor Carson,0,0,0,0,0,0
201,,Jon McLaughlin,0,0,0,0,0,0
202,,Luiyi de Lucas,0,0,100,0.6,0,0
203,,Nathaniel Atkinson,0.06,0.06,54.55,0.44,0,0
204,,David Marshall,0,0,100,0,0,0
205,,Allan McGregor,0,0,0,0,0,0
206,,Declan Gallagher,0.07,0.04,54.55,0.52,0.07,0
207,,Aiden McGeady,0,0,45,0.89,0,0
208,,Richard Taylor,0,0.09,50,0.36,0,0
209,,Aziz Behich,0.1,0,31.48,0.71,0,0
210,,Scott Tanser,0,0,42.86,0.5,0,0
211,,Alexander Gogić,0.07,0.07,54.55,0.67,0.03,0
212,,Alan Power,0,0,47.06,0.31,0,0
213,,Lewis Miller,0,0.08,50,0.17,0,0
214,,Kerr Mcinroy,0,0,33.33,1.25,0,0
215,,Ben Paton,0,0,0,0.14,0,0
216,,Shane Blaney,0,0,100,0.13,0,0
217,,Alex Lowry,0,0,0,0.8,0,0
218,,Rocky Bushiri Kiranga,0,0.13,100,0.87,0,0
219,,Ethan Erhahon,0,0,55.56,0.1,0,0
