#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
142,,Steven Bradley,0.06,0,42.19,49.09,1.13,0.56
143,,Marijan Čabraja,0.28,0,49.12,51.61,0.36,0.6
144,,Jorge Grant,0.11,0.04,0,51.06,1.14,0.46
145,,Jay Henderson,0,0,100,100,0,0
146,,Rocco Vata,0,0,0,33.33,0.25,0.25
147,,Murray Davidson,0,0.25,83.33,80.95,1,0.5
148,,Keith Watson,0.25,0,60,61.29,0.61,0.64
149,,Ylber Ramadani,0.22,0,54.46,48.1,0.92,1.51
150,,Max Johnston,0,0,50,46.53,0.24,0.65
151,,Andy Considine,0.13,0.06,62.73,59.11,0.47,1.03
152,,Scott Arfield,0.06,0,19.05,36.67,0.32,0.65
153,,Kyle Magennis,0.15,0.08,47.37,51.43,0.31,0.69
154,,Jonny Hayes,0.17,0,46.34,47.64,0.73,0.6
155,,Rabbi Matondo,0,0,39.13,41.1,0.68,0.74
156,,Alex Mitchell,0.24,0.03,61.32,59.49,0.34,0.76
157,,Keanu Baccus,0.27,0,35.21,45.93,1.06,2.06
158,,Cristian Montano,0.23,0,51.3,52.42,0.81,1.26
159,,Ryan Edwards,0.13,0.03,68.12,65.09,0.84,0.38
160,,Matthew Kennedy,0.1,0,31.25,49.09,1.29,0.43
161,,Drey Wright,0.11,0,46.91,51.92,0.92,0.61
162,,Arnaud Djoum,0.06,0,38.46,52.94,0.56,0.81
163,,Connor Randall,0.25,0,45,54.22,0.67,0.88
164,,David Cancola,0.2,0,51.16,50.6,0.47,1.07
165,,Jeriel Dorsett,0,0,65.52,60.26,0.55,0.91
166,,Greg Kiltie,0.11,0,33.33,47.21,1.03,0.51
167,,Thody Elie Youan,0.06,0.03,52.94,40.28,0.69,1
168,,Jack Sanders,0,0,50,50,0.25,0.5
169,,Stuart McKinstry,0.14,0,26.32,42.15,0.38,1.24
170,,David Wotherspoon,0.05,0,50,55.21,0.68,0.5
171,,CJ Egan-Riley,0.36,0,45.65,51.24,0.64,0.71
172,,Nohan Kenneh,0.13,0,53.62,50.96,0.65,1.03
173,,Oliver Abildgaard,0,0,80,76.19,0.17,0
174,,Jake Doyle Hayes,0.41,0,28,44.32,0.47,1
175,,Ben Chrisene,0.08,0,57.14,55.91,1.46,1.15
176,,Peter Haring,0.06,0.06,55.56,53.96,0.88,0.63
177,,Ian Harkes,0.13,0.03,40.96,49.36,0.87,0.7
178,,Kyle Lafferty,0.25,0,49.3,40.87,0.58,2
179,,Bradley Lyons,0.11,0,58.54,56.84,0.37,0.84
180,,Andrew Shinnie,0.12,0,43.1,50.37,1.36,0.91
181,,Jordan Jones,0.14,0,31.25,47.95,1.5,0.55
182,,Bruce Anderson,0,0,26.27,31.36,0.97,0.8
183,,Lewis Mayo,0.06,0,61.49,58.79,0.41,0.71
184,,Carljohan Eriksson,0,0,100,100,0.22,0
185,,Ewan Henderson,0.1,0,35.71,40.14,0.33,0.73
186,,Mikael Mandron,0,0,40.98,38.46,0.1,1.6
187,,Luke Chambers,0.07,0,31.25,53.78,0.93,0.5
188,,Nicky Clark,0.04,0.04,33.09,37.5,1.04,0.74
189,,Tony Watt,0.11,0.04,44.29,40.53,1.15,1.52
190,,Allan Michael Delferriere,0,0,0,100,0,0
191,,Joshua Mullin,0,0,0,50,0,0
192,,Luca Ross,0,0,0,0,0,0
193,,Josh O'Connor,0,0,0,33.33,0.5,0.5
194,,Caolan Boyd-Munce,0,0,100,66.67,0,0
195,,Ross Stewart,0,0,100,100,0,0
196,,Miller Thomson,0,0,100,66.67,0,0
197,,Jackson Longridge,0.22,0,57.14,68,0.56,0.44
198,,Graham Carey,0.27,0,48.98,43.22,1.13,1.1
199,,Glenn Middleton,0.1,0,13.79,35.83,0.83,0.55
200,,Trevor Carson,0.03,0,83.33,90,0.11,0
201,,Jon McLaughlin,0,0,50,75,0.2,0
202,,Luiyi de Lucas,0.3,0,53.45,59.57,1.1,0.4
203,,Nathaniel Atkinson,0.33,0,39.53,51.98,1,0.78
204,,David Marshall,0.08,0,66.67,73.33,0.08,0.05
205,,Allan McGregor,0.04,0,83.33,72.73,0.13,0
206,,Declan Gallagher,0.22,0.04,64.81,60.34,0.26,0.59
207,,Aiden McGeady,0,0,44.44,52.24,1,0.33
208,,Richard Taylor,0.09,0,50,51.56,0.55,0.64
209,,Aziz Behich,0.13,0.03,31.43,49.08,1.1,0.48
210,,Scott Tanser,0.13,0,47.46,48.92,0.6,0.63
211,,Alexander Gogić,0.2,0,48.54,46.46,0.4,1.37
212,,Alan Power,0.16,0.03,51.61,51.85,1.44,1.38
213,,Lewis Miller,0,0,56.52,62.26,0.92,0
214,,Kerr Mcinroy,0,0,37.5,48,0.42,0.25
215,,Ben Paton,0,0,60,55.56,0,0.43
216,,Shane Blaney,0.13,0,51.85,53.85,0.25,0.38
217,,Alex Lowry,0,0,100,43.75,1,0.6
218,,Rocky Bushiri Kiranga,0.2,0,71.15,71.7,1.4,1.07
219,,Ethan Erhahon,0.15,0.05,63.64,56.99,0.55,1
220,,Joel Nouble,0.1,0,41.86,39.96,2.47,1.37
221,,Melker Hallberg,0.27,0,33.33,36.71,0.5,1.1
222,,Ross Callachan,0.21,0.04,53.66,51.83,1,1.46
223,,Shamal George,0.16,0.03,100,86.67,0.13,0.03
224,,Marcus Fraser,0.21,0.03,62.5,57.33,0.59,0.94
225,,Victor Loturi,0.19,0,35.59,48.42,0.67,1
226,,Garang Kuol,0.25,0,28.57,30.3,0.25,0.88
227,,Calum Waters,0,0,33.33,72.73,2,0
228,,Scott Robinson,0,0,25.93,30.77,0.38,0.06
229,,Stephane Omeonga,0.23,0.03,35,48.58,0.97,1.5
230,,Oli Shaw,0.08,0,47.37,41.38,0.58,0.67
231,,Toby Sibbick,0.13,0.03,67.16,58.9,0.34,0.41
232,,Jonathan Obika,0.33,0,23.08,29.31,1,1.33
233,,Louis Moult,0.29,0,42.86,35.71,0.57,2
234,,Orestis Kiomourtzoglou,0.22,0,57.63,54.76,0.96,1
235,,Ross Tierney,0,0,23.53,52.7,1.06,0.33
236,,Jonah Ayunga,0.26,0.05,29.89,36.67,1.37,2.05
237,,Stephen Humphrys,0.11,0,44.78,39.57,0.42,0.68
238,,Ayo Obileye,0.04,0,62.14,58.5,0.36,0.6
239,,Scott Wright,0.04,0,29.41,42.86,0.39,0.39
240,,Yutaro Oda,0,0,22.22,47.46,0.58,0.25
241,,Demetri Mitchell,0,0,0,55.56,1,0.33
242,,Callum Johnson,0.17,0,50.57,55.87,1.17,1.17
243,,Adam Montgomery,0.18,0,39.13,52.97,1.36,0.86
244,,James Jeggo,0.31,0.06,54.17,46.58,0.5,1.63
245,,Matthew Hoppe,0,0,27.78,27.66,0.44,1.22
246,,Bevis Mugabi,0,0,73.53,72.73,0.38,0.38
247,,Remi Matthews,0.06,0,85.71,78.57,0.09,0
248,,Innes Cameron,0.13,0,36.3,35.48,0.38,0.56
249,,Richard Tait,0.08,0,30,42.65,0.33,0.67
250,,Gary Mackay-Steven,0.25,0,50,45.83,0.75,1
251,,Christian Ramirez,0,0,0,14.29,0.11,0.11
252,,Dylan Smith,0,0,58.06,60.71,0.31,0.31
253,,Daniel Phillips,0.39,0.04,61.11,53,1.13,1.74
254,,Alex Greive,0.07,0,20.29,31.13,0.64,0.75
255,,Jordan Tillson,0.21,0,52.17,47.87,0.36,0.96
256,,James Brown,0.19,0,71.43,63.58,1.08,0.65
257,,Jack Fitzwater,0.07,0.07,57.29,58.68,0.46,0.54
258,,Morgan Boyes,0.14,0.05,61.76,60.98,0.64,0.5
259,,Liam Smith,0,0,44.87,48.88,0.43,0.79
260,,Simon Murray,0,0,25,34.78,0.43,0.29
261,,Matt Penney,0.31,0,45.16,49.31,1,0.94
262,,Ben Purrington,0.09,0,69.7,58.06,0.55,0.82
263,,Jason Holt,0.29,0.03,45.83,54.63,1.2,0.89
264,,Christopher Stokes,0.07,0,47.92,49.25,0.4,0.27
265,,Toyosi Olusanya,0,0,0,50,0,1
266,,Steven Warnock,0,0,0,66.67,1,0
267,,Ayodeji Sotona,0.5,0,50,57.14,0.5,0
268,,Rolando Aarons,0.5,0,0,0,0,0.5
269,,Dylan Reid,0.5,0,0,0,0,0.5
270,,Ben Summers,0,0,0,71.43,1,0.5
271,,Kazeem Olaigbe,0.11,0,23.53,44.83,0.37,0.37
272,,Josh Sims,0,0,35,44.44,0.35,0.6
273,,Alan Forrest,0.03,0,27.78,37.84,0.29,0.23
274,,Stephen O'Donnell,0.19,0,57.89,49.68,0.22,0.56
275,,Rory Macleod,0,0,0,27.78,0.27,0.33
276,,Ilmari Niskanen,0.25,0,64.29,49.66,0.3,0.95
277,,Josh Stones,0.33,0,33.33,36.36,0.33,0.5
278,,Harry McKirdy,0.18,0,33.33,36.36,0.45,1.05
279,,Connor McLennan,0.15,0,47.17,44.59,0.73,0.69
280,,Barry Maguire,0.1,0,44.44,45.83,0.2,0.9
281,,Blair Alston,0,0,50,51.85,0.06,0.06
282,,Lewis Stevenson,0.18,0,40.32,48.95,0.46,0.68
283,,Thelonius Bair,0.04,0,43.68,36.84,0.07,0.56
284,,Connor Shields,0.05,0.05,30.36,31.85,0.42,1.11
285,,Fraser Murray,0.05,0,53.85,38.98,0.37,0.32
286,,Lewis Neilson,0,0,56.67,57.69,0.1,0.5
287,,Rory McKenzie,0.31,0.03,28,41.98,0.92,1
288,,Owura Edwards,0,0.1,23.68,41.2,1.24,1.1
289,,Marley Watkins,0.23,0,42.86,38.76,0.42,0.77
290,,Liam Boyce,0.2,0,50,41.18,1.2,1.2
291,,Ross Graham,0.13,0,55.17,54.35,0.27,0.6
292,,Peter Pawlett,0.17,0,50,50.88,0.58,0.58
293,,Alexandro Bernabei,0.13,0,48.89,40,0.47,1
294,,Jack Aitchison,0.1,0,9.09,30.95,0.5,0.6
295,,Hayden Coulson,0.18,0,53.57,51.18,1.14,0.61
296,,Josh Morris,0.33,0,20,40.91,0.78,1.11
297,,William Akio,0,0,28.57,40,0.08,0.17
298,,Euan Henderson,0,0,0,25,0,0
299,,Cameron Ballantyne,0.33,0,37.5,50,1,1
300,,Lewis Jamieson,0,0,0,18.18,0.14,0.43
301,,Shayden Morris,0,0,11.11,29.17,0.23,0.23
302,,Kurtis Guthrie,0.06,0.06,42.86,40.13,1.06,1.5
303,,Ryan Duncan,0.09,0,38.1,39.42,0.22,0.39
304,,Elias Hoff Melkersen,0.08,0,23.81,29.51,0.38,0.54
305,,Charles Dunne,0.27,0.03,63.04,55.68,0.7,0.97
306,,Dean Cornelius,0.03,0,34.78,41.46,0.34,0.47
307,,Jordy Hiwula,0.14,0,19.23,25.37,0.14,0.52
308,,James Penrice,0.1,0,38,44.81,0.93,0.62
309,,Mathew Anim Cudjoe,0.17,0,20,44,1,0.67
310,,Ryan Flynn,0.05,0,57.14,50,0.4,0.15
311,,Dominic Samuel,0.27,0,40,37.14,0.55,0.73
312,,Jamie Brandon,0.13,0,22.22,42.42,0.38,0.5
313,,Zak Rudden,0.17,0,29.03,30.19,0.25,0.58
314,,Kai Fotheringham,0.09,0,61.9,44.44,0.64,0.64
315,,Dylan Bahamboula,0.15,0.05,52.54,48.23,0.15,0.6
316,,Robert Mahon,0,0,0,0,0,0
317,,Jack Milne,0,0,0,0,0,1
318,,James McCarthy,0,0,0,33.33,0,0
319,,Scott Romeni Bitsindou,0.5,0,100,50,0,0.5
320,,Jack Mackenzie,0.17,0,35.48,52.38,0.83,0.39
321,,Ross McCrorie,0.15,0.03,60.4,53.28,1.18,0.97
322,,Connor Smith,0.14,0,50,33.33,0.29,0.71
323,,Ryan Alebiosu,0,0,32.5,48.48,0.65,0.65
324,,Sadat Anaku,0.14,0,9.52,20,0.14,0.71
325,,Kieran Freeman,0.33,0,48,52.17,0.63,0.92
326,,Harrison Paton,0.14,0,50,32.43,0.43,0.57
327,,Jayden Richardson,0.16,0,44.44,46.67,0.63,0.74
328,,Alex Samuel,0.1,0,30.43,27.27,0.5,0.9
329,,Michael O'Halloran,0,0,0,20,0,0
330,,Momodou Bojang,0,0,20,12.5,0,0.2
331,,Archie Meekison,0.14,0,16.67,40,0.14,0.14
332,,David Watson,0.2,0.1,27.27,37.14,1.1,0.8
333,,Scott Pitman,0.12,0.03,27.45,38.4,0.97,1.24
334,,Thierry Small,0.07,0.14,50,47.95,0.21,0.36
335,,Phillip Čančar,0.67,0,80,55.56,0,1
336,,Lennon Miller,0.25,0,14.29,28.57,0,0.75
337,,Jack Newman,0,0,100,66.67,0,0
338,,Jair Tavares,0,0,20,37.04,0.75,0.13
339,,Michael Devlin,1,0,0,0,0,0
340,,Kian Speirs,1,0,0,0,0,1
341,,Dilan Markanday,0,0,0,33.33,0.67,0
342,,Riku Danzaki,0,0,0,42.86,0.67,0.33
343,,Zachary Hemming,0,0,75,50,0,0.1
344,,Tony Gallacher,0,0,50,63.16,0.8,0.2
345,,Fraser Taylor,0,0,0,25,0,0.33
346,,Oliver Crankshaw,0.25,0,25,26.09,0.25,1.25
347,,Bobby Wales,0,0,16.67,26.92,0.1,0.2
348,,Callum Roberts,0,0,0,33.33,0.67,0
349,,Alfie Bavidge,0,0,0,12.5,0.2,0.2
350,,Esmael Goncalves,0,0,27.78,32.56,0.5,0.38
351,,Kieran Offord,0.11,0,0,19.23,0.33,0.11
352,,Kyle McClelland,0,0,0,0,0,0
353,,Jack Hamilton,0,0,0,100,0.33,0
354,,Patrik Myslovič,0,0,0,20,0,0.25
355,,Scott Bain,0,0,100,100,0,0
356,,Charlie McCann,0,0,0,11.11,0,1
357,,Peter Urminsky,0,0,0,0,0,0
358,,Joe Lewis,0,0,0,100,0,0
359,,Zak Lovelace,0,0,0,100,0,0
360,,Ross McCausland,0,0,0,0,0,0
361,,Bailey Rice,0,0,0,0,0,0
362,,Arron Lyall,0,0,0,100,0,0
363,,Robbie Ure,0,0,0,33.33,0,0.5
