#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
170,,David Wotherspoon,0.82,0.23,0,0.59,0,0.55
171,,CJ Egan-Riley,1.5,1.5,0.07,3.07,0,0.43
172,,Nohan Kenneh,1.23,1.23,0.03,1.16,0.03,0.39
173,,Oliver Abildgaard,0.5,0.17,0,1.17,0,0
174,,Jake Doyle Hayes,1.29,0.53,0,0.76,0,0.71
175,,Ben Chrisene,2.15,1.69,0,1.31,0,0.38
176,,Peter Haring,1.44,0.94,0,0.44,0,0.63
177,,Ian Harkes,1.53,0.9,0,1,0,0.37
178,,Kyle Lafferty,0.33,0.17,0,0.67,0,0.25
179,,Bradley Lyons,1.05,0.84,0,0.79,0,0.26
180,,Andrew Shinnie,0.97,0.36,0.03,1.24,0,0.3
181,,Jordan Jones,1,0.18,0,0.18,0,0.45
182,,Bruce Anderson,0.23,0.1,0,0.13,0,0.1
183,,Lewis Mayo,1.76,1.44,0,3.03,0,0.38
184,,Carljohan Eriksson,0,0,0,1.44,0,0
185,,Ewan Henderson,0.67,0.27,0,0.27,0,0.5
186,,Mikael Mandron,1.6,0.1,0,1.1,0,0.5
187,,Luke Chambers,2.07,0.64,0,1.71,0,0.36
188,,Nicky Clark,0.39,0.04,0,0.78,0,0.09
189,,Tony Watt,0.59,0.33,0,1.04,0,0.19
190,,Allan Michael Delferriere,1,0,0,0,0,0
191,,Joshua Mullin,1,0,0,1,0,0
192,,Luca Ross,0,0,0,0,0,0
193,,Josh O'Connor,0,0,0,0,0,0
194,,Caolan Boyd-Munce,0.33,1,0,0.33,0,0.33
195,,Ross Stewart,0,0,0,1.67,0,0
196,,Miller Thomson,0,0.33,0,0,0,0
197,,Jackson Longridge,1.78,1.11,0,2.78,0,0.22
198,,Graham Carey,1.53,0.5,0,0.63,0,0.9
199,,Glenn Middleton,0.79,0.17,0,0.31,0,0.31
200,,Trevor Carson,0,0.05,0,0.57,0,0
201,,Jon McLaughlin,0,0.1,0,0.3,0.2,0
202,,Luiyi de Lucas,1.3,1,0.1,3,0,0.5
203,,Nathaniel Atkinson,2.17,0.94,0,2.11,0,0.78
204,,David Marshall,0.05,0.03,0.05,0.58,0.05,0
205,,Allan McGregor,0.04,0.04,0,0.58,0,0.08
206,,Declan Gallagher,0.81,0.7,0.07,3.48,0,0.26
207,,Aiden McGeady,1.44,0.22,0,0,0,0.44
208,,Richard Taylor,1.18,1.27,0,2.73,0,0.64
209,,Aziz Behich,1.45,0.61,0,1.55,0,0.55
210,,Scott Tanser,1,0.87,0.07,1.97,0,0.63
211,,Alexander Gogić,1.23,0.97,0.07,2.57,0,0.4
212,,Alan Power,1.69,1.03,0,0.88,0,0.81
213,,Lewis Miller,0.42,0.08,0,1,0,0.33
214,,Kerr Mcinroy,1,0.67,0,0.75,0,0.58
215,,Ben Paton,1,1,0,0.71,0,0.14
216,,Shane Blaney,0.25,0.63,0,2.63,0,0.25
217,,Alex Lowry,0.2,0,0,0,0,0.2
218,,Rocky Bushiri Kiranga,1.07,1.33,0.13,2.8,0,0
219,,Ethan Erhahon,1.55,1.4,0,0.75,0,0.4
220,,Joel Nouble,0.67,0.37,0,0.8,0,0.4
221,,Melker Hallberg,1.07,0.47,0,1.5,0,0.73
222,,Ross Callachan,1.38,0.33,0.04,1.13,0,0.5
223,,Shamal George,0,0,0,0.97,0,0.03
224,,Marcus Fraser,1.59,0.82,0.09,3.15,0.03,0.59
225,,Victor Loturi,1.56,0.48,0,0.78,0,0.37
226,,Garang Kuol,0.38,0.13,0,0.25,0,0.38
227,,Calum Waters,1,1.5,0,2,0,0
228,,Scott Robinson,0.19,0.19,0,0.13,0,0.44
229,,Stephane Omeonga,2.3,1,0,0.87,0,0.73
230,,Oli Shaw,0.58,0.33,0,0.25,0,0.58
231,,Toby Sibbick,1.09,0.69,0,2.66,0.03,0.31
232,,Jonathan Obika,0.56,0.33,0,0.56,0,0.22
233,,Louis Moult,0.14,0,0,0.14,0,0
