#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
107,,Nicky Devlin,0,0.18,0,0,1.39,0.18
108,,Graeme Shinnie,0,0.23,0,0,1.77,0
109,,Ross Laidlaw,3.29,0.24,0.18,0,1.26,0.32
110,,Liam Gordon,0,0.19,0,0,1,0.34
111,,James Sands,0,0.06,0,0,0.71,0.24
112,,Tomoki Iwata,0,0.15,0,0,0.46,0
113,,James Hill,0,0.21,0,0,1.29,0.21
114,,Luís Henriques de Barros Lopes,0,0.03,0,0,0.97,0.08
115,,Andy Halliday,0,0,0,0,0.75,0.18
116,,Zander Clark,2.71,0.24,0.19,0,1.14,0.14
117,,Stephen Kingsley,0,0.14,0,0,1.19,0.1
118,,Hyun-gyu Oh,0,0,0,0,0.31,0.06
119,,Christian Doidge,0,0.06,0,0,1.06,0.22
120,,Josh Campbell,0,0.17,0,0,1.17,0.14
121,,Ash Taylor,0,0.13,0,0,1.28,0.28
122,,Jamie Murphy,0,0,0,0,0.42,0.17
123,,George Harmon,0,0.2,0,0,1.07,0.37
124,,Joseph Efford,0,0,0,0,0.56,0
125,,Chris Kane,0,0,0,0,0.5,0
126,,Kemar Roofe,0,0,0,0,0,0
127,,Yuki Kobayashi,0,0.33,0,0,1.17,0.17
128,,Christopher Cadden,0,0.16,0,0,1.14,0.16
129,,Liam Kelly,2.61,0.29,0.13,0.03,1.21,0.13
130,,Callum Slattery,0,0.07,0,0,0.97,0.14
131,,Alex Cochrane,0,0.09,0,0,1.03,0.09
132,,Connor Barron,0,0.12,0,0,1.06,0.24
133,,Glen Kamara,0,0.14,0,0,0.5,0.09
134,,Adam Devine,0,0.17,0,0,0.33,0.33
135,,Scott McMann,0,0.17,0,0,1.43,0.17
136,,Daizen Maeda,0,0.03,0,0,0.6,0.06
137,,Ali Crawford,0,0,0,0,0.75,0.19
138,,Joe Shaughnessy,0,0.14,0,0,1.27,0.32
139,,Cameron Devlin,0,0.07,0,0,0.93,0.23
140,,Joe Hart,1.49,0.43,0.19,0,0.73,0.08
141,,Eamonn Brophy,0,0,0,0,0.55,0.05
142,,Steven Bradley,0,0,0,0,0.75,0.06
143,,Marijan Čabraja,0,0.08,0,0,1.04,0.08
144,,Jorge Grant,0,0.04,0,0,0.54,0.04
145,,Jay Henderson,0,0,0,0,0.67,0
146,,Rocco Vata,0,0,0,0,0,0
147,,Murray Davidson,0,0,0,0,0,0
148,,Keith Watson,0,0.14,0,0,0.93,0.18
149,,Ylber Ramadani,0,0.32,0,0,1.49,0.11
150,,Max Johnston,0,0.18,0,0,0.82,0.12
151,,Andy Considine,0,0.19,0,0,1.22,0.25
152,,Scott Arfield,0,0.03,0,0,0.29,0.03
153,,Kyle Magennis,0,0,0,0,1.23,0.08
154,,Jonny Hayes,0,0.2,0,0,1.27,0.13
155,,Rabbi Matondo,0,0.05,0,0,0.16,0
156,,Alex Mitchell,0,0.17,0,0,0.97,0.31
157,,Keanu Baccus,0,0.12,0,0,1.18,0.21
158,,Cristian Montano,0,0.03,0,0,0.97,0.16
159,,Ryan Edwards,0,0.19,0,0,1.47,0.19
160,,Matthew Kennedy,0,0.05,0,0,1.19,0.1
161,,Drey Wright,0,0.16,0,0,1.13,0.29
162,,Arnaud Djoum,0,0,0,0,1.13,0.13
163,,Connor Randall,0,0.17,0,0,1.17,0.33
164,,David Cancola,0,0.07,0,0,0.63,0.17
165,,Jeriel Dorsett,0,0,0,0,1,0.18
166,,Greg Kiltie,0,0.03,0,0,0.71,0.17
167,,Thody Elie Youan,0,0.19,0,0,1.06,0.08
168,,Jack Sanders,0,0,0,0,0,0
169,,Stuart McKinstry,0,0.05,0,0,0.95,0.1
170,,David Wotherspoon,0,0,0,0,0.5,0.23
171,,CJ Egan-Riley,0,0.21,0,0,1.07,0.21
172,,Nohan Kenneh,0,0.13,0,0,1.03,0.19
173,,Oliver Abildgaard,0,0,0,0,0.33,0
174,,Jake Doyle Hayes,0,0,0,0,0.59,0.06
175,,Ben Chrisene,0,0.08,0,0,1.08,0.15
176,,Peter Haring,0,0,0,0,0.81,0.13
177,,Ian Harkes,0,0.13,0,0,1.27,0.17
178,,Kyle Lafferty,0,0,0,0,0.5,0.17
179,,Bradley Lyons,0,0,0,0,0.53,0.11
180,,Andrew Shinnie,0,0.06,0,0,0.91,0.12
181,,Jordan Jones,0,0.09,0,0,0.86,0.18
182,,Bruce Anderson,0,0.1,0,0,1.03,0.1
183,,Lewis Mayo,0,0.21,0,0,1.12,0.26
184,,Carljohan Eriksson,2.67,0.33,0.11,0.11,1.78,0.33
185,,Ewan Henderson,0,0.03,0,0,0.53,0.07
186,,Mikael Mandron,0,0.1,0,0,0.6,0
187,,Luke Chambers,0,0.21,0,0,1.29,0
188,,Nicky Clark,0,0.09,0,0,0.83,0.3
189,,Tony Watt,0,0.04,0,0,0.93,0.07
190,,Allan Michael Delferriere,0,0,0,0,0,0
191,,Joshua Mullin,0,0,0,0,0,0
192,,Luca Ross,0,0,0,0,0,0
193,,Josh O'Connor,0,0,0,0,0,0
194,,Caolan Boyd-Munce,0,0,0,0,0.33,0.33
195,,Ross Stewart,2.33,0,0,0,1,0.33
196,,Miller Thomson,0,0,0,0,0.33,0
197,,Jackson Longridge,0,0,0,0,1.22,0.22
198,,Graham Carey,0,0.13,0,0,0.97,0.33
199,,Glenn Middleton,0,0,0,0,1.21,0.24
200,,Trevor Carson,2.57,0.27,0.32,0.03,1.35,0.22
201,,Jon McLaughlin,1.4,0.5,0,0,0.9,0.1
