#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
147,,Koba Koindredi,0,0,43.14,52.1,1.61,0.94
148,,Kiko Olivas,0,0,57.14,60.49,0.92,0.52
149,,Grego Sierra,0.52,0,62.69,61.94,0.76,0.92
150,,Mustapha Bundu,0,0,68.75,52.43,0.25,0.43
151,,Borja Sánchez,0.13,0,55.56,52.36,1.08,0.83
152,,Shkodran Mustafi,0,0,77.78,61.54,0.33,0.67
153,,Álvaro García,0.33,0,56.25,52.94,1,1.33
154,,Diego Altube,0,0,66.67,60,0.08,0
155,,Rubén,0.14,0,53.46,63.16,1.26,0.46
156,,Cristian Gutiérrez,0.08,0,27.27,51.45,0.62,0.27
157,,Miguel Loureiro,0.25,0,59.26,58.99,0.75,1.13
158,,Germán Valera,0.08,0,31.82,54.57,1.68,0.87
159,,Carlos Pomares Rayo,0.13,0,71.88,66.67,0.6,0.53
160,,Ramón Terrats,0.4,0,52.94,50,2,1.6
161,,Nikola Maraš,0.1,0,56.16,59.5,0.5,0.75
162,,Sidnei,0.11,0,58.7,58.43,0.37,0.53
163,,Alberto Rodríguez,0.11,0.08,58.62,59.03,0.42,0.67
164,,Martín Pascual,0.29,0,65.34,63.6,0.65,0.94
165,,Sergio González,0.09,0,50.36,54.95,0.48,0.64
166,,Saúl García,0.11,0,68.97,58.5,0.46,0.61
167,,Óscar Melendo,0.09,0,23.08,50.21,1.66,0.57
168,,André Ferreira,0,0,100,100,0,0
169,,Jon Bautista,0.08,0,55.88,49.65,0.58,1.34
170,,Rubén Castro,0,0,33.96,38.51,0.83,0.39
171,,Pablo Íñiguez,0.11,0,46.48,49.25,0.37,0.74
172,,Pablo Insua,0.28,0.03,62.81,60.82,0.56,0.75
173,,Juanfran,0.06,0,50,58.7,0.67,0.39
174,,Christos Albanis,0.03,0,39.13,45.07,0.68,0.39
175,,Jorge Sáenz,0.3,0,65.29,58.48,0.46,1.03
176,,Giovanni Zarfino,0.26,0,50,48.64,0.93,1.48
177,,Alejandro Barbudo Barbu,0.33,0,50.96,53.06,1,1.47
178,,Aleksandar Sedlar,0.23,0,62.6,56.72,0.5,1.47
179,,Toni Moya,0.1,0,37.21,46.15,0.51,0.72
180,,Jérémy Blasco,0.14,0,50.57,52.02,0.17,0.66
181,,Oriol Rey,0.15,0,56.9,55.56,1,1.49
182,,Higinio Marín,0.17,0,41.33,41.46,1.5,1.39
183,,Bernabé Barragán,0.2,0,83.33,85.71,0.07,0.03
184,,Damián Musto,0.44,0.06,58.33,52.38,1.17,2.06
185,,José Amo,0.35,0.03,63.16,56.81,0.82,1.24
186,,Fabio González,0.23,0,42,52.3,0.87,0.48
187,,Juande Rivas,0.07,0.04,58.18,56.33,0.57,1.18
188,,Matos,0.18,0,48.65,60.32,1.93,0.79
189,,Flavien Boyomo,0.27,0.03,67.27,58.27,0.32,1.35
190,,Sinan Bakış,0.27,0,51.65,48.44,1.27,1.18
191,,Soufiane Chakla,0,0,70,67.31,0.85,0.85
192,,Abdelkabir Abqar,0.29,0.03,52,53.81,0.49,1.06
193,,Kento Hashimoto,0.15,0,70,60.85,0.55,1.24
194,,Jorge Pulido,0.19,0.05,64.54,57.47,0.35,0.89
195,,Borja Bastón,0.21,0,47.01,43.92,1.3,1.52
196,,Toni Datković,0.33,0.03,53.05,51.75,0.28,1.03
197,,Marc Pubill,0.17,0,75.41,55.07,0.79,1.21
198,,Óscar Clemente,0.1,0,37.5,49.41,0.94,0.52
199,,Álex Millán,0.15,0,40,45,1.2,0.85
200,,Nikolaos Michelis,0.06,0,60.42,63,0.56,0.94
201,,Jimmy Suárez,0.22,0,45.45,54.29,0.74,0.7
202,,Diego Pampín,0.06,0,41.94,61.26,1.45,0.26
203,,Gianni Cassaro,0,0,66.67,50,0,0.13
204,,Rubén Pulido,0.19,0.06,52.63,57.35,1,1.13
205,,Giuliano Simeone,0.11,0.03,35.63,46.18,1.78,1.03
206,,Jorge Pombo,0.16,0.06,24.14,42.82,1.78,1.5
207,,Borja Gonzalez Tejada,0,0,66.67,60.87,0.54,0.63
208,,Sergio Álvarez,0.22,0.03,51.09,53.65,0.51,1.27
209,,Alberto Moleiro,0.1,0,25.71,43.11,1,0.73
210,,Gustavo Blanco,0.17,0,63.52,56.22,0.72,0.86
211,,Frederico Venâncio,0.21,0.07,73.08,67.5,0.17,0.62
212,,Viti Rozada,0.03,0,33.33,55.13,1.21,0.66
213,,Manu Vallejo,0.06,0,34.09,40.52,0.94,0.63
214,,Son,0.09,0,32.35,46.82,0.35,0.56
