#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
179,,Toni Moya,0.08,0,55,0.56,0,0
180,,Jérémy Blasco,0.03,0.03,100,0.21,0.03,0
181,,Oriol Rey,0,0.05,72.41,0.63,0,0
182,,Higinio Marín,0.31,0.22,32.76,1.64,0.11,0
183,,Bernabé Barragán,0,0,0,0,0,0
184,,Damián Musto,0.03,0,55.56,0.31,0.03,0
185,,José Amo,0.06,0.03,44.44,0.26,0,0
186,,Fabio González,0,0,66.67,0.29,0,0
187,,Juande Rivas,0.04,0.04,85.71,0.54,0,0
188,,Matos,0,0.07,25.71,0.79,0,0
189,,Flavien Boyomo,0.03,0.03,70,0.46,0,0
190,,Sinan Bakış,0.36,0.55,60.98,2,0.06,0
191,,Soufiane Chakla,0,0,66.67,0.31,0,0
192,,Abdelkabir Abqar,0.03,0.03,50,0.37,0,0
193,,Kento Hashimoto,0,0.09,72.22,0.36,0,0
194,,Jorge Pulido,0.05,0.05,100,0.49,0.03,0
195,,Borja Bastón,0.24,0.39,35.29,2,0,0
196,,Toni Datković,0,0.05,16.67,0.46,0,0
197,,Marc Pubill,0.04,0.04,34.29,0.67,0,0
198,,Óscar Clemente,0.06,0.13,52.17,0.81,0,0
199,,Álex Millán,0.2,0.3,47.37,1.4,0.05,0
200,,Nikolaos Michelis,0,0,50,0.06,0,0
201,,Jimmy Suárez,0.04,0,33.33,0.26,0,0
202,,Diego Pampín,0,0.1,60.71,0.48,0,0
203,,Gianni Cassaro,0,0,0,0,0,0
204,,Rubén Pulido,0,0,100,0.56,0,0
205,,Giuliano Simeone,0.25,0.5,47.57,2.33,0,0
206,,Jorge Pombo,0.13,0.19,54.55,2.53,0.03,0
207,,Borja Gonzalez Tejada,0,0.04,90,0.79,0,0
208,,Sergio Álvarez,0,0.03,84.62,0.22,0,0
209,,Alberto Moleiro,0,0.13,48.97,1.5,0,0
210,,Gustavo Blanco,0.14,0.21,36.36,0.86,0.1,0
211,,Frederico Venâncio,0.03,0.03,100,0.48,0.03,0
212,,Viti Rozada,0.07,0.03,57.78,0.66,0,0
213,,Manu Vallejo,0.25,0.13,58.33,1,0.06,0
214,,Son,0.03,0.03,50,0.21,0,0
215,,Daniel Ojeda,0.14,0.05,39.58,1.32,0,0
216,,Juanlu Sánchez,0.05,0.03,42.86,0.65,0,0
217,,Dauda Mohammed,0.15,0.15,64.71,1.07,0,0
218,,Jorge Miramón,0.03,0.03,51.72,0.45,0,0
219,,Álex Pastor,0.05,0.05,66.67,0.24,0.05,0
220,,Rodri Tarín,0.04,0.09,66.67,0.43,0.04,0
221,,Idrissa Thiam,0,0,55,0.42,0,0
222,,Jesús Owono,0,0,0,0,0,0
223,,Luis Perea,0,0,0,0,0,0
224,,Dalisson de Almeida,0,0,0,0,0,0
225,,Ibrahim Janis Covi,0,0,0,0,0,0
226,,Oier Luengo Redondo,0,0.09,100,0.09,0,0
227,,Sergio Tejera,0,0,50,0.83,0,0
228,,Cristian Salvador,0,0.07,54.55,0.57,0,0
229,,Juan Soriano,0,0,0,0,0,0
230,,Juan Carlos,0.21,0.05,53.73,1.11,0.03,0
231,,Iván Romero,0.12,0.18,42.11,1.5,0.03,0
232,,Aritz Aldasoro,0.03,0.03,64.29,0.53,0,0
233,,Juanpe,0.04,0.09,48.15,0.78,0,0
234,,Borja Valle,0.15,0.15,35.29,1.05,0.03,0
