#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
147,,Niall Morahan,0,0.03,32.88,76.13,5.39,41.98
148,,James Akintunde,0.05,0,14.47,78.91,5.63,75
149,,Anto Breslin,0.08,0.06,34.67,71.39,6.72,32.34
150,,Adam O'Reilly,0.04,0.04,30.68,78.93,7.21,39.56
151,,Stefan Radosavljević,0.03,0,15.06,80.94,4.1,66.67
152,,Rokas Stanulevicius,0,0,25,79.2,2.8,65.22
153,,Conor Kane,0.18,0,32,67.9,5.09,34.29
154,,Cameron Elliott,0.04,0.17,8.57,70.05,3.17,71.43
155,,Pedro Martelo,0,0,13,66.03,3.42,54.55
156,,Mark Dignam,0,0.09,22.27,73.47,5.27,44.44
157,,Ciaran Behan,0.03,0.07,17.77,62.85,3.33,34.69
158,,Johnny Kenny,0.07,0.03,6.67,73.5,2.2,54.55
159,,Shane Farrell,0.12,0.12,19.58,72.45,4.55,48.51
160,,Tom Lonergan,0.03,0.06,6.39,60.1,1.48,66.67
161,,Naj Razi,0,0,33.67,89.11,7,50
162,,Oran Crowe,0,0,12,69.44,0.67,100
163,,Jamie Egan,0,0,16.6,60.24,1.2,41.67
164,,John O'Sullivan,0.05,0,7.32,71.94,2.63,30.77
165,,Mason Melia,0,0,4.9,69.39,1.2,100
166,,Ola Williams,0,0,42.55,71.58,3.18,37.5
167,,Colin McCabe,0,0,33.72,35.42,3.61,31.92
168,,Sean Kavanagh,0.08,0.08,37.4,77.22,7.52,44.38
169,,Adam Murphy,0.03,0.1,15.66,74.01,4.07,41.46
170,,Andrew Wogan,0,0,29.06,31.36,3.17,26.24
171,,Lukas Browning Lagerfeldt,0.04,0,33.89,79.02,6,55.17
172,,Gregory Sloggett,0.04,0.04,39,73.6,6.67,46.25
173,,Dean Williams,0,0,6.88,69.09,2.38,33.33
174,,Kevin Custovic,0.04,0.04,34.79,70.42,3.38,36.08
175,,Alfie Lewis,0,0.04,23.8,79.33,6.36,66.67
176,,Danu Kinsella Bishop,0,0.03,6.29,70.77,1.42,30.77
177,,Andrew Quinn,0,0,38.31,82.54,2.5,43.18
178,,Thijs Timmermans,0,0.06,12.89,78.02,2.89,64.71
179,,Cian Bargary,0.08,0.08,16.36,64.79,3.76,34.21
180,,Sami Clarke,0,0,8.75,72.38,2.33,71.43
181,,Eoin Doyle,0.05,0,7.48,57.32,1.95,27.27
182,,Aaron McNally,0.05,0.09,19.27,65.09,3.23,32.31
183,,Albin Winbo,0,0,12.43,71.26,2.14,43.75
184,,Cian Kavanagh,0,0.04,5.63,57.89,1.44,50
185,,Rayhaan Tulloch,0,0.05,20.89,82.37,7.95,61.11
186,,Warren Davis,0.05,0.05,8.63,70.73,1.74,41.67
187,,Joshua Honohan,0.06,0.03,32.91,68.78,2.48,33.49
188,,Rhys Bartley,0,0,13,92.31,4,0
189,,Bogdan Vastsuk,0,0,7.75,58.06,2.13,0
190,,Jaden Umeh,0,0,3,33.33,0,0
191,,Evan McLaughlin,0,0,4,75,0.67,100
192,,Aaron Bolger,0.1,0.1,34.29,72.44,5.71,46.33
193,,John Mahon,0,0,28.89,70.9,1.63,45.79
194,,Ethon Varian,0.23,0.23,9.85,52.34,1.69,23.53
195,,Tunde Owolabi,0,0,5.75,75.16,1.39,92.31
196,,Dara Keane,0.04,0,31.24,60.56,5.44,32.39
197,,Cian Murphy,0.05,0.05,6.24,63.36,1.52,60
198,,Kristopher Twardek,0.05,0.11,11.58,61.36,3.53,40.91
199,,Colin Bolton,0,0,9,55.56,1,0
200,,Jack Keaney,0,0,44.15,68.89,3.56,40.78
201,,Adam Verdon,0,0,33.07,73.22,6,31.34
