#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
214,,Gregorio Luperini,0,0.11,0,0,0.91,0.17
215,,Gennaro Borrelli,0,0,0,0,0.13,0.04
216,,Tommy Maistrello,0,0,0,0,0.68,0
217,,Cedric Gondo,0,0.03,0,0,0.68,0.03
218,,Marco Sala,0,0.08,0,0,0.73,0.04
219,,Kristjan Matošević,3.2,0.1,0.2,0,1.5,0.1
220,,Francesco Zampano,0,0.12,0,0,1.06,0.12
221,,Lorenzo Dickmann,0,0.11,0,0,1.03,0.19
222,,Ionuț Nedelcearu,0,0.28,0,0,1.06,0.19
223,,Davide Adorni,0,0.19,0,0,1.25,0.16
224,,Stefan Ilsanker,0,0,0,0,0.19,0
225,,Jesse Joronen,2.88,0.15,0.24,0.03,1.12,0.18
226,,Stefano Moreo,0,0.06,0,0,0.89,0.08
227,,Florian Ayé,0,0.05,0,0,0.97,0.11
228,,Daniele Casiraghi,0,0.03,0,0,0.25,0.06
229,,Giuseppe Ambrosino,0,0,0,0,0.37,0
230,,Tommaso D'Orazio,0,0.13,0,0,0.74,0.19
231,,Petko Hristov,0,0.09,0,0,0.91,0.09
232,,Niccolò Zanellato,0,0.07,0,0,0.79,0.21
233,,Caleb Ekuban,0,0,0,0,0.43,0.29
234,,César Falletti,0,0.03,0,0,0.81,0.09
235,,Simone Canestrelli,0,0.06,0,0,0.71,0.18
236,,Ben Lhassine Kone,0,0.16,0,0,0.26,0
237,,Aleandro Rosi,0,0.07,0,0,0.4,0.2
238,,Alessandro Selvini,0,0,0,0,0,0
239,,Alexis Ferrante,0,0,0,0,0,0
240,,Federico Santander,0,0,0,0,0,0
241,,Mauro Zárate,0,0,0,0,0.33,0.33
242,,Bruno Bertinato,3,0,0.67,0,1,0.33
243,,Sebastien De Maio,0,0,0,0,0.7,0.1
244,,Idrissa Touré,0,0.14,0,0,0.62,0.1
245,,Valerio Mastrantonio,0,0,0,0,0.8,0
246,,Woyo Coulibaly,0,0.06,0,0,0.33,0
247,,Alberto Paleari,2.39,0.15,0.18,0.06,1.03,0.18
248,,Giuseppe Sibilli,0,0,0,0,0.63,0.13
249,,Michael Venturi,0,0.12,0,0,1.24,0.06
250,,Luca Fiordilino,0,0.03,0,0,0.6,0.17
251,,Christos Kourfalidis,0,0.05,0,0,0.52,0.05
252,,Adrian Benedyczak,0,0,0,0,0.47,0.03
253,,Michele Marconi,0,0,0,0,0.25,0
254,,Gennaro Tutino,0,0,0,0,0.46,0.03
255,,Domenico Frare,0,0.21,0,0,1.18,0.07
256,,Mirco Antenucci,0,0,0,0,0.44,0.16
257,,Edoardo Corvi,1.8,0.4,0,0,0.8,0
258,,Giacomo Olzer,0,0,0,0,0.43,0.07
259,,Gaetano Masucci,0,0,0,0,0.48,0.09
260,,Leonardo Mancuso,0,0,0,0,0.66,0.16
261,,Elias Cobbaut,0,0.22,0,0,0.44,0
262,,Michaël Cuisance,0,0,0,0,0.77,0.15
263,,Mikael Ellertsson,0,0.13,0,0,0.63,0.06
264,,Giacomo Ricci,0,0.25,0,0,0.7,0.2
265,,Pietro Martino,0,0.11,0,0,0.86,0.04
266,,Matthieu Huard,0,0.12,0,0,1.08,0.12
267,,Federico Dionisi,0,0.03,0,0,0.58,0.03
268,,Davide Diaw,0,0,0,0,0.72,0.1
269,,Samuele Damiani,0,0.04,0,0,0.33,0.04
270,,Giannis Fetfatzidis,0,0,0,0,0.77,0.15
271,,Ridgeciano Haps,0,0.13,0,0,0.75,0.21
272,,Marcin Listkowski,0,0,0,0,0.75,0
273,,Vincenzo Garofalo,0,0,0,0,0,0
274,,Lorenzo Crisetig,0,0.1,0,0,0.86,0.07
275,,Claudio Gomes,0,0.15,0,0,1.04,0.15
276,,Francesco Lisi,0,0.08,0,0,0.5,0.27
277,,Davide Bettella,0,0.11,0,0,0.74,0.11
278,,Mauro Coppolaro,0,0.06,0,0,1,0.12
279,,Mattia Viviani,0,0.1,0,0,0.67,0
280,,Emanuele Ndoj,0,0,0,0,0.79,0.14
281,,Raffaele Celia,0,0.07,0,0,1.04,0.18
282,,Pedro Mendes,0,0,0,0,0.73,0
283,,Alessandro Di Pardo,0,0.13,0,0,0.63,0.06
284,,Tommaso Cassandro,0,0.28,0,0,0.89,0.11
285,,Matteo Arena,0,0,0,0,0.94,0.22
286,,Alexander Jallow,0,0.14,0,0,1.29,0
287,,Alessandro Celli,0,0.3,0,0,0.48,0.09
288,,Abdoulaye Touré,0,0,0,0,0.33,0
289,,Federico Pace,0,0,0,0,0.25,0
290,,Franco Zuculini,0,0,0,0,0,0
291,,Simone Romagnoli,0,0.33,0,0,1.17,0.17
292,,Daniele Donnarumma,0,0.25,0,0,0.95,0.1
293,,Mirko Antonucci,0,0.03,0,0,0.86,0.08
294,,Aurélien Scheidler,0,0,0,0,0.58,0.21
295,,Karlo Lulić,0,0.05,0,0,0.25,0
296,,Žan Žužek,0,0.07,0,0,0.67,0.13
297,,Vassilis Zagaritis,0,0,0,0,0.23,0.08
298,,Michele Camporese,0,0.15,0,0,0.81,0.12
299,,Alessandro Tripaldelli,0,0.18,0,0,0.73,0.05
300,,Marco Brescianini,0,0.14,0,0,0.97,0.14
301,,Eddie Salcedo,0,0,0,0,0.35,0.13
302,,Lorenzo Andrenacci,2.77,0.18,0.18,0,1.45,0.05
303,,Nicolas Galazzi,0,0,0,0,0.81,0.07
304,,Daam Foulon,0,0,0,0,0.74,0.13
305,,Giuseppe Rossi,0,0,0,0,0.4,0
306,,Rigoberto Rivas,0,0.03,0,0,0.63,0.13
307,,Jakub Łabojko,0,0.03,0,0,0.8,0.03
308,,Luca Vido,0,0,0,0,0.12,0
309,,Luca Moro,0,0,0,0,0.35,0.09
310,,Marco Capuano,0,0.18,0,0,0.82,0.27
311,,Adrian Rus,0,0.13,0,0,0.81,0.06
312,,Valentin Mihăilă,0,0,0,0,0.4,0.13
313,,Matteo Stoppa,0,0,0,0,0,0
314,,Gabriele Piccinini,0,0,0,0,0,0
315,,Marco Modolo,0,0,0,0,0.8,0.1
316,,Francesco Forte,0,0.15,0,0,0.76,0.03
317,,Francesco Gelli,0,0.1,0,0,0.6,0.2
318,,Luca Valzania,0,0.14,0,0,0.81,0
319,,Idriz Voca,0,0.09,0,0,1.03,0.15
320,,Luigi Canotto,0,0,0,0,0.57,0.08
321,,Zito Luvumbo,0,0.03,0,0,0.42,0.03
322,,Ignacio Lores Varela,0,0,0,0,0.71,0
323,,Gianluca Busio,0,0.04,0,0,0.61,0.04
324,,Matteo Tramoni,0,0,0,0,0.41,0.03
325,,Giacomo Beretta,0,0,0,0,0.67,0.08
326,,Moutir Chajia,0,0,0,0,0.25,0.08
327,,Mamadou Coulibaly,0,0.11,0,0,0.71,0.14
328,,Hamza El Kaouakibi,0,0.08,0,0,0.54,0.08
329,,Christian D'Urso,0,0,0,0,0.92,0.08
330,,Edoardo Soleri,0,0.03,0,0,0.41,0.07
331,,Tommaso Milanese,0,0,0,0,0.7,0.2
332,,Gianmarco Cangiano,0,0,0,0,0.17,0
333,,Mattia Proietti,0,0,0,0,0.75,0.06
334,,Luca Belardinelli,0,0.19,0,0,0.59,0.11
335,,Nermin Karić,0,0.21,0,0,0.73,0.15
336,,Niccolò Corrado,0,0.11,0,0,0.83,0.17
337,,Filippo Berra,0,0.05,0,0,0.47,0.16
338,,Marius Marin,0,0.18,0,0,0.94,0.12
339,,Enrico Celeghin,0,0,0,0,0.29,0.29
340,,Samuel Di Carmine,0,0.03,0,0,0.72,0.17
341,,Simon Sohm,0,0.07,0,0,0.56,0.04
342,,Alessandro Salvi,0,0.14,0,0,1,0
343,,Joaquín Larrivey,0,0.03,0,0,0.64,0.09
344,,Nik Prelec,0,0,0,0,0.25,0
345,,Salvatore Molina,0,0.08,0,0,0.38,0.15
346,,Giuseppe Mastinu,0,0,0,0,0.58,0.08
347,,Stanko Jurić,0,0.13,0,0,0.8,0.03
348,,Marco Curto,0,0.18,0,0,0.53,0.12
349,,Andrea Papetti,0,0.1,0,0,1.5,0.1
350,,Mario Gargiulo,0,0.04,0,0,0.75,0.08
351,,Tommaso Silvestri,0,0.24,0,0,1.1,0.07
352,,Alessandro Gabrielloni,0,0,0,0,0.21,0.07
353,,Jacopo Segre,0,0.12,0,0,0.74,0.15
354,,Raúl Asencio,0,0,0,0,0.65,0.12
355,,Edoardo Masciangelo,0,0,0,0,0.42,0.11
356,,Luca Lipani,0,0,0,0,0,0
357,,Anthony Fontana,0,0,0,0,0,0
358,,Fabio Parravicini,0,0,0,0,0,0
359,,Dario Sits,0,0,0,0,0,0
360,,Elvis Kabashi,0,0,0,0,0.5,0.5
361,,Noam Baumann,2.5,0,0,0,1.5,0
362,,Luca Maniero,2,0.5,0.5,0,1.5,0
363,,Christian Capone,0,0,0,0,0.5,0
364,,Mauro Vigorito,2,0.5,0,0,1.5,0
365,,Kevin Vinetot,0,0.17,0,0,1,0.17
