#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
120,,Sauli Väisänen,0,0,40.59,85.13,2.07,48.44
121,,Matteo Cotali,0.07,0.07,39.19,82.51,7.26,27.71
122,,Manuel Marras,0.27,0.2,29.4,74.83,9.33,43.48
123,,Elio Capradossi,0.06,0.06,43.44,87.19,3.31,63.46
124,,Fabian Tait,0.06,0.03,28.47,76.55,6.47,33.71
125,,Milan Badelj,0.04,0.04,56.92,82.57,10.96,52.66
126,,Alessandro Deiola,0.08,0.08,26.15,75.59,4.96,63.78
127,,Santiago Visentin,0.08,0,45.23,73.13,2.54,38.76
128,,Francesco Di Mariano,0.26,0.11,17.26,77.25,5.56,44.44
129,,Filip Jagiełło,0.12,0.06,21.29,81.35,7.41,47.73
130,,Pietro Ceccaroni,0.1,0,65.2,85.05,7.45,46.36
131,,Yordan Osorio,0,0,49.64,84.46,2.21,41.21
132,,Tommaso Arrigoni,0.1,0.07,24.47,80.93,5.27,44.83
133,,Valerio Di Cesare,0,0,38.03,89.56,0.88,37.35
134,,Valerio Verre,0.14,0.14,35.29,79.55,9.93,58.18
135,,Alessio Re,0,0,5.5,81.82,2.5,0
136,,Romano Perticone,0.04,0,41.17,75.92,3.3,48.15
137,,Mirko Pigliacelli,0,0,32.87,67.89,1.79,43.74
138,,Matteo Rover,0.14,0.14,16.69,68.55,4.56,42.65
139,,Nicola Pavan,0.11,0,31.94,74.06,5.14,45.7
140,,Luca Strizzolo,0.13,0,13.38,56.54,3.66,41.67
141,,Ivan Marconi,0.03,0.03,44.48,82.95,3.17,44.97
142,,Alessio Vita,0.11,0.09,25.74,67.7,6.77,31.52
143,,Luca Garritano,0.12,0.15,24.32,76.66,6.59,47.75
144,,Fabrizio Caligara,0.12,0.15,28.39,73,5.88,51.92
145,,Nahitan Nández,0.24,0.12,32.21,76.58,9.21,49.57
146,,Nícolas,0,0,26.36,62.2,1.21,36.49
147,,Lautaro Valenti,0.04,0.13,52.67,73.81,5.75,33.96
148,,Edoardo Goldaniga,0,0,44.06,84.24,3.94,61.38
149,,Gastón Pereiro,0.11,0.11,12.22,80.91,4.33,70
150,,Adrian Šemper,0,0,31.88,69.02,1.25,41.73
151,,Matteo Solini,0,0,38.88,76.21,1.5,37.78
152,,Dennis Man,0.14,0.07,24.21,83.92,10.07,67.74
153,,Christian Dalle Mura,0.04,0.04,46.15,85.47,5.85,44.97
154,,Amato Ciciretti,0.15,0.08,14.92,77.84,3.38,52.17
155,,Lorenco Šimić,0,0,35.65,75.94,2.58,47.96
156,,Tanner Tessmann,0.13,0.06,41.59,81.07,8.66,53.88
157,,Jayden Oosterwolde,0.06,0,36.5,79.45,8.33,41.94
158,,Patrick Cutrone,0.09,0.06,12.2,73.77,4.06,68.42
159,,Niccolò Pierozzi,0.06,0.06,33.91,74.85,5.29,33.53
160,,Simone Santoro,0,0,28.44,73.11,7.76,49.29
161,,Mario Sampirisi,0.14,0,40.43,79.33,6.04,40.59
162,,Adam Obert,0.07,0.03,41.86,82.7,4.31,65.16
163,,Kamil Glik,0.06,0.06,38,80.41,1.5,40.21
164,,Przemysław Wiśniewski,0.05,0,52.68,85.11,4,60.77
165,,Lucas Da Cunha,0.07,0.14,17.14,84.17,5.93,70.83
166,,Arturo Calabresi,0.08,0.08,33.35,73.59,6.81,41.49
167,,Samuele Mulattieri,0.07,0.14,10.1,77.13,3.34,66.67
168,,Gabriele Zappa,0.14,0.03,43.69,79.16,9.48,37.87
169,,Leonardo Benedetti,0.1,0.06,29.74,84.71,6.65,46.81
170,,Pietro Beruatto,0.03,0,29.79,70.68,4.74,28.19
171,,Federico Melchiorri,0.11,0.06,9.22,38.55,2.11,11.11
172,,Gianluca Frabotta,0.05,0.14,23.23,72.8,4.82,42.25
173,,Jacopo Furlan,0,0,19.83,53.78,1.67,36.05
174,,Jaime Báez,0.12,0.12,15.82,77.32,5.59,63.64
175,,Jérémy Ménez,0.15,0.09,22.91,81.22,7.33,60.32
176,,Salvatore Elia,0,0,17.7,63.84,5.3,33.33
177,,Michele Rigione,0.04,0,41.26,82.41,2.44,55.14
178,,Salim Diakite,0,0,30.84,75.38,4.91,39.19
179,,Francesco Renzetti,0.06,0,21.28,72.58,5.06,44.12
180,,Cesc Fàbregas,0.06,0.12,32.53,83.36,7.82,55
181,,Alessio Iovine,0.06,0,19.5,74.07,4.11,51.61
182,,Nicholas Ioannou,0.06,0.09,21.53,65.17,3.72,39.29
183,,Stefano Sabelli,0.2,0.13,37.5,69.96,9.7,35.66
184,,Marcel Büchel,0,0.04,40.04,79.48,7.57,58.05
185,,Magnus Kofod Andersen,0.15,0.15,17.77,82.47,3.85,58.97
186,,Giuseppe Caso,0.14,0.09,13.29,81.29,5.03,64.71
187,,Aleš Matějů,0,0.06,51.52,84.59,9.15,40.15
188,,Thiago Cionek,0.03,0.03,35.1,78.68,3.19,49.74
189,,Denis Cheryshev,0.13,0.09,12.3,70.67,4,52.38
190,,Drissa Camara,0.09,0.05,14,77.27,5.27,44
191,,Cristian Ansaldi,0.14,0.1,19.71,78.26,6.1,50
192,,Antonio Caracciolo,0,0,32.18,74.86,2.27,47.89
193,,Shady Oukhadda,0,0.07,35.76,73.77,7.59,40.56
194,,Nahuel Estévez,0.14,0.06,39.92,82.12,8.36,40.88
195,,Marcus Rohdén,0.21,0.18,26.09,76.19,7.03,33.33
196,,Simone Colombi,0,0,24.31,69.46,0.88,44.08
197,,Anthony Partipilo,0.19,0.08,17.58,70.77,6.14,59.26
198,,Leandro Chichizola,0,0,28.18,61.38,2.29,40.13
199,,Patryk Peda,0,0,48.86,84.8,4.67,45.22
200,,Nicolo Contiliano,0.13,0.13,31,83.06,6.88,43.75
201,,Antoine Makoumbou,0.06,0,45.83,88.79,10.25,66.44
202,,Alessandro Bellemo,0.03,0.06,33.19,81.63,6.16,50.44
203,,Daniele Baselli,0,0,30.33,83.15,5.94,52.86
204,,Andrés Tello,0.07,0.07,28.11,76.87,7,54.67
205,,Nicholas Pierini,0.03,0,11,78.7,4.34,69.57
206,,Mehdi Dorval,0.06,0.06,30.94,79.28,3.59,43.1
207,,Ernesto Torregrossa,0.13,0.08,8.92,56.54,2.17,55
208,,Matteo Prati,0.05,0.05,39.45,80.1,6.3,41.94
209,,Liam Kerrigan,0.5,0,19.25,80.52,5.25,0
210,,Andrea La Mantia,0.06,0.06,12.94,58.18,2.82,50
211,,Marcos Curado,0,0.03,31.57,70.86,2.2,41.1
212,,Mattia Aramu,0.12,0.08,19.31,78.69,6.88,38.89
213,,Massimo Bertagnoli,0,0.08,25.54,80.42,6.46,66.67
214,,Gregorio Luperini,0.11,0,15.97,61.54,4.86,37.25
215,,Gennaro Borrelli,0.09,0.04,4.17,62.5,1.52,44.44
216,,Tommy Maistrello,0,0,13.53,48.64,3.53,28.57
217,,Cedric Gondo,0.03,0,12.44,60.05,3.03,66.67
218,,Marco Sala,0.19,0.04,27.04,71.83,5.5,28.72
219,,Kristjan Matošević,0,0,23.2,57.76,1.9,38.61
220,,Francesco Zampano,0.15,0.06,36.82,79.18,7.97,51.02
221,,Lorenzo Dickmann,0.03,0.06,34.53,77.39,6.06,42.42
222,,Ionuț Nedelcearu,0.08,0.08,48.72,87.91,1.81,44.69
223,,Davide Adorni,0,0,44.47,82.99,2.88,54.36
224,,Stefan Ilsanker,0.06,0,15.25,81.97,1.06,45.16
225,,Jesse Joronen,0,0,29.68,67.89,1.24,40.11
226,,Stefano Moreo,0.03,0.03,16.78,58.28,4,36.36
227,,Florian Ayé,0.05,0.05,14.97,62.45,4.08,50
228,,Daniele Casiraghi,0.28,0.19,16.66,73.73,5.13,67.8
229,,Giuseppe Ambrosino,0,0.11,7.58,73.61,3.42,42.86
