#,Team,Name,Appearances
527,,Ryder Matos,15
528,,Artur Ioniță,26
529,,Alessandro Cortinovis,12
530,,Niki Mäenpää,2
531,,Federico Mazzarani,2
532,,Cristian Galano,4
533,,Nikita Contini,8
534,,Nicola Rauti,17
535,,Mateusz Praszelik,9
536,,Roberto Crivello,6
537,,Alessandro Mallamo,27
538,,Simone Giordano,18
539,,Antonio Barreca,22
540,,Francesco Cassata,27
541,,Salvatore Dario La Vardera,8
542,,Moustapha Cissé,18
543,,Nicholas Siega,14
544,,Simy,22
545,,Davide Mazzocco,10
546,,Nicola Mosti,17
547,,Yeferson Paz,26
548,,Pablo Rodríguez,15
549,,Carlos Embalo,18
550,,Damir Ceter,12
551,,Isaías Delpupo,1
552,,Andrea Ghion,1
553,,Jay Enem,1
554,,Filippo Puletto,1
555,,Mattia Minesso,1
556,,Emanuele Agnello,1
557,,Samuele Righetti,1
558,,Alassane Sidibe,2
559,,Emmanuele Matino,2
560,,Agostino Camigliano,2
561,,Alberto Almici,5
562,,Marcello Falzerano,22
563,,Devid Eugene Bouah,9
564,,Gabriel Charpentier,8
565,,Denis Drăguş,5
566,,Edoardo Pierozzi,5
567,,Samuel Giovane,23
568,,Kelvin Yeboah,11
569,,Edoardo Bovolon,2
570,,Reuven Niemeijer,15
571,,Emmanuel Ekong,9
572,,Samuele Spalluto,3
573,,Pietro Rovaglia,3
574,,Simone Davì,11
575,,Joel Obi,1
576,,Yonatan Cohen,1
577,,Jacopo Desogus,1
578,,Alexandre Coeff,1
579,,Shaka Mawuli Eklu,1
580,,Adam Griger,1
581,,Matteo Piacentini,1
582,,Brayan Boci,2
583,,Edoardo Lancini,3
584,,Dejan Vokić,2
585,,Andrea Danzi,13
586,,Alessandro Seghetti,1
587,,Davide Voltan,1
588,,Davide Bertoncini,1
589,,Alessio Abibi,2
590,,Jack De Vries,3
591,,Leonardo Loria,1
592,,Pape Samba Thiam,1
593,,Renzo Orihuela,1
594,,Pierluigi Frattali,1
595,,Gabriel Brazão,1
596,,Simone Aresti,0
597,,Marco Bosisio,1
598,,Giuseppe Agostino,1
