#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
146,,Nícolas,0,0,0,0,0,0
147,,Lautaro Valenti,0.04,0.04,50,0.75,0,0
148,,Edoardo Goldaniga,0,0,50,0.44,0,0
149,,Gastón Pereiro,0.11,0,71.43,0.89,0,0
150,,Adrian Šemper,0,0,0,0,0,0
151,,Matteo Solini,0,0,0,0.63,0,0
152,,Dennis Man,0.21,0.21,52.94,1.46,0,0
153,,Christian Dalle Mura,0,0,66.67,0.22,0,0
154,,Amato Ciciretti,0.15,0,66.67,1.69,0,0
155,,Lorenco Šimić,0.08,0.08,55.56,0.58,0.04,0
156,,Tanner Tessmann,0.09,0,46.81,1.31,0,0.63
157,,Jayden Oosterwolde,0.06,0.06,51.61,0.44,0,0
158,,Patrick Cutrone,0.26,0.09,48.48,1.91,0,0
159,,Niccolò Pierozzi,0.12,0.06,40.82,0.76,0,0
160,,Simone Santoro,0.06,0,55.88,1.09,0,0
161,,Mario Sampirisi,0,0,66.67,0.36,0,0
162,,Adam Obert,0,0.03,68.75,0.72,0,0
163,,Kamil Glik,0,0,0,0.67,0,0
164,,Przemysław Wiśniewski,0,0,54.55,0.21,0,0
165,,Lucas Da Cunha,0.14,0.07,45,1.29,0,2.38
166,,Arturo Calabresi,0,0.04,47.37,0.38,0,0
167,,Samuele Mulattieri,0.41,0.1,38.1,1.45,0.07,0
168,,Gabriele Zappa,0.1,0,32.26,0.38,0,0
169,,Leonardo Benedetti,0.1,0.13,59.57,0.77,0.06,0
170,,Pietro Beruatto,0.03,0,44.12,0.97,0,0
171,,Federico Melchiorri,0.17,0.17,50,1.28,0,0
172,,Gianluca Frabotta,0,0.05,44.44,0.64,0,0
173,,Jacopo Furlan,0,0,0,0,0,0
174,,Jaime Báez,0.06,0.06,61.9,0.76,0,0
175,,Jérémy Ménez,0.15,0.12,54.41,1.24,0,0
176,,Salvatore Elia,0.3,0.1,36.36,1.3,0,0
177,,Michele Rigione,0.07,0.07,50,0.67,0,0
178,,Salim Diakite,0.03,0.06,55.81,0.41,0,0
179,,Francesco Renzetti,0,0,50,0.11,0,0
180,,Cesc Fàbregas,0,0,40,0.29,0,0
181,,Alessio Iovine,0,0,50,0.67,0,0
182,,Nicholas Ioannou,0.09,0,32.79,0.63,0,0
183,,Stefano Sabelli,0.03,0.03,35.42,0.53,0,0
184,,Marcel Büchel,0.04,0.04,68.42,0.96,0,0
185,,Magnus Kofod Andersen,0,0.04,23.08,0.62,0,0
186,,Giuseppe Caso,0.26,0.17,47.79,2.31,0,0
187,,Aleš Matějů,0,0.03,52.17,0.15,0,0
188,,Thiago Cionek,0,0,70,0.42,0,0
189,,Denis Cheryshev,0.17,0.04,58.33,1.04,0,0
190,,Drissa Camara,0.18,0.05,50,1.05,0.05,0
191,,Cristian Ansaldi,0.05,0,41.94,0.52,0,0
192,,Antonio Caracciolo,0,0,100,0.09,0,0
193,,Shady Oukhadda,0,0,64.44,0.86,0,0
194,,Nahuel Estévez,0.03,0.03,55.56,0.97,0,0
195,,Marcus Rohdén,0.09,0.06,40,1.27,0.03,0
196,,Simone Colombi,0,0,0,0,0,0
197,,Anthony Partipilo,0.19,0.36,42.11,2.47,0,0
198,,Leandro Chichizola,0,0,0,0,0,0
199,,Patryk Peda,0.05,0,58.33,0.33,0.05,0
200,,Nicolo Contiliano,0,0,75,0.63,0,0
201,,Antoine Makoumbou,0.03,0,77.55,0.28,0,0
202,,Alessandro Bellemo,0.03,0.03,78.26,0.65,0,0
203,,Daniele Baselli,0.06,0,60,0.83,0,0
204,,Andrés Tello,0.18,0.04,57.58,1,0.07,0
205,,Nicholas Pierini,0.11,0.06,46.34,0.8,0,1.43
206,,Mehdi Dorval,0,0,40,0.12,0,0
207,,Ernesto Torregrossa,0.25,0.04,50,0.96,0,0
208,,Matteo Prati,0.1,0,68.75,1.25,0,0
209,,Liam Kerrigan,0.25,0.25,40,1.5,0,0
210,,Andrea La Mantia,0.15,0.29,25,1.85,0.03,0
211,,Marcos Curado,0,0.03,50,0.73,0,0
212,,Mattia Aramu,0.08,0.12,34.62,1.31,0.04,0
213,,Massimo Bertagnoli,0.08,0.08,66.67,0.54,0,0
214,,Gregorio Luperini,0.14,0.03,53.33,1.2,0,0
215,,Gennaro Borrelli,0.26,0.04,25,1.17,0.13,0
216,,Tommy Maistrello,0.21,0.11,46.15,0.95,0.05,0
217,,Cedric Gondo,0.21,0.09,50,1.59,0,0
218,,Marco Sala,0.04,0,37.5,0.42,0,0
219,,Kristjan Matošević,0,0,0,0,0,0
220,,Francesco Zampano,0.03,0,41.25,0.82,0,0
221,,Lorenzo Dickmann,0.08,0.03,30,0.92,0.06,0
222,,Ionuț Nedelcearu,0,0.03,50,0.25,0,0
223,,Davide Adorni,0,0.03,50,0.31,0,0
224,,Stefan Ilsanker,0,0,0,0.25,0,0
225,,Jesse Joronen,0,0,0,0,0,0
226,,Stefano Moreo,0.11,0.25,44.74,1.5,0.06,0
227,,Florian Ayé,0.22,0.14,53.33,1.7,0.14,0
228,,Daniele Casiraghi,0.06,0.03,43.1,1.03,0,0
229,,Giuseppe Ambrosino,0.11,0.11,53.85,1.58,0,0
230,,Tommaso D'Orazio,0.06,0.13,48.39,1.13,0.06,0
231,,Petko Hristov,0,0,25,0.36,0,0
232,,Niccolò Zanellato,0,0.04,69.57,0.57,0,0
233,,Caleb Ekuban,0.14,0.36,56,2,0,0
234,,César Falletti,0.09,0.06,59.52,1,0,0
235,,Simone Canestrelli,0.12,0.06,0,0.41,0.12,0
236,,Ben Lhassine Kone,0.11,0,63.16,1.11,0,0
237,,Aleandro Rosi,0,0,100,0.33,0,0
238,,Alessandro Selvini,0,0,100,0,0,0
239,,Alexis Ferrante,0,0,0,1,0,0
240,,Federico Santander,0,0,0,2,0,0
241,,Mauro Zárate,0,0,50,2.33,0,0
242,,Bruno Bertinato,0,0,0,0,0,0
243,,Sebastien De Maio,0,0,0,0.6,0,0
244,,Idrissa Touré,0.1,0.03,38.98,0.9,0,0
245,,Valerio Mastrantonio,0.04,0.04,25,0.68,0,0
246,,Woyo Coulibaly,0.06,0.06,68.18,0.5,0,0
247,,Alberto Paleari,0,0,0,0.03,0,0
248,,Giuseppe Sibilli,0.09,0,55.07,1.59,0.03,0
249,,Michael Venturi,0,0.12,60,0.47,0,0
250,,Luca Fiordilino,0,0,60,0.13,0,0
251,,Christos Kourfalidis,0.05,0,50,1.1,0,0
252,,Adrian Benedyczak,0.25,0.06,30,0.88,0.06,0
253,,Michele Marconi,0,0,100,0.5,0,0
254,,Gennaro Tutino,0.14,0.14,55.1,1.17,0,0
255,,Domenico Frare,0,0.04,100,0.29,0,0
256,,Mirco Antenucci,0.28,0.13,34.48,1.5,0.03,3.13
257,,Edoardo Corvi,0,0,0,0,0,0
258,,Giacomo Olzer,0.21,0,50,0.57,0,0
259,,Gaetano Masucci,0.26,0.04,100,0.87,0.04,0
260,,Leonardo Mancuso,0.19,0.13,42.11,1.22,0.03,0
261,,Elias Cobbaut,0,0,0,0.22,0,0
262,,Michaël Cuisance,0.15,0,64.29,0.92,0,0
263,,Mikael Ellertsson,0.13,0.13,66.67,1.06,0,0
264,,Giacomo Ricci,0.05,0,48.65,0.9,0,0
265,,Pietro Martino,0,0,50,0.18,0,0
266,,Matthieu Huard,0,0,62.5,0.23,0,0
267,,Federico Dionisi,0.15,0.06,36.36,1.76,0,0
268,,Davide Diaw,0.34,0.34,42.62,2.34,0.14,0
269,,Samuele Damiani,0,0,75,0.33,0,0
270,,Giannis Fetfatzidis,0.08,0,50,1.54,0,0
271,,Ridgeciano Haps,0.04,0,40,0.83,0,0
272,,Marcin Listkowski,0.08,0,63.16,0.92,0,0
273,,Vincenzo Garofalo,0,0,0,0.33,0,0
274,,Lorenzo Crisetig,0.03,0,52.94,0.31,0,0
275,,Claudio Gomes,0,0,75,0.23,0,0
276,,Francesco Lisi,0.12,0,30.95,1.5,0,0
277,,Davide Bettella,0,0,25,0.42,0,0
278,,Mauro Coppolaro,0,0,77.78,0.24,0,0
279,,Mattia Viviani,0,0,64.29,0.57,0,0
280,,Emanuele Ndoj,0.07,0.04,53.85,1.21,0,0.51
281,,Raffaele Celia,0.14,0,43.33,0.61,0,0
282,,Pedro Mendes,0.13,0.2,33.33,1.53,0,0
283,,Alessandro Di Pardo,0,0,71.43,0.25,0,0
284,,Tommaso Cassandro,0,0.06,54.55,0.89,0,0
285,,Matteo Arena,0,0,80,0.61,0,0
286,,Alexander Jallow,0.05,0,35.29,0.86,0,0
287,,Alessandro Celli,0,0,53.85,0.52,0,0
288,,Abdoulaye Touré,0,0,0,0,0,0
289,,Federico Pace,0,0,100,0.25,0,0
290,,Franco Zuculini,0,0,0,0,0,0
291,,Simone Romagnoli,0,0,0,0.33,0,0
292,,Daniele Donnarumma,0,0,74.07,0.6,0,0
293,,Mirko Antonucci,0.3,0.14,39.42,1.81,0,0
294,,Aurélien Scheidler,0.16,0.16,57.89,1.21,0,0
295,,Karlo Lulić,0,0,75,0.55,0,0
296,,Žan Žužek,0,0,50,0.07,0,0
297,,Vassilis Zagaritis,0,0.08,42.86,0.15,0,0
298,,Michele Camporese,0,0.04,0,0.27,0,0
299,,Alessandro Tripaldelli,0,0,31.82,0.14,0,0
300,,Marco Brescianini,0.08,0,64.44,0.89,0,0
