#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
124,,Yuto Yamada,0.11,0,40,55.93,1.33,0.56
125,,Ataru Esaka,0.03,0,47.37,45.54,0.63,0.43
126,,Hiromu Mitsumaru,0.1,0,49.02,50.7,0.26,1.42
127,,Taiyo Koga,0.06,0,55.46,58.33,0.31,0.34
128,,Daiya Maekawa,0,0,100,90,0.17,0
129,,Kosuke Onose,0.12,0,58.62,54.1,0.96,0.96
130,,Yugo Tatsuta,0.12,0,64.1,66.44,0.77,0.46
131,,Gun-hee Kim,0.13,0,47.06,43.33,0.5,0.63
132,,Tomoaki Makino,0,0,74.42,70.83,0.44,0.5
133,,Marcos Júnior,0.09,0,15,48.28,1.57,0.74
134,,Yasuhito Endo,0.06,0,45,41.32,0.35,0.45
135,,Kota Watanabe,0.08,0,52.94,52.99,0.79,0.67
136,,Riku Matsuda,0.15,0,45.16,53.03,0.67,0.76
137,,Yusuke Maruhashi,0,0,69.23,66.67,1.2,0.4
138,,Tiago Pagnussat,0.07,0.07,74.58,71.76,0.29,0.5
139,,Nassim Ben Khalifa,0.12,0,38.04,41.85,1.28,1.96
140,,Satoshi Tanaka,0.18,0,57.14,60.26,1.88,0.59
141,,Ryota Aoki,0.06,0,27.59,47.59,0.77,0.48
142,,Peter Utaka,0.07,0,37.93,36.82,0.79,0.79
143,,Takumu Kawamura,0,0,66.67,45.07,0.44,0.88
144,,Takuro Kaneko,0.15,0,33.8,43.6,0.96,0.89
145,,Naoyuki Fujita,0.04,0,40.91,47.25,0.31,0.58
146,,Jesiel,0.17,0,60,57.38,0.42,0.58
147,,Riku Morioka,0,0,51.28,53.03,0.23,0.77
148,,Kensuke Nagai,0.06,0,33.85,46.38,0.97,0.67
149,,Koya Yuruki,0.03,0,23.68,39.59,0.56,0.5
150,,Leandro,0.1,0,50,48.46,1.6,0.5
151,,Yuji Takahashi,0.24,0,65.35,58.72,0.41,1.17
152,,Yoshio Koizumi,0.07,0,30.77,51.08,1.07,0.67
153,,Kento Hashimoto,0.11,0,59.09,51.43,0,2
154,,Leo Silva,0.03,0,28.57,56.76,1.33,0.94
155,,Takashi Inui,0.27,0,10,40,1.13,0.93
156,,Kasper Junker,0,0,43.24,41.75,0.57,0.43
157,,Yuito Suzuki,0,0,38.1,38.24,0.65,0.8
158,,Genki Omae,0,0,66.67,51.85,0.31,0.15
159,,Ryo Hatsuse,0.06,0,40,57.47,0.41,0.18
160,,Hiroki Ilkura,0.07,0,100,100,0.29,0
161,,Carlinhos Junior,0.09,0,57.45,47.02,0.59,1.09
162,,Takuma Ominami,0.19,0,59.26,53.77,0.27,0.81
163,,Tsukasa Shiotani,0.12,0.04,55,56.63,0.46,0.46
164,,Yu Kobayashi,0.03,0,48.53,49.59,0.37,0.33
165,,Yuki Kobayashi,0.09,0.03,75.21,68.12,0.31,0.78
166,,Shusaku Nishikawa,0,0,88.24,91.67,0.19,0
167,,Yuki Muto,0,0,4.55,26.67,0.42,0.32
168,,Takuya Shigehiro,0.09,0,31.25,47.76,0.55,0.82
169,,Daiki Suga,0.16,0,66.1,57.14,0.97,0.81
170,,Kazuya Yamamura,0.04,0,56.86,58.23,0.04,0.43
171,,Mutsuki Kato,0,0,37.5,42.05,0.85,0.27
172,,Yusuke Matsuo,0,0,17.39,47.41,0.84,0.56
173,,Tomoya Inukai,0,0,81.82,66.67,0.5,0.33
174,,Shun Nakamura,0.12,0,51.22,45.21,0.27,1.12
