#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
138,,Tiago Pagnussat,0,0.21,0,0,0.71,0
139,,Nassim Ben Khalifa,0,0.04,0,0,0.6,0.08
140,,Satoshi Tanaka,0,0.24,0,0,0.94,0.12
141,,Ryota Aoki,0,0,0,0,1,0.19
142,,Peter Utaka,0,0.1,0,0,0.69,0.24
143,,Takumu Kawamura,0,0,0,0,0.63,0.06
144,,Takuro Kaneko,0,0.15,0,0,1.26,0.26
145,,Naoyuki Fujita,0,0.04,0,0,0.46,0.04
146,,Jesiel,0,0.08,0,0,0.92,0.17
147,,Riku Morioka,0,0.08,0,0,0.77,0.08
148,,Kensuke Nagai,0,0,0,0,0.58,0.09
149,,Koya Yuruki,0,0.03,0,0,0.72,0.06
150,,Leandro,0,0,0,0,0.85,0.05
151,,Yuji Takahashi,0,0.38,0,0,0.66,0.21
152,,Yoshio Koizumi,0,0.04,0,0,0.7,0.07
153,,Kento Hashimoto,0,0.22,0,0,0.67,0.22
154,,Leo Silva,0,0.12,0,0,0.7,0.09
155,,Takashi Inui,0,0,0,0,0.6,0.2
156,,Kasper Junker,0,0.05,0,0,0.81,0.1
157,,Yuito Suzuki,0,0.05,0,0,0.9,0.15
158,,Genki Omae,0,0,0,0,0.38,0.08
159,,Ryo Hatsuse,0,0.06,0,0,1,0.06
160,,Hiroki Ilkura,2.29,0.36,0,0,0.86,0.14
161,,Carlinhos Junior,0,0,0,0,0.68,0.14
162,,Takuma Ominami,0,0.19,0,0,1.15,0.19
163,,Tsukasa Shiotani,0,0.35,0,0,0.92,0.12
164,,Yu Kobayashi,0,0.03,0,0,0.43,0.1
165,,Yuki Kobayashi,0,0.28,0,0,1,0.13
166,,Shusaku Nishikawa,2.44,0.31,0.09,0.03,1.03,0.09
167,,Yuki Muto,0,0,0,0,0.63,0.21
168,,Takuya Shigehiro,0,0,0,0,0.36,0
169,,Daiki Suga,0,0.19,0,0,1.19,0.26
170,,Kazuya Yamamura,0,0.17,0,0,0.7,0.17
171,,Mutsuki Kato,0,0,0,0,0.54,0.04
172,,Yusuke Matsuo,0,0.04,0,0,0.64,0.08
173,,Tomoya Inukai,0,0,0,0,0.67,0
174,,Shun Nakamura,0,0.35,0,0,0.62,0.19
175,,Ryosuke Yamanaka,0,0.17,0,0,0.65,0.09
176,,Naoki Kanuma,0,0,0,0,0.64,0.09
177,,Ryota Oshima,0,0.09,0,0,0.73,0.18
178,,Jin Hyeon Kim,2.64,0.27,0.09,0.03,1,0.12
179,,Shuto Yamamoto,0,0.14,0,0,0.81,0.1
180,,Tatsuki Nara,0,0.32,0,0,0.86,0.23
181,,Akito Fukumori,0,0.1,0,0,0.86,0.1
182,,Hiroki Yamada,0,0,0,0,0.86,0.14
183,,Shohei Takeda,0,0.26,0,0,0.65,0.23
184,,Kazuki Kozuka,0,0,0,0,0.17,0.08
185,,Toshio Shimakawa,0,0.11,0,0,1,0.11
186,,Keisuke Kurokawa,0,0.24,0,0,0.62,0.07
187,,Takuya Ogiwara,0,0.1,0,0,0.62,0.19
188,,Masaki Ikeda,0,0,0,0,0.41,0.05
189,,Mitchell Langerak,2.24,0.39,0.03,0.03,0.82,0.12
190,,Matej Jonjić,0,0.27,0,0,1.04,0.12
191,,Haruki Arai,0,0,0,0,0,0
192,,Henrique Trevisan,0,0.33,0,0,0.5,0
193,,Seiji Kimura,0,0.17,0,0,0,0
194,,Douglas Grolli,0,0.31,0,0,0.85,0.12
195,,Yuki Ohashi,0,0,0,0,0.48,0.04
196,,Yuki Horigome,0,0,0,0,0.69,0.04
197,,Jakub Słowik,2.45,0.42,0.03,0,1.06,0.21
198,,Kosei Tani,2.48,0.32,0.16,0.03,0.94,0.19
