#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
148,,Kensuke Nagai,1.06,0.45,0,0.55,0,0.36
149,,Koya Yuruki,0.41,0.28,0,0.22,0,0.13
150,,Leandro,0.5,0.15,0,0.05,0,0.3
151,,Yuji Takahashi,1.1,2.48,0,3.62,0,0.34
152,,Yoshio Koizumi,1.15,0.59,0,0.15,0,0.56
153,,Kento Hashimoto,2.11,1,0,1.11,0,0.22
154,,Leo Silva,1.73,1.06,0,0.45,0,0.85
155,,Takashi Inui,0.8,0.4,0,0.33,0,0.27
156,,Kasper Junker,0.38,0,0,0.19,0,0.38
157,,Yuito Suzuki,0.65,0.65,0,0.05,0,0.4
158,,Genki Omae,0.08,0.23,0,0.23,0,0.23
159,,Ryo Hatsuse,1.06,0.88,0,0.65,0.06,0.53
160,,Hiroki Ilkura,0,0.07,0,0.64,0.14,0
161,,Carlinhos Junior,1.14,0.77,0,0.68,0,0.45
162,,Takuma Ominami,1.88,1.31,0,1.96,0,0.85
163,,Tsukasa Shiotani,1.81,1.27,0,1.5,0,0.62
164,,Yu Kobayashi,0.4,0.03,0,0.37,0,0.17
165,,Yuki Kobayashi,1.25,1.41,0.03,2.53,0,0.22
166,,Shusaku Nishikawa,0,0,0,0.88,0.03,0
167,,Yuki Muto,0.16,0.05,0,0.05,0,0.16
168,,Takuya Shigehiro,1.45,0.45,0,0.73,0,0.64
169,,Daiki Suga,0.81,0.77,0.03,1.58,0,0.45
170,,Kazuya Yamamura,0.48,1.26,0,2.09,0,0.09
171,,Mutsuki Kato,0.54,0.31,0,0.46,0,0.38
172,,Yusuke Matsuo,0.52,0.04,0,0.2,0,0.2
173,,Tomoya Inukai,0.5,1,0,2,0,0.17
174,,Shun Nakamura,1.15,1.62,0.04,1.38,0,0.54
175,,Ryosuke Yamanaka,1.13,0.57,0.04,0.83,0,0.65
176,,Naoki Kanuma,1.55,1.45,0,1,0,0.64
177,,Ryota Oshima,0.82,0.73,0,0.82,0.09,0.55
178,,Jin Hyeon Kim,0.03,0,0,0.64,0,0.03
179,,Shuto Yamamoto,0.86,1.81,0.05,2.19,0,0.24
180,,Tatsuki Nara,1.32,1.77,0,3.95,0,0.45
181,,Akito Fukumori,0.97,1.28,0.07,1.86,0,0.45
182,,Hiroki Yamada,0.57,0.29,0,0.29,0,0.29
183,,Shohei Takeda,1.42,1.1,0,1.16,0,0.97
184,,Kazuki Kozuka,0.92,0.42,0,0.17,0,0.33
185,,Toshio Shimakawa,1,1.22,0,1.44,0,0.11
186,,Keisuke Kurokawa,1.1,0.55,0,1.79,0,0.41
187,,Takuya Ogiwara,0.81,1.38,0,0.86,0,0.62
188,,Masaki Ikeda,0.41,0.32,0,0.14,0,0.5
189,,Mitchell Langerak,0,0,0,0.64,0,0.06
190,,Matej Jonjić,0.46,1.27,0.04,5,0,0.27
191,,Haruki Arai,1,0,0,0,0,0
192,,Henrique Trevisan,1,1.5,0,3.33,0,0.67
193,,Seiji Kimura,0.17,0.33,0,1.17,0,0
194,,Douglas Grolli,1.69,1.54,0.04,3.73,0,0.5
195,,Yuki Ohashi,0.87,0.17,0,0.39,0,0.17
196,,Yuki Horigome,0.42,0.23,0,0.12,0,0.19
197,,Jakub Słowik,0,0.03,0,0.7,0.03,0.06
198,,Kosei Tani,0.03,0.06,0,1.19,0.1,0.06
199,,Kei Chinen,0.67,0.41,0,0.33,0,0.3
200,,Kazuki Fukai,0.83,1.52,0,1.09,0,0.35
201,,Patric,0.25,0.18,0,1.18,0,0.32
202,,Seok Ho Hwang,0.88,1.68,0,2.96,0,0.44
203,,Min Tae Kim,0.76,0.9,0,2.81,0,0.14
204,,Hisashi Appiah Tawiah,1.12,1.59,0.06,3.47,0,0.41
205,,Douglas Vieira,0.18,0.09,0,0.45,0,0
206,,Koki Tsukagawa,1.1,0.67,0,0.57,0,0.24
207,,Kazuaki Mawatari,0.84,0.79,0,1.37,0,0.16
208,,Temma Matsuda,0.92,0.5,0,0.42,0,0.58
209,,Takuya Kida,1.43,1,0,0.7,0,1.04
210,,Diego Oliveira,0.6,0.1,0,0.8,0,0.17
211,,Takumi Nagaishi,0,0,0,1.38,0,0
212,,Taishi Matsumoto,1.26,0.52,0,0.48,0,0.43
213,,Ryohei Shirasaki,1.32,1.45,0,1.1,0,0.58
214,,Daiya Tono,0.87,0.48,0,0.35,0,0.19
215,,Rikito Inoue,1.25,1.57,0,2.68,0,0.43
216,,Keigo Higashi,1.17,1.63,0,1.21,0,0.58
217,,Rikuto Hirose,1.6,0.55,0,1.7,0,0.35
218,,Yan Matheus,0.2,0.2,0,0,0,0.2
219,,Eiichi Katayama,1.42,0.97,0,1.77,0,0.42
