#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
169,,Daiki Suga,0.13,0.03,69.57,1.74,0,0
170,,Kazuya Yamamura,0.04,0,83.33,0.17,0.04,0
171,,Mutsuki Kato,0.23,0.15,33.33,2.08,0.08,0
172,,Yusuke Matsuo,0.16,0.28,53.06,1.88,0,0
173,,Tomoya Inukai,0.17,0,100,0.33,0.17,0
174,,Shun Nakamura,0.04,0,57.14,0.58,0,3.85
175,,Ryosuke Yamanaka,0,0,36.36,0.78,0,0
176,,Naoki Kanuma,0.18,0,33.33,0.36,0.09,0
177,,Ryota Oshima,0.09,0,66.67,0.64,0,0
178,,Jin Hyeon Kim,0,0,100,0,0,0
179,,Shuto Yamamoto,0.1,0.05,80,0.43,0.1,0
180,,Tatsuki Nara,0,0.05,100,0.41,0,0
181,,Akito Fukumori,0.03,0.03,71.43,0.69,0,0.34
182,,Hiroki Yamada,0,0,50,1.14,0,0
183,,Shohei Takeda,0.03,0,62.5,0.74,0,0
184,,Kazuki Kozuka,0,0,50,0.25,0,0
185,,Toshio Shimakawa,0,0,0,0,0,0
186,,Keisuke Kurokawa,0.07,0.03,48.48,0.55,0,0
187,,Takuya Ogiwara,0.1,0,55.77,0.86,0,0
188,,Masaki Ikeda,0.14,0,57.14,1.09,0.05,0
189,,Mitchell Langerak,0,0,0,0,0,0
190,,Matej Jonjić,0.04,0,100,0.42,0.04,0
191,,Haruki Arai,0,0,0,1,0,0
192,,Henrique Trevisan,0,0.17,100,1.17,0,0
193,,Seiji Kimura,0,0,0,0,0,0
194,,Douglas Grolli,0,0.04,100,0.46,0,0
195,,Yuki Ohashi,0.09,0.17,28.57,1.61,0.09,0
196,,Yuki Horigome,0.12,0,46.15,1,0,1.28
197,,Jakub Słowik,0,0,100,0,0,0
198,,Kosei Tani,0,0,100,0,0,0
199,,Kei Chinen,0.26,0.11,53.33,1.63,0.11,0
200,,Kazuki Fukai,0.09,0.04,58.33,0.43,0,0
201,,Patric,0.18,0.29,11.11,1.14,0,0
202,,Seok Ho Hwang,0.16,0.04,63.64,0.28,0.12,0
203,,Min Tae Kim,0.05,0,0,0.38,0.05,0
204,,Hisashi Appiah Tawiah,0,0,71.43,0.35,0,0
205,,Douglas Vieira,0.27,0.27,42.86,1.45,0,0
206,,Koki Tsukagawa,0.1,0.05,53.85,0.52,0.05,0
207,,Kazuaki Mawatari,0.05,0.05,56.25,0.84,0,0
208,,Temma Matsuda,0.04,0.08,61.11,0.42,0,0
209,,Takuya Kida,0,0.04,50,0.65,0,0
210,,Diego Oliveira,0.1,0.1,48.98,1.13,0,0
211,,Takumi Nagaishi,0,0,0,0,0,0
212,,Taishi Matsumoto,0.13,0,0,0.65,0,0
213,,Ryohei Shirasaki,0.1,0.06,39.29,0.84,0,0
214,,Daiya Tono,0.06,0.03,60,1.03,0,0
215,,Rikito Inoue,0.04,0.04,66.67,0.46,0.04,0
216,,Keigo Higashi,0,0,77.78,0.21,0,0
217,,Rikuto Hirose,0,0,48.28,0.25,0,0
218,,Yan Matheus,0.2,0,50,0.4,0,0
219,,Eiichi Katayama,0.06,0.06,58.62,0.74,0,0
220,,Masaya Matsumoto,0,0,56.25,0.61,0,0
221,,Tomoya Koyamatsu,0.12,0.21,44.68,1.12,0.03,0
222,,Tomoaki Okubo,0.04,0.09,58.73,1.17,0,0
223,,Fuchi Honda,0.21,0.13,56,1.46,0.08,0
224,,Tetsuya Chinen,0.11,0.11,0,0.44,0,0
225,,Tomoya Fujii,0.04,0,47.62,0.96,0,0
226,,Mao Hosoya,0.24,0.21,45.83,1.55,0,0
227,,Wataru Harada,0,0,60.71,0.7,0,0
228,,Yoshiaki Komai,0.1,0.03,41.18,0.77,0.06,0
229,,Leandro Pereira,0.17,0.09,70,1.26,0.09,0
230,,Leo Osaki,0,0.04,50,0.52,0,0
231,,Takahiro Yanagi,0,0,42.86,0.31,0,0
232,,Seiya Maikuma,0.11,0.18,35.29,0.86,0.04,0
233,,Takuma Arano,0.03,0.1,42.31,0.31,0.03,0
234,,Shuto Abe,0.13,0.13,50,0.73,0.07,0
235,,Tarik Elyounoussi,0.03,0.16,52,1.1,0,0
236,,Kamiya Yuta,0.05,0.05,48.15,0.86,0,0
237,,Ricardo Graça,0,0.05,33.33,0.27,0,0
238,,Yuki Nogami,0.04,0.08,28.57,0.44,0.04,0
239,,Ryuya Nishio,0,0,0,0.42,0,0
240,,Koki Tachi,0,0.08,69.23,0.2,0,0
241,,Sun Tae Kwoun,0,0,0,0,0,0
242,,David Moberg Karlsson,0.4,0.2,26.67,1.75,0,1
243,,Jun Nishikawa,0.07,0.14,88.89,0.79,0,0
244,,Yuta Koike,0.13,0,0,0.5,0.13,0
245,,Tetsushi Yamakawa,0.04,0,34.62,0.21,0,0
246,,Shun Ayukawa,0.33,0.33,0,1,0,0
247,,Musashi Suzuki,0.11,0.11,20,1.56,0,0
248,,Alan Cariús,0,0,100,3,0,0
249,,Keita Nakano,0,0,0,0.5,0,0
250,,Junya Suzuki,0,0,0,0.25,0,0
251,,Kei Ishikawa,0,0,0,0,0,0
252,,Yoshinori Muto,0.23,0.5,46.81,2,0.15,0
253,,Yuji Ono,0.08,0,41.67,0.85,0,0
254,,Takuji Yonemoto,0,0,57.14,0.37,0,0
255,,Leandro Damião,0.22,0.35,33.33,1.61,0.09,0
256,,Ryo Takeuchi,0,0,0,0.09,0,0
257,,Hiroto Yamami,0.1,0,21.43,1.67,0.1,0
258,,Takahiro Akimoto,0,0.23,45.45,1.19,0,0
259,,Hiroki Sakai,0,0.05,66.67,0.65,0,0
260,,Takaaki Shichi,0,0,38.1,0.24,0,0
261,,Teruki Hara,0,0.04,60,0.32,0,0
262,,Shinzo Koroki,0.24,0.29,92.31,1,0,0
263,,Kaito Mori,0.27,0.2,60,0.73,0,0
264,,Masato Sasaki,0,0,100,0,0,0
265,,Hiroki Miyazawa,0.12,0,62.5,0.4,0.04,0
266,,Kai Shibato,0.08,0,60,0.38,0.08,0
267,,Yuki Kakita,0.21,0.11,35.71,1.11,0.04,0
268,,Satoki Uejo,0.11,0.06,60,1.17,0,0
269,,Kaina Yoshio,0.11,0,55.56,1.22,0,0
270,,Ryota Nagaki,0,0.06,66.67,0.83,0,0
271,,Shinnosuke Hatanaka,0,0,100,0.06,0,0
272,,Kosuke Yamamoto,0,0,45,0.11,0,0
273,,Fumiya Unoki,0,0,0,0.75,0,0
274,,Chanathip Songkrasin,0,0.06,75,0.38,0,0
275,,Hotaka Nakamura,0,0,27.78,0.14,0,0
276,,Kazuki Oiwa,0,0.06,0,0.39,0,0
277,,Kenyu Sugimoto,0.03,0.07,71.43,1.33,0,0
278,,Ryo Miyaichi,0.2,0.33,50,1,0,0
279,,Se-hun Oh,0.08,0.23,100,1.46,0,0
280,,Shunki Higashi,0,0.05,80,0.95,0,0
281,,Akimi Barada,0,0.06,40,0.84,0,0
282,,Hikaru Nakahara,0.04,0.07,55.56,0.74,0,0
283,,Shota Kaneko,0.13,0.09,66.67,0.74,0,0
284,,Ryo Takahashi,0,0,48,0.38,0,0
285,,Joel Chima Fujita,0.03,0,50,0.52,0,0
286,,Sachiro Toshima,0.08,0.04,53.33,0.58,0,0
287,,Yoichi Naganuma,0.06,0.06,59.26,0.81,0,0
288,,Júnior Santos,0.09,0.23,59.38,2.36,0,0
289,,Naoki Yamada,0,0.1,60,0.52,0,0
290,,Dodi,0.03,0,60.53,0.72,0,0
291,,Ryosuke Shindo,0.29,0,66.67,0.43,0.29,0
292,,Yota Sato,0,0,0,0.5,0,0
293,,Kazuki Nagasawa,0,0,0,0.75,0,0
294,,Masato Yuzawa,0,0.04,47.83,0.19,0,0
295,,Yuta Matsumura,0.08,0,43.48,0.75,0,0
296,,Yuta Toyokawa,0.09,0.09,42.86,1.45,0,0
297,,Yuki Otsu,0.12,0.12,50,1.04,0.04,0
298,,Luiz Phellype,0.17,0.08,50,1.25,0,0
299,,Hiroto Yamada,0.2,0.15,50,1.15,0,0
300,,Shintaro Nago,0,0.2,33.33,0.6,0,0
301,,Toshihiro Aoyama,0,0,0,0.13,0,0
302,,Daiju Sasaki,0,0.11,33.33,0.68,0,0
303,,Ryu Takao,0,0,50,0.12,0,0
304,,Yusuke Segawa,0.09,0.19,39.02,2.34,0.03,0
305,,Kosuke Taketomi,0.12,0.28,73.91,1.16,0.08,0
306,,Yusuke Chajima,0.14,0,20,1,0.14,0
307,,Hirotaka Tameda,0,0.07,38.89,0.86,0,0
308,,Wellington,0.07,0.11,26.67,0.78,0.07,0
309,,Kentaro Oi,0,0,75,0.52,0,0
310,,Mitsuki Saito,0.08,0.08,61.9,0.46,0,0
311,,Keiya Sento,0.06,0.12,58.33,0.76,0,0
312,,Itsuki Someno,0.08,0,33.33,0.5,0.08,0
313,,Kotaro Omori,0.08,0,69.44,0.32,0,0
314,,Shinya Nakano,0.05,0,26.67,0.32,0,0
315,,Jean Patric,0.18,0.07,46.88,1.32,0.07,0
316,,Ryoya Morishita,0.03,0.13,53.57,0.47,0,0
317,,Blessing Eleke,0.25,0,20,0.75,0,0
318,,Keiya Shiihashi,0.03,0.06,75,0.84,0,0
319,,Everaldo,0.26,0.11,33.33,0.95,0,0
320,,Yuya Fukuda,0.13,0,54.55,0.6,0,0
321,,Takumi Miyayoshi,0.13,0,50,0.27,0,0
322,,Takuto Hayashi,0,0,0,0,0,0
323,,Bruno Mendes,0.14,0.05,47.06,1.27,0.05,0
324,,Keita Nakamura,0,0.17,58.33,0.42,0,0
325,,Hiroyuki Abe,0.14,0.07,37.5,0.79,0,0
326,,Masaaki Murakami,0,0,0,0,0,0
327,,Ryogo Yamasaki,0.07,0.07,44.44,1.33,0,0
328,,Yuta Miyamoto,0,0,27.27,0.47,0,0
329,,Yuji Kitajima,0,0,63.64,0.33,0,0
330,,Takuya Aoki,0,0,40,0.33,0,0
331,,Takuto Kato,0,0,100,0.27,0,0
332,,Kosuke Shirai,0,0.06,40,0.21,0,0
333,,Takahiro Ogihara,0,0,83.33,0.33,0,0
334,,Kazuya Konno,0.07,0.03,39.53,0.8,0,0
335,,Shu Kurata,0,0,50,1,0,0
336,,Takuya Uchida,0,0,54.55,0.37,0,0
337,,Juan Alano,0.09,0,26.09,1.09,0.04,0
338,,Shimpei Fukuoka,0,0.14,61.54,0.61,0,0
339,,Hideki Ishige,0,0.05,36.36,0.6,0,0
340,,Koki Anzai,0,0,44.78,0.52,0,0
341,,Itsuki Oda,0,0,0,0.5,0,0
342,,Oliver Kamdem,0,0,100,0.33,0,0
343,,Alexei Koşelev,0,0,0,0,0,0
344,,Stefan Mugoša,0,0,100,0.8,0,0
345,,Shota Fukuoka,0,0.09,50,0.27,0,0
346,,Yu Funabashi,0,0,50,0.08,0,0
347,,Ryuji Izumi,0.03,0,64.29,0.77,0,0
348,,Taichi Kikuchi,0,0,51.85,0.59,0,0
349,,Daiki Kaneko,0.05,0,57.14,0.27,0,0
350,,Adam Taggart,0.25,0.2,60,1.8,0.05,0
351,,Mahiro Yoshinaga,0.06,0,75,0.5,0,0
352,,Bojan Krkic,0,0,53.85,1,0,0
353,,Yota Maejima,0.04,0,25,0.17,0,0
354,,Ayumu Ohata,0,0,36.36,0.09,0,0
355,,Isa Sakamoto,0.11,0,58.33,0.67,0,0
356,,Yuichi Hirano,0,0,100,0.22,0,0
357,,Shoma Doi,0.04,0.09,66.67,0.48,0,0
358,,Yusuke Goto,0,0,72.73,0.73,0,0
359,,Ten Miyagi,0.05,0.15,50,1.05,0,0
360,,Taiyo Hiraoka,0,0.08,50,1,0,0
361,,Sung-Ryong Jung,0,0,0,0,0,0
362,,Tatsuya Tanaka,0.04,0,54.55,0.54,0.04,0
363,,Kentaro Moriya,0,0,0,0.33,0,0
364,,Naoki Kawaguchi,0,0.05,41.18,0.43,0,0
365,,Lukian,0.09,0.24,46.55,1.44,0.03,0
366,,Nanasei Iino,0.04,0.08,42.86,1.13,0.04,0
367,,Kota Miyamoto,0,0.1,54.55,0.35,0,0
368,,Taiga Hata,0,0,30,0.28,0,0
369,,Hidekazu Otani,0,0,0,0,0,0
370,,Hidetaka Maie,0,0,100,1.4,0,0
371,,Norimichi Yamamoto,0.04,0,50,0.21,0,0
372,,Hayato Nakama,0.11,0.11,40,1.05,0.05,0
373,,Wellington Silva,0.08,0.08,66.67,0.17,0,0
374,,Yuki Kajiura,0,0,0,0,0,0
375,,Hirokazu Ishihara,0,0.03,38.71,0.63,0,0
376,,Koya Kitagawa,0.1,0,50,0.9,0,0
377,,Riku Yamane,0,0,0,0.27,0,0
378,,Sotan Tanabe,0,0,54.55,0.14,0,0
379,,Yosuke Furukawa,0.14,0.14,50,0.57,0,0
380,,Shion Inoue,0,0,33.33,0.43,0,0
381,,Yuta Taki,0,0,50,0.44,0,0
382,,Yoichiro Kakitani,0,0.1,57.14,0.9,0,0
383,,Hirotaka Mita,0,0,36.36,0.38,0,0
