#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
138,,Rudy Boulais,0,0,0,0,0,0
139,,Yvan Neyou,0,0,75,0,0,0
140,,Lamine Sy,0,0,0,0.5,0,0
141,,Nathan Falconnier,0,0,0,0,0,0
142,,Boubacar Traoré,0,0,60,1.33,0,0
143,,Zakaria Diallo,0,0,100,0.5,0,0
144,,Maxime Sivis,0.05,0.05,34.78,0.36,0.05,0
145,,Kevin Van Den Kerkhof,0.13,0.03,40.91,1.5,0,0.33
146,,Anton Saletros,0.07,0,36.36,0.67,0,0
147,,Marvin Baudry,0.07,0,50,0.57,0.03,0
148,,Lionel M'Pasi,0,0,0,0,0,0
149,,Malik Tchokounté,0.34,0.13,53.66,1.5,0.13,0
150,,Jens Jakob Thomasen,0.09,0,50,0.57,0,0
151,,Antoine Leautey,0.11,0.08,49.57,1.03,0,0
152,,Mamady Bangré,0.24,0.03,48.11,1.24,0,0
153,,Lucas Dias,0,0,0,0,0,0
154,,Dennis Appiah,0,0,62.5,0.26,0,0
155,,Mamadou Fofana,0.08,0.03,53.26,1.19,0,0
156,,Serge-Philippe Raux-Yao,0.03,0,92.86,0.37,0,0
157,,Djibril Diani,0.04,0.04,62.5,0.71,0.04,0
158,,Khalid Boutaïb,0.13,0.33,61.54,1.27,0,0
159,,Johaneko Louis Jean,0,0,54.55,0.13,0,0
160,,Leo Petrot,0.03,0,80,0.38,0,0
161,,Cheick Tidiane Sabaly,0.11,0.14,53.49,1.36,0,0
162,,Didier N'Dong,0,0,62.5,0.11,0,0
163,,Garland Gbelle,0.05,0.03,63.04,1.08,0.03,0
164,,Benoît Poulain,0.05,0.05,100,0.5,0.05,0
165,,Zargo Touré,0.06,0.03,60,0.19,0.03,0
166,,Ismaël Traoré,0,0.07,40,0.27,0,0
167,,Ousmane Kanté,0,0,75,0.25,0,0
168,,Gaëtan Charbonnier,0.43,0.43,0,2.14,0,0
169,,Allan Tchaptchet,0.04,0,60,0.17,0,0
170,,Killian Corredor,0.16,0.16,51.14,2.08,0,0
171,,Eddy Sylvestre,0.03,0,55.22,0.76,0,0
172,,Issa Soumaré,0.16,0.18,44.57,1.37,0.03,0
173,,Senou Coulibaly,0,0,44.44,0.19,0,0
174,,Loup Gueho,0.14,0,100,0.14,0,0
175,,Brahim Traoré,0,0,100,0,0,0
176,,Plamedi Buni Jorge,0,0,75,0,0,0
177,,Aymen Abdennour,0,0,100,0.14,0,0
178,,Saïdou Sow,0,0.04,70,0.32,0,0
179,,Enzo Basilio,0,0,0,0,0,0
180,,Julien López,0.19,0.13,38.71,1.06,0,0
181,,Florian Escales,0,0,100,0,0,0
182,,Jean Ruiz,0,0.03,62.5,0.28,0,0
183,,Jason Berthomier,0.1,0,58.82,0.4,0.05,0
184,,Kalidou Sidibé,0.03,0.03,63.16,0.84,0,0
185,,Dilane Bakwa,0.14,0.14,44.53,1.54,0,0
186,,Louis Mafouta,0.32,0.38,57.14,1.94,0.03,0
187,,Quentin Lecoeuche,0,0,28.57,0.19,0,0
188,,Clément Depres,0.21,0.09,60,0.97,0.12,0
189,,Lorenzo Rajot,0.06,0.06,41.46,1.06,0,0
190,,Dion Moise Sahi,0.42,0.28,51.79,1.44,0,0
191,,Jules Gaudin,0.07,0.03,54.84,0.48,0,0
192,,Fransérgio,0.11,0.06,60.87,1.46,0.03,0
193,,Hugo Vandermersch,0.03,0,37.5,0.56,0,0
194,,Mateo Degrumelle,0,0,100,0.5,0,0
195,,Byani Mpata Lama,0,0,33.33,0,0,0
196,,Steeve Beusnard,0.05,0,64.06,0.7,0,0
197,,Dominique Guidi,0.07,0.14,57.14,0.71,0.07,0
198,,Danley Jean Jacques,0,0.1,61.54,0.94,0,0
199,,Bissenty Mendy,0,0,50,0.17,0,0
200,,Lamine Gueye,0.1,0.17,52.08,1.28,0,0
201,,Emmanuel Ntim,0.09,0,53.85,0.48,0.04,0
202,,Clément Michelin,0,0,66.67,0.13,0,0
203,,Dominique Youfeigane,0,0,0,0,0,0
204,,Ahmed Kashi,0.06,0,50,0.87,0,0
205,,Franck Bambock,0.03,0,71.43,0.69,0,0
206,,Tristan Muyumba,0,0.14,58.93,0.74,0,0
207,,Sam Sanna,0.05,0,58.82,0.48,0,0
208,,Nicholas Opoku,0,0,87.5,0.21,0,0
209,,Jonathan Buatu-Mananga,0.08,0.17,60,0.5,0.08,0
210,,Thomas Callens,0,0,0,0,0,0
211,,Terence Kongolo,0,0,66.67,0.07,0,0
212,,Rafiki Saïd,0.3,0.03,43.36,1.97,0,0
213,,Yvann Maçon,0.1,0.1,57.32,1.03,0,0
214,,Yanis Begraoui,0.5,0.56,42.25,2.28,0,0
215,,Victor Lobry,0.03,0,50.91,1.06,0,0
216,,Dylan Louiserre,0.03,0,50,0.79,0,0
217,,Joseph Lopy,0,0,50,0.5,0,0
218,,Donatien Gomis,0.05,0.05,83.33,0.41,0.05,0
219,,Adolphe Teikeu,0,0,50,0.27,0,0
220,,Zuriko Davitashvili,0.17,0,41.3,1.17,0,0
221,,Mehdi Merghem,0.08,0.17,69.7,1.33,0,0
222,,Jordy Gaspar,0.04,0,47.06,0.23,0,0
223,,Mathieu Michel,0,0,0,0,0,0
224,,Lucas Deaux,0,0.11,0,0.56,0,0
225,,Adama Fofana,0,0,69.09,0.25,0,0
226,,Guy-Marcelin Kilama,0,0.03,76.92,0.28,0,0
227,,Lloyd Palun,0.06,0,66.67,0.24,0.06,0
228,,Moussa Sylla,0,0.23,42.86,1.08,0,0
