#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
130,,Alexandre Oukidja,0,0,19.32,61.34,0.74,37.72
131,,Florent Hanin,0.16,0.08,37.88,83.21,6.72,47.14
132,,Papiss Demba Cissé,0.07,0.07,17.57,69.83,4.97,55.17
133,,Junior Mwanga,0.12,0.03,45.33,88.5,4.67,60.63
134,,Tolu Arokodare,0,0,18.3,71.86,5.15,84.62
135,,Baptiste Roux,0.04,0,56.74,84.14,5.07,49.51
136,,Ibrahim Sissoko,0.14,0.11,13.91,71.46,3.74,43.75
137,,Xavier Kouassi,0.06,0.06,51.69,89.25,2.53,55.6
138,,Rudy Boulais,0,0,18,55.56,0,27.27
139,,Yvan Neyou,0,0,48.5,90.72,9,87.5
140,,Lamine Sy,0,0,33.5,91.04,11,66.67
141,,Nathan Falconnier,0,0,8,81.25,0.5,0
142,,Boubacar Traoré,0,0,38.33,84.35,7.67,45.45
143,,Zakaria Diallo,0,0,45,90.56,4,69.23
144,,Maxime Sivis,0.09,0,36.59,74.66,6.14,32.05
145,,Kevin Van Den Kerkhof,0.29,0.18,24.26,69.96,5,30.43
146,,Anton Saletros,0.13,0.07,29.8,82.55,8.73,46.15
147,,Marvin Baudry,0.07,0.07,40.33,80.66,3.3,51.81
148,,Lionel M'Pasi,0,0,25.77,60.75,1.31,47.12
149,,Malik Tchokounté,0.05,0.11,17.5,68.27,4.11,40
150,,Jens Jakob Thomasen,0,0.09,32.22,86.5,4.17,65.71
151,,Antoine Leautey,0.28,0.17,29.11,82.54,10.31,63.64
152,,Mamady Bangré,0.11,0.14,15.38,79.61,5.05,54.76
153,,Lucas Dias,0,0,23.71,69.88,0.29,41.67
154,,Dennis Appiah,0.05,0.05,45.16,81.24,7.16,37.14
155,,Mamadou Fofana,0.17,0.11,34.25,81.83,8.72,59.43
156,,Serge-Philippe Raux-Yao,0,0.03,41.97,81.97,4.37,52.38
157,,Djibril Diani,0.04,0,33.07,87.8,4.5,58.67
158,,Khalid Boutaïb,0.27,0.27,20.2,74.92,5.13,46.67
159,,Johaneko Louis Jean,0,0,20.75,81.93,3.63,33.33
160,,Leo Petrot,0.1,0.1,47.97,83.11,4.38,43.41
161,,Cheick Tidiane Sabaly,0.21,0.07,22.96,80.25,7.29,60
162,,Didier N'Dong,0,0,53.43,89.91,5.07,61.15
163,,Garland Gbelle,0.14,0.11,27.41,73.67,5.95,46.01
164,,Benoît Poulain,0.05,0,46.65,83.82,2.15,50.39
165,,Zargo Touré,0.06,0.06,50.13,85.26,2.48,51.74
166,,Ismaël Traoré,0.03,0.03,47.53,91.23,1.33,53.79
167,,Ousmane Kanté,0.08,0.08,41.08,88.03,1.17,52.94
168,,Gaëtan Charbonnier,0,0.14,15.86,74.77,5.29,71.43
169,,Allan Tchaptchet,0.04,0,44.46,81.26,2.04,33.56
170,,Killian Corredor,0.05,0.05,17.08,77.69,5.68,66.67
171,,Eddy Sylvestre,0.26,0.09,28.97,79.9,7.44,47.62
172,,Issa Soumaré,0.18,0.13,28.11,69.29,7.55,46.67
173,,Senou Coulibaly,0.04,0,40.93,85.43,2.48,49.61
174,,Loup Gueho,0,0,21.29,80.54,1,63.64
175,,Brahim Traoré,0,0,56,90.48,7.67,77.78
176,,Plamedi Buni Jorge,0,0,11,72.73,2.33,60
177,,Aymen Abdennour,0,0,32.43,82.82,1.29,60.42
178,,Saïdou Sow,0.04,0,45.44,83.71,3.2,51.55
179,,Enzo Basilio,0,0,22.11,61.93,0.69,44.49
180,,Julien López,0.13,0.06,20.61,81.06,6.87,55.56
181,,Florian Escales,0,0,31.18,51.32,1.68,32.21
182,,Jean Ruiz,0.03,0,53.03,81.25,3.69,43.49
183,,Jason Berthomier,0.2,0,42.8,85.05,9.35,62.67
184,,Kalidou Sidibé,0.13,0.13,31.22,76.08,5.59,41.12
185,,Dilane Bakwa,0.2,0.2,16.46,75.35,5.57,45.45
186,,Louis Mafouta,0.15,0.12,20.71,73.44,4.91,62.96
187,,Quentin Lecoeuche,0.23,0.13,38.42,73.3,6.13,30.77
188,,Clément Depres,0.06,0.09,10.85,57.99,2.59,50
189,,Lorenzo Rajot,0.15,0.12,37.64,77.13,8.24,50.54
190,,Dion Moise Sahi,0.08,0.03,12.11,66.74,3.28,65
191,,Jules Gaudin,0.07,0.1,29.14,73.49,4.52,43.7
192,,Fransérgio,0.06,0.03,43.17,80.81,7.23,50.33
193,,Hugo Vandermersch,0.18,0.06,38.82,78.26,8.91,45.39
194,,Mateo Degrumelle,0,0,10,80,2.5,50
195,,Byani Mpata Lama,0,0,26.5,69.81,2.5,37.5
196,,Steeve Beusnard,0.05,0.05,39.76,87.22,7.95,65.36
197,,Dominique Guidi,0.04,0.04,39.89,75.56,3.11,44.86
198,,Danley Jean Jacques,0.1,0.06,33.52,80.17,6.71,42.52
199,,Bissenty Mendy,0.04,0,41.74,79.06,2.48,38
200,,Lamine Gueye,0.21,0.07,19.17,74.46,3.76,61.54
201,,Emmanuel Ntim,0,0,49.48,81.9,4.39,45.76
202,,Clément Michelin,0.09,0.13,20.57,78.86,3.7,38.71
203,,Dominique Youfeigane,0,0,25,45.33,1,31.03
204,,Ahmed Kashi,0.06,0.03,47.29,82.61,5.65,55.93
205,,Franck Bambock,0.07,0.03,41.34,82.4,5.52,48.59
206,,Tristan Muyumba,0.09,0.06,40.54,86.61,7.77,66.33
207,,Sam Sanna,0.05,0,28.95,79.93,6.9,50
208,,Nicholas Opoku,0.09,0.03,45.21,84.19,2.62,48.52
209,,Jonathan Buatu-Mananga,0,0,43.5,87.93,1.42,39.22
210,,Thomas Callens,0,0,27.5,56.36,1.25,36
211,,Terence Kongolo,0.07,0,46.79,86.26,2.5,34.72
212,,Rafiki Saïd,0.2,0.1,19.2,75.87,4.97,50
213,,Yvann Maçon,0.27,0.07,42.63,80.45,8.37,57.69
214,,Yanis Begraoui,0.11,0,22.61,72.24,5.72,57.14
215,,Victor Lobry,0.14,0.06,26.64,81.75,7.81,62.79
216,,Dylan Louiserre,0.03,0.03,47.91,85.02,7.35,56
217,,Joseph Lopy,0.19,0.25,43.81,86.59,4.06,61.02
218,,Donatien Gomis,0,0,47.36,83.11,2.91,43.41
219,,Adolphe Teikeu,0.09,0,46.82,80.39,4.64,41.77
220,,Zuriko Davitashvili,0.24,0.07,17.9,78.81,5.55,50
221,,Mehdi Merghem,0.08,0,21.5,80.23,4.75,66.67
222,,Jordy Gaspar,0.08,0.04,35.81,76.15,4.42,29.7
223,,Mathieu Michel,0,0,30.45,65.47,1.09,41.23
224,,Lucas Deaux,0.22,0,12.22,79.09,2.11,77.78
225,,Adama Fofana,0.04,0,42.5,77.06,6.83,33.1
226,,Guy-Marcelin Kilama,0,0,42.63,86.29,1.31,48.13
227,,Lloyd Palun,0,0,35.47,77.61,4.71,38.1
228,,Moussa Sylla,0.08,0.15,9.85,64.06,2.31,50
229,,Lamine Fomba,0.06,0.06,39.76,83.65,5.59,55.42
230,,Regis Gurtner,0,0,20.08,67.37,0.76,47.07
231,,Maxime Do Couto,0.3,0.05,12.3,76.02,3.75,55
232,,Bryan Goncalves,0,0,46.54,76.45,5.42,44.03
233,,Allan Linguet,0,0.03,31,77.52,5.64,36.67
234,,Yohan Tavares,0,0,38.59,86.28,1.29,49.65
235,,Mahamadou Doucouré,0.33,0.33,3.33,90,1.33,0
236,,Loïc Nestor,0.07,0.07,35,85.51,2.5,54.43
237,,Nicolas Delpech,0,0,24,87.5,4,50
238,,Nassim Chadli,0,0,6,75,1,0
239,,Malcolm Viltard,0,0,40,93.75,2,71.43
240,,Axel Bamba,0,0,6,72.22,0,100
241,,Jocelyn Janneh,0,0,21.75,82.76,2.5,42.86
242,,Till Cissokho,0,0,43.42,84.64,3.06,57.87
243,,Zakaria Naidji,0.16,0.06,16.88,77.41,5.22,56.52
244,,Steve Shamal,0.25,0.16,23.03,71.37,7,47.5
245,,Amine El Ouazzani,0.13,0.09,15.22,69.71,3.96,27.27
246,,Mathis Riou,0,0,46.74,84.8,2.89,47.68
247,,Axel Ngando,0.11,0.05,31.74,86.4,7.53,72.92
248,,Matthias Phaeton,0.16,0.05,17.11,78.04,5.51,76.19
249,,Quentin Boisgard,0.22,0.11,24.5,78.68,8.06,52
250,,Manuel Perez,0,0.11,33.56,81.13,4,59.46
251,,Arial Mendy,0,0,44.88,86.63,5,70.83
252,,Rassoul Ndiaye,0.1,0.03,41.16,87.93,9.06,60.98
253,,Moataz Zemzemi,0.07,0.03,40.1,86.45,6.43,70
254,,Mathis Lachuer,0,0.04,18.7,80.93,4.35,48.89
255,,Julien Masson,0,0.05,27.29,76.09,3.81,43.84
256,,Vincent Pajot,0.06,0.06,28.03,77.91,6.35,41.27
257,,Christopher Rocchia,0.08,0,43.92,80.46,6.33,33.96
258,,Ibrahima Wadji,0.1,0.07,9.07,79.78,3.8,80
259,,Aimen Moueffek,0.13,0.04,24.04,85.9,5.13,77.27
260,,Johny Placide,0,0,26.91,68.02,1.39,39.74
261,,Ibrahima Sory Conté,0,0.05,40.48,82.82,1.67,37.5
262,,Jimmy Roye,0.11,0.06,36.5,78.23,6.5,56.1
263,,Kouadio Dabila,0,0,60.1,88.85,2.3,52.56
264,,Jimmy Giraudon,0,0,53.06,90.93,1.75,67.35
265,,Janis Antiste,0.07,0,23.5,73.86,7.43,58.33
266,,Anthony Mandrea,0,0,23.35,64.93,0.97,39.07
267,,Issouf Sissokho,0,0,22.57,90.19,4.86,44.44
268,,Yasser Balde,0.06,0.06,38.35,80.21,3.41,42.61
269,,Kevin Testud,0.14,0.11,14.81,52.74,3.24,31.58
270,,Paul Lasne,0.11,0,38.39,85.58,6.64,56.73
271,,Anthony Gonçalves,0.06,0.06,31.06,70.02,5.75,29.74
272,,Charles Boli,0.07,0.04,13.29,83.06,3.71,60.71
273,,Gaël Kakuta,0.19,0.1,29.52,73.39,10.95,54.17
274,,Pape Meissa Ba,0.2,0.14,15.86,70.81,4.2,57.69
275,,Florian Bohnert,0.06,0,19.33,68.97,4.33,35.71
276,,Abdallah Ndour,0.07,0.04,43.52,84.51,6.59,34.15
277,,Geoffray Durbant,0.09,0.09,9.79,67.18,2.58,61.54
278,,Josué Casimir,0.18,0.06,20.59,76.57,6.06,48.57
279,,Bryan Soumaré,0.21,0.16,22.03,75.15,6.66,63.64
280,,Mayron George,0,0.08,5.88,67.32,1.62,50
281,,Yohan Demoncy,0.22,0.26,41.59,77.29,10.7,51.11
282,,Valentin Henry,0.29,0.06,35.82,76.35,6,43.22
283,,Jonathan Iglesias,0.03,0,35.79,88.05,6.28,79.17
284,,Marvin de Lima,0,0,6.86,75,1.29,66.67
285,,Baptiste Reynet,0,0,23.37,64.06,0.63,36.3
286,,Benjamin Jeannot,0.13,0,8.69,76.26,2.94,58.33
287,,Kapitbafan Djoco,0.05,0,14.25,70.53,5.45,57.14
288,,Nasser Djiga,0,0,50.29,90.34,1.52,63.87
289,,Pierre-Yves Hamel,0.06,0,10.88,67.03,2.29,0
290,,Ronny Labonne,0.09,0.03,29.59,75.61,3.94,40
291,,Adil Aouchiche,0,0,25.5,84.31,8,83.33
292,,Alex Daho,0,0,17.5,71.43,4,33.33
