Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Jefferson Valverde,0,0,66.67,1.94,0,0,1.94,1.44,0.06,0.78,0,0.72,0.17,0,36.5,79.91,8.78,48.98,0,0.11,0,0,1.39,0.06,0.22,0,44,48.23,0.56,1.78,18,1,3
Alexander Bolaños,0.29,0.17,48.89,2.04,0.04,0,0.96,0.25,0,0.21,0,0.17,0.08,0.04,12.17,70.21,4.33,66.67,0,0.08,0,0,0.83,0.04,0.25,0.08,47.27,50.88,1.88,1.25,24,1,4
Dario Pazmino,0,0,63.64,1.25,0,0,0.75,0.75,0,0.38,0,0.38,0.25,0.25,26.88,75.81,5.5,62.5,0,0,0,0,1,0.25,0,0,25,57.14,3.25,1.13,8,1,3
Leodan Chalá,0,0,0,0,0,0,0.08,0.08,0,1.25,0.08,0,0,0,27.25,42.51,4.58,34.88,3.92,0.17,0.33,0.08,1.33,0.17,0.08,0,50,85.71,0.25,0,12,2,1
Yerson Candelo,0.07,0,66.67,0.6,0,0,1.13,0.47,0,1.6,0,0.4,0.07,0.13,37.07,75.72,7.07,56.82,0,0.47,0,0,0.8,0.2,0.2,0,55.56,51.52,0.27,0.53,15,3,3
Diego García,0.04,0.04,54.39,1.5,0,0,1.5,0.81,0,0.27,0,0.85,0.19,0.04,28.54,74.39,8.23,54.95,0,0.12,0,0,0.58,0.12,0.35,0,42.31,53.64,1.42,0.88,26,2,3
Bagner Delgado,0.12,0,57.14,0.82,0,0,1,0.47,0,0.41,0,0.35,0.29,0.12,22.59,75.26,8.35,74.29,0,0.06,0,0,1.24,0.24,0.12,0.06,16.67,45.86,1.47,0.71,17,2,3
Luis Fernando León,0,0.04,40,0.64,0,0,0.88,0.64,0,3.92,0,0.32,0.04,0.04,46.24,85.29,3.68,58.38,0,0.52,0,0,0.64,0.08,0.36,0.08,67.09,57.14,0.6,1.2,25,2,2
Luis Cangá,0.04,0,66.67,0.69,0,0,1.46,0.5,0,4.54,0,0.58,0.08,0.08,35.65,82.31,3.19,57.79,0,0.42,0,0,0.96,0.15,0.42,0,70.91,54.55,0.46,1.58,26,2,2
Raúl Becerra,0.36,0.21,57.14,2,0.14,0,0.21,0.14,0.04,0.39,0,0.18,0.07,0.07,17.54,75.97,4.04,60,0,0.07,0,0,0.75,0.18,0.07,0,41.3,43.55,1.04,0.71,28,3,4
Javier Burrai,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,25,76,1.09,49.6,2.91,0.36,0.14,0,0.95,0.05,0.18,0,100,100,0.36,0,22,3,1
Arón Rodríguez,0.18,0.18,38.6,2.43,0,0,0.82,0.5,0,0.04,0,0.25,0.21,0.14,26.89,75.96,8.61,52.38,0,0.14,0,0,0.96,0.04,0.14,0,36.67,46.4,1.82,0.71,28,1,4
Fausto Grillo,0,0,66.67,0.64,0,0,1,0.5,0,3.29,0,0.57,0,0,48.64,85.46,5.14,60,0,0.5,0,0,0.64,0.07,0.07,0,63.27,59.26,0.79,0.93,14,2,2
Teodoro Paredes,0.11,0,83.33,0.48,0,0,1.96,1.48,0.04,5.26,0,0.52,0,0,30.56,70.67,2.59,36.62,0,0.26,0,0,1.04,0.19,0.22,0,58.97,61.73,0.63,0.85,27,2,2
Luis Estupiñan,0.11,0,35,1.04,0,0,0.89,0.15,0,0.07,0,0.44,0.15,0.07,13.81,70.78,4.59,48,0,0.07,0,0,0.48,0.07,0.11,0,24.44,42.38,1.48,0.89,27,1,4
Kevin Minda,0.11,0.07,81.82,1.15,0,0,0.78,1.19,0,0.96,0,0.37,0.04,0.04,47.52,87.53,8.93,67.14,0,0.33,0,0,1.26,0.07,0.19,0.04,53.33,52.99,0.59,0.85,27,2,3
Kendry Páez,0.21,0.21,57.58,1.75,0,1.04,0.5,0.21,0,0.04,0,0.29,0.08,0.04,23.67,80.81,9,66.15,0,0.04,0,0,0.5,0.04,0.17,0,11.11,43.52,0.63,0.79,24,1,3
Hamilton Piedra,0,0,0,0,0,0,0,0,0,0.68,0,0.04,0,0,24.61,58.06,1.82,40.54,3.29,0.36,0.21,0.04,0.89,0.29,0.18,0.04,100,85.71,0.14,0,28,2,1
Facundo Rodríguez,0.04,0.04,100,0.35,0,0,0.88,0.92,0,2.54,0,0.15,0.08,0.04,43.92,84.33,3.62,48.45,0,0.46,0,0,0.5,0.15,0.31,0,64.58,63.78,0.81,0.92,26,1,2
Jordy Alcivar,0.12,0,50,1,0,0,0.64,0.44,0.04,0.44,0,0.12,0,0.12,42.16,89.66,9.2,68.82,0,0.2,0,0,0.4,0.04,0.16,0.04,52.17,52.99,1,0.76,25,1,3
Tobías Donsanti,0.14,0.14,46.67,2.14,0.14,0,0.43,0.29,0,0.29,0,0,0.29,0.14,12.71,67.42,3.14,100,0,0,0,0,1.14,0,0,0.14,42.86,43.66,1.71,1.86,7,1,4
Samuel Sosa,0.12,0,51.85,1.82,0,0,0.82,0.24,0,0.47,0,0.24,0.18,0.18,19,78.64,5.82,48.28,0,0.06,0,0,0.29,0.06,0.29,0.06,43.75,48,1.47,1.76,17,1,3
Maicon Solís,0.25,0.04,42.62,1.64,0,0,1.04,0.39,0,0.21,0,0.21,0.25,0.18,22.36,71.57,7.36,42.47,0,0.07,0,0,1,0.04,0.39,0,39.47,41.4,0.68,1.14,28,2,3
Luis Cano,0.17,0.08,41.67,0.67,0,0,0.58,0.5,0,0.21,0,0.29,0.17,0.29,18.42,79.86,5.13,50,0,0.04,0,0,0.63,0.13,0.13,0,35,51.82,1.67,0.63,24,1,3
Óscar Zambrano,0,0,57.14,0.75,0,0,1.17,0.83,0.04,0.42,0,0.63,0.04,0,40.83,91.12,9.54,81.76,0,0.21,0,0,0.38,0.04,0.08,0,40,48.36,0.63,1,24,1,3
Gonzalo Valle,0,0,0,0,0,0,0.07,0.07,0.04,0.79,0,0,0,0,32.11,78.64,0.86,47.4,3.5,0.21,0.29,0.04,1.39,0.11,0.04,0.04,60,72.73,0.14,0.04,28,2,1
Daykol Romero,0,0,38.1,0.73,0,0,1.87,0.8,0,1.87,0,0.8,0.07,0.07,41.47,86.17,9.8,64.29,0,0.33,0,0,0.33,0.13,0.2,0.07,52.17,51.35,0.6,0.8,15,1,2
Ezequiel Piovi,0,0,43.75,0.78,0,0,1.52,0.78,0.04,0.33,0,0.67,0.07,0.07,42.56,86.42,10.7,62.66,0,0.3,0,0,0.44,0.15,0.19,0,52.17,49.02,0.56,1.26,27,3,3
Lorenzo Faravelli,0.08,0.04,25,1.17,0,0,1.38,0.25,0.04,0.04,0,0.54,0.21,0.25,43,90.02,11.17,71.74,0,0.13,0,0,0.83,0.08,0.33,0,0,45.9,0.88,1.04,24,2,3
Willian Cevallos,0.18,0.06,28.57,1.76,0,0.49,0.29,0.29,0,0.18,0,0.35,0.18,0.06,19.18,78.53,6.24,63.51,0,0.06,0,0,0.41,0,0.29,0,20,30.95,0.29,0.76,17,3,3
Carlos Rolón,0,0,100,0.83,0,0,1,0.75,0,3.92,0,0.25,0,0,25.92,77.49,1.67,50.82,0,0.42,0,0,0.67,0.08,0.17,0,77.14,69.23,0.42,0.5,12,3,2
Leonel Nazareno,0,0,100,0,0,0,0,0.04,0,0.69,0,0.04,0,0.04,25.85,55.21,1.35,38.04,3,0.23,0.12,0.04,1.08,0.15,0.23,0,88.89,90,0.35,0.04,26,2,1
