Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Gianluca Di Chiara,0,0,59.09,0.84,0,0,0.91,1.5,0,1.34,0,0.56,0.19,0.09,40.25,74.15,10.16,37.92,0,0.16,0,0,0.81,0.13,0.13,0,57.14,58.57,0.75,0.25,32,2,2
Sergio Kalaj,0,0,100,0.56,0,0,1.22,0.89,0,6.22,0,0.22,0,0.11,51.44,79.91,3.44,40.28,0,0,0,0,0.89,0.44,0.33,0,72.88,69.47,1.22,1.22,9,1,2
Leonardo Marson,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,23,69.08,0.22,47.5,3.89,0.11,0.11,0.11,1.56,0.22,0.11,0,100,100,0.11,0,9,2,1
Elhan Kastrati,0,0,0,0.03,0,0,0.03,0,0,1,0,0.06,0,0,25.86,61.22,1.64,41.57,2.78,0.31,0.06,0.03,1.08,0.08,0.14,0,84.62,82.61,0.19,0,36,2,1
Hernani Jr.,0.23,0.07,57.97,1.6,0,0.3,1.17,0.57,0,0.7,0,1.27,0.13,0.13,32.73,73.52,9.1,65.35,0,0.17,0,0,0.7,0.2,0.17,0,52.87,46.88,1.27,1.3,30,2,3
Luca Vignali,0.06,0,46.88,0.82,0,0,1.73,1.42,0,2.52,0,0.85,0.18,0.03,32.67,70.69,6.42,40.8,0,0.15,0,0,0.97,0.18,0.3,0,52.33,54.64,1.27,0.97,33,2,3
Matteo Brunori,0.47,0.36,40.26,2.75,0.08,0,0.25,0.11,0,0.75,0,0.22,0.14,0.11,12.39,61.88,3.97,34.38,0,0.11,0,0,0.97,0.17,0.14,0,36.21,41.43,1.75,0.92,36,2,4
Andrea Meroni,0.04,0,50,0.7,0.04,0,1,0.78,0,4.83,0,0.17,0.04,0,38.61,78.6,1.78,39.67,0,0.26,0,0,0.91,0.09,0.17,0,61.54,64.13,1,0.61,23,2,2
Przemysław Szymiński,0.07,0,0,0.2,0.07,0,0.87,0.87,0,3.73,0,0.2,0,0,36.73,82.03,3.2,48.15,0,0.47,0,0,0.4,0.07,0.07,0,47.62,50.51,0.47,0.73,15,2,2
Radja Nainggolan,0.1,0,38.89,1.5,0,0,0.9,0.2,0,0.6,0,0.7,0.3,0.2,31.9,78.06,10.4,70.18,0,0,0,0,1,0.2,0.3,0,44.44,40,0.4,0.6,10,3,3
