Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Alistair Coote,0.2,0.03,57.58,1.3,0,0,0.73,0.27,0,0.17,0,0.33,0.17,0.17,22.57,80.65,9.03,60.42,0,0.07,0,0,0.53,0.03,0.07,0,22.73,43.56,0.83,0.6,30,2,3
Keith Buckley,0,0,66.67,0.22,0,0,2.56,1.15,0,1.52,0,0.85,0,0.04,47.3,77.76,9.56,57.92,0,0.22,0,0,0.93,0.19,0.3,0,51.43,57.21,0.81,1.15,27,3,3
Sean Hoare,0.05,0,78.57,1,0.05,0,0.91,0.68,0.05,1.64,0,0.41,0.05,0.05,52.77,80.19,8.23,48.69,0,0.45,0,0,0.32,0.05,0.05,0.05,76.19,60.96,0.45,1.18,22,2,2
Adam McDonnell,0.09,0.03,61.54,1.33,0,0,1.85,1.15,0,0.91,0,0.45,0,0.03,30.7,78.48,6.52,53.96,0,0.15,0,0,0.82,0.18,0.36,0,58.82,57.64,1,1.33,33,2,3
Brandon Kavanagh,0.17,0,72.73,0.97,0.03,0,0.14,0.31,0,0.28,0,0.1,0.14,0.21,16.38,81.47,4.52,50,0,0.07,0,0,0.24,0.03,0.07,0,20,44.62,0.55,0.28,29,1,3
Daniel Lafferty,0.13,0,100,0.69,0.06,0,1.19,1.56,0,1.44,0,0.19,0,0,29.94,71.19,3.81,40.2,0,0.06,0,0,0.75,0.19,0.13,0,68.18,70.18,0.25,0.38,16,3,2
Alan Mannus,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,22.43,68.02,0.57,38.61,2.3,0.48,0.04,0,0.52,0.22,0.09,0,80,80,0,0,23,3,1
Archie Davies,0,0,61.04,0.71,0,0,1.83,0.94,0,1.46,0,0.54,0.4,0.23,42.66,72.07,9.34,49.59,0,0.26,0,0,1.11,0.14,0.2,0,53.45,54.57,1.4,1.26,35,2,2
Andy Boyle,0.06,0,100,0.28,0.06,0,1.17,1.44,0,2.83,0.06,0.17,0,0,54.06,74.41,4.28,44.75,0,0.28,0,0,0.94,0.11,0.11,0,82.35,73.33,0.83,0.72,18,3,2
Adam Foley,0.24,0.07,46.67,1.31,0.07,0,1.34,0.62,0,0.55,0,0.52,0.1,0.14,17.86,54.44,4.28,29.82,0,0.1,0,0,1.03,0.1,0.21,0,48.57,52.11,0.66,0.83,29,3,3
Markus Poom,0.1,0.1,57.14,1.1,0.03,0,0.97,0.83,0,0.73,0,0.4,0.07,0.2,43.1,83.45,8.67,49.61,0,0.33,0,0,0.4,0.13,0.1,0,63.16,50,0.33,0.9,30,1,3
Dan Cleary,0,0.03,65.22,0.45,0,0,0.9,1.39,0.03,2.81,0,0.23,0.16,0.03,54.71,80.78,9.06,41.42,0,0.45,0,0,0.45,0.23,0.26,0.03,76.92,59.22,0.94,1.16,31,2,2
Gavin Molloy,0.04,0.04,62.5,0.78,0.04,0,1.19,1.3,0,2.96,0,0.59,0,0,54.52,81.79,4.22,46.7,0,0.37,0,0,0.48,0.26,0.19,0,65.28,58.06,0.89,0.96,27,1,2
