Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Yasuki Kimoto,0.06,0.06,69.23,0.39,0.03,0,1.06,1.09,0.03,3.3,0,0.21,0.09,0,64.27,86.99,3.67,52.15,0,0.39,0,0,1.06,0.24,0.09,0,62.81,64.16,0.76,0.64,33,2,2
Sho Inagaki,0.06,0.03,33.33,1.29,0,0,2.09,2.94,0,1.65,0,0.82,0,0,36.53,81.56,6.44,47.97,0,0.38,0,0,0.82,0.12,0.06,0,54.32,54.81,1.53,1.26,34,3,3
Masato Morishige,0.07,0.04,76.92,0.57,0.04,0,0.96,0.89,0,2.93,0.04,0.18,0,0,67.79,84.46,5.04,57.69,0,0.43,0,0,0.93,0.25,0.14,0,67.71,67.57,0.86,0.57,28,3,2
Adailton,0.39,0.26,45.59,2.65,0.06,0,0.74,0.32,0,0.65,0,0.35,0.06,0.06,19.32,66.11,5.35,41.07,0,0.03,0,0,0.68,0.16,0,0,43.48,47.84,1.23,0.58,31,3,3
Kento Misao,0.06,0,55.56,0.42,0.03,0,2.3,1.88,0.03,2.58,0,0.79,0,0,47.45,78.48,5.48,51.15,0,0.24,0,0,0.94,0.18,0.12,0,63.93,63.33,0.94,0.91,33,2,3
Ryuta Koike,0.12,0,51.72,0.81,0,0,1.38,1.42,0,1.54,0,0.54,0.19,0.08,61.88,86.2,16.77,52.63,0,0.23,0,0,1,0.04,0.04,0,19.57,47.59,0.73,0.5,26,2,2
Haruya Fujii,0,0,75,0.32,0,0,1.94,1.97,0.03,3.19,0,0.48,0.06,0,46,80.22,2.94,39.68,0,0.29,0,0,0.9,0.1,0.13,0,66.45,64.97,0.84,0.94,31,1,2
Matheus Sávio,0.19,0,48.31,1.88,0.03,0,1.06,0.75,0,0.38,0,0.84,0.31,0.16,31.97,78.89,11.53,58.95,0,0.09,0,0,0.94,0.16,0.09,0,20,42.31,1.06,0.53,32,2,3
Yuki Soma,0.06,0.06,53.66,1.18,0,0,1.21,0.65,0,1.18,0,0.44,0.21,0.03,24.71,72.74,5.74,49.15,0,0.26,0,0,0.68,0.12,0.09,0,46.27,56.76,2.24,1.06,34,2,4
Ken Matsubara,0.05,0,71.43,0.9,0,0,1.67,1.29,0,1.43,0.05,0.57,0.24,0.1,53.48,78.98,12.24,48.65,0,0.29,0,0,0.81,0,0.1,0,46.81,54.36,0.67,0.86,21,2,2
Marcinho,0.4,0.37,48.1,1.6,0.07,0,0.8,0.17,0,0.23,0,0.2,0.13,0.2,20.53,79.06,9.3,58.82,0,0,0,0,0.83,0.07,0.03,0,37.21,48.1,1.23,0.7,30,2,4
Shintaro Kurumaya,0.05,0,70,0.32,0.05,0,1.63,0.74,0,1.95,0,0.11,0,0,63.89,91.19,9.05,60.47,0,0.32,0,0,0.84,0.05,0.11,0,50,64.22,0.53,0.47,19,3,2
Ryoya Ogawa,0.13,0,53.33,0.53,0.07,0,0.87,1.07,0,2.2,0,0.13,0.07,0,48.2,79.11,8.87,50,0,0.4,0,0,0.93,0.2,0.07,0,49.06,51.72,0.87,0.53,15,2,2
Kento Tachibanada,0.06,0.03,45.16,0.63,0,0,1.94,2.28,0,0.69,0,0.81,0.09,0.06,61.13,88.6,13.38,51.64,0,0.28,0,0,0.94,0.22,0.06,0.03,34.09,57.49,1.59,0.63,32,2,3
Sergi Samper,0,0,66.67,0.5,0,0,2.67,1.67,0,0.33,0,1,0,0,57.33,84.01,9.5,54.29,0,0,0,0,1,0,0.17,0,40,55.32,0.33,0.83,6,2,3
Kengo Kitazume,0,0,75,0.5,0,0,1.5,1.25,0.13,0.75,0,0.13,0.13,0,23.5,81.91,6.63,66.67,0,0.25,0,0,0.38,0.13,0,0,60,67.44,0.38,0.38,8,3,2
Ryotaro Tsunoda,0,0,80,0.44,0,0,1.39,1.89,0,2.5,0,0.33,0,0,51.61,87.51,3.89,51.22,0,0.33,0,0,0.72,0,0.11,0,74.58,72.13,0.89,0.72,18,1,2
Sota Kawasaki,0.04,0,40,0.96,0.04,0,2.54,2.11,0,1.29,0,0.93,0.11,0.11,32.75,79.83,7.25,45.33,0,0.11,0,0,0.79,0.21,0.07,0,52.54,49.63,0.75,1.86,28,1,3
Tomoki Takamine,0.04,0,64.86,0.77,0.04,0,1.58,0.96,0,1,0,0.42,0.04,0.08,59.12,81.85,7.73,47.66,0,0.31,0,0,0.85,0.27,0.15,0,42.22,57.92,1.69,1.38,26,2,3
Atsuki Ito,0.14,0.11,64.29,1.14,0.04,0,1.86,1.5,0,1,0,0.75,0.14,0.11,36.86,82.46,7.57,50.57,0,0.07,0,0,0.79,0.11,0.07,0.04,46.15,46.77,0.29,1.14,28,2,3
